ABBOTT FRANCE,Médecin,OSTYN Pierre,28/11/2013,REPAS,€42,,
Laboratoires ARKOPHARMA,Médecin,DELFORGE DELEBOIS JOELLE,06/02/2014,REPAS,€17,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CORNET JEROME,21/05/2014,Repas,€60,,
LABORATOIRES COLOPLAST,Pharmacien,CREMER ALEXANDRA,05/12/2013,Repas,€22,,
LABORATOIRES COLOPLAST,Pharmacien,DELCROIX HECKEN SYLVIE,05/12/2013,Repas,€22,,
LABORATOIRES COLOPLAST,Pharmacien,VANHUYSE PHILIPPE,05/12/2013,Repas,€22,,
Laboratoires Expanscience,Médecin,CORNET JEROME,26/09/2013,Repas,€29,,
Laboratoires Expanscience,Médecin,CORNET JEROME,26/09/2013,Repas,€29,,
Laboratoires Leurquin Mediolanum,Médecin,HUE CLAUDINE,13/11/2013,AUTRE,€15,,
LES LABORATOIRES SERVIER,Médecin,DELFORGE JOELLE,13/03/2014,Repas,€31,,
LES LABORATOIRES SERVIER,Médecin,DELFORGE MARC,13/03/2014,Repas,€31,,
LES LABORATOIRES SERVIER,Médecin,SACRE GUY,05/09/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,SACRE GUY,05/12/2013,Repas,€55,,
LUNDBECK SAS,Médecin,CORNET JEROME,28/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,CORNET JEROME,28/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,CORNET JEROME,05/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€32,,
MEDEXACT,Médecin,OSTYN PIERRE,24/05/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,OSTYN PIERRE,28/11/2013,Autre: [Enquête],€12,,
MENARINI FRANCE,Médecin,CORNET JEROME,30/01/2014,Autre : [Restauration],€40,,
MENARINI FRANCE,Médecin,CORNET JÉROME,19/09/2013,AUTRE : RNT,€35,,
MENARINI FRANCE,Médecin,SACRE GUY,15/10/2013,REPAS,€58,,
MERCK SERONO,Médecin,SACRE GUY,26/03/2014,REPAS,€21,,
Molnlycke Health Care,Infirmier,BILLIET LE GALL NATHALIE,06/02/2014,REPAS,€19,,
Molnlycke Health Care,Infirmier,DESROUSSEAUX SANDRA,06/02/2014,REPAS,€19,,
MSD France,Médecin,CORNET JEROME,13/03/2014,REPAS,€40,,
MSD France,Médecin,CORNET JEROME,11/04/2013,REPAS,€40,,
MSD France,Médecin,OSTYN PIERRE,05/04/2012,REPAS,€67,,
MSD France,Médecin,SACRE GUY,19/09/2013,REPAS,€60,,
MSD France,Médecin,SACRE GUY,03/10/2012,REPAS,€74,,
NOVARTIS PHARMA SAS,Médecin,CORNET JEROME,20/03/2014,Repas,€37,,
NOVARTIS PHARMA SAS,Médecin,CORNET JEROME,05/06/2014,Repas,€38,,
NOVARTIS PHARMA SAS,Médecin,CORNET JEROME,14/11/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,MONIER JACQUELINE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MONIER JACQUELINE,20/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,OSTYN PIERRE,15/05/2014,Repas,€51,,
NOVARTIS PHARMA SAS,Pharmacien,VANHUYSE PHILIPPE,13/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,OSTYN PIERRE,07/02/2014,HEBERGEMENT,€131,,
NOVO NORDISK,Médecin,OSTYN PIERRE,07/02/2014,TRANSPORT,€46,,
NOVO NORDISK,Médecin,OSTYN PIERRE,07/02/2014,TRANSPORT,€277,,
NOVO NORDISK,Médecin,OSTYN PIERRE,07/02/2014,TRANSPORT,€170,,
NOVO NORDISK,Médecin,OSTYN PIERRE,07/02/2014,REPAS,€186,,
Otsuka Pharmaceutical France SAS,Médecin,BOSS VIRGINIE,16/01/2014,Repas,€60,,
PIERRE FABRE MEDICAMENT,Médecin,CORNET JEROME,20/02/2014,RESTAURATION,€41,,
PIERRE FABRE MEDICAMENT,Médecin,OSTYN PIERRE,06/06/2013,Restauration,€60,,
SANOFI AVENTIS FRANCE,Médecin,CORNET JEROME,19/12/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,CORNET JEROME,20/03/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,CORNET JEROME,06/02/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,CORNET JEROME,25/03/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,CORNET JEROME,22/05/2014,Repas,€28,,
SANOFI AVENTIS FRANCE,Médecin,CORNET JEROME,13/02/2014,Repas,€39,,
SANOFI AVENTIS FRANCE,Médecin,HONORE BENOIT,13/02/2014,Repas,€39,,
SANOFI AVENTIS FRANCE,Médecin,HONORE BENOIT,15/05/2014,Repas,€49,,
SANOFI AVENTIS FRANCE,Médecin,OSTYN PIERRE,27/06/2014,Hébergement,€155,,
SANOFI AVENTIS FRANCE,Médecin,OSTYN PIERRE,27/06/2014,Repas,€106,,
SANOFI AVENTIS FRANCE,Médecin,SACRE GUY,15/05/2014,Repas,€49,,
SANOFI AVENTIS FRANCE,Médecin,SACRE GUY,13/02/2014,Repas,€39,,
Takeda France,Médecin,HUE Claudine,06/12/2013,REPAS,€45,,
