3M France,Chirurgien-dentiste,SAMPER JACQMART VERONIQUE,17/10/2013,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANCEY MARYLENE,10/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANCEY MARYLENE,12/02/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANCEY MARYLENE,11/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANCEY MARYLENE,12/03/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASES MIGNOT ANNE LAURE,17/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASES MIGNOT ANNE LAURE,15/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASES MIGNOT ANNE LAURE,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASES MIGNOT ANNE LAURE,12/02/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESPOIX VERONIQUE,15/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESPOIX VERONIQUE,12/02/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESPOIX VERONIQUE,17/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESPOIX VERONIQUE,10/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESPOIX VERONIQUE,12/02/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESPOIX VERONIQUE,11/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUVRARD GHISLAINE,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUVRARD GHISLAINE,12/02/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUVRARD GHISLAINE,11/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUVRARD GHISLAINE,17/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUVRARD GHISLAINE,10/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUVRARD GHISLAINE,15/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,07/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,11/04/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,02/07/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,26/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,23/05/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,11/07/2013,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,06/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,16/01/2013,Hospitalite,€158,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,06/02/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,03/10/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,30/05/2013,Hospitalite,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,23/05/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,30/05/2013,Hospitalite,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,27/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,02/02/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,05/04/2012,Hospitalité,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,24/05/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,21/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,26/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,03/07/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,12/09/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,04/10/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,18/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JEAN,25/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,25/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,21/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,24/05/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,12/09/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,30/05/2013,Hospitalite,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,18/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,23/05/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,03/10/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,26/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,11/04/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,16/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,11/07/2013,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,27/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,07/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,18/01/2013,Hospitalite,€158,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,26/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,02/02/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,03/07/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,05/04/2012,Hospitalité,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,04/10/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,06/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,27/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PY JOSIANE,06/02/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REY FREDERIC,12/02/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REY FREDERIC,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REY FREDERIC,15/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REY FREDERIC,17/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REY FREDERIC,10/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REY FREDERIC,28/05/2013,Hospitalite,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PY JEAN,27/03/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PY JOSIANE,27/03/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SANCERNI ISABELLE,05/07/2013,Repas,€56,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,LE BARON ELISABETH,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,MESTRE VEYRUNES VALERIE,01/12/2013,CADEAUX,€15,,
LEO Pharma,Médecin,PY JEAN,06/03/2014,REPAS,€60,,
LEO Pharma,Médecin,PY JOSIANE,06/03/2014,REPAS,€60,,
LES LABORATOIRES SERVIER,Médecin,PY JEAN,11/06/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,PY JEAN,04/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PY JEAN,05/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PY JOSIANE,04/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PY JOSIANE,05/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PY JOSIANE,11/06/2014,Repas,€56,,
MENARINI FRANCE,Médecin,PY JEAN,19/02/2014,Autre : [Restauration],€58,,
MSD France,Médecin,PY JEAN,24/04/2014,REPAS,€60,,
MSD France,Médecin,PY JEAN,13/03/2014,REPAS,€56,,
MSD France,Médecin,PY JEAN,22/11/2012,REPAS,€60,,
MSD France,Médecin,PY JEAN,21/03/2012,HOSPITALITE,€56,,
MSD France,Médecin,PY JEAN,22/11/2012,REPAS,€60,,
MSD France,Médecin,PY JEAN,05/04/2012,REPAS,€60,,
MSD France,Médecin,PY JEAN,14/06/2013,HOSPITALITÉ,"€1,833",,
MSD France,Médecin,PY JEAN,13/03/2014,REPAS,€56,,
MSD France,Médecin,PY JEAN,24/04/2014,REPAS,€60,,
MSD France,Médecin,PY JEAN,21/11/2013,REPAS,€55,,
MSD France,Médecin,PY JEAN,23/05/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,PY JEAN,28/06/2012,REPAS,€60,,
MSD France,Médecin,PY JEAN,09/07/2013,REPAS,€55,,
MSD France,Médecin,PY JEAN,21/03/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,PY JOSIANE,21/03/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,PY JOSIANE,23/05/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,PY JOSIANE,09/07/2013,REPAS,€55,,
MSD France,Médecin,PY JOSIANE,14/06/2013,HOSPITALITÉ,"€1,833",,
MSD France,Médecin,PY JOSIANE,22/11/2012,REPAS,€60,,
MSD France,Médecin,PY JOSIANE,28/06/2012,REPAS,€60,,
MSD France,Médecin,PY JOSIANE,21/03/2012,HOSPITALITE,€56,,
MSD France,Médecin,PY JOSIANE,24/04/2014,REPAS,€60,,
MSD France,Médecin,PY JOSIANE,05/04/2012,REPAS,€60,,
MSD France,Médecin,PY JOSIANE,13/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,PY JOSIANE,16/02/2012,REPAS,€60,,
MSD France,Médecin,PY JOSIANE,21/11/2013,REPAS,€55,,
MSD France,Médecin,PY JOSIANE,16/05/2013,REPAS,€25,,
MSD France,Médecin,PY JOSIANE,13/03/2014,REPAS,€56,,
NOVARTIS PHARMA SAS,Médecin,PY JEAN,10/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PY JOSIANE,10/04/2014,Autre : [Participation Evenement Scientifique],€55,,
PFIZER SAS,Médecin,PY JEAN,12/11/2013,Repas,€56,,
PFIZER SAS,Médecin,PY JOSIANE,12/11/2013,Repas,€56,,
PIERRE FABRE MEDICAMENT,Médecin,PY JEAN,27/06/2014,RESTAURATION,€29,,
RB Pharmaceuticals France,Médecin,SANCERNI Isabelle,21/11/2013,Repas,€55,,
RB Pharmaceuticals France,Médecin,SANCERNI Isabelle,22/04/2014,Repas,€56,,
SANDOZ,Pharmacien,MARCEL OLIVIER,23/01/2014,REPAS,€50,,
SANOFI AVENTIS FRANCE,Médecin,PY JEAN,30/01/2014,Repas,€31,,
SANOFI AVENTIS FRANCE,Médecin,PY JEAN,27/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,PY JOSIANE,27/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,PY JOSIANE,30/01/2014,Repas,€31,,
SEPTODONT SAS,Chirurgien-dentiste,POULAIN Valérie,20/11/2012,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,POULAIN Valérie,11/03/2013,Cadeaux,€288,,
TEVA SANTE SAS,Médecin,PY JEAN,07/11/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,PY JOSIANE,07/11/2013,REPAS,€60,,
