ABBOTT PRODUCTS SAS,Médecin,BERNARDEAU LOUNICI Claude,19/09/2013,REPAS,€53,,
ICOMED,Médecin,CLERMONT ROZENN,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CLERMONT ROZENN,25/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JARRY ERIC,11/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,JARRY ERIC,12/06/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,ORTIZ DE LAZCANO PATRICK,19/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,ORTIZ DE LAZCANO PATRICK,03/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,PENANHOAT JEAN YVES,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PENANHOAT JEAN YVES,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SAUVEPLANE CORINNE,20/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TELLIER OLIVIER,14/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,VITTET FREDERIC,25/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,VITTET FREDERIC,07/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,VOURC H SAUTERON STEPHANIE,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VOURC H SAUTERON STEPHANIE,21/01/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,GOURLAY FLORENCE,30/10/2013,REPAS,€40,,
LABCATAL,Médecin,DUPARC RICOUX SYLVAINE,11/10/2013,REPAS,€28,,
LABORATOIRE DES GRANIONS,Médecin,DUPARC-RICOUX SYLVAINE,03/06/2014,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDEAU LOUNICI CLAUDE,18/04/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDEAU LOUNICI CLAUDE,27/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDEAU LOUNICI CLAUDE,15/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDEAU LOUNICI CLAUDE,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLERMONT ROZENN,03/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLERMONT ROZENN,29/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLERMONT ROZENN,13/12/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLERMONT ROZENN,04/05/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COLOMB POLO NATHALIE,07/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT BENEDICTE,29/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT BENEDICTE,04/05/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT BENEDICTE,13/12/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LELARD CHRISTOPHE,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUNICI KARIM,27/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUNICI KARIM,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUNICI KARIM,09/05/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUNICI KARIM,15/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ORTIZ DE LAZCANO PATRICK,03/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ORTIZ DE LAZCANO PATRICK,01/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ORTIZ DE LAZCANO PATRICK,30/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RETAILLEAU LOIC,03/10/2013,REPAS,€60,,
LABORATOIRE JALDES,Médecin,Duparc-Ricoux Sylvaine,27/09/2013,Autre : [ECHANTILLON],€21,,
LABORATOIRE JALDES,Médecin,Duparc-Ricoux Sylvaine,27/09/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BERNARDEAU LOUNICI CLAUDE,06/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LOUNICI KARIM,06/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ORTIZ DE LAZCANO PATRICK,12/06/2014,Repas,€55,,
Laboratoires Grünenthal SAS,Médecin,VITTET FREDERIC,25/04/2014,REPAS,€22,,
Laboratoires Grünenthal SAS,Médecin,VITTET FREDERIC,20/02/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,VITTET FREDERIC,30/06/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,VITTET FREDERIC,01/07/2013,REPAS,€38,,
Laboratoires Grünenthal SAS,Médecin,VITTET FREDERIC,25/11/2013,REPAS,€26,,
LABORATOIRES MAYOLY SPINDLER,Médecin,ORTIZ DE LAZCANO PATRICK,09/10/2013,HOSPITALITE,€25,,
LABORATOIRES URGO,Infirmier,BECIGNEUL ISABELLE,13/12/2013,REPAS,€23,,
LABORATOIRES URGO,Infirmier,BECIGNEUL Isabelle,13/06/2014,Repas,€27,,
LABORATOIRES URGO,Infirmier,COURTOT ANDRE,13/12/2013,REPAS,€23,,
LABORATOIRES URGO,Infirmier,MORICE Françoise,13/06/2014,Repas,€27,,
LABORATOIRES URGO,Infirmier,PERIN Christine,13/06/2014,Repas,€27,,
LABORATOIRES URGO,Infirmier,RICHARD Patricia,13/06/2014,Repas,€27,,
LABORATOIRES URGO,Infirmier,RICHARD PATRICIA,13/12/2013,REPAS,€23,,
LES LABORATOIRES SERVIER,Médecin,BERNARDEAU-LOUNICI CLAUDE,17/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BERNARDEAU-LOUNICI CLAUDE,28/11/2013,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,BERNARDEAU-LOUNICI CLAUDE,16/04/2014,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,CLERMONT ROZENN,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,CLERMONT ROZENN,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,CLERMONT ROZENN,21/02/2014,Transport,€874,,
LES LABORATOIRES SERVIER,Médecin,CLERMONT ROZENN,21/02/2014,Hébergement,€160,,
LES LABORATOIRES SERVIER,Médecin,HUBERT BENEDICTE,21/02/2014,Transport,€768,,
LES LABORATOIRES SERVIER,Médecin,HUBERT BENEDICTE,21/02/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HUBERT BENEDICTE,26/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HUBERT BENEDICTE,21/02/2014,Hébergement,€160,,
LES LABORATOIRES SERVIER,Médecin,HUBERT BENEDICTE,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,LOUNICI KARIM,28/11/2013,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,LOUNICI KARIM,26/11/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,LOUNICI KARIM,28/11/2013,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,LOUNICI KARIM,17/06/2014,Repas,€55,,
Lilly France SAS,Médecin,ORTIZ DE LAZCANO PATRICK,20/02/2014,REPAS,€55,,
Lilly France SAS,Médecin,ORTIZ DE LAZCANO PATRICK,20/02/2014,REPAS,€55,,
LUNDBECK SAS,Médecin,ORTIZ DE LAZCANO PATRICK,28/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€39,,
LUNDBECK SAS,Médecin,ORTIZ DE LAZCANO PATRICK,03/12/2013,AUTRE : FRAIS D HOSPITALITE / RP,€50,,
LUNDBECK SAS,Médecin,ORTIZ DE LAZCANO PATRICK,26/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,ORTIZ DE LAZCANO PATRICK,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
MEDEXACT,Médecin,CARNELLE BRUNO,03/06/2013,Autre: [Enquête],€20,,
MEDEXACT,Médecin,HABOUZIT CHABANNE VERONIQUE,20/11/2013,Autre: [Enquête],€14,,
MEDEXACT,Médecin,ORTIZ DE LAZCANO PATRICK,17/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,LELARD CHRISTOPHE,01/10/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,ORTIZ DE LAZCANO PATRICK,01/10/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,ORTIZ DE LAZCANO PATRICK,20/06/2013,REPAS,€35,,
MENARINI FRANCE,Médecin,ORTIZ DE LAZCANO PATRICK,28/01/2014,Autre : [Restauration],€50,,
MERZ PHARMA France,Médecin,HABOUZIT CHABANNE VERONIQUE,29/03/2014,Repas,€45,,
Molnlycke Health Care,Infirmier,MORICE FRANCOISE,15/01/2014,CADEAUX,€40,,
Molnlycke Health Care,Infirmier,RICHARD PATRICIA,15/01/2014,CADEAUX,€40,,
MSD France,Médecin,CLERMONT ROZENN,30/08/2013,REPAS,€36,,
MSD France,Médecin,CLERMONT ROZENN,30/08/2013,REPAS,€36,,
MSD France,Médecin,HUBERT BENEDICTE,30/08/2013,REPAS,€36,,
MSD France,Médecin,ORTIZ DE LAZCANO PATRICK,12/04/2012,REPAS,€38,,
MSD France,Médecin,ORTIZ DE LAZCANO PATRICK,13/06/2013,HOSPITALITE,€60,,
MSD France,Médecin,ORTIZ DE LAZCANO PATRICK,15/06/2012,HOSPITALITE,€35,,
MSD France,Médecin,RETAILLEAU LOIC,05/11/2013,REPAS,€60,,
MSD France,Médecin,RETAILLEAU LOIC,13/06/2013,HOSPITALITÉ,€60,,
MUNDIPHARMA,Médecin,CLERMONT ROZENN,22/05/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,HUBERT BENEDICTE,22/05/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,TELLIER OLIVIER,22/05/2014,REPAS,€55,,
MYLAN SAS,Pharmacien,DAVID MARYSE,19/12/2013,REPAS,€37,,
MYLAN SAS,Pharmacien,LAGISQUET ELENA,19/12/2013,REPAS,€37,,
MYLAN SAS,Pharmacien,VUILLEFROY DE SILLY CAROLINE,19/12/2013,REPAS,€37,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAUX CHRISTINE,19/12/2013,REPAS,€37,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROCHARD SABRINA,19/12/2013,REPAS,€37,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAMBERT JAIMIE,19/12/2013,REPAS,€37,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MELLONGER CORALIE,19/12/2013,REPAS,€37,,
NOVARTIS PHARMA SAS,Médecin,ORTIZ DE LAZCANO PATRICK,10/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ORTIZ DE LAZCANO PATRICK,06/06/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,RETAILLEAU LOIC,06/06/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,RETAILLEAU LOIC,10/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,LELARD CHRISTOPHE,20/05/2014,REPAS,€55,,
PECH CERCIAT,Médecin,Duparc-Ricoux Sylvaine,27/09/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Duparc-Ricoux Sylvaine,27/09/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Duparc-Ricoux Sylvaine,27/09/2013,Autre : [ECHANTILLON],€46,,
PECH CERCIAT,Médecin,Habouzit-Chabanne Véronique,27/09/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,VITTET FREDERIC,20/10/2013,HEBERGEMENT,€370,,
PFIZER SAS,Médecin,VITTET FREDERIC,20/10/2013,HEBERGEMENT,€370,,
PFIZER SAS,Médecin,VITTET FREDERIC,20/10/2013,REPAS,€213,,
PFIZER SAS,Médecin,VITTET FREDERIC,20/10/2013,TRANSPORT,€409,,
PFIZER SAS,Médecin,VITTET FREDERIC,22/04/2014,REPAS,€60,,
PFIZER SAS,Médecin,VITTET FREDERIC,20/10/2013,REPAS,€213,,
PFIZER SAS,Médecin,VITTET FREDERIC,20/10/2013,TRANSPORT,€409,,
PFIZER SAS,Médecin,VITTET FREDERIC,05/11/2013,Repas,€55,,
PHARMATHERA,Médecin,DUPARC RICOUX SYLVAINE,24/01/2014,Hospitalité,€57,,
PHONAK FRANCE,Audioprothésiste,TOUMELIN PIERRE,04/04/2014,REPAS,€49,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COIDIC CHLOE,27/03/2014,RESTAURATION,€18,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARDEAU LOUNICI CLAUDE,17/04/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARDEAU LOUNICI CLAUDE,31/01/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARDEAU LOUNICI CLAUDE,24/01/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARDEAU LOUNICI CLAUDE,21/03/2013,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARDEAU LOUNICI CLAUDE,17/04/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARDEAU LOUNICI CLAUDE,04/04/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LOUNICI KARIM,04/04/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LOUNICI KARIM,07/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LOUNICI KARIM,24/01/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LOUNICI KARIM,21/03/2013,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,LOUNICI KARIM,12/04/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LOUNICI KARIM,17/04/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Médecin,ORTIZ DE LAZCANO PATRICK,24/04/2014,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,ORTIZ DE LAZCANO PATRICK,04/04/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,ORTIZ DE LAZCANO PATRICK,22/03/2012,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,VITTET FREDERIC,24/01/2013,Restauration,€50,,
RADIANTE,Pharmacien,HOCDÉ Anne-Sophie,02/04/2012,Repas,€15,,
RADIANTE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DE ROCHE Rozanne,02/04/2012,Repas,€15,,
RADIANTE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FLEURY Audrey,02/04/2012,Repas,€15,,
RADIANTE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TOUSSAINT Charlotte,02/04/2012,Repas,€15,,
SANOFI AVENTIS FRANCE,Médecin,BERNARDEAU LOUNICI CLAUDE,09/01/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,LOUNICI KARIM,09/01/2014,Repas,€30,,
Straumann France,Chirurgien-dentiste,MATTIONI DAVID,17/04/2014,Repas,€15,,
TEVA SANTE SAS,Pharmacien,HOCDE ANNE-SOPHIE,22/05/2014,REPAS,€54,,
TEVA SANTE SAS,Pharmacien,HOCDE PHILIPPE,23/05/2014,REPAS,€20,,
TEVA SANTE SAS,Pharmacien,JARNOUX MONIQUE,22/05/2014,REPAS,€54,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEROCHE ROZENN,22/05/2014,REPAS,€54,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FLEURY AUDREY,22/05/2014,REPAS,€54,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUERIN LUCIE,22/05/2014,REPAS,€54,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PERRAIS LAURIS,22/05/2014,REPAS,€54,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TOUSSAINT CHARLOTTE,22/05/2014,REPAS,€54,,
Ultradent Products GmbH,Chirurgien-dentiste,BRASSART  CUINCHY AGNES,30/11/2013,Dons de matériel,€26,,
Ultradent Products GmbH,Chirurgien-dentiste,MILLIER ALAIN,27/03/2013,Dons de matériel,€21,,
