ABBOTT PRODUCTS SAS,Médecin,NGUYEN Van an,15/10/2013,REPAS,€55,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GICQUEL KARINE,03/04/2014,[REPAS],€40,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEMENER AURELIE,03/04/2014,[REPAS],€40,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STOQUERT MARIE,03/04/2014,[REPAS],€40,,
BRISTOL-MYERS SQUIBB,Médecin,MAYEN DOMINIQUE,13/11/2013,Repas,€53,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DUPLOMB ISABELLE,28/09/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,MALLARD SEBASTIEN,28/09/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,MAYEN DOMINIQUE,28/09/2013,REPAS,€30,,
HRA PHARMA FRANCE,Médecin,PAVY ANNE LAURE,28/11/2013,REPAS,€20,,
ICOMED,Chirurgien-dentiste,BARON CAROLINE,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,BRIEND CATHERINE,16/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,FOURRE MICHEL,07/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAYEN DOMINIQUE,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MAYEN DOMINIQUE,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NGUYEN VAN AN,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,GICQUEL MICHEL,18/06/2014,Autre: [Enquête],€16,,
JANSSEN-CILAG,Médecin,FOURRE MICHEL,14/03/2013,REPAS,€45,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,BARON Caroline,09/10/2013,REPAS,€45,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,BRIEND Catherine,09/10/2013,REPAS,€45,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,DEROUET LEVEQUE Monique,09/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAYEN DOMINIQUE,26/03/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NGUYEN VAN AN,26/02/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NGUYEN VAN AN,02/07/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NGUYEN VAN AN,13/11/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NGUYEN VAN AN,24/04/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NGUYEN VAN AN,19/11/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,COUSIN MATHILDE,27/06/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,LEMEE FLORIAN,25/04/2012,Hospitalité,€57,,
Laboratoire Innothera,Pharmacien,LEMEE FLORIAN,17/09/2013,REPAS,€12,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GICQUEL MICHEL,27/03/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GICQUEL KARINE,27/03/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE MENER AURELIE,27/03/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STOQUERT MARIE,27/03/2014,Repas,€39,,
LABORATOIRES URGO,Infirmier,PENVEN SOPHIE,12/12/2013,REPAS,€15,,
LES LABORATOIRES SERVIER,Médecin,MAYEN DOMINIQUE,10/04/2014,Repas,€40,,
LUNDBECK SAS,Médecin,NGUYEN VAN AN,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
NOVARTIS PHARMA SAS,Médecin,NGUYEN VAN AN,11/06/2014,Autre : [Participation Evenement Scientifique],€50,,
PIERRE FABRE MEDICAMENT,Médecin,NGUYEN VAN AN,05/12/2013,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,NGUYEN VAN AN,27/03/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,NGUYEN VAN AN,30/05/2013,Restauration,€60,,
RESEARCH NOW SAS,Médecin,damphouse mireille,25/09/2013,enquête,€19,,
SANOFI AVENTIS FRANCE,Etudiant,ROUE SOLENE,24/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Infirmier,DUMAST ELISE,24/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Infirmier,LEON HYLGUITH,24/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,MAYEN DOMINIQUE,17/10/2013,Restauration,€25,,
Takeda France,Médecin,MAYEN Dominique,26/09/2013,REPAS,€18,,
TEVA SANTE SAS,Médecin,NGUYEN VAN AN,05/11/2013,REPAS,€50,,
TEVA SANTE SAS,Pharmacien,GICQUEL MICHEL,13/09/2013,REPAS,€53,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GICQUEL KARINE,13/09/2013,REPAS,€53,,
