AMO FRANCE SAS,Médecin,CONRAD HERVE,16/09/2013,REPAS DE TRAVAIL,€39,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TENAILLEAU VERONIQUE,10/04/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TENAILLEAU VERONIQUE,10/04/2014,REPAS,€50,,
LABORATOIRES ALCON,Médecin,CONRAD HERVE,30/01/2014,REPAS,€39,,
LABORATOIRES ALCON,Médecin,CONRAD HERVE,10/04/2014,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROLLAND JEAN CLAUDE,14/10/2013,Repas,€38,,
LEO Pharma,Médecin,BEN KEMOUN GERARD,03/04/2014,REPAS,€37,,
LEO Pharma,Médecin,JORROT PHILIPPE,03/04/2014,REPAS,€37,,
LEO Pharma,Médecin,NOEL ISABELLE,03/04/2014,REPAS,€37,,
LEO Pharma,Médecin,POLACK YVES,17/06/2013,REPAS,€19,,
LEO Pharma,Médecin,SZTAL CLAUDE,03/04/2014,REPAS,€37,,
LES LABORATOIRES SERVIER,Médecin,KERRAD LOUISA,07/12/2013,Repas,€273,,
Lilly France SAS,Médecin,BEN KEMOUN GERARD,02/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,JORROT PHILIPPE,29/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,JORROT PHILIPPE,02/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,NOEL ISABELLE,02/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,SZTAL CLAUDE,02/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,SZTAL CLAUDE,29/01/2014,REPAS,€60,,
MEDA PHARMA,Médecin,JORROT PHILIPPE,13/02/2014,REPAS,€29,,
MEDA PHARMA,Médecin,KERRAD LOUISA,29/11/2013,AUTRE,€20,,
MEDA PHARMA,Médecin,SZTAL CLAUDE,13/02/2014,REPAS,€29,,
MEDEXACT,Médecin,BEN KEMOUN GERARD,28/05/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,JORROT PHILIPPE,21/05/2013,Autre: [Enquête],€20,,
MEDEXACT,Médecin,LE FLOCH MARC,15/05/2013,Autre: [Enquête],€20,,
MERCK SERONO,Masseur-kinésithérapeute,CHOEF THIERRY,08/02/2014,REPAS,€10,,
MERCK SERONO,Masseur-kinésithérapeute,CHOEF THIERRY,08/02/2014,REPAS,€44,,
MERCK SERONO,Médecin,BRUGEILLES BAGUELIN HELENE,08/02/2014,REPAS,€44,,
MERCK SERONO,Médecin,BRUGEILLES BAGUELIN HELENE,08/02/2014,REPAS,€10,,
MERCK SERONO,Médecin,GURY BRUNO,03/12/2013,REPAS,€25,,
MERCK SERONO,Pharmacien,DELOGE PAUL HENRI,08/02/2014,REPAS,€44,,
MERCK SERONO,Pharmacien,DELOGE PAUL HENRI,08/02/2014,REPAS,€10,,
MSD France,Médecin,BEN KEMOUN GERARD,28/06/2012,REPAS,€30,,
MSD France,Médecin,BEN KEMOUN GERARD,16/05/2013,REPAS,€40,,
MSD France,Médecin,BEN KEMOUN GERARD,16/05/2013,REPAS,€40,,
MSD France,Médecin,BEN KEMOUN GERARD,13/03/2014,REPAS,€36,,
MSD France,Médecin,GURY BRUNO,13/01/2012,REPAS,€30,,
MSD France,Médecin,JORROT PHILIPPE,13/03/2014,REPAS,€36,,
MSD France,Médecin,JORROT PHILIPPE,16/05/2013,REPAS,€40,,
MSD France,Médecin,JORROT PHILIPPE,05/07/2012,REPAS,€33,,
MSD France,Médecin,JORROT PHILIPPE,28/06/2012,REPAS,€30,,
MSD France,Médecin,LAFERRERE CLAUDE SOPHIE,10/05/2012,REPAS,€39,,
MSD France,Médecin,LAFERRERE CLAUDE SOPHIE,28/06/2012,REPAS,€39,,
MSD France,Médecin,LAFERRERE CLAUDE SOPHIE,04/09/2012,REPAS,€38,,
MSD France,Médecin,SZTAL CLAUDE,16/05/2013,REPAS,€40,,
MSD France,Médecin,SZTAL CLAUDE,28/06/2012,REPAS,€30,,
MSD France,Médecin,SZTAL CLAUDE,13/03/2014,REPAS,€36,,
NOVARTIS PHARMA SAS,Médecin,BEN KEMOUN GERARD,10/04/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,BEN KEMOUN GERARD,12/12/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,BRUGEILLES BAGUELIN HELENE,15/05/2014,Autre : [Participation Evenement Scientifique],€51,,
NOVARTIS PHARMA SAS,Médecin,BRUGEILLES BAGUELIN HELENE,21/01/2014,Autre : [Participation Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,BRUGEILLES BAGUELIN HELENE,11/03/2014,Autre : [Participation Evenement Scientifique],€16,,
NOVARTIS PHARMA SAS,Médecin,JORROT PHILIPPE,12/12/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,JORROT PHILIPPE,10/04/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,JORROT PHILIPPE,06/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,21/03/2014,Transport,€311,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,21/03/2014,Autre : [Inscription Evenement Scientifique],€612,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,21/03/2014,Hébergement,€480,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,21/03/2014,Repas,€183,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,07/09/2013,Hébergement,€908,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,07/09/2013,Repas,€95,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,07/09/2013,Transport,€435,,
NOVARTIS PHARMA SAS,Médecin,MAMANE MAURICE,07/09/2013,Autre : [Inscription Evenement Scientifique],€576,,
NOVARTIS PHARMA SAS,Médecin,NOEL ISABELLE,12/12/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,SZTAL CLAUDE,10/04/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,SZTAL CLAUDE,12/12/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,SZTAL CLAUDE,06/05/2014,Autre : [Participation Evenement Scientifique],€55,,
PECH CERCIAT,Médecin,Quercy Marie-Annick,14/10/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,BEN KEMOUN GERARD,24/10/2013,Repas,€34,,
PFIZER SAS,Médecin,BEN KEMOUN GERARD,24/04/2014,REPAS,€34,,
PFIZER SAS,Médecin,BEN KEMOUN GERARD,20/11/2013,REPAS,€60,,
PFIZER SAS,Médecin,BEN KEMOUN GERARD,19/12/2013,Repas,€30,,
PFIZER SAS,Médecin,BEN KEMOUN GERARD,11/07/2013,Repas,€22,,
PFIZER SAS,Médecin,JORROT PHILIPPE,11/07/2013,Repas,€22,,
PFIZER SAS,Médecin,JORROT PHILIPPE,11/07/2013,Repas,€22,,
PFIZER SAS,Médecin,JORROT PHILIPPE,19/12/2013,Repas,€30,,
PFIZER SAS,Médecin,JORROT PHILIPPE,13/06/2013,Repas,€34,,
PFIZER SAS,Médecin,JORROT PHILIPPE,20/11/2013,REPAS,€60,,
PFIZER SAS,Médecin,JORROT PHILIPPE,24/10/2013,Repas,€34,,
PFIZER SAS,Médecin,NOEL ISABELLE,20/11/2013,REPAS,€60,,
PFIZER SAS,Médecin,SZTAL CLAUDE,24/10/2013,Repas,€34,,
PFIZER SAS,Médecin,SZTAL CLAUDE,13/06/2013,Repas,€34,,
PFIZER SAS,Médecin,SZTAL CLAUDE,19/12/2013,Repas,€30,,
PFIZER SAS,Médecin,SZTAL CLAUDE,11/07/2013,Repas,€22,,
PFIZER SAS,Médecin,SZTAL CLAUDE,24/04/2014,REPAS,€34,,
PFIZER SAS,Médecin,SZTAL CLAUDE,20/11/2013,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,13/01/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,05/12/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,18/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,07/05/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,15/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,27/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,14/11/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,BEN KEMOUN GERARD,24/03/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,07/05/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,14/11/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,05/12/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,18/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,15/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,27/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,JORROT PHILIPPE,13/01/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,LAFERRERE CLAUDE SOPHIE,11/06/2013,Restauration,€57,,
PIERRE FABRE MEDICAMENT,Médecin,LAFERRERE CLAUDE SOPHIE,03/09/2013,RESTAURATION,€19,,
PIERRE FABRE MEDICAMENT,Médecin,LE FLOCH MARC,13/01/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,17/01/2012,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,10/01/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,20/06/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,18/04/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,26/02/2013,Restauration,€80,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,13/01/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,19/04/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,28/06/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,13/09/2012,Restauration,€49,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,13/12/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,20/06/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MAMANE MAURICE,10/01/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,07/05/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,15/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,18/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,14/11/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,27/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,05/12/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,SZTAL CLAUDE,13/01/2012,Restauration,€40,,
RESMED SAS,Médecin,POLONOVSKI JEAN-MICHEL,03/04/2014,Repas,€54,,
RESMED SAS,Médecin,POTDEVIN GERARD,03/04/2014,Repas,€54,,
SANDOZ,Pharmacien,DUSSAUGEY-THOMAS CHANTAL,17/04/2014,REPAS,€36,,
SANDOZ,Pharmacien,POISSON ODILE,17/04/2014,REPAS,€36,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA CUNHA FATIMA,17/04/2014,REPAS,€36,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SEIGNEURY DOMINIQUE,17/04/2014,REPAS,€36,,
SANOFI AVENTIS FRANCE,Médecin,BEYOU ANNE,20/05/2014,Repas,€20,,
SEPTODONT SAS,Association professionnel de santé,SELARL ALLOUN,11/12/2012,Autre,"€1,000",,
TEVA SANTE SAS,Médecin,BEN KEMOUN GERARD,28/11/2013,REPAS,€29,,
TEVA SANTE SAS,Médecin,BEN KEMOUN GERARD,26/06/2014,REPAS,€34,,
TEVA SANTE SAS,Médecin,BEN KEMOUN GERARD,06/03/2014,REPAS,€33,,
TEVA SANTE SAS,Médecin,JORROT PHILIPPE,26/06/2014,REPAS,€34,,
TEVA SANTE SAS,Médecin,JORROT PHILIPPE,06/03/2014,REPAS,€33,,
TEVA SANTE SAS,Médecin,JORROT PHILIPPE,28/11/2013,REPAS,€29,,
TEVA SANTE SAS,Médecin,SZTAL CLAUDE,06/03/2014,REPAS,€33,,
TEVA SANTE SAS,Médecin,SZTAL CLAUDE,28/11/2013,REPAS,€29,,
TEVA SANTE SAS,Médecin,SZTAL CLAUDE,26/06/2014,REPAS,€34,,
Zambon France,Médecin,BEN KEMOUN GERARD,13/02/2014,Repas,€29,,
