ARCHIMEDES PHARMA France,Infirmier,MERLET LAETITIA,20/06/2014,Repas,€42,,
MSD France,Médecin,GUILLON DAMIEN,16/05/2014,REPAS,€174,,
MSD France,Médecin,GUILLON DAMIEN,06/06/2014,REPAS,€30,,
MSD France,Médecin,GUILLON DAMIEN,19/06/2014,REPAS,€50,,
MSD France,Médecin,GUILLON DAMIEN,12/04/2013,REPAS,€40,,
MSD France,Médecin,GUILLON DAMIEN,19/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,GUILLON DAMIEN,20/04/2012,REPAS,€38,,
MSD France,Médecin,GUILLON DAMIEN,25/10/2012,HOSPITALITE,€55,,
MSD France,Médecin,JODRY FREDERIC,24/04/2013,HOSPITALITÉ,€40,,
MSD France,Médecin,JODRY FREDERIC,13/11/2013,REPAS,€34,,
MSD France,Médecin,JODRY FREDERIC,06/06/2012,HOSPITALITE,€40,,
MSD France,Médecin,LAM TERRIEN ANNE,23/05/2013,HOSPITALITE,€35,,
MSD France,Médecin,NOVELLO BRUNO,12/04/2013,REPAS,€40,,
MSD France,Médecin,ROYAL JEAN MARIE,27/03/2014,REPAS,€60,,
NOVARTIS PHARMA SAS,Médecin,ROUESSE CHARLES,15/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROBIN MELANIE,16/06/2014,Autre : [Participation Evenement Scientifique],€18,,
PHONAK FRANCE,Audioprothésiste,COTTEN HENRI,24/09/2013,REPAS,€47,,
PHONAK FRANCE,Audioprothésiste,COTTEN HENRI,24/09/2013,REPAS,€47,,
PHONAK FRANCE,Audioprothésiste,COTTEN HENRI,06/05/2014,REPAS,€43,,
PHONAK FRANCE,Audioprothésiste,COTTEN HENRI,04/03/2014,REPAS,€17,,
PHONAK FRANCE,Audioprothésiste,COTTEN MALLORIE,06/05/2014,REPAS,€43,,
PIERRE FABRE MEDICAMENT,Médecin,GUILLON DAMIEN,26/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,GUILLON DAMIEN,19/09/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,GUILLON DAMIEN,17/04/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,GUILLON DAMIEN,15/01/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,JODRY FREDERIC,26/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,JODRY FREDERIC,17/04/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,ROUESSE CHARLES,15/01/2013,Restauration,€43,,
SANOFI AVENTIS FRANCE,Médecin,GUILLON DAMIEN,18/02/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Médecin,GUILLON DAMIEN,20/05/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Médecin,ROUESSE CHARLES,20/05/2014,Repas,€47,,
SEPTODONT SAS,Chirurgien-dentiste,NGUYEN LUCIE,20/11/2012,Cadeaux,€144,,
Takeda France,Médecin,GUILLON Damien,17/09/2013,REPAS,€55,,
Takeda France,Médecin,ROUESSE Charles,17/09/2013,REPAS,€55,,
Zambon France,Médecin,CREZE DOMINIQUE,17/04/2014,Repas,€23,,
Zambon France,Médecin,NOVELLO BRUNO,17/04/2014,Repas,€23,,
