ABBOTT PRODUCTS SAS,Médecin,NEHRING Charles,26/09/2013,REPAS,€12,,
ICOMED,Médecin,PHILIPPE DUBOIS MARTINE,10/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TOMAT SYLVIE,16/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TOMAT SYLVIE,10/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASTELLI PASCALE,06/06/2013,Hospitalite,€55,,
Laboratoires Leurquin Mediolanum,Médecin,CASTELLI PASCALE,11/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MARIOTTI DAMIEN,11/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MARIOTTI DAMIEN,04/04/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,NEHRING CHARLES,11/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,NEHRING CHARLES,08/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PHILIPPE DUBOIS MARTINE,24/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PHILIPPE DUBOIS MARTINE,04/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOMAT SYLVIE,10/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOMAT SYLVIE,03/04/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOMAT SYLVIE,23/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,VINAY LAURENT,04/04/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,VINAY LAURENT,13/12/2013,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,HANRIAT ISABELLE,20/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MULDERMANS MARIE,05/06/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,VERSET MONIQUE,20/06/2013,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,BERGE JACQUES,06/02/2014,Repas,€49,,
MEDEXACT,Médecin,NEHRING CHARLES,17/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,CASTELLI PASCALE,18/10/2013,AUTRE : RNT,€35,,
MENARINI FRANCE,Médecin,CASTELLI PASCALE,14/02/2014,Autre : [Restauration],€50,,
MUNDIPHARMA,Médecin,NEHRING CHARLES,02/10/2013,REPAS,€13,,
MYLAN SAS,Pharmacien,CHAUVIN FLORENCE,21/02/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,HANG SOPHIE,17/04/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,HANRIAT ISABELLE,10/10/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,HANRIAT ISABELLE,17/04/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,MULDERMANS MARIE LAURE,28/01/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,PIGNON CECILE,21/02/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,PIGNON LAURENCE,28/01/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,PIGNON PHILIPPE,28/01/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,POLESE STEPHANIE,17/04/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,POLESE STEPHANIE,10/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DOMERGUE ESTELLE,28/01/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GOUSSAL CHRISTELLE,28/01/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUICHARD NATHALIE,10/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUICHARD NATHALIE,17/04/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LATANSKI AURELIE,28/01/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MERLINO LYSIANE,17/04/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MERLINO LYSIANE,10/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEULTIER NANCY,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PIGNON PIERRE FRANCOIS,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REMETTER VIRGINIE,10/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,WAGNER EMMA,21/02/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,AUGIER PATRICK,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,AUGIER PATRICK,03/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CASTELLI PASCALE,03/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,NEHRING CHARLES,06/11/2013,Repas,€12,,
NOVARTIS PHARMA SAS,Médecin,NEHRING CHARLES,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PHILIPPE DUBOIS MARTINE,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,VINAY LAURENT,07/04/2014,Repas,€25,,
NOVARTIS PHARMA SAS,Médecin,VINAY LAURENT,25/11/2013,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,VINAY LAURENT,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,NEHRING CHARLES,25/03/2014,REPAS,€60,,
ORTHO CLINICAL DIAGNOSTICS France,Pharmacien,HANRIAT ISABELLE,23/05/2013,REPAS,€30,,
PFIZER SAS,Médecin,CASTELLI PASCALE,20/11/2013,Repas,€39,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,BACQUIAS FABRICE,14/06/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,CASTELLI PASCALE,21/03/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,CASTELLI PASCALE,29/05/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,CASTELLI PASCALE,19/03/2014,RESTAURATION,€48,,
PIERRE FABRE MEDICAMENT,Médecin,LA SCOLA LE GALL CATHERINE,18/04/2014,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LA SCOLA LE GALL CATHERINE,26/06/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,LA SCOLA LE GALL CATHERINE,24/01/2014,RESTAURATION,€52,,
PIERRE FABRE MEDICAMENT,Médecin,NEHRING CHARLES,16/11/2012,Restauration,€54,,
PIERRE FABRE MEDICAMENT,Médecin,NEHRING CHARLES,01/12/2012,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Pharmacien,LEMENAGER FLORENCE,13/02/2014,RESTAURATION,€17,,
RESEARCH NOW SAS,Médecin,nehring charles,22/01/2013,enquête,€17,,
RESEARCH NOW SAS,Médecin,tomat sylvie,20/01/2013,enquête,€17,,
SANOFI AVENTIS FRANCE,Pharmacien,ZOLA GERALDINE,05/06/2014,Repas,€54,,
SEPTODONT SAS,Chirurgien-dentiste,HEITZLER Luc,11/03/2013,Cadeaux,€288,,
SEPTODONT SAS,Chirurgien-dentiste,HEITZLER LUC,16/02/2012,Cadeaux,€288,,
SIGVARIS,Pharmacien,HANRIAT ISABELLE,29/10/2013,REPAS,€15,,
SIGVARIS,Pharmacien,POLESE STEPHANIE,28/04/2014,REPAS,€15,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUICHARD NATHALIE,28/04/2014,REPAS,€15,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUICHARD NATHALIE,29/10/2013,REPAS,€15,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MERLINO LYSIANE,29/10/2013,REPAS,€15,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REMETTER VIRGINIE,29/10/2013,REPAS,€15,,
THERABEL LUCIEN PHARMA,Médecin,PHILIPPE DUBOIS MARTINE,27/06/2013,REPAS,€14,,
THERABEL LUCIEN PHARMA,Médecin,PHILIPPE DUBOIS MARTINE,27/06/2013,REPAS,€14,,
