ANTHOGYR,Médecin,VIAUD Alain,28/11/2013,Repas ou Hébèrgement,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE NOZACH BEGUERET ISABELLE,20/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE NOZACH BEGUERET ISABELLE,08/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE NOZACH BEGUERET ISABELLE,13/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE NOZACH BEGUERET ISABELLE,30/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE SCOUARNEC DANIEL,07/06/2013,Hospitalite,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALIE LUCIEN,13/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALIE LUCIEN,20/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALIE LUCIEN,30/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TRICAUD J LUC,13/12/2012,Hospitalité,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BOISARD ALFRED,04/06/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LANGARD FRANCOIS,04/06/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SALIE LUCIEN,04/06/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE MONNIER CHARLINE,24/06/2014,Repas,€30,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE MONNIER CHARLINE,04/10/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE MONNIER RICHARD,24/06/2014,Repas,€30,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE MONNIER RICHARD,04/10/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE BRONNEC JACQUELINE,24/06/2014,Repas,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BOISARD ALFRED,30/04/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DANIEL THIERRY,30/04/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LANGARD FRANCOIS,30/04/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,SALIE LUCIEN,30/04/2014,HOSPITALITE,€45,,
LABORATOIRES URGO,Pharmacien,LEMERCIER Valerie,23/01/2014,Repas,€22,,
LABORATOIRES URGO,Pharmacien,LE PADELLEC Aurelie,23/01/2014,Repas,€22,,
LEO Pharma,Médecin,TRICAUD J LUC,27/02/2014,REPAS,€20,,
Lilly France SAS,Médecin,LANGARD FRANCOIS,26/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,LE NOZACH BEGUERET ISABELLE,26/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,SALIE LUCIEN,26/03/2014,REPAS,€55,,
LUNDBECK SAS,Médecin,BOISARD ALFRED,15/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,DANIEL THIERRY,15/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,LE NOZACH BEGUERET ISABELLE,15/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,SALIE LUCIEN,15/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
MENARINI FRANCE,Médecin,DANIEL THIERRY,03/04/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,LANGARD FRANCOIS,03/04/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,LE NOZACH BEGUERET ISABELLE,03/04/2014,Autre : [Restauration],€60,,
MSD France,Médecin,BOISARD ALFRED,04/12/2013,REPAS,€56,,
MSD France,Médecin,BOISARD ALFRED,27/06/2012,REPAS,€71,,
MSD France,Médecin,DANIEL THIERRY,23/01/2014,REPAS,€60,,
MSD France,Médecin,DANIEL THIERRY,16/05/2014,REPAS,€174,,
MSD France,Médecin,DANIEL THIERRY,16/05/2014,TRANSPORT,€835,,
MSD France,Médecin,DANIEL THIERRY,16/05/2014,HÉBERGEMENT,€300,,
MSD France,Médecin,LANGARD FRANCOIS,27/06/2012,REPAS,€71,,
MSD France,Médecin,LANGARD FRANCOIS,05/04/2012,REPAS,€60,,
MSD France,Médecin,LANGARD FRANCOIS,04/12/2013,REPAS,€56,,
MSD France,Médecin,LE FLOC H PASCAL,24/04/2012,REPAS,€60,,
MSD France,Médecin,LE FLOC H PASCAL,28/06/2012,REPAS,€60,,
MSD France,Médecin,LE NOZACH BEGUERET ISABELLE,04/12/2013,REPAS,€56,,
MSD France,Médecin,LE SCOUARNEC DANIEL,12/06/2013,REPAS,€36,,
MSD France,Médecin,SALIE LUCIEN,04/12/2013,REPAS,€56,,
MSD France,Médecin,SALIE LUCIEN,27/06/2012,REPAS,€71,,
MSD France,Médecin,TRICAUD J LUC,10/03/2012,HOSPITALITE,€12,,
MSD France,Pharmacien,LE TELLIER VALERIE,04/12/2013,REPAS,€56,,
MYLAN SAS,Pharmacien,CAHU STEPHANIE,25/09/2013,REPAS,€30,,
MYLAN SAS,Pharmacien,LERMERCIER VALÉRIE,25/09/2013,REPAS,€30,,
OCP REPARTITION,Pharmacien,CAHU STEPHANIE,24/06/2014,REPAS,€17,,
OCP REPARTITION,Pharmacien,LEMERCIER VALERIE,24/06/2014,REPAS,€17,,
Otsuka Pharmaceutical France SAS,Pharmacien,PALIERNE ELISABETH,03/04/2014,TRANSPORT,€230,,
Otsuka Pharmaceutical France SAS,Pharmacien,PALIERNE ELISABETH,03/04/2014,REPAS,€60,,
Otsuka Pharmaceutical France SAS,Pharmacien,PALIERNE ELISABETH,03/04/2014,HEBERGEMENT,€125,,
PIERRE FABRE MEDICAMENT,Médecin,BOISARD ALFRED,16/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BOISARD ALFRED,28/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,BOISARD ALFRED,14/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,BOISARD ALFRED,19/02/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DANIEL THIERRY,28/03/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,DANIEL THIERRY,16/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DANIEL THIERRY,28/03/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,DANIEL THIERRY,16/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,EPAILLARD JEAN MICHEL,14/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,EPAILLARD JEAN MICHEL,28/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LANGARD FRANCOIS,28/03/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,LANGARD FRANCOIS,16/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LANGARD FRANCOIS,28/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LANGARD FRANCOIS,29/02/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,LANGARD FRANCOIS,14/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LANGARD FRANCOIS,19/02/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LE NOZACH BEGUERET ISABELLE,28/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LE NOZACH BEGUERET ISABELLE,16/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LE NOZACH BEGUERET ISABELLE,14/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LE NOZACH BEGUERET ISABELLE,29/02/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,LE NOZACH BEGUERET ISABELLE,19/02/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LE NOZACH BEGUERET ISABELLE,28/03/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,SALIE LUCIEN,16/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,SALIE LUCIEN,14/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,SALIE LUCIEN,19/02/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,SALIE LUCIEN,28/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,26/01/2012,HÃƒÂ©bergement,€118,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,13/12/2013,RESTAURATION,€53,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,16/11/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,24/04/2012,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,26/01/2012,Restauration,€138,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,26/01/2012,Frais de dÃƒÂ©placement,€80,,
PIERRE FABRE MEDICAMENT,Médecin,TRICAUD J LUC,16/04/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Pharmacien,LE MONNIER CHARLINE,17/04/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Pharmacien,LE MONNIER RICHARD,17/04/2013,Restauration,€55,,
SANOFI AVENTIS FRANCE,Médecin,FEIGEAN GAELLE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,GUILLEMOTO ROMANE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,JOUAN MORGANE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,ROPERCH CEDRIC,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,SINQUIN KARINE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,BOUVIER NICOLAS,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,BOUVIER NICOLAS,10/09/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Pharmacien,GUICHARD ALBANE,10/09/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Pharmacien,GUICHARD ALBANE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,JOUBREIL MARIE LINE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,JOUBREIL MARIE LINE,10/09/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Pharmacien,LE BRIS MARTINE,10/09/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Pharmacien,LE BRIS MARTINE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,LE CAROUR ANNIE,10/09/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Pharmacien,LE CAROUR ANNIE,03/12/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,LE QUELLEC JOEL,10/09/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Pharmacien,LE QUELLEC JOEL,03/12/2013,Restauration,€48,,
SEPTODONT SAS,Chirurgien-dentiste,PREDEVAL BRIGITTE,17/12/2012,Autre,"€1,000",,
Takeda France,Pharmacien,BOUVIER Nicolas,08/10/2013,REPAS,€62,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOUAN MORGANE,12/11/2013,REPAS,€15,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROPERCH CEDRIC,12/11/2013,REPAS,€15,,
