ABBOTT PRODUCTS SAS,Médecin,LAMOME Brigitte,28/11/2013,REPAS,€51,,
BRISTOL-MYERS SQUIBB,Médecin,GAUDEAU BERNARD,05/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,GAUDEAU BERNARD,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,GAUDEAU BERNARD,15/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LE GAL BASTIERE MAGALIE,15/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LE GAL BASTIERE MAGALIE,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,LE GAL BASTIERE MAGALIE,05/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,LE GAL BASTIERE MAGALIE,09/01/2014,Repas,€11,,
BRISTOL-MYERS SQUIBB,Médecin,LE HENAFF MILLET JACQUELINE,28/11/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,LE HENAFF MILLET JACQUELINE,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,LE HENAFF MILLET JACQUELINE,28/11/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,LE HENAFF MILLET JACQUELINE,15/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,NAMTCHUENG KOM NADINE,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,NAMTCHUENG KOM NADINE,28/11/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,NAMTCHUENG KOM NADINE,15/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,NAMTCHUENG KOM NADINE,05/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,POUPET JEAN YVES,05/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,POUPET JEAN YVES,15/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,VINCENT TASSIN EMILIE,05/06/2014,Repas,€55,,
CHIESI SA,Médecin,GIRAUDEAU BERNARD,07/01/2014,Repas,€30,,
CHIESI SA,Médecin,GIRAUDEAU BERNARD,11/12/2013,Repas,€40,,
CHIESI SA,Médecin,JUNQUA ARNAUD,21/02/2014,Repas,€14,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DUCLOS FRANCK,23/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GIRAUDEAU BERNARD,23/11/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,NODON EMELINE,27/01/2014,REPAS,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUDEAU BERNARD,19/10/2013,Hospitalité,€374,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUDEAU BERNARD,19/10/2013,Autre : [inscription],€478,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUDEAU BERNARD,19/10/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUDEAU BERNARD,19/10/2013,Transport,€480,,
DAIICHI SANKYO FRANCE SAS,Médecin,LE HENAFF MILLET JACQUELINE,14/09/2013,Repas,€28,,
GUERBET France,Manipulateur d’électroradiologie médicale,STANIX ANGELIQUE,31/08/2013,HEBERGEMENT,€174,,
ICOMED,Chirurgien-dentiste,LEYSSALES CLAIRE,06/05/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,DEBENEST VENIN PASCALE,03/04/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LAMOME BRIGITTE,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE HENAFF MILLET JACQUELINE,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LE HENAFF MILLET JACQUELINE,13/03/2014,Autre: [Enquête],€26,,
ICOMED,Pharmacien,SIMON MARIE CATHERINE,27/05/2014,Autre: [Enquête],€24,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,LEYSSALES CLAIRE,08/11/2012,Cadeaux,€144,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,LEYSSALES CLAIRE,23/07/2013,Autre,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AVERTY LYDIA,20/09/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIONNE CINDY,19/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUGEROUX VERONIQUE,20/09/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRAUDEAU BERNARD,18/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JUNQUA ARNAUD,22/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,11/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,17/01/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,23/05/2013,Hospitalite,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,17/09/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,17/09/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,23/05/2013,Hospitalite,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOME BRIGITTE,17/01/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE GAL BASTIERE MAGALIE,19/12/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE HENAFF MILLET JACQUELINE,19/12/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUZOT BOUCEBCI CAMILLE,26/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUZOT BOUCEBCI CAMILLE,24/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEAU CHARLES,26/01/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMONET NATHALIE,20/09/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMONET NATHALIE,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMONET NATHALIE,18/04/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMONET NATHALIE,19/06/2012,Hospitalité,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FAUGEROUX VERONIQUE,04/07/2013,Repas,€29,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,JUNQUA ARNAUD,05/11/2013,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,POUZOT BOUCEBCI CAMILLE,01/04/2014,Repas,€35,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,POUZOT BOUCEBCI CAMILLE,01/10/2013,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,POUZOT BOUCEBCI CAMILLE,03/09/2013,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SIMONET NATHALIE,04/07/2013,Repas,€29,,
Laboratoires Expanscience,Médecin,LAMOME BRIGITTE,25/09/2013,Repas,€50,,
Laboratoires Expanscience,Médecin,LAMOME BRIGITTE,25/09/2013,Repas,€50,,
Laboratoires Leurquin Mediolanum,Médecin,BRIONNE CINDY,05/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,SIMONET NATHALIE,05/12/2013,AUTRE,€30,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,ISTIN SOPHIE,21/10/2013,HOSPITALITE,€55,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAURENCE EMMANUELLE,21/10/2013,HOSPITALITE,€55,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,METAIS MARIE PAULE,21/10/2013,HOSPITALITE,€55,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REFIN SYLVIE,21/10/2013,HOSPITALITE,€55,,
LES LABORATOIRES SERVIER,Médecin,AVERTY LYDIA,03/10/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,AVERTY LYDIA,05/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,AVERTY LYDIA,26/03/2014,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,GIRAUDEAU BERNARD,14/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,NAMTCHUENG KOM NADINE,04/10/2013,Repas,€130,,
LES LABORATOIRES SERVIER,Médecin,NAMTCHUENG KOM NADINE,04/10/2013,Hébergement,€536,,
LES LABORATOIRES SERVIER,Médecin,NAMTCHUENG KOM NADINE,04/10/2013,Transport,€386,,
MEDEXACT,Médecin,LE HENAFF MILLET JACQUELINE,19/02/2013,Autre: [Enquête],€30,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,24/05/2014,Hébergement,€127,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,13/09/2013,AUTRE : RNT,€26,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,11/12/2013,AUTRE : RNT,€45,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,24/05/2014,Transport,€150,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,11/12/2013,AUTRE : RNT,€45,,
MENARINI FRANCE,Médecin,JUNQUA ARNAUD,13/09/2013,AUTRE : RNT,€26,,
MENARINI FRANCE,Médecin,LAMOME BRIGITTE,21/01/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,LamOme BRIGITTE,10/09/2013,REPAS,€58,,
Molnlycke Health Care,Infirmier,DEMOUSSEAU CATHERINE,11/03/2014,REPAS,€23,,
Molnlycke Health Care,Infirmier,DEMOUSSEAU CATHERINE,29/11/2013,INVITATIONS,€11,,
Molnlycke Health Care,Infirmier,MOIZEAU VIRGINIE,29/11/2013,INVITATIONS,€11,,
Molnlycke Health Care,Infirmier,PEZENNEC ERIC,15/01/2014,CADEAUX,€40,,
Molnlycke Health Care,Infirmier,PEZENNEC ERIC,29/11/2013,INVITATIONS,€12,,
Molnlycke Health Care,Infirmier,PEZENNEC ERIC,11/03/2014,REPAS,€23,,
Molnlycke Health Care,Infirmier,PRUD HOMME VALERIE,29/11/2013,INVITATIONS,€11,,
MSD France,Médecin,DUCLOS FRANCK,12/06/2014,REPAS,€60,,
MSD France,Médecin,JUNQUA ARNAUD,12/06/2014,REPAS,€60,,
MSD France,Médecin,JUNQUA ARNAUD,24/05/2012,HOSPITALITE,€39,,
MSD France,Médecin,LAMOME BRIGITTE,01/02/2012,REPAS,€55,,
MSD France,Médecin,LAMOME BRIGITTE,10/04/2014,REPAS,€55,,
MSD France,Médecin,LAMOME BRIGITTE,10/10/2012,REPAS,€55,,
MSD France,Médecin,LAMOME BRIGITTE,29/05/2012,HOSPITALITE,€50,,
MSD France,Médecin,LAMOME BRIGITTE,17/04/2012,REPAS,€55,,
MUNDIPHARMA,Médecin,JUNQUA ARNAUD,26/01/2013,AUTRE : FORMATION MEDICALE CONTINUE,€59,,
NOVARTIS PHARMA SAS,Médecin,BRIONNE CINDY,19/02/2014,Autre : [Participation Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,BRIONNE CINDY,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BRIONNE CINDY,15/05/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GIRAUDEAU BERNARD,15/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GIRAUDEAU BERNARD,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,LAMOME BRIGITTE,10/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SIMONET NATHALIE,15/05/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,SIMONET NATHALIE,19/02/2014,Autre : [Participation Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,VINCENT TASSIN EMILIE,07/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,VINCENT TASSIN EMILIE,19/03/2014,Autre : [Participation Evenement Scientifique],€30,,
NOVARTIS PHARMA SAS,Médecin,VINCENT TASSIN EMILIE,15/05/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,VINCENT TASSIN EMILIE,20/05/2014,Autre : [Participation Evenement Scientifique],€50,,
PFIZER SAS,Médecin,GIRAUDEAU BERNARD,18/04/2014,REPAS,€53,,
PFIZER SAS,Médecin,GIRAUDEAU BERNARD,18/09/2013,Repas,€60,,
PFIZER SAS,Médecin,LAMOME BRIGITTE,12/12/2013,Repas,€59,,
PIERRE FABRE MEDICAMENT,Médecin,JUNQUA ARNAUD,29/11/2013,RESTAURATION,€20,,
SANOFI AVENTIS FRANCE,Médecin,AVERTY LYDIA,14/01/2014,Repas,€14,,
SANOFI AVENTIS FRANCE,Médecin,COLBERT DAPHNE,13/05/2014,Repas,€42,,
SANOFI AVENTIS FRANCE,Médecin,FAUGEROUX VERONIQUE,13/05/2014,Repas,€42,,
SANOFI AVENTIS FRANCE,Médecin,LE HENAFF MILLET JACQUELINE,02/07/2013,Restauration,€15,,
SANOFI AVENTIS FRANCE,Médecin,SIMONET NATHALIE,14/01/2014,Repas,€14,,
SANOFI PASTEUR MSD SNC,Médecin,GIRAUDEAU BERNARD,08/10/2013,Repas,€47,,
SEPTODONT SAS,Chirurgien-dentiste,LEYSSALES CLAIRE,22/03/2012,Autre,€10,,
SORIN GROUP FRANCE,Médecin,LEGAL MAGALIE,14/12/2013,Repas,€68,,
SORIN GROUP FRANCE,Médecin,LEGAL MAGALIE,13/12/2013,Repas,€79,,
SORIN GROUP FRANCE,Médecin,LEGAL MAGALIE,12/12/2013,Repas,€78,,
SORIN GROUP FRANCE,Médecin,LEGAL MAGALIE,13/12/2013,Repas,€28,,
SORIN GROUP FRANCE,Médecin,Le Gal Magalie,13/12/2013,Hébergement,€443,,
SORIN GROUP FRANCE,Médecin,Le Gal Magalie,13/12/2013,Transport,€787,,
SORIN GROUP FRANCE,Médecin,Le Gal Magalie,13/12/2013,Dons de fonctionnement,€877,,
THERABEL LUCIEN PHARMA,Médecin,LAMOME BRIGITTE,15/04/2014,REPAS,€50,,
