ARROW GENERIQUES SAS,Pharmacien,POINOT PASCAL,16/12/2013,CADEAUX,€30,,
SANOFI AVENTIS FRANCE,Médecin,JACQUET BAH AISSATOU,22/05/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Médecin,JACQUET BAH AISSATOU,07/11/2013,Restauration,€34,,
SANOFI AVENTIS FRANCE,Médecin,JANDA DANIEL,07/11/2013,Restauration,€34,,
SANOFI AVENTIS FRANCE,Médecin,JANDA DANIEL,22/05/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN STEPHANE,07/11/2013,Restauration,€34,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN STEPHANE,22/05/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Médecin,PARISOT JOEL,07/11/2013,Restauration,€34,,
SANOFI AVENTIS FRANCE,Médecin,PARISOT JOEL,22/05/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Médecin,VITTORI ERIC,22/05/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Médecin,VITTORI ERIC,07/11/2013,Restauration,€34,,
SANOFI PASTEUR MSD SNC,Médecin,VITTORI ERIC,21/06/2013,Repas,€40,,
THERABEL LUCIEN PHARMA,Médecin,HORAT MARIE PAULE,24/06/2014,REPAS,€50,,
THERABEL LUCIEN PHARMA,Médecin,JACQUET BAH AISSATOU,24/06/2014,REPAS,€50,,
