ALLERGAN FRANCE,Médecin,NAVARRE CAROLINE,06/02/2014,REPAS,€32,,
MSD France,Médecin,PARASCHIV IULIAN,16/11/2013,HÉBERGEMENT,€161,,
MSD France,Médecin,PARASCHIV IULIAN,16/01/2014,REPAS,€50,,
MSD France,Médecin,PARASCHIV IULIAN,16/11/2013,REPAS,€135,,
MSD France,Médecin,PARASCHIV IULIAN,25/04/2013,HOSPITALITÉ,€53,,
MSD France,Médecin,PARASCHIV IULIAN,16/11/2013,TRANSPORT,€320,,
MSD France,Médecin,PARASCHIV IULIAN,03/12/2013,REPAS,€40,,
MSD France,Médecin,ROGER JEAN JACQUES,25/04/2013,HOSPITALITÉ,€53,,
MSD France,Médecin,ROGER JEAN JACQUES,27/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,ROGER JEAN JACQUES,16/01/2014,REPAS,€50,,
MSD France,Médecin,ROGER JEAN JACQUES,03/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,ROGER JEAN JACQUES,13/06/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,ROGER JEAN JACQUES,13/02/2014,REPAS,€60,,
MSD France,Médecin,ROGER JEAN JACQUES,31/05/2012,HOSPITALITE,€51,,
MUNDIPHARMA,Médecin,BEIZDADEA SIMONA,28/09/2013,HOSPITALITE,€275,,
MUNDIPHARMA,Médecin,PARASCHIV IULIAN,28/09/2013,HOSPITALITE,€275,,
NOVARTIS PHARMA SAS,Médecin,BEIZDADEA SIMONA,24/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BEIZDADEA SIMONA,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,BOUBARNE ALICE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,LAVIGNE MARIE CATHERINE,24/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LAVIGNE MARIE CATHERINE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,PARASCHIV IULIAN,24/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PARASCHIV IULIAN,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,ROGER JEAN JACQUES,24/04/2014,Autre : [Participation Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,CASEDEVANT BRUNO,20/12/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,CASEDEVANT BRUNO,11/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LAVIGNE MARIE CATHERINE,24/01/2013,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,LAVIGNE MARIE CATHERINE,28/06/2012,Restauration,€16,,
PIERRE FABRE MEDICAMENT,Médecin,ROGER JEAN JACQUES,20/12/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,ROGER JEAN JACQUES,12/09/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ROGER JEAN JACQUES,11/10/2012,Restauration,€50,,
RADIANTE,Pharmacien,GAVEAU Frédéric,20/09/2012,Repas,€22,,
SEPTODONT SAS,Association professionnel de santé,LE GUILHAT,14/06/2012,Cadeaux,€144,,
TEVA SANTE SAS,Médecin,ROGER JEAN JACQUES,11/07/2013,REPAS,€13,,
TEVA SANTE SAS,Médecin,ROGER JEAN JACQUES,10/09/2013,REPAS,€13,,
THERABEL LUCIEN PHARMA,Médecin,ROGER JEAN JACQUES,25/02/2014,REPAS,€16,,
WIDEX,Audioprothésiste,MERAND AURELIEN,15/04/2014,REPAS,€25,,
Zambon France,Médecin,BEIZDADEA SIMONA,02/04/2014,Repas,€60,,
Zambon France,Médecin,PARASCHIV IULIAN,27/03/2014,Repas,€60,,
Zambon France,Médecin,PARASCHIV IULIAN,02/04/2014,Repas,€60,,
Zambon France,Médecin,ROGER JEAN JACQUES,27/03/2014,Repas,€60,,
