3M France,Infirmier,BAZIRE MARIE LAURE,20/06/2014,REPAS,€26,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,21/03/2014,REPAS,€50,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,20/03/2014,REPAS,€60,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,20/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,19/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,21/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,19/03/2014,TRANSPORT,€98,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,23/03/2014,TRANSPORT,€31,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,19/03/2014,TRANSPORT,€98,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,19/03/2014,REPAS,€60,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,23/03/2014,TRANSPORT,€144,,
AbbVie,Médecin,MAILLARD DOMINIQUE,17/09/2013,Repas,€52,,
AbbVie,Médecin,MAILLARD DOMINIQUE,10/12/2013,Repas,€45,,
AbbVie,Médecin,MAILLARD DOMINIQUE,10/06/2014,REPAS,€43,,
AbbVie,Médecin,MAILLARD DOMINIQUE,08/04/2014,REPAS,€58,,
AbbVie,Médecin,RACLOT GILLES,17/09/2013,Repas,€52,,
AbbVie,Médecin,RACLOT GILLES,10/06/2014,REPAS,€43,,
AbbVie,Médecin,RACLOT GILLES,10/12/2013,Repas,€45,,
AbbVie,Médecin,VERDIER TRESCOL CLAIRE,28/11/2013,REPAS,€43,,
Alexion Pharma France,Etudiant,MONTHE SAGAN KELLY,29/06/2013,TRANSPORT,€618,,
Alexion Pharma France,Etudiant,MONTHE SAGAN KELLY,29/06/2013,HEBERGEMENT,€586,,
Alexion Pharma France,Etudiant,MONTHE SAGAN KELLY,29/06/2013,AUTRE,€150,,
ALFA WASSERMANN PHARMA,Médecin,MINGAM STEPHANE,18/03/2014,REPAS,€28,,
ALK-Abelló,Médecin,LECLERCQ VERONIQUE,17/10/2012,AUTRE : [RESTAURATION],€46,,
ALK-Abelló,Médecin,LECLERCQ VERONIQUE,23/01/2013,AUTRE : [RESTAURATION],€27,,
ALK-Abelló,Médecin,LECLERCQ VERONIQUE,14/05/2014,Autre : [Restauration],€49,,
ALK-Abelló,Médecin,LECLERCQ VERONIQUE,17/10/2013,AUTRE : [RESTAURATION],€55,,
ALLERGAN FRANCE,Médecin,GUICHEBARON JEAN YVES,21/11/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,GUICHEBARON JEAN-YVES,22/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,MOUHANNA GHASSAN,11/06/2014,REPAS,€33,,
ALLERGAN FRANCE,Médecin,PAVLOVITCH ELEONORE,25/06/2014,TRANSPORT,€61,,
ALLERGAN FRANCE,Médecin,PAVLOVITCH ELEONORE,25/06/2014,REPAS,€44,,
AMGEN SAS,Infirmier,DEMIER SOPHIE,16/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Infirmier,HAUCHECORNE CELINE,23/06/2014,REPAS IMPROMPTU,€24,,
AMGEN SAS,Infirmier,MEREL ALEXANDRA,16/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Infirmier,RAT EMILIE,16/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,MARTIN STEPHANE  JEAN,13/04/2013,REPAS,€53,,
AMGEN SAS,Médecin,MARTIN STEPHANE  JEAN,11/04/2013,HEBERGEMENT,€230,,
AMGEN SAS,Médecin,MARTIN STEPHANE  JEAN,12/04/2013,REPAS,€51,,
AMGEN SAS,Médecin,MARTIN STEPHANE  JEAN,12/04/2013,HEBERGEMENT,€230,,
AMGEN SAS,Médecin,MARTIN STEPHANE  JEAN,12/04/2013,TRANSPORT,€39,,
AMGEN SAS,Médecin,MARTIN STEPHANE  JEAN,12/04/2013,TRANSPORT,€101,,
AMGEN SAS,Médecin,MORAN ANGEL,16/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,23/06/2014,REPAS IMPROMPTU,€24,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,27/09/2013,REPAS REUNION,€53,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,27/09/2013,AUTRE [FRAIS D INSCRIPTION],€699,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,27/09/2013,TRANSPORT,€33,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,30/09/2013,HEBERGEMENT,€286,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,27/09/2013,AUTRE [FRAIS D INSCRIPTION],€699,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,28/09/2013,HEBERGEMENT,€286,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,28/09/2013,REPAS REUNION,€60,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,27/09/2013,REPAS REUNION,€53,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,16/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,27/09/2013,TRANSPORT,€511,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,29/09/2013,REPAS REUNION,€53,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN MARC,23/06/2014,REPAS IMPROMPTU,€24,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN  MARC,08/02/2013,TRANSPORT,€107,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN  MARC,08/02/2013,HEBERGEMENT,€129,,
AMGEN SAS,Médecin,PAVLOVITCH JEAN  MARC,08/02/2013,REPAS,€35,,
Amplifon Groupe France,Association professionnel de santé,"""VERTIGES AU HAVRE 2014""",29/03/2014,AUTRE : [SUBVENTION],€800,,
Amplifon Groupe France,Médecin,CHARRIERE ELIZABETH,21/06/2014,REPAS,€60,,
ARCHIMEDES PHARMA France,Infirmier,CORREOC MARION,28/11/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Infirmier,FLOURY SANDRINE,28/11/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Infirmier,LHERONDELLE KELLY,28/11/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Médecin,BEN RALISOA BEN,28/11/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Médecin,MORAN RIBON ANGEL,28/11/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Médecin,PAVLOVITCH JEAN MARC,28/11/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Médecin,RAT EMILIE,28/11/2013,Repas,€17,,
ARROW GENERIQUES SAS,Pharmacien,FIRMIN AGNES,28/05/2014,CADEAUX,€29,,
ARROW GENERIQUES SAS,Pharmacien,FIRMIN AGNES,14/04/2014,CADEAUX,€30,,
ARROW GENERIQUES SAS,Pharmacien,STEFFEN LOIC,28/05/2014,CADEAUX,€29,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,AVENEL CAROLE,28/05/2014,CADEAUX,€29,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KESS SANDRA,28/05/2014,CADEAUX,€29,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEGRAND CAROLE,28/05/2014,CADEAUX,€29,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEVILLAIN VERONIQUE,28/05/2014,CADEAUX,€29,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VERRIER AGNES,28/05/2014,CADEAUX,€29,,
Arthrex SAS,Infirmier,ADE CECILE,05/12/2013,HEBERGEMENT,€440,,
Arthrex SAS,Infirmier,ADE CECILE,05/12/2013,TRANSPORT,€99,,
Arthrex SAS,Infirmier,BENAHMED DAHO SAFIA,05/12/2013,TRANSPORT,€139,,
Arthrex SAS,Infirmier,INGWILLER DELPHINE,05/12/2013,TRANSPORT,€149,,
Arthrex SAS,Infirmier,LEGRAND ISABELLE,05/12/2013,TRANSPORT,€381,,
Arthrex SAS,Médecin,COURAGE OLIVIER,14/05/2014,HEBERGEMENT,€690,,
Arthrex SAS,Médecin,COURAGE OLIVIER,14/05/2014,TRANSPORT,€229,,
Arthrex SAS,Médecin,COURAGE OLIVIER,20/03/2014,TRANSPORT,€111,,
Arthrex SAS,Médecin,COURAGE OLIVIER,01/05/2014,TRANSPORT,"€4,196",,
Arthrex SAS,Médecin,COURAGE OLIVIER,05/12/2013,HOTEL,€789,,
Arthrex SAS,Médecin,COURAGE OLIVIER,20/03/2014,HEBERGEMENT,€170,,
Arthrex SAS,Médecin,COURAGE OLIVIER,20/03/2014,TRANSPORT,€111,,
Arthrex SAS,Médecin,GUINET VIRGINIE,14/05/2014,HEBERGEMENT,€510,,
Arthrex SAS,Médecin,GUINET VIRGINIE,05/12/2013,TRANSPORT,€480,,
Arthrex SAS,Médecin,GUINET VIRGINIE,14/05/2014,TRANSPORT,€193,,
Arthrex SAS,Médecin,PIERRARD GUILLAUME,05/12/2013,HOTEL,€433,,
ASTELLAS PHARMA,Médecin,ALLOUC HERVE,02/06/2014,REPAS,€34,,
ASTELLAS PHARMA,Médecin,LEDAMOISEL LIONEL,25/01/2013,REPAS,€44,,
ASTRAZENECA,Etudiant,THIBAUT MATHIEU,05/06/2014,Repas,€29,,
ASTRAZENECA,Infirmier,LEFEBVRE SEBASTIEN,28/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,BLANCHARD BENOIT,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOITET PHILIPPE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOITET PHILIPPE,17/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRUNHES GABRIEL,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASAUX DOMINIQUE,27/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,CASAUX DOMINIQUE,16/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,CASAUX DOMINIQUE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASAUX VORONIUC IULIA,23/08/2013,Repas,€43,,
ASTRAZENECA,Médecin,CHALUMEAU MAXIME,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHOBY MICHAEL,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CRESPIN OLIVIER,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DESJARDINS GOSSELIN LAURENCE,13/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,DUFOUR Christine,18/10/2013,Transport,€746,,
ASTRAZENECA,Médecin,DUFOUR Christine,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR Christine,18/10/2013,Hébergement,€186,,
ASTRAZENECA,Médecin,DUFOUR Christine,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,DURELLE GUILLAUME,13/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,EL GOHARY WALID,07/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,FAUDEMER OLIVIER,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,FAUDEMER OLIVIER,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAUDEMER OLIVIER,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAUDEMER OLIVIER,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAUDEMER OLIVIER,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,FIRMIN PHILIPPE,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAUDIN ERIC,29/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,GAUDIN ERIC,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GAUDIN ERIC,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GAVEAU GLANTIN Marie Noelle,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,GAVEAU GLANTIN Marie Noelle,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,GAVEAU GLANTIN Marie Noelle,18/10/2013,Transport,€746,,
ASTRAZENECA,Médecin,GAVEAU GLANTIN Marie Noelle,18/10/2013,Hébergement,€186,,
ASTRAZENECA,Médecin,GENTIL CHRISTOPHE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENTIL CHRISTOPHE,15/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENTIL CHRISTOPHE,03/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENTIL CHRISTOPHE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GODET ALAIN,24/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,GODET ALAIN,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,HAUGUEL ALEXANDRE,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JARDIN PINAUD PASCALE,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KADRI MUSTAPHA,18/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,KADRI MUSTAPHA,11/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,KADRI MUSTAPHA,26/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,KADRI MUSTAPHA,12/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,KADRI MUSTAPHA,20/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,KADRI MUSTAPHA,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAPORTE FRANCOIS XAVIER,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LARDANS SANOGO FRANCOISE,25/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,LEDAMOISEL LIONEL,16/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,LEDAMOISEL LIONEL,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEDAMOISEL LIONEL,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEFEBVRE BENJAMIN,08/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE GALLO CATHERINE,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE GALLO CATHERINE,15/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE GALLO CATHERINE,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE GALLO CATHERINE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE GALLO CATHERINE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE GALLO CATHERINE,03/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEMERCIER MATHIEU,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE METEIL FRANCOIS,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEQUOY BERTRAND,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LESAULT PIERRE FRANCOIS,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LIMARE JEAN MARC,13/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,LOUEDIN CATHERINE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOUEDIN CATHERINE,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOUEDIN CATHERINE,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARRE DIDIER,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARRE DIDIER,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MERRIEN JEAN FRANCOIS,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MINGAM STEPHANE,24/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,PANTIN JEAN JACQUES,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PANTIN JEAN JACQUES,29/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,PANTIN JEAN JACQUES,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,RENAUT CHARLOTTE,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,RENOU FREDERIC,06/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BLANCHARD BENOIT,18/12/2013,Hospitalité,€58,,
Bayer HealthCare SAS,Médecin,BLANCHARD BENOIT,12/07/2013,Hospitalité,€44,,
Bayer HealthCare SAS,Médecin,BLANCHARD BENOIT,24/01/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BLANCHARD BENOIT,18/06/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,CAPELLA ALLOUC SYLVIE,21/11/2013,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,CAPELLA ALLOUC SYLVIE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,CHAMAYOU JACQUES,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,COUDRAY DELIN MARTINE,27/03/2014,Hospitalité,€45,,
Bayer HealthCare SAS,Médecin,CRESPIN OLIVIER,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,DAMAGE ALEXANDRE,04/04/2014,Hospitalité,"€1,139",,
Bayer HealthCare SAS,Médecin,DAMAGE ALEXANDRE,18/06/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,DAMAGE ALEXANDRE,05/04/2014,Hospitalité,€11,,
Bayer HealthCare SAS,Médecin,ELGOHARY WALID,18/06/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,FIRMIN PHILIPPE,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,GODET ALAIN,06/09/2013,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,GODET ALAIN,10/04/2014,Hospitalité,€17,,
Bayer HealthCare SAS,Médecin,GODET ALAIN,21/02/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,GUICHEBARON JEAN YVES,27/03/2014,Hospitalité,€45,,
Bayer HealthCare SAS,Médecin,GUICHEBARON JEAN YVES,22/05/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,GUICHEBARON JEAN YVES,19/12/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,JEAN EMMANUEL,03/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LAPORTE FRANCOIS XAVIER,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,LARDANS SANOGO FRANCOISE,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,LAYET VALERIE,21/11/2013,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,LE GALLO CATHERINE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,LE GALLO CATHERINE,17/01/2014,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,LE GALLO CATHERINE,11/02/2014,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,LEQUOY BERTRAND,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,LESAULT PIERRE FRANCOIS,18/06/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,LEUNG YAN CHEONG FABRICE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,LOUEDIN CATHERINE,19/07/2013,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,LOUEDIN CATHERINE,17/01/2014,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,MARRE DIDIER,24/10/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,MINGAM STEPHANE,26/02/2014,Hospitalité,€23,,
Bayer HealthCare SAS,Médecin,MINGAM STEPHANE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,MINGAM STEPHANE,21/02/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,MOLINAZZI PIERRE,24/07/2013,Hospitalité,€420,,
Bayer HealthCare SAS,Médecin,RACLOT GILLES,14/02/2014,HOSPITALITE,€510,,
Bayer HealthCare SAS,Médecin,REBOLI ERIC,18/06/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,RENOU FREDERIC,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,TESTAERT ERIC,18/06/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Sage-femme,BARBIER STEPHANIE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Sage-femme,COURAUD ARMELLE,21/02/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Sage-femme,COURAUD ARMELLE,12/05/2014,Hospitalité,€36,,
Bayer HealthCare SAS,Sage-femme,COURAUD ARMELLE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Sage-femme,JUSTIN AMANDINE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Sage-femme,POULAIN STEPHANIE,21/02/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Sage-femme,POULAIN STEPHANIE,12/05/2014,Hospitalité,€36,,
Bayer HealthCare SAS,Sage-femme,POULAIN STEPHANIE,25/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Sage-femme,POUYER BEN MALFI LALIA,05/02/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Sage-femme,POUYER BEN MALFI LALIA,12/05/2014,Hospitalité,€36,,
Bayer HealthCare SAS,Sage-femme,POUYER BEN MALFI LALIA,21/11/2013,Hospitalité,€22,,
B.BRAUN MEDICAL SAS,Médecin,EUSTRATIADES CYRILLE,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,LEGRAND JEAN FRANCOIS,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,LEGRAND JEAN FRANCOIS,18/09/2013,AUTRE : [INSCRIPTION],€400,,
B.BRAUN MEDICAL SAS,Médecin,PLAT RICHARD,18/09/2013,AUTRE : [INSCRIPTION],€400,,
B.BRAUN MEDICAL SAS,Médecin,PREVOST ERIC,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,RIQUIER RICHARD,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,ROSE DANIEL,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,STELL PHILIPPE,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,THEVENIN GILLES,21/01/2014,REPAS,€17,,
B.BRAUN MEDICAL SAS,Médecin,TIT ARGHADA,21/01/2014,REPAS,€17,,
Beiersdorf s.a.s,Médecin,FIRMIN DELPHINE,05/07/2013,CADEAUX,€33,,
BIOCODEX,Médecin,CASAUX DOMINIQUE,24/01/2014,REPAS,€29,,
BIOCODEX,Médecin,GODET ALAIN,24/10/2013,REPAS,€35,,
BIOCODEX,Médecin,LEDAMOISEL LIONEL,24/01/2014,REPAS,€29,,
BIOGARAN,Pharmacien,LEROUGE Olivier,10/01/2014,AUTRE : FORMATION CURSUS ESSEC,€547,,
BIOGARAN,Pharmacien,RODICQ Christian,10/01/2014,AUTRE : FORMATION CURSUS ESSEC,€547,,
BIOGEN IDEC FRANCE,Médecin,GUICHEBARON JEAN YVES,14/02/2014,REPAS,€59,,
BIOGEN IDEC FRANCE,Médecin,LEPREUX ALAIN,06/04/2013,REPAS,€50,,
BIOGEN IDEC FRANCE,Médecin,MOLINAZZI PIERRE,06/04/2013,REPAS,€50,,
BIOMET,Médecin,COURAGE OLIVIER,31/07/2013,REPAS,€23,,
BIOMET,Médecin,COURAGE OLIVIER,31/07/2013,TRANSPORT,€128,,
BIOMET,Médecin,COURAGE OLIVIER,04/07/2013,REPAS,€53,,
BIOMET,Médecin,COURAGE OLIVIER,18/09/2013,HEBERGEMENT,€90,,
BIOMET,Médecin,COURAGE OLIVIER,30/06/2013,TRANSPORT,€814,,
BIOMET,Médecin,COURAGE OLIVIER,30/06/2013,TRANSPORT,€12,,
BIOMET,Médecin,COURAGE OLIVIER,30/06/2013,TRANSPORT,€12,,
BIOMET,Médecin,COURAGE OLIVIER,30/06/2013,TRANSPORT,€814,,
BIOTRONIK FRANCE SAS,Infirmier,ROYER VALERIE,29/01/2014,REPAS,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BAXS GUILLAUME,25/03/2014,HOSPITALITE,€34,,
