ABBOTT PRODUCTS SAS,Médecin,PERUZZI Dominique,12/12/2013,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALLAIRE SAUQUET SANDRINE,19/06/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEMALY PIERRE EMILE,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERUZZI DOMINIQUE,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERUZZI DOMINIQUE,28/03/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERUZZI DOMINIQUE,17/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERUZZI DOMINIQUE,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RICHARD ANTOINE,28/03/2013,Hospitalite,€45,,
Laboratoires Expanscience,Médecin,PERUZZI DOMINIQUE,26/09/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,PERUZZI DOMINIQUE,26/09/2013,Repas,€47,,
LES LABORATOIRES SERVIER,Médecin,CHEMALY PIERRE,21/11/2013,Repas,€60,,
Lilly France SAS,Médecin,CHEMALY PIERRE EMILE,17/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,CHEMALY PIERRE EMILE,27/09/2013,REPAS,€55,,
Lilly France SAS,Médecin,PERUZZI DOMINIQUE,17/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,VESCHEMBES VINCENT,17/10/2013,REPAS,€60,,
LUNDBECK SAS,Médecin,CHEMALY PIERRE EMILE,03/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€51,,
MUNDIPHARMA,Médecin,PERUZZI DOMINIQUE,20/03/2014,HOSPITALITE REUNION PROFESSIONNELLE,€68,,
NOVARTIS PHARMA SAS,Médecin,ASTANIERE BOUDY FRANCOISE,27/02/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ASTANIERE BOUDY FRANCOISE,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ASTANIERE BOUDY FRANCOISE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CHEMALY PIERRE EMILE,27/02/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PERUZZI DOMINIQUE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PERUZZI DOMINIQUE,27/02/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,ABBASSI KAWTAR,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,CIPIERRE THIERRY,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PHADIA SAS,Médecin,ANDRE MARIE-FRANCE,03/04/2014,REPAS,€13,,
PHADIA SAS,Médecin,FLORET SEBASTIEN,03/04/2014,REPAS,€13,,
PHADIA SAS,Pharmacien,MORATE-VALMARY CHRISTINE,03/04/2014,REPAS,€13,,
PHADIA SAS,Pharmacien,REY EMMANUELLE,03/04/2014,REPAS,€13,,
PHADIA SAS,Technicien de laboratoire médical,BRUNETEAU MELANIE,03/04/2014,REPAS,€13,,
PHADIA SAS,Technicien de laboratoire médical,CAMIADE GENEVIEVE,03/04/2014,REPAS,€13,,
PHADIA SAS,Technicien de laboratoire médical,FURELAUD DIDIER,03/04/2014,REPAS,€13,,
PHADIA SAS,Technicien de laboratoire médical,HAUW PASCAL,03/04/2014,REPAS,€13,,
PHADIA SAS,Technicien de laboratoire médical,HERVIER DELPHINE,03/04/2014,REPAS,€13,,
PHADIA SAS,Technicien de laboratoire médical,LENGLET DAPHNEE,03/04/2014,REPAS,€13,,
PIERRE FABRE MEDICAMENT,Médecin,ALLAIRE SAUQUET SANDRINE,04/06/2013,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,ASTANIERE BOUDY FRANCOISE,04/06/2013,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,ASTANIERE BOUDY FRANCOISE,01/03/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,ASTANIERE BOUDY FRANCOISE,04/05/2012,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Médecin,LACOUR FLORENCE,04/06/2013,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,PERUZZI DOMINIQUE,23/10/2012,Restauration,€29,,
PIERRE FABRE MEDICAMENT,Médecin,PERUZZI DOMINIQUE,04/06/2013,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,PERUZZI DOMINIQUE,05/04/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Pharmacien,VERGNOLLE JEAN LUC,27/06/2014,RESTAURATION,€31,,
RADIANTE,Pharmacien,DAUDRIX Caroline,29/06/2012,Repas,€17,,
RADIANTE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LINARES Isabelle,29/06/2012,Repas,€17,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,DUVERNEUIL PATRICK,30/01/2014,REPAS,€42,,
SANOFI AVENTIS FRANCE,Médecin,ASTANIERE BOUDY FRANCOISE,24/10/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,CHEMALY PIERRE EMILE,10/07/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,CHEMALY PIERRE EMILE,17/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,PERUZZI DOMINIQUE,24/10/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,SANSON PATRICK,17/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,SOUM JEAN JACQUES,24/10/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,SOUM JEAN JACQUES,17/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,VESCHEMBES VINCENT,17/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,VERGNOLLE JEAN LUC,17/06/2014,Repas,€54,,
SANOFI PASTEUR MSD SNC,Médecin,PERUZZI DOMINIQUE,10/10/2013,Repas,€50,,
TEVA SANTE SAS,Pharmacien,LAFARGE ISABELLE,11/03/2014,REPAS,€16,,
