3M France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVISMES CHARLOTTE,19/11/2013,REPAS,€13,,
ALLERGAN FRANCE,Médecin,SABATIER HENRY,07/02/2014,REPAS,€40,,
ALLERGAN FRANCE,Médecin,SABATIER HENRY,07/02/2014,TRANSPORT,€126,,
ALLERGAN FRANCE,Médecin,SABATIER HENRY,07/02/2014,REPAS,€20,,
ALLERGAN FRANCE,Médecin,SABATIER HENRY,07/02/2014,HEBERGEMENT,€181,,
ALLERGAN FRANCE,Médecin,SAMAK VALERIE,26/08/2013,REPAS,€29,,
ALLERGAN FRANCE,Médecin,TROJMAN JEAN,17/07/2013,REPAS,€25,,
ALLERGAN FRANCE,Médecin,VIGOT PATRICE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,VILLIARD NICOLE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,27/09/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/04/2014,HOSPITALITE,€234,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,12/11/2013,REPAS,€29,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,21/09/2013,REPAS,€33,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,26/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,16/09/2013,REPAS,€48,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/07/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,05/07/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/04/2014,TRANSPORT,€358,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,18/12/2013,REPAS,€11,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,18/12/2013,REPAS,€37,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,27/06/2014,TRANSPORT,"€5,619",,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,26/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,18/12/2013,REPAS,€11,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/04/2014,HOSPITALITE,€234,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,29/10/2013,REPAS,€32,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/04/2014,TRANSPORT,€358,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/04/2014,HEBERGEMENT,€190,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,09/04/2014,TRANSPORT,€175,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,05/07/2013,TRANSPORT,€196,,
ALLERGAN FRANCE,Médecin,VOLPEI CHARLES,12/11/2013,REPAS,€29,,
ALLERGAN FRANCE,Médecin,ZAGAD ALAIN,26/08/2013,REPAS,€29,,
ALLERGAN FRANCE,Médecin,ZBILI MICHEL,26/11/2013,REPAS,€14,,
ALLERGAN FRANCE,Médecin,ZBILI MICHEL,19/01/2014,TRANSPORT,€186,,
ALLERGAN FRANCE,Médecin,ZBILI MICHEL,10/12/2013,REPAS,€28,,
ALLERGAN FRANCE,Médecin,ZBILI MICHEL,28/11/2013,REPAS,€49,,
ALLERGAN FRANCE,Médecin,ZBILI MICHEL,01/10/2013,REPAS,€28,,
ALLERGAN FRANCE,Médecin,ZBILI MICHEL,26/11/2013,REPAS,€14,,
ALLERGAN FRANCE,Médecin,ZOURDANI ALAIN,06/09/2013,REPAS,€57,,
ALLERGAN FRANCE,Médecin,ZOURDANI ALAIN,28/11/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,ZOURDANI ALAIN,16/11/2013,HOSPITALITE,€66,,
ALLERGAN FRANCE,Médecin,ZOURDANI ALAIN,06/09/2013,REPAS,€57,,
ALLERGAN FRANCE,Médecin,ZUR CHRISTINE,21/09/2013,AUTRE,€590,,
AMGEN SAS,Etudiant,ALESSANDRI YOANN,28/02/2014,REPAS REUNION,€25,,
AMGEN SAS,Etudiant,BUSTAMENTE LINDSAY,20/02/2014,REPAS REUNION,€60,,
AMGEN SAS,Etudiant,CABANE LAURA,20/02/2014,REPAS REUNION,€60,,
AMGEN SAS,Etudiant,CHEMINAL GUILLAUME,28/02/2014,REPAS REUNION,€25,,
AMGEN SAS,Etudiant,CLAREN AUDREY,17/03/2014,TRANSPORT,€209,,
AMGEN SAS,Etudiant,CLAREN AUDREY,17/03/2014,TRANSPORT,€209,,
AMGEN SAS,Etudiant,DARMON NICOLAS,28/02/2014,REPAS REUNION,€25,,
AMGEN SAS,Etudiant,FALK ALEXANDER,17/03/2014,TRANSPORT,€219,,
AMGEN SAS,Etudiant,FALK ALEXANDER,19/05/2014,TRANSPORT,€301,,
AMGEN SAS,Etudiant,FALK ALEXANDER,17/03/2014,TRANSPORT,€219,,
AMGEN SAS,Etudiant,LE GUENNEC ADELINE,20/02/2014,REPAS REUNION,€60,,
AMGEN SAS,Etudiant,MANIRY QUELLIER JEMIMA,13/01/2014,AUTRE [FRAIS D INSCRIPTION],"€2,000",,
AMGEN SAS,Etudiant,MELUC PUECH JORIS,28/02/2014,REPAS REUNION,€25,,
AMGEN SAS,Etudiant,NATALE ROMAIN,17/03/2014,TRANSPORT,€219,,
AMGEN SAS,Etudiant,NATALE ROMAIN,17/03/2014,TRANSPORT,€219,,
AMGEN SAS,Etudiant,NATELLA LAUREN,13/02/2014,REPAS REUNION,€60,,
AMGEN SAS,Etudiant,REFAE SADAL,13/12/2013,TRANSPORT,€332,,
AMGEN SAS,Etudiant,REFAE SADAL,16/10/2013,TRANSPORT,€153,,
AMGEN SAS,Etudiant,REFAE SADAL,16/10/2013,HEBERGEMENT,€155,,
AMGEN SAS,Etudiant,REFAE SADAL,29/01/2014,TRANSPORT,€204,,
AMGEN SAS,Etudiant,REFAE SADAL,13/12/2013,HEBERGEMENT,€135,,
AMGEN SAS,Etudiant,REFAE SADAL,13/11/2013,HEBERGEMENT,€170,,
AMGEN SAS,Etudiant,REFAE SADAL,13/12/2013,TRANSPORT,€332,,
AMGEN SAS,Etudiant,REFAE SADAL,12/02/2014,TRANSPORT,€199,,
AMGEN SAS,Etudiant,REFAE SADAL,09/04/2014,TRANSPORT,€236,,
AMGEN SAS,Etudiant,REFAE SADAL,17/10/2013,HEBERGEMENT,€155,,
AMGEN SAS,Etudiant,REFAE SADAL,14/11/2013,HEBERGEMENT,€170,,
AMGEN SAS,Etudiant,REFAE SADAL,08/01/2014,TRANSPORT,€182,,
AMGEN SAS,Etudiant,TAMBY PRIYA,28/02/2014,REPAS REUNION,€25,,
AMGEN SAS,Infirmier,MOSSAY CATHERINE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Infirmier,MOSSAY CATHERINE,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Infirmier,MOURAND EDITH,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Infirmier,MOURAND EDITH,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Infirmier,MOURAND EDITH,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Infirmier,SALQUEBRE DANIELLE,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Infirmier,SALQUEBRE DANIELLE,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Infirmier,SANTINI GWENAELLE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Infirmier,SANTINI GWENAELLE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,BEDOS HERVE,16/01/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,BERNARD JEAN CHRISTOPHE,16/01/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,CANDELA PIERRE,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,CANDELA PIERRE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,CAZAUX PHILIPPE,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,CAZAUX PHILIPPE,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,CAZAUX PHILIPPE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,CHAMI STEMMANN HASNA,18/03/2014,REPAS REUNION,€52,,
AMGEN SAS,Médecin,COQUOZ BENOIT,16/01/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,DAKNOU RAPHAEL,05/12/2013,REPAS IMPROMPTU,€10,,
AMGEN SAS,Médecin,ELKAIM DAN,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,ELKAIM DAN,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,FAUCHON FRANCOIS,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,FAUCHON FRANCOIS,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,FAUCHON FRANCOIS,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,FAUCHON FRANCOIS,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,FAUQUIER ETIENNE,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,FELLA CHRISTIAN,03/01/2014,REPAS IMPROMPTU,€36,,
AMGEN SAS,Médecin,FIS ISABELLE,09/10/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,FRANCON CHRISTOPHE,21/02/2014,REPAS IMPROMPTU,€30,,
AMGEN SAS,Médecin,LE GOFF DIDIER,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,LE GOFF DIDIER,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,LEGRAND DANIEL,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,LESBATS GERARD,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,LESBATS GERARD,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,LESBATS GERARD,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,LIOLIOS IOANNIS,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,LIZAN GERARD,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,MOUIEL JEAN,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,OLIVERO MARC,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,PENCHINAT ANTOINE,16/01/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,PERALDI DOMINIQUE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,PETRUCCI CLAUDE,16/01/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,PINTO NATHALIE,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,ROTHIER MARTINE,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,ROUX PHILIPPE,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,ROUX PHILIPPE,09/12/2013,REPAS IMPROMPTU,€16,,
AMGEN SAS,Médecin,SKAF RICHARD,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,SKAF RICHARD,03/01/2014,REPAS IMPROMPTU,€36,,
AMGEN SAS,Médecin,SKAF RICHARD,06/12/2013,REPAS IMPROMPTU,€40,,
AMGEN SAS,Médecin,SKAF RICHARD,03/01/2014,REPAS IMPROMPTU,€36,,
AMGEN SAS,Médecin,VAILHE ROBERT,16/01/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,VAN DER SCHUEREN EVE,03/04/2014,REPAS IMPROMPTU,€27,,
AMGEN SAS,Médecin,WALCHER MARIE CHRISTINE,23/01/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAMBIE MARINA,18/11/2013,REPAS IMPROMPTU,€23,,
AMGEN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAMBIE MARINA,09/12/2013,REPAS IMPROMPTU,€16,,
Amplifon Groupe France,Médecin,CAMUZARD Jean francois,16/11/2013,Repas,€60,,
Amplifon Groupe France,Médecin,GIACCHERO PAUL,13/06/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,937",,
Amplifon Groupe France,Médecin,GRECH CLAIRE,28/01/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],€569,,
Amplifon Groupe France,Médecin,TARDIVET LAURENT,26/06/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],€886,,
Amplifon Groupe France,Médecin,TARDIVET LAURENT,26/03/2014,REPAS,€24,,
ANTHOGYR,Médecin,BENSAHEL Jean-Jacques,01/07/2012,Repas ou Hébèrgement,€206,,
ANTHOGYR,Médecin,CORMOULS Thomas,31/01/2013,Repas ou Hébèrgement,€10,,
ANTHOGYR,Médecin,CORMOULS Thomas,29/02/2012,Repas ou Hébèrgement,€27,,
ANTHOGYR,Médecin,CORMOULS Thomas,01/10/2012,Repas ou Hébèrgement,€57,,
ANTHOGYR,Médecin,CORMOULS-HOULES Olivier,28/06/2013,Repas ou Hébèrgement,€268,,
ANTHOGYR,Médecin,CORMOULS-HOULES Thomas,28/06/2013,Repas ou Hébèrgement,€268,,
APTALIS PHARMA SAS,Manipulateur d’électroradiologie médicale,BENZAKEN PIERRE,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,ALEXOVITZ PHILIPPE,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,AMAR DAVID,06/02/2014,FRAIS D'HOSPITALIT,€55,,
APTALIS PHARMA SAS,Médecin,BENSA ALAIN,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,CANDELA PIERRE,28/11/2013,FRAIS D'HOSPITALITÉ,€21,,
APTALIS PHARMA SAS,Médecin,CHAROSAY DEMICHELIS CECILE,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,CORALLINI TEISSIER MARIE MADELEINE,03/04/2014,FRAIS D'HOSPITALIT,€11,,
APTALIS PHARMA SAS,Médecin,CORALLINI TEISSIER MARIE MADELEINE,03/04/2014,FRAIS D'HOSPITALIT,€44,,
APTALIS PHARMA SAS,Médecin,GENZONE CHRISTINE,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,GENZONE CHRISTINE,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,GOTTINIAUX ALAIN,20/03/2014,FRAIS D'HOSPITALIT,€46,,
APTALIS PHARMA SAS,Médecin,GOTTINIAUX ALAIN,20/03/2014,FRAIS D'HOSPITALIT,€14,,
APTALIS PHARMA SAS,Médecin,HALFON EDOUARD,06/02/2014,FRAIS D'HOSPITALIT,€55,,
APTALIS PHARMA SAS,Médecin,JOLIVET THIERRY,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,MOUIEL JEAN,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,NAKACHE PATRICK,06/02/2014,FRAIS D'HOSPITALIT,€55,,
APTALIS PHARMA SAS,Médecin,POLITOUR BERNARD,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,POLITOUR BERNARD,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,ROBITAILLE MARIE CHRISTINE,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,SALIMPOUR ALAIN,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,SAMAK LUCIEN,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,SAMAK VALERIE,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,SAMAK VALERIE,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,SULTAN PATRICK,20/03/2014,FRAIS D'HOSPITALIT,€46,,
APTALIS PHARMA SAS,Médecin,SULTAN PATRICK,20/03/2014,FRAIS D'HOSPITALIT,€14,,
APTALIS PHARMA SAS,Médecin,TORDJMAN JEAN BERNARD,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,WORTMAN JEAN JOSEPH,15/05/2014,FRAIS D'HOSPITALIT,€52,,
APTALIS PHARMA SAS,Médecin,ZERBIB PHILIPPE,06/02/2014,FRAIS D'HOSPITALIT,€55,,
APTALIS PHARMA SAS,Médecin,ZERMATI LAURENT,06/02/2014,FRAIS D'HOSPITALIT,€55,,
ARCHIMEDES PHARMA France,Médecin,FAUCHON FRANCOIS,21/05/2014,Transport,€560,,
ARCHIMEDES PHARMA France,Médecin,FAUCHON FRANCOIS,21/05/2014,Hébergement,€282,,
ARCHIMEDES PHARMA France,Médecin,FAUCHON FRANCOIS,21/05/2014,Autre : Inscription,€400,,
ARCHIMEDES PHARMA France,Médecin,FAUCHON FRANCOIS,03/03/2014,Repas,€21,,
ARCHIMEDES PHARMA France,Médecin,FAUCHON FRANCOIS,21/05/2014,Repas,€32,,
ARROW GENERIQUES SAS,Pharmacien,DUPONCHEL GUILLAUME,13/12/2013,CADEAUX,€23,,
ARROW GENERIQUES SAS,Pharmacien,GLAESNER JEROME,13/12/2013,CADEAUX,€23,,
