ABBOTT PRODUCTS SAS,Médecin,MAUBOUSSIN Philippe,03/12/2013,REPAS,€22,,
MSD France,Médecin,NOPPE PASCAL,20/11/2012,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,28/11/2013,REPAS,€55,,
MSD France,Médecin,NOPPE PASCAL,05/06/2014,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,20/03/2014,REPAS,€58,,
MSD France,Médecin,NOPPE PASCAL,19/11/2013,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,02/07/2013,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,09/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,STRAUSS BERNARD,17/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,STRAUSS BERNARD,05/06/2014,REPAS,€60,,
MSD France,Médecin,STRAUSS BERNARD,22/11/2012,REPAS,€52,,
MUNDIPHARMA,Médecin,MAMODALY LOUTFALY,17/04/2014,REPAS,€50,,
MUNDIPHARMA,Médecin,NOPPE PASCAL,17/04/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,GUILLAN JACQUES,02/06/2014,Autre : [Participation Evenement Scientifique],€17,,
NOVARTIS PHARMA SAS,Médecin,NOPPE PASCAL,18/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,NOPPE PASCAL,11/02/2014,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,STRAUSS BERNARD,11/02/2014,Repas,€36,,
Ophta-France SA,Médecin,BOULET JEAN-FRANCOIS,10/12/2013,Repas,€62,,
PFIZER SAS,Médecin,BOITEUX JEAN PAUL,10/04/2014,REPAS,€47,,
PFIZER SAS,Médecin,BOITEUX JEAN PAUL,19/09/2013,Repas,€10,,
PFIZER SAS,Médecin,BOITEUX JEAN PAUL,19/09/2013,Repas,€60,,
PFIZER SAS,Médecin,BUSUIOC MARIANA,19/09/2013,Repas,€10,,
PFIZER SAS,Médecin,BUSUIOC MARIANA,19/09/2013,Repas,€60,,
PFIZER SAS,Médecin,GELIS ROBERT,10/04/2014,REPAS,€47,,
PFIZER SAS,Médecin,MAMODALY LOUTFALY,10/04/2014,REPAS,€47,,
PHARMATHERA,Pharmacien,PHARMACIE RODRIGUES -,26/06/2014,Hospitalité,€58,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,ARGENTIN RAYMOND,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BOITEUX JEAN PAUL,12/06/2014,RESTAURATION,€38,,
PIERRE FABRE MEDICAMENT,Médecin,MAMODALY LOUTFALY,12/06/2014,RESTAURATION,€38,,
PIERRE FABRE MEDICAMENT,Médecin,NOPPE PASCAL,03/04/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,NOPPE PASCAL,19/06/2014,RESTAURATION,€30,,
PIERRE FABRE MEDICAMENT,Pharmacien,ALLIER MARWAN,14/02/2013,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Pharmacien,ARGENTIN RAYMOND,16/05/2013,Restauration,€49,,
SANOFI AVENTIS FRANCE,Médecin,BOITEUX JEAN PAUL,29/03/2014,Repas,€51,,
SANOFI AVENTIS FRANCE,Médecin,BUSUIOC MARIANA,29/03/2014,Repas,€52,,
SANOFI AVENTIS FRANCE,Médecin,BUSUIOC MARIANA,29/03/2014,Repas,€51,,
SANOFI AVENTIS FRANCE,Médecin,MAMODALY LOUTFALY,29/03/2014,Repas,€52,,
SANOFI AVENTIS FRANCE,Médecin,MAMODALY LOUTFALY,29/03/2014,Repas,€51,,
SANOFI AVENTIS FRANCE,Médecin,NOPPE PASCAL,29/03/2014,Repas,€51,,
SANOFI AVENTIS FRANCE,Médecin,NOPPE PASCAL,29/03/2014,Repas,€52,,
SANOFI PASTEUR MSD SNC,Médecin,MARGUIER MAMMERI MESSAOUDA,10/10/2013,Repas,€21,,
SHIRE France S.A.,Médecin,BOITEUX JEAN PAUL,12/12/2013,Repas,€35,,
SHIRE France S.A.,Médecin,BOITEUX JEAN PAUL,12/12/2013,Repas,€35,,
SHIRE France S.A.,Médecin,GENDRE PHILIPPE,12/12/2013,Repas,€35,,
SHIRE France S.A.,Médecin,MAMMODALY LOUTFALY,12/12/2013,Repas,€35,,
SHIRE France S.A.,Médecin,MAMMODALY LOUTFALY,12/12/2013,Repas,€27,,
TEVA SANTE SAS,Médecin,NOPPE PASCAL,12/07/2013,REPAS,€17,,
TEVA SANTE SAS,Médecin,STRAUSS BERNARD,12/07/2013,REPAS,€17,,
THERABEL LUCIEN PHARMA,Médecin,GIRARD ANNE,13/03/2014,REPAS,€27,,
THERABEL LUCIEN PHARMA,Médecin,MAMODALY LOUTFALY,13/03/2014,REPAS,€27,,
THERABEL LUCIEN PHARMA,Médecin,NOPPE PASCAL,13/03/2014,REPAS,€27,,
Zambon France,Médecin,LE CARPENTIER HUGUES,30/06/2014,Repas,€22,,
