alliance healthcare repartition,Pharmacien,CASSAGNOL Bruno,24/01/2014,Repas,€40,,
ICOMED,Médecin,HELLEISEN FRANCOIS,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,HELLEISEN FRANCOIS,08/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,PUEL JEAN LUC,20/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PUEL JEAN LUC,23/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SALOMON LAETITIA,11/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,SALOMON LAETITIA,06/01/2014,Autre: [Enquête],€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUX MARIE CHRISTINE,18/06/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUX MARIE CHRISTINE,26/06/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCISCO JEAN JOSE,21/05/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCISCO JEAN JOSE,19/04/2013,Hospitalite,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCISCO JEAN JOSE,11/10/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCISCO JEAN JOSE,07/06/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCISCO JEAN JOSE,24/04/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALOMON LAETITIA,25/01/2012,Hospitalité,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CORNUS PRATX MARIE HELENE,05/12/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FRANCISCO JEAN JOSE,03/07/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PUEL JEAN LUC,05/12/2013,Repas,€45,,
LABORATOIRES COLOPLAST,Infirmier,AGNEL BRIGITTE,23/01/2014,Repas,€23,,
LABORATOIRES COLOPLAST,Infirmier,BERLAND MARIE JOSEE,15/04/2014,Repas,€37,,
LABORATOIRES COLOPLAST,Infirmier,BERLAND MARIE JOSEE,23/01/2014,Repas,€23,,
LABORATOIRES COLOPLAST,Infirmier,TALALKOKH FATIMA,23/01/2014,Repas,€23,,
LABORATOIRES COLOPLAST,Infirmier,TALALKOKH FATIMA,15/04/2014,Repas,€37,,
LABORATOIRES URGO,Infirmier,RAMEL Christian,26/05/2014,Repas,€30,,
LABORATOIRES URGO,Infirmier,SYRE Chrystel,26/05/2014,Repas,€30,,
LES LABORATOIRES SERVIER,Médecin,FRANCISCO JEAN,08/10/2013,Repas,€57,,
LES LABORATOIRES SERVIER,Médecin,SALOMON LAETITIA,19/03/2014,Hébergement,€92,,
LES LABORATOIRES SERVIER,Médecin,SALOMON LAETITIA,19/03/2014,Transport,€308,,
LES LABORATOIRES SERVIER,Médecin,SALOMON LAETITIA,11/10/2013,Repas,€70,,
LES LABORATOIRES SERVIER,Médecin,SALOMON LAETITIA,11/10/2013,Transport,€355,,
LUNDBECK SAS,Médecin,SALOMON LAETITIA,07/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,SALOMON LAETITIA,06/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€18,,
MSD France,Médecin,FRANCISCO JEAN JOSE,09/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,FRANCISCO JEAN JOSE,27/02/2014,REPAS,€55,,
MSD France,Médecin,FRANCISCO JEAN JOSE,17/09/2013,REPAS,€60,,
MSD France,Médecin,FRANCISCO JEAN JOSE,02/05/2012,REPAS,€60,,
MSD France,Médecin,FRANCISCO JEAN JOSE,07/11/2013,REPAS,€60,,
MSD France,Médecin,FRANCISCO JEAN JOSE,05/06/2014,REPAS,€55,,
MSD France,Médecin,FRANCISCO JEAN JOSE,27/02/2014,REPAS,€55,,
MSD France,Médecin,FRANCISCO JEAN JOSE,17/09/2013,REPAS,€60,,
MSD France,Médecin,FRANCISCO JEAN JOSE,15/10/2013,REPAS,€61,,
MSD France,Médecin,FRANCISCO JEAN JOSE,07/11/2013,REPAS,€60,,
MSD France,Pharmacien,OUSTRIC CHRISTINE,12/06/2012,HOSPITALITE,€57,,
NOVARTIS PHARMA SAS,Médecin,FRANCISCO JACQUES,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FRANCISCO JACQUES,22/05/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,FRANCISCO JEAN JOSE,20/02/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FRANCISCO JEAN JOSE,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FRANCISCO JEAN JOSE,12/07/2013,Repas,€40,,
NOVO NORDISK,Médecin,FRANCISCO JEAN JOSE,15/05/2014,REPAS,€48,,
NOVO NORDISK,Médecin,FRANCISCO JEAN JOSE,03/04/2014,REPAS,€60,,
NOVO NORDISK,Médecin,FRANCISCO JEAN JOSE,20/12/2013,REPAS,€47,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,PIQUEMAL HELENE,05/12/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,19/10/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,22/12/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,02/06/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,14/04/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,02/03/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,08/02/2013,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,09/02/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,22/12/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,18/04/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,03/01/2014,RESTAURATION,€28,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,19/10/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,29/06/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,02/06/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,14/04/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCISCO JEAN JOSE,02/03/2012,Restauration,€40,,
SANOFI-AVENTIS RECHERCHE & DEVELOPPEMENT,Médecin,PUEL JEAN LUC,04/07/2013,"Hébergement, restauration, transport",€225,,
TEVA SANTE SAS,Médecin,FRANCISCO JEAN JOSE,20/09/2013,REPAS,€47,,
