3M France,Chirurgien-dentiste,PONS MARC,09/10/2013,REPAS,€35,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,07/03/2014,REPAS,€35,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,07/03/2014,TRANSPORT,€161,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,13/09/2013,TRANSPORT,€150,,
ANTHOGYR,Médecin,CLEDES Raphael,28/11/2013,Repas ou Hébèrgement,€46,,
ARCOS,Médecin,ABADIE PIERRE,13/05/2014,REPAS,€14,,
ARCOS,Médecin,BOUSQUET VINCENT,14/11/2013,TRANSPORT,€453,,
ARCOS,Médecin,BOUSQUET VINCENT,13/11/2013,REPAS,€76,,
ARCOS,Médecin,CORDIER GUILLAUME,13/05/2014,REPAS,€14,,
ARCOS,Médecin,DELAVIGNE CHRISTOPHE,16/07/2013,REPAS,€17,,
ARCOS,Médecin,DE LAVIGNE CHRISTOPHE,13/05/2014,REPAS,€14,,
ARCOS,Médecin,DE LAVIGNE CHRISTOPHE,11/04/2014,REPAS,€14,,
ARCOS,Médecin,PREVOT NICOLAS,19/11/2013,HEBERGEMENT,€175,,
ARCOS,Médecin,PREVOT NICOLAS,19/11/2013,TRANSPORT,€593,,
ARCOS,Médecin,PREVOT NICOLAS,13/05/2014,REPAS,€14,,
Arthrex SAS,Médecin,CARLIER YACINE,02/04/2014,TRANSPORT,€618,,
Arthrex SAS,Médecin,CARLIER YACINE,02/04/2014,HEBERGEMENT,€153,,
Arthrex SAS,Médecin,CARLIER YACINE,02/04/2014,REPAS,€47,,
Arthrex SAS,Médecin,GUILLO STEPHANE,27/06/2014,TRANSPORT,€488,,
ASPEN FRANCE,Médecin,COSTE Emmanuelle,13/03/2014,Repas,€29,,
ASPEN FRANCE,Médecin,LEGAILLARD Elisabeth,06/03/2014,Repas,€47,,
ASPIDE MEDICAL,Infirmier,BROUARD VERONIQUE,19/11/2013,AUTRE: [FRAIS D'INSCRIPTION A LA MANIFESTATION],€145,,
ASPIDE MEDICAL,Infirmier,BROUARD VERONIQUE,19/11/2013,FRAIS DE TRANSPORT,€178,,
ASPIDE MEDICAL,Infirmier,BROUARD VERONIQUE,19/11/2013,FRAIS D'HEBERGEMENT,€347,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,21/03/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,20/03/2012,TRANSPORT,€25,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,21/03/2012,HEBERGEMENT,€259,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,20/03/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,20/03/2012,HEBERGEMENT,€259,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,20/03/2012,INVITATIONS,€490,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,07/02/2013,REPAS,€39,,
ASTELLAS PHARMA,Médecin,AUDY MAGALI,22/03/2012,HEBERGEMENT,€259,,
ASTELLAS PHARMA,Médecin,DRILLAUD DENIS,09/04/2013,REPAS,€75,,
ASTELLAS PHARMA,Médecin,FABERES GILLES,26/03/2013,REPAS,€26,,
ASTELLAS PHARMA,Médecin,FERRARIS DAVID,09/04/2013,REPAS,€75,,
ASTELLAS PHARMA,Médecin,GELLEE BRIGITTE,26/03/2013,REPAS,€26,,
ASTELLAS PHARMA,Médecin,GELLEE GILLES,26/03/2013,REPAS,€26,,
ASTELLAS PHARMA,Médecin,LAVEAU JACQUES,09/04/2013,REPAS,€75,,
ASTELLAS PHARMA,Médecin,LAVEAU SANDRINE,09/04/2013,REPAS,€75,,
ASTELLAS PHARMA,Médecin,MAESTRATI BONNEFOY CATHERINE,25/04/2013,REPAS,€46,,
ASTELLAS PHARMA,Médecin,TREBESSES JEAN MICHEL,09/04/2013,REPAS,€75,,
ASTELLAS PHARMA,Médecin,VIGOUROUX STEPHANE,25/10/2012,TRANSPORT,€25,,
ASTRAZENECA,Médecin,ANDRIEU BERNARD,17/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,BERTHELOT CALMELS VALERIE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERTHELOT CALMELS VALERIE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERTHELOT CALMELS VALERIE,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERTHELOT CALMELS VALERIE,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BONNET JEROME,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BONNET JEROME,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOURGES DUHAMEL MONIQUE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRENUCHOT SOPHIE,03/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,BRENUCHOT SOPHIE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRENUCHOT SOPHIE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BRENUCHOT SOPHIE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CAIX COMBECAVE CAROLINE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CAZOU ALAIN,24/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,CAZOU ALAIN,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,COMBY VIALLARD MARIE,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,COMBY VIALLARD MARIE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,COMBY VIALLARD MARIE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DAMON DIDIER,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELAGE PIERRE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,11/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,10/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,11/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,DRILLAUD DENIS,03/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUBOURG HERVE,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,DUBOURG HERVE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUBOURG HERVE,15/11/2013,Transport,€418,,
ASTRAZENECA,Médecin,DUBOURG HERVE,15/11/2013,Repas,€10,,
ASTRAZENECA,Médecin,DUBOURG HERVE,15/11/2013,Hébergement,€189,,
ASTRAZENECA,Médecin,DUBOURG HERVE,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,DUBOURG HERVE,16/11/2013,Autre,€98,,
ASTRAZENECA,Médecin,ELLA NGUEMA ANNE LAURE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,ELLA NGUEMA ANNE LAURE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,ESCARMANT CELINE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,ESCARMANT CELINE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FABERES GILLES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FERRARIS DAVID,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FERRARIS DAVID,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,FERRARIS DAVID,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FIGUE JEAN BAPTISTE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOLLAIN DANIEL,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GELLEE BRIGITTE,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GELLEE BRIGITTE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GELLEE BRIGITTE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GELLEE GILLES,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GELLEE GILLES,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GELLEE GILLES,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENCEL LAURENT,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENCEL LAURENT,27/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,GENCEL LAURENT,04/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,GENCEL LAURENT,01/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GENCEL LAURENT,26/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,GRAUZAM FRANCOIS,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRAUZAM FRANCOIS,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRAUZAM FRANCOIS,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRECIET SASSOUST MONIQUE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GRECIET SASSOUST MONIQUE,06/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,GRECIET SASSOUST MONIQUE,19/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,HAMMOUD JAMAL,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,HAMMOUD JAMAL,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HAMMOUD JAMAL,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,HOUEILLE JEAN JACQUES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,HOUEILLE JEAN JACQUES,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HOUEILLE JEAN JACQUES,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HOUEILLE JEAN JACQUES,24/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,HOUEILLE JEAN JACQUES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,IZARD STEPHANE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,IZARD STEPHANE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,IZARD STEPHANE,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,IZARD STEPHANE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,JAUSSAUD JEREMIE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LACHIVER ERIC,18/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,LACHIVER ERIC,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAN CHOW WING DAVID,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LANTA J LOUIS,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LANTA J LOUIS,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,LAVEAU JACQUES,10/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAVEAU JACQUES,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAVEAU JACQUES,10/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAVEAU SANDRINE,10/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAVEAU SANDRINE,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAVEAU SANDRINE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE BIHAN JEAN GUILLAUME,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE BIHAN JEAN GUILLAUME,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECOCQ LAURENT,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECOCQ LAURENT,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LECOCQ LAURENT,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LECOCQ LAURENT,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LECOCQ LAURENT,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LENAIN GILLES,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE VIGOUROUX VIVIANE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE VIGOUROUX VIVIANE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARRAUD DES GROTTES BENOIT,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MAURICE JACQUES,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MAURICE JACQUES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MENICOT OLIVIER,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MUNCK DIDIER,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PUJOL NOZERES STEPHANIE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PUJOL NOZERES STEPHANIE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SAMIER ANTOINE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TREBESSES JEAN MICHEL,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,TREBESSES JEAN MICHEL,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TREBESSES JEAN MICHEL,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TREBESSES JEAN MICHEL,10/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,BENARD HELENE,03/04/2014,Repas,€57,,
AUDIOMEDI SAS,Audioprothésiste,WASIELEWSKI LAURENT,20/06/2014,REPAS,€12,,
AUDITION SANTE,Médecin,HOULIAT THIERRY,01/12/2013,CADEAUX,€18,,
BARD FRANCE SAS,Médecin,REBOUL GILLES,28/05/2014,REPAS,€75,,
BARD FRANCE SAS,Médecin,REBOUL GILLES,28/05/2014,HEBERGEMENT,€159,,
BARD FRANCE SAS,Médecin,REBOUL GILLES,28/05/2014,INSCRIPTION,€499,,
BARD FRANCE SAS,Médecin,REBOUL GILLES,28/05/2014,TRANSPORT,€333,,
Bayer HealthCare SAS,Médecin,BONNET AGNES,26/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,BONNET JEROME,09/09/2013,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,BONNET JEROME,02/06/2014,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,BOURGES DUHAMEL MONIQUE,27/06/2014,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,Delage PIERRE,16/01/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,DESCAMPS CHRISTINE,27/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,DRAVIGNEY SAVARY JOELLE,26/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,DRAVIGNEY SAVARY JOELLE,28/05/2014,Hospitalité,€48,,
Bayer HealthCare SAS,Médecin,DRAVIGNEY SAVARY JOELLE,29/05/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,DRAVIGNEY SAVARY JOELLE,30/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,DRAVIGNEY SAVARY JOELLE,28/05/2014,Hospitalité,"€1,840",,
Bayer HealthCare SAS,Médecin,DRILLAUD DENIS,13/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,GENCEL LAURENT,18/03/2014,Hospitalité,€18,,
Bayer HealthCare SAS,Médecin,GENCEL LAURENT,03/12/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,GIGANDET TAMARELLE CATHERINE,30/01/2014,Hospitalité,€23,,
Bayer HealthCare SAS,Médecin,GIGANDET TAMARELLE CATHERINE,09/09/2013,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,GIGANDET TAMARELLE CATHERINE,27/06/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,GIGANDET TAMARELLE CATHERINE,02/06/2014,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,HAMMOUD JAMAL,01/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LAN CHOW WING DAVID,13/03/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,LAN CHOW WING DAVID,01/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LE BIHAN JEAN GUILLAUME,27/06/2014,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,LEGAILLARD ELISABETH,27/06/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LEGRAND PAPADOPOULOS CORINNE,27/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,MAESTRATI BONNEFOY CATHERINE,26/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,NGUON MONIKA,26/04/2014,Hospitalité,€272,,
Bayer HealthCare SAS,Médecin,NGUON MONIKA,26/04/2014,Hospitalité,€272,,
Bayer HealthCare SAS,Médecin,VEZON NICOLE,27/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Pharmacien,DORTIGNAC AUDREY,06/05/2014,Hospitalité,€37,,
Bayer HealthCare SAS,Pharmacien,HAUMONT GERMAINE,06/05/2014,Hospitalité,€37,,
Bayer HealthCare SAS,Pharmacien,PAQUIER MALAVERGNE CATHERINE,06/05/2014,Hospitalité,€37,,
Bayer HealthCare SAS,Pharmacien,VALAT-SIMON ISABELLE,06/05/2014,Hospitalité,€37,,
BAYER SANTE FAMILIALE,Médecin,DRILLAUD DENIS,28/11/2013,REPAS,€25,,
BIOCODEX,Médecin,CAZOU ALAIN,15/05/2014,REPAS,€37,,
BIOCODEX,Médecin,DRILLAUD DENIS,17/12/2013,REPAS,€66,,
BIOCODEX,Médecin,DRILLAUD MURIEL,17/12/2013,REPAS,€66,,
BIOCODEX,Médecin,ELLA NGUEMA ANNE LAURE,13/03/2014,REPAS,€49,,
BIOCODEX,Médecin,ESCARMANT CÉLINE,13/03/2014,REPAS,€49,,
BIOCODEX,Médecin,HOUEILLE JEAN JACQUES,15/05/2014,REPAS,€37,,
BIOCODEX,Médecin,IZARD STEPHANE,13/03/2014,REPAS,€49,,
