AMO FRANCE SAS,Opticien-lunetier,TERRIER ANNIE,05/06/2014,REPAS DE TRAVAIL,€50,,
PFIZER SAS,Médecin,VERDOUCQ ISABELLE,17/06/2014,REPAS,€40,,
PFIZER SAS,Médecin,WEILLAERT PASCAL,17/06/2014,REPAS,€40,,
PFIZER SAS,Médecin,WEILLAERT PASCAL,01/10/2013,Repas,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BOMMEL CHRISTIAN,13/01/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BOMMEL CHRISTIAN,04/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BOMMEL CHRISTIAN,28/09/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,FLIPO STANISLAS,04/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,FLIPO STANISLAS,28/09/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,FLIPO STANISLAS,22/06/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,FLIPO STANISLAS,13/01/2012,Restauration,€60,,
PRECIPHAR,Pharmacien,VANDAELE SYLVIE,21/01/2014,Repas,€11,,
RESEARCH NOW SAS,Médecin,CARDINAEL Pascal,20/01/2013,enquête,€23,,
SANOFI AVENTIS FRANCE,Médecin,MARCOTTE MICHEL,26/11/2013,Restauration,€52,,
SANOFI AVENTIS FRANCE,Médecin,MARCOTTE MICHEL,11/06/2014,Repas,€49,,
SANOFI AVENTIS FRANCE,Médecin,VERDOUCQ ISABELLE,19/12/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,VERDOUCQ ISABELLE,04/07/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,VERDOUCQ ISABELLE,26/11/2013,Restauration,€52,,
SANOFI AVENTIS FRANCE,Pharmacien,VANDAELE SYLVIE,05/06/2014,Repas,€28,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEPRIESTER CECILE,05/06/2014,Repas,€28,,
SANOFI PASTEUR MSD SNC,Médecin,DUBOIS BERNARD,17/10/2013,Repas,€35,,
TEVA SANTE SAS,Médecin,BOMMEL CHRISTIAN,18/10/2013,REPAS,€58,,
TEVA SANTE SAS,Médecin,MARCOTTE MICHEL,10/10/2013,REPAS,€34,,
TEVA SANTE SAS,Médecin,VANSTEENBERGHE OLIVIA,01/10/2013,REPAS,€45,,
