Amplifon Groupe France,Médecin,SCHWEIGHOFFER PHILIPPE,27/03/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON FROMONT MARION,05/06/2013,Hospitalite,€571,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON FROMONT MARION,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON FROMONT MARION,05/06/2013,Transport,€205,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON FROMONT MARION,28/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON-FROMONT Marion,12/09/2013,HEBERGEMENT,€196,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON-FROMONT Marion,12/09/2013,TRANSPORT,€179,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGNET GILLES,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDREAU PIERRE,28/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDREAU PIERRE,21/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDREAU PIERRE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,DELORME JACQUELINE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,LABBE HUGUES,14/06/2012,Hospitalité,€60,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE BUFFON,18/02/2014,CADEAUX,€12,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE VOLTAIRE,15/01/2014,CADEAUX,€12,,
Laboratoire Innothera,Pharmacien,DELORME JACQUELINE,15/01/2014,REPAS,€20,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAMPRENAULT SABINE,15/01/2014,REPAS,€20,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GILLES ALEXIS,15/01/2014,REPAS,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MONGOUACHON JEAN CLAUDE,19/02/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MONGOUACHON JEAN CLAUDE,10/01/2014,Repas,€36,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MONGOUACHON FROMONT MARION,10/01/2014,Repas,€36,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,ALIZE AMAROUCH MARIE CHRISTINE,05/12/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LABBE HUGUES,05/12/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LABBE HUGUES,10/10/2013,Repas,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,TROUILLEUX CECILE,05/12/2013,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,JOLAK MOHAMED,17/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MONGOUACHON JEAN CLAUDE,01/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MONGOUACHON JEAN CLAUDE,17/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MONGOUACHON-FROMONT MARION,17/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PRIEUR DENIS,11/10/2013,Transport,€78,,
LES LABORATOIRES SERVIER,Médecin,PRIEUR DENIS,27/11/2013,Transport,€140,,
LES LABORATOIRES SERVIER,Médecin,PRIEUR DENIS,27/11/2013,Autre : Inscription,€480,,
LES LABORATOIRES SERVIER,Médecin,PRIEUR DENIS,27/11/2013,Hébergement,€363,,
LES LABORATOIRES SERVIER,Médecin,PRIEUR DENIS,11/10/2013,Repas,€70,,
MEDEXACT,Médecin,GRAS FLORENCE,13/03/2013,Autre: [Enquête],€19,,
MEDTRONIC France S.A.S,Médecin,DELESCAUT MARIE FRANCOISE,11/10/2013,HEBERGEMENT,€200,,
MEDTRONIC France S.A.S,Médecin,DELESCAUT MARIE FRANCOISE,11/10/2013,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,DELESCAUT MARIE FRANCOISE,11/10/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,MONGOUACHON JEAN CLAUDE,18/03/2014,Autre : [Restauration],€50,,
MSD France,Médecin,MONGOUACHON JEAN CLAUDE,10/04/2014,REPAS,€60,,
MSD France,Médecin,MONGOUACHON JEAN CLAUDE,14/06/2013,HOSPITALITE,"€1,908",,
MSD France,Médecin,MONGOUACHON JEAN CLAUDE,11/07/2013,REPAS,€40,,
MSD France,Médecin,MONGOUACHON JEAN CLAUDE,08/10/2013,REPAS,€60,,
MUNDIPHARMA,Médecin,SFEIR IMAD,09/04/2013,AUTRE : HOSPITALITE STAFF,€19,,
MYLAN SAS,Pharmacien,AMAROUCH MARIE CHRISTINE,27/11/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,AMAROUCH MARIE CHRISTINE,23/06/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,Caen MURIELE,25/07/2013,REPAS,€45,,
MYLAN SAS,Pharmacien,DELORME JACQUELINE,25/10/2013,REPAS,€30,,
MYLAN SAS,Pharmacien,TROUILLE CECILE,23/06/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,TROUILLEUX CECILE,27/11/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BONARDOT ELISABETH,25/07/2013,REPAS,€45,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHANDEL PRECILLIA,23/06/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHANDELIER PRISCILLIA,27/11/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVAYRE STEPHANIE,23/06/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVAYRES STEPHANIE,27/11/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GILLES ALEXIS,25/10/2013,REPAS,€30,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUICHARD ODILE,25/07/2013,REPAS,€45,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SIESTRUNK ELODIE,25/10/2013,REPAS,€30,,
NOVARTIS PHARMA SAS,Médecin,SFEIR IMAD,07/10/2013,Repas,€35,,
NOVO NORDISK,Infirmier,BOCCARD ANNIE,10/09/2013,REPAS,€55,,
NOVO NORDISK,Infirmier,LIRON MIREILLE,27/05/2014,REPAS,€55,,
NOVO NORDISK,Infirmier,LIRON MIREILLE,10/09/2013,REPAS,€55,,
NOVO NORDISK,Médecin,MONGOUACHON JEAN CLAUDE,04/07/2013,REPAS,€32,,
NOVO NORDISK,Médecin,MONGOUACHON FROMONT MARION,10/09/2013,REPAS,€55,,
NOVO NORDISK,Médecin,MONGOUACHON FROMONT MARION,04/07/2013,REPAS,€32,,
NOVO NORDISK,Médecin,VERDREAU PIERRE,10/09/2013,REPAS,€55,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,LABBE HUGUES,16/05/2014,RESTAURATION,€18,,
PIERRE FABRE MEDICAMENT,Médecin,MONGOUACHON JEAN CLAUDE,12/04/2013,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,MONGOUACHON JEAN CLAUDE,21/03/2012,Frais de dÃƒÂ©placement,€359,,
PIERRE FABRE MEDICAMENT,Médecin,MONGOUACHON FROMONT MARION,22/03/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MONGOUACHON FROMONT MARION,21/03/2012,Frais de dÃƒÂ©placement,€371,,
PIERRE FABRE MEDICAMENT,Médecin,MONGOUACHON FROMONT MARION,12/04/2013,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Pharmacien,LABBE HUGUES,21/03/2014,RESTAURATION,€30,,
PIERRE FABRE MEDICAMENT,Pharmacien,LABBE HUGUES,04/12/2012,Restauration,€29,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUYARD THOMAS,21/03/2014,RESTAURATION,€30,,
RESEARCH NOW SAS,Médecin,DERAIN MARIE ALICE,31/10/2013,enquête,€19,,
RESMED SAS,Médecin,DELESCAUT MARIE,24/10/2013,Repas,€32,,
SANOFI AVENTIS FRANCE,Infirmier,BOCCARD ANNIE,16/06/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,MONGOUACHON FROMONT MARION,16/06/2014,Repas,€19,,
