ABBOTT PRODUCTS SAS,Médecin,ARNOULD Jean luc,06/09/2013,REPAS,€30,,
MSD France,Médecin,CASTELOT VINCENT,23/01/2014,REPAS,€17,,
MSD France,Médecin,CASTELOT VINCENT,11/04/2013,REPAS,€17,,
MSD France,Médecin,FONLUPT VIRGINIE,23/01/2014,REPAS,€17,,
NOVARTIS PHARMA SAS,Médecin,BENARD CARINE,05/06/2014,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,BIDAULT TOUZARD SOPHIE,05/06/2014,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,CASTELOT VINCENT,18/04/2014,Repas,€15,,
NOVARTIS PHARMA SAS,Médecin,FONLUPT VIRGINIE,18/04/2014,Repas,€15,,
NOVARTIS PHARMA SAS,Médecin,TIEURSIN ANNE,16/05/2014,Repas,€28,,
NOVARTIS PHARMA SAS,Médecin,TIEURSIN ANNE,17/09/2013,Repas,€39,,
NOVARTIS PHARMA SAS,Médecin,TIEURSIN ANNE,26/11/2013,Repas,€30,,
PIERRE FABRE MEDICAMENT,Médecin,ARNOULD JEAN LUC,18/06/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Médecin,TIEURSIN ANNE,18/06/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Pharmacien,DECEUNINCK HERVE,18/06/2014,RESTAURATION,€47,,
SANOFI AVENTIS FRANCE,Médecin,ARNOULD JEAN LUC,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,BENARD CARINE,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,GLAIZOT THIERRY,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,TIEURSIN ANNE,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,BONNAVIA CAROLINE,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,DECEUNINCK HERVE,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,MOUQUET CORALIE,03/07/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,VANNIER ANNE,03/07/2013,Restauration,€48,,
SIGVARIS,Pharmacien,DECEUNINCK HERVE,05/12/2013,REPAS,€16,,
SIGVARIS,Pharmacien,MOUQUET CORALIE,05/12/2013,REPAS,€16,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAREMAINE PATRICIA,05/12/2013,REPAS,€16,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DARCY ELODIE,05/12/2013,REPAS,€16,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIBERT EVELYSE,05/12/2013,REPAS,€16,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LIHARD CATHERINE,05/12/2013,REPAS,€16,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARAIS CATHERINE,05/12/2013,REPAS,€16,,
TEVA SANTE SAS,Médecin,ARNOULD JEAN LUC,19/11/2013,REPAS,€45,,
TEVA SANTE SAS,Médecin,CASTELOT VINCENT,19/11/2013,REPAS,€45,,
TEVA SANTE SAS,Médecin,FILLEUL CHARRON XAVIER,19/11/2013,REPAS,€45,,
TEVA SANTE SAS,Médecin,GLAIZOT THIERRY,19/11/2013,REPAS,€45,,
TEVA SANTE SAS,Médecin,TIEURSIN ANNE,19/11/2013,REPAS,€45,,
THERABEL LUCIEN PHARMA,Médecin,BIDAULT TOUZARD SOPHIE,10/04/2014,REPAS,€20,,
