AbbVie,Infirmier,DEVOS CHRISTELLE,04/07/2013,Repas,€30,,
ASTRAZENECA,Médecin,REVILLION JEAN JACQUES,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,REVILLION JEAN JACQUES,18/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,REVILLION JEAN JACQUES,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,REVILLION JEAN JACQUES,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,REVILLION JEAN JACQUES,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,REVILLION JEAN JACQUES,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,SAINTIN JEAN FRANCOIS,09/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,SAINTIN JEAN FRANCOIS,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SAINTIN JEAN FRANCOIS,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SEMAL ROBIN,29/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,SEMAL ROBIN,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,SEMAL ROBIN,15/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,SEMAL ROBIN,18/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,SEMAL ROBIN,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,THOMAZEAU ERIC,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,THOMAZEAU ERIC,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,THOMAZEAU ERIC,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,THOMAZEAU ERIC,19/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,THOMAZEAU ERIC,23/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,THOMAZEAU ERIC,16/05/2014,Repas,€43,,
Bayer HealthCare SAS,Médecin,GUISLAIN BENOIT,11/04/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,SOMME ANNE,25/03/2014,Hospitalité,€38,,
BIOCODEX,Médecin,GUISLAIN BENOIT,14/06/2014,REPAS,€60,,
BIOGARAN,Pharmacien,COULON BRACQ MARIE BRIGITTE,01/07/2013,REPAS,€20,,
BIOGARAN,Pharmacien,DELPLACE CEDRIC,14/02/2014,REPAS,€22,,
BIOGARAN,Pharmacien,DELPLACE CEDRIC,15/11/2013,REPAS,€19,,
BIOGARAN,Pharmacien,DELPLACE CEDRIC,01/07/2013,REPAS,€20,,
BIOMET,Médecin,GADEYNE SYLVAIN,08/12/2012,REPAS,€50,,
BIOMET,Médecin,MULLIEZ ARNAUD,05/12/2013,REPAS,€66,,
BIOMET,Médecin,MULLIEZ ARNAUD,08/12/2012,REPAS,€50,,
BIOMET,Médecin,MULLIEZ ARNAUD,31/12/2013,TRANSPORT,€346,,
BIOMET,Médecin,MULLIEZ ARNAUD,07/12/2013,HEBERGEMENT,€270,,
BIOMET 3i,Chirurgien-dentiste,BIZET MARC,23/01/2014,REPAS,€40,,
BIOMET 3i,Chirurgien-dentiste,BLANCHARD ALICE,23/01/2014,REPAS,€40,,
BIOMET 3i,Chirurgien-dentiste,DEHAYNIN EMILIE,23/01/2014,REPAS,€40,,
BIOMET 3i,Chirurgien-dentiste,MEULEY CHARLOTTE,21/05/2014,REPAS,€42,,
BIOMET 3i,Chirurgien-dentiste,MEULEY CHARLOTTE,23/01/2014,REPAS,€40,,
BIOMET 3i,Chirurgien-dentiste,STIEVENARD FREDERIQUE,23/01/2014,REPAS,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BECAR PIERRE,03/04/2014,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CLERQUIN PHILIPPE,03/04/2014,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PENNEQUIN PHILIPPE,03/04/2014,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PENNEQUIN PHILIPPE,14/11/2013,HOSPITALITE,€55,,
BOSTON SCIENTIFIC SAS,Médecin,MAES DAMIEN,18/03/2014,REPAS,€39,,
BOSTON SCIENTIFIC SAS,Médecin,MAES DAMIEN,18/03/2014,REPAS,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GUISLAIN BENOIT,09/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GUISLAIN BENOIT,26/06/2014,Repas,€49,,
BRISTOL-MYERS SQUIBB,Médecin,PENNEQUIN PHILIPPE,15/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,SAINTIN JEAN FRANCOIS,15/10/2013,Repas,€60,,
CAPRON PODOLOGIE,Pédicure-podologue,MATHIEU ANNE SOPHIE,29/11/2013,CADEAUX,€10,,
CHIESI SA,Médecin,GUISLAIN BENOIT,01/04/2014,Repas,€53,,
CHUGAI PHARMA FRANCE,Médecin,SAINTIN JEAN FRANCOIS,10/04/2014,REPAS,€25,,
colgate palmolive,Chirurgien-dentiste,BIZET PENNEL ELODIE,02/01/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,DEHAYNIN EMILIE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,DUPONT CAROLINE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,DUPONT ELISE,04/02/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,ALLASSONNIERE CLAUDE,15/03/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUTON GWENAELLE,15/10/2013,HOSPITALITE,€62,,
DAIICHI SANKYO FRANCE SAS,Médecin,BECAR PIERRE,01/10/2013,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEBRUN JEAN PIERRE,24/09/2013,Repas,€17,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEBRUN JEAN PIERRE,14/02/2014,Repas,€19,,
DAIICHI SANKYO FRANCE SAS,Médecin,LECERF ERIC,07/12/2013,Hospitalité,€250,,
EFFIK,Médecin,KHACHTBAN MUSTAPHA,23/10/2013,REPAS,€56,,
EFFIK,Médecin,KHACHTBAN MUSTAPHA,22/04/2014,TRANSPORT,€73,,
EFFIK,Médecin,KHACHTBAN MUSTAPHA,22/04/2014,HEBERGEMENT,€285,,
EFFIK,Médecin,KHACHTBAN MUSTAPHA,10/04/2014,REPAS,€56,,
EFFIK,Médecin,KHACHTBAN MUSTAPHA,20/03/2014,REPAS,€54,,
ETHICON,Infirmier,DELESALLE Marie,23/05/2014,REPAS,€60,,
ETHICON,Médecin,ELHAGE Richard-Rachid,11/04/2014,TRANSPORT,€199,,
ETHICON,Médecin,ELHAGE Richard-Rachid,11/04/2014,REPAS,€70,,
ETHICON,Médecin,ELHAGE Richard-Rachid,31/01/2014,REPAS,€23,,
ETHICON,Médecin,HUILLET PATRICK,09/12/2013,REPAS,€60,,
ETHICON,Médecin,URBAIN PIERRE,23/05/2014,REPAS,€60,,
ETHICON,Médecin,URBAIN PIERRE,09/12/2013,INSCRIPTION,€350,,
ETHICON,Médecin,URBAIN PIERRE,09/12/2013,HEBERGEMENT,€460,,
ETHICON,Médecin,URBAIN PIERRE,09/12/2013,REPAS,€60,,
ETHICON,Médecin,URBAIN PIERRE,22/05/2014,INSCRIPTION,€315,,
ETHICON,Médecin,URBAIN PIERRE,03/09/2013,REPAS,€25,,
EXACTECH FRANCE SAS,Médecin,ELHAGE RICHARD,04/04/2014,Transport,€93,,
FERRING SAS,Médecin,BERA GEORGES,05/11/2013,Autre : [Restauration],€50,,
FERRING SAS,Médecin,BERA GEORGES,15/04/2014,Autre : [Restauration],€35,,
FERRING SAS,Médecin,HOUSSIN LUCIE,08/04/2014,Repas,€26,,
FERRING SAS,Médecin,KHACHTBAN MUSTAPHA,12/06/2014,Autre [Inscription],€300,,
FERRING SAS,Médecin,KHACHTBAN MUSTAPHA,12/06/2014,Autre [Inscription],€300,,
FERRING SAS,Médecin,KHACHTBAN MUSTAPHA,12/06/2014,Autre [Inscription],€300,,
FERRING SAS,Médecin,PINELLE VERRIEZ FRANCE,15/04/2014,Autre : [Restauration],€35,,
FERRING SAS,Médecin,PINELLE VERRIEZ FRANCE,21/01/2014,Repas,€44,,
FERRING SAS,Médecin,PINELLE VERRIEZ FRANCE,05/11/2013,Autre : [Restauration],€50,,
FERRING SAS,Médecin,TIBERGHIEN SEGARD PAULINE,15/04/2014,Autre : [Restauration],€35,,
FERRING SAS,Médecin,TIBERGHIEN SEGARD PAULINE,21/01/2014,Repas,€44,,
FERRING SAS,Médecin,TIBERGHIEN SEGARD PAULINE,05/11/2013,Autre : [Restauration],€50,,
FERRING SAS,Médecin,TOMASZEWSKI CECILE,05/11/2013,Autre : [Restauration],€50,,
FERRING SAS,Médecin,TOMASZEWSKI CECILE,21/01/2014,Repas,€44,,
FERRING SAS,Médecin,TOMASZEWSKI CECILE,15/04/2014,Autre : [Restauration],€35,,
FERRING SAS,Pharmacien,LECOMPTE FREDERIC,05/11/2013,Autre : [Restauration],€50,,
FH ORTHOPEDICS,Médecin,ELHAGE RICHARD,31/05/2012,Hospitalité,€500,,
FRESENIUS KABI FRANCE,Médecin,TENEUR FABIENNE,07/01/2014,REPAS,€46,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,COLMONT MARTINE,30/11/2013,REPAS PROFESSIONNEL,€60,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,HETUIN LAURENT,30/11/2013,REPAS PROFESSIONNEL,€60,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,MASNEUF DAVID,30/11/2013,REPAS PROFESSIONNEL,€60,,
GROUPE LEPINE,Médecin,LEDOUX PASCAL,24/12/2013,HEBERGEMENT,€250,,
GUERBET France,Etablissement de santé,CLINIQUE DU PARC SAINT SAULVE,09/12/2013,AUTRE: OUVRAGE,€165,,
GUERBET France,Etablissement de santé,CLINIQUE DU PARC SAINT SAULVE,08/01/2014,AUTRE : OUVRAGES / ABONNEMENTS,€205,,
GUERBET France,Manipulateur d’électroradiologie médicale,BAUDOUR CHRISTOPHE,05/12/2013,REPAS,€59,,
GUERBET France,Manipulateur d’électroradiologie médicale,BAUDOUR CHRISTOPHE,05/12/2013,REPAS,€55,,
GUERBET France,Manipulateur d’électroradiologie médicale,COLMONT MARTINE,05/04/2014,AUTRE : INSCRIPTION,€220,,
GUERBET France,Manipulateur d’électroradiologie médicale,GALAND SOPHIE,24/01/2014,AUTRE : INSCRIPTION,€290,,
GUERBET France,Manipulateur d’électroradiologie médicale,HETUIN LAURENT,05/04/2014,AUTRE : INSCRIPTION,€220,,
ICOMED,Chirurgien-dentiste,DUPONT CAROLINE,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,STIEVENARD FREDERIQUE,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,STIEVENARD FREDERIQUE,18/04/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,BAILLY DIDIER,16/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERA GEORGES,13/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BONORD ALEXANDRE,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BONORD ALEXANDRE,18/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BOUTILLIER KERVISTIN ISABELLE,04/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BOUTILLIER KERVISTIN ISABELLE,21/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CHEHIMI AYMAN,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHEHIMI AYMAN,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CORDIEZ JEAN,21/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CORDIEZ JEAN,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ELHAGE RICHARD,17/06/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,FENEZ ERIC,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FENEZ ERIC,11/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,KHACHTBAN MUSTAPHA,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LOCHEGNIES ANNE,05/07/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LOCHEGNIES ANNE,27/05/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,LORIDON FRANCOIS,26/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,MULLIEZ ARNAUD,05/07/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,PENNEQUIN PHILIPPE,23/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PENNEQUIN PHILIPPE,08/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SAINTIN JEAN FRANCOIS,06/02/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,SOMME ANNE,28/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,THOMAZEAU ERIC,28/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,TIBERGHIEN SEGARD PAULINE,11/12/2013,Autre: [Enquête],€32,,
ICOMED,Pharmacien,CHAILLET DAMIEN,03/06/2014,Autre: [Enquête],€27,,
JANSSEN-CILAG,Aide soignant,RENARD GAUTHIER,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Etudiant,BENARD VICTOIRE,09/09/2013,REPAS,€30,,
JANSSEN-CILAG,Etudiant,BENARD VICTOIRE,01/07/2013,REPAS,€23,,
JANSSEN-CILAG,Etudiant,CARIOU AURELIA,24/05/2013,REPAS,€28,,
JANSSEN-CILAG,Etudiant,CATTEAU BENEDICTE,22/01/2014,REPAS,€37,,
JANSSEN-CILAG,Etudiant,CORFIOTTI CLAIRE,04/01/2013,REPAS,€23,,
JANSSEN-CILAG,Etudiant,CORFIOTTI CLAIRE,11/03/2013,REPAS,€23,,
JANSSEN-CILAG,Etudiant,GANGLOFF LAURA,19/07/2013,REPAS,€29,,
JANSSEN-CILAG,Etudiant,GANGLOFF LAURA,09/09/2013,REPAS,€30,,
JANSSEN-CILAG,Etudiant,GANGLOFF LAURA,24/05/2013,REPAS,€28,,
JANSSEN-CILAG,Etudiant,LECOUTRE OLIVIA,08/03/2013,REPAS,€52,,
JANSSEN-CILAG,Etudiant,LECOUTRE OLIVIA,29/01/2013,REPAS,€30,,
JANSSEN-CILAG,Etudiant,LESCUT CHARLES,11/03/2013,REPAS,€23,,
JANSSEN-CILAG,Etudiant,LESCUT CHARLES,01/03/2013,REPAS,€32,,
JANSSEN-CILAG,Etudiant,PHAN CECILE,18/11/2013,REPAS,€29,,
JANSSEN-CILAG,Etudiant,PHAN CECILE,10/03/2014,REPAS,€21,,
JANSSEN-CILAG,Etudiant,TAHON ANNE LAURE,27/01/2014,REPAS,€33,,
JANSSEN-CILAG,Etudiant,TAHON ANNE LAURE,10/03/2014,REPAS,€21,,
JANSSEN-CILAG,Etudiant,TAHON ANNE-LAURE,28/11/2013,AUTRE : ENVOI D'ARTICLES OU D'OUVRAGES SCIENTIFIQUES,€20,,
JANSSEN-CILAG,Infirmier,ALLEG KAMEL,06/11/2013,REPAS,€60,,
JANSSEN-CILAG,Infirmier,BLERVAQUE BENJAMIN,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,BONANNO LAURIE,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,BOURSIEZ BEATRICE,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,BOUSSINGAULT DOMINIQUE,30/05/2013,REPAS,€17,,
JANSSEN-CILAG,Infirmier,BRIEUDES FABIEN,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,CARLIER NATHALIE,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,CARTEGNIE PATRICE,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,CHANTREUX NICOLAS,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,COGET PASCAL,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,COUTELARD M.CHRISTINE,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,DEMARET James,17/02/2014,REPAS,€33,,
JANSSEN-CILAG,Infirmier,DERBAY DANIEL,30/05/2013,REPAS,€17,,
JANSSEN-CILAG,Infirmier,D HALLUIN MELODIE,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,DORDAIN STEPHANIE,30/05/2013,REPAS,€17,,
JANSSEN-CILAG,Infirmier,DUFOR GUILLAUME,06/06/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,EVRARD MARIE JOSE,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,GOYELIN GUETAN,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,HEBBAR LATIF,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,HENNEL THERESE,30/05/2013,REPAS,€17,,
JANSSEN-CILAG,Infirmier,LANSIAUX GERARD,17/02/2014,REPAS,€33,,
JANSSEN-CILAG,Infirmier,LANSIAUX GERARD,13/09/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,LEFEBRE CAROLINE,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,LEGRAND SOPHIE,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,LOSSE SYLVIE,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,MARTEL Jacqueline,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,MENNECHET MORGAN,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,MIHAILOVIC PATRICIA,09/12/2013,REPAS,€18,,
JANSSEN-CILAG,Infirmier,OUYED SARAH,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,PASHA MEHWISH,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,PENAUD JEAN PATRICK,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,PRESSE VANESSA,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,PRUDHOMME LYNDA,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,PRYBARZ CHRISTIAN,15/11/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,RAMACKERS Claire,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,RAVAUX ANNE,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,REY MARLENE,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,ROQUET DOMINIQUE,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,TAVERNE ANNE-SOPHIE,30/05/2013,REPAS,€17,,
JANSSEN-CILAG,Infirmier,VERON Véronique,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Infirmier,WALLET CHRISTELLE,05/02/2013,REPAS,€24,,
JANSSEN-CILAG,Infirmier,WALLET CHRISTELLE,13/09/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,WAUTHIER PIERRE JEAN,09/12/2013,REPAS,€18,,
JANSSEN-CILAG,Infirmier,WAUTHIER PIERRE JEAN,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Médecin,BONORD ALEXANDRE,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Médecin,BONORD ALEXANDRE,22/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,BONORD ALEXANDRE,19/07/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,BONORD ALEXANDRE,24/05/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,BOUTILLIER ISABELLE,22/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,BOUTILLIER ISABELLE,09/09/2013,REPAS,€30,,
JANSSEN-CILAG,Médecin,BOUTILLIER ISABELLE,22/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,BOUTILLIER KERVISTIN ISABELLE,18/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,BOUTILLIER KERVISTIN ISABELLE,18/01/2013,REPAS,€14,,
JANSSEN-CILAG,Médecin,CAPORASO JOSEPH,06/11/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,CATTEAU JACQUES,22/01/2014,REPAS,€37,,
JANSSEN-CILAG,Médecin,COQUIDE PRUVOST MARIE CLAIRE,22/01/2014,REPAS,€37,,
JANSSEN-CILAG,Médecin,DELVINCOURT BARTHES MONIQUE,22/01/2014,REPAS,€37,,
JANSSEN-CILAG,Médecin,DE MEIRE XAVIER,06/11/2013,REPAS,€60,,
