3M France,Chirurgien-dentiste,GRATADOUR AGNES,06/02/2014,REPAS,€18,,
ASTRAZENECA,Médecin,DOLY JEAN BAPTISTE,18/04/2014,Repas,€20,,
ASTRAZENECA,Médecin,DOLY JEAN BAPTISTE,28/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,DOLY JEAN BAPTISTE,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,DOLY JEAN BAPTISTE,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,DUMESNIL YVAN,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUMESNIL YVAN,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,FANGET JEAN YVES,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FANGET JEAN YVES,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FANGET MICHEL,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FONTAUMARD PHILIPPE,07/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,GAYARD PIERRE,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAYARD PIERRE,10/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GAYARD PIERRE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAYARD PIERRE,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAYARD PIERRE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GBONON JEAN MARIE,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,GBONON JEAN MARIE,11/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,28/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,GILARD JEAN MARC,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,HADDOU FABRICE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HADDOU FABRICE,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,HADDOU FABRICE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HADDOU FABRICE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HADDOU FABRICE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HADDOU FABRICE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HADDOU FABRICE,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,HADDOU FABRICE,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,HAGER PATRICIA,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LANDON CHRISTIAN,20/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,LAPORTE CATHERINE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEYENDECKER SYLVIE,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,LEYENDECKER SYLVIE,11/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEYENDECKER SYLVIE,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,LEYENDECKER SYLVIE,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,PASCAL PHILIPPE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PASCAL PHILIPPE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PASCAL FURNESTIN GENEVIEVE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PASCAL FURNESTIN GENEVIEVE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PELLISSIER MERLE GENEVIEVE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PELLISSIER MERLE GENEVIEVE,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,PETIT MICHEL,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PETIT MICHEL,11/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PIGNOL FREDERIQUE,07/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,PIGNON THIERRY,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PIGNON THIERRY,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PIGNON THIERRY,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PONS PASCAL,08/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,PONS PASCAL,27/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,PONS PASCAL,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,SAVAJOLS MARIE AGNES,16/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,SAVAJOLS MARIE AGNES,17/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,SAVAJOLS MARIE AGNES,19/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,SAVAJOLS MARIE AGNES,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TARTIERE DIDIER,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TARTIERE DIDIER,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,TARTIERE DIDIER,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TARTIERE DIDIER,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,THIRIAT JEAN,16/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,THIRIAT JEAN,17/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,THIRIAT JEAN,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TIBOULET GUILLAUME,28/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,TIBOULET GUILLAUME,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,TIBOULET GUILLAUME,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,TIBOULET GUILLAUME,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,TRAVADE ARMELLE,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,TRAVADE ARMELLE,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,VEYSSET PIERRE,20/06/2014,Repas,€43,,
ASTRAZENECA,Pharmacien,FERRAGNE JEAN LUC,19/09/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,FERRAGNE JEAN LUC,30/01/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,MADEBENE CAROLINE,19/09/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,MADEBENE CAROLINE,30/01/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,MADEBENE CAROLINE,11/10/2013,Repas,€57,,
ATOS MEDICAL SAS,Médecin,CHAMPROUX THIERRY,20/09/2012,Inscription,€350,,
ATOS MEDICAL SAS,Médecin,CHAMPROUX THIERRY,20/09/2012,Hébergement,€96,,
ATOS MEDICAL SAS,Médecin,CHAMPROUX THIERRY,20/09/2012,Repas,€29,,
ATOS MEDICAL SAS,Médecin,CHAMPROUX THIERRY,20/09/2012,Repas,€55,,
BARD FRANCE SAS,Association professionnel de santé,ARCO63,30/04/2014,DON,"€2,000",,
BARD FRANCE SAS,Infirmier,AUBRETON ALEXANDRA,30/01/2014,REPAS,€54,,
BARD FRANCE SAS,Infirmier,BORDAS SANDRINE,30/01/2014,REPAS,€54,,
BARD FRANCE SAS,Infirmier,LEITE DAVID,22/06/2014,HEBERGEMENT,€116,,
BARD FRANCE SAS,Infirmier,LEITE DAVID,22/06/2014,INSCRIPTION,€250,,
BARD FRANCE SAS,Infirmier,MAGALECHE CAROLINE,27/05/2014,REPAS,€42,,
BARD FRANCE SAS,Infirmier,MARTIN CATHY,30/01/2014,REPAS,€54,,
BARD FRANCE SAS,Infirmier,WECHAM CAMILLE,30/01/2014,REPAS,€54,,
BARD FRANCE SAS,Médecin,AVOUAC JULIEN,30/01/2014,REPAS,€54,,
BARD FRANCE SAS,Médecin,AVOUAC JULIEN,09/05/2014,REPAS,€19,,
BARD FRANCE SAS,Médecin,BESBISS AHMED,27/05/2014,REPAS,€42,,
BARD FRANCE SAS,Médecin,BESBISS AHMED,30/01/2014,REPAS,€54,,
BARD FRANCE SAS,Médecin,BESBISS AHMED,22/04/2014,REPAS,€43,,
BARD FRANCE SAS,Médecin,BESSBISS AHMED,09/05/2014,REPAS,€19,,
BARD FRANCE SAS,Médecin,DAMEY CAROLE,24/04/2014,REPAS,€23,,
BARD FRANCE SAS,Médecin,DORIDOT VIRGINIE,24/04/2014,REPAS,€23,,
BARD FRANCE SAS,Médecin,DORIDOT VIRGINIE,13/06/2014,REPAS,€19,,
BARD FRANCE SAS,Médecin,GAYARD PIERRE,13/06/2014,REPAS,€19,,
BARD FRANCE SAS,Médecin,GAYARD PIERRE,28/03/2014,REPAS,€28,,
BARD FRANCE SAS,Médecin,GIRARD AGNES,27/05/2014,REPAS,€42,,
BARD FRANCE SAS,Médecin,MONGHAL CAMILLE,28/03/2014,REPAS,€28,,
BARD FRANCE SAS,Médecin,MONGHAL CAMILLE,13/06/2014,REPAS,€19,,
BARD FRANCE SAS,Médecin,SCHERER CHRISTOPHE,13/06/2014,REPAS,€19,,
BARD FRANCE SAS,Médecin,SCHERER CHRISTOPHE,24/04/2014,REPAS,€23,,
BARD FRANCE SAS,Médecin,SCHERER CHRISTOPHE,11/04/2014,REPAS,€25,,
BAUERFEIND FRANCE,Pharmacien,PAGNAT BRIGITTE,16/12/2013,Cadeaux,€13,,
BAUERFEIND FRANCE,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,MONTEIRO LAURENT,16/12/2013,Cadeaux,€13,,
Bayer HealthCare SAS,Infirmier,BRUNEHAUT LAURENT,26/09/2013,Hospitalité,€29,,
Bayer HealthCare SAS,Infirmier,DERRIEN Marielle,14/10/2013,Hospitalité,€42,,
Bayer HealthCare SAS,Infirmier,VERDIER Marie ange,14/10/2013,Hospitalité,€42,,
Bayer HealthCare SAS,Infirmier,VIDECOQ CLAIRE,06/02/2014,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,BONNEAU PATRICK,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BRUNEHAUT PETAUT MYRIAM,19/09/2013,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,BRUNEHAUT PETAUT MYRIAM,26/09/2013,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,BUSSIERE MONIQUE,15/04/2014,Hospitalité,€58,,
Bayer HealthCare SAS,Médecin,CHARDON CLAUDE,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,COURTHALIAC CHRISTOPHE,26/06/2014,Hospitalité,€39,,
Bayer HealthCare SAS,Médecin,GBONON JEAN MARIE,26/09/2013,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,GILARD JEAN MARC,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,HADDOU FABRICE,19/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,HADDOU FABRICE,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,HADDOU FABRICE,01/10/2013,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,HAGER PATRICIA,28/02/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,KIBLER MARIE PAULE,17/04/2014,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,LAFORET SEVERINE,26/09/2013,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,MOUSTAFA FARÈS,07/08/2013,Hospitalité,€412,,
Bayer HealthCare SAS,Médecin,MOUSTAFA FARÈS,16/12/2013,Hospitalité,€333,,
Bayer HealthCare SAS,Médecin,PASCAL PHILIPPE,09/04/2014,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,PELLISSIER MERLE GENEVIEVE,09/04/2014,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,PETIT MICHEL,19/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,PETIT MICHEL,09/07/2013,Hospitalité,€49,,
Bayer HealthCare SAS,Médecin,PETIT MICHEL,24/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,PETIT MICHEL,19/09/2013,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,PETIT MICHEL,15/04/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,RAFFIER CATHERINE,24/04/2014,Hospitalité,€65,,
Bayer HealthCare SAS,Médecin,ROBERT CHRISTIANE,19/03/2014,Hospitalité,€514,,
Bayer HealthCare SAS,Médecin,SCHUTZ RICHARD,26/09/2013,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,TAWIL JAMAL,27/06/2014,Hospitalité,€52,,
Bayer HealthCare SAS,Médecin,TAWIL Jamal,04/12/2013,Hospitalité,€46,,
Bayer HealthCare SAS,Médecin,TAWIL Jamal,11/11/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,TEUTSCH Celine,13/09/2013,Hospitalité,€58,,
BECKMAN COULTER FRANCE,Pharmacien,ROUZAIRE PAUL,18/09/2013,REPAS,€35,,
BIOCODEX,Médecin,LANDON CHRISTIAN,07/03/2014,REPAS,€36,,
BIOCODEX,Médecin,MONIER PASCAL,12/06/2014,REPAS,€35,,
BIOCODEX,Médecin,PASCAL PHILIPPE,24/04/2014,REPAS,€55,,
BIOCODEX,Médecin,PASCAL FURNESTIN GENEVIEVE,24/04/2014,REPAS,€55,,
BIOGARAN,Etudiant,MABRU ELOISE,27/06/2014,REPAS,€35,,
BIOGARAN,Etudiant,MAUNIER PAULINE,26/06/2014,REPAS,€35,,
BIOGARAN,Etudiant,VERQUERA MARIE ALIX,27/06/2014,REPAS,€35,,
BIOGARAN,Pharmacien,BASSIN TOURLONIAS NATALIE,27/06/2014,REPAS,€35,,
BIOGARAN,Pharmacien,BASSIN TOURLONIAS NATALIE,08/04/2014,REPAS,€35,,
BIOGARAN,Pharmacien,BASSIN TOURLONIAS NATALIE,27/02/2014,REPAS,€35,,
BIOGARAN,Pharmacien,BEGON SANDRINE,19/06/2014,REPAS,€35,,
BIOGARAN,Pharmacien,CONVERT YOLANDE,26/06/2014,REPAS,€35,,
BIOGARAN,Pharmacien,CONVERT YOLANDE,27/02/2014,REPAS,€35,,
BIOGARAN,Pharmacien,FOURVEL CHANTAL,10/06/2014,REPAS,€15,,
BIOGARAN,Pharmacien,JUILLARD ISABELLE,26/06/2014,REPAS,€35,,
BIOGARAN,Pharmacien,JUILLARD ISABELLE,27/02/2014,REPAS,€35,,
BIOGARAN,Pharmacien,JUILLARD ISABELLE,08/04/2014,REPAS,€35,,
BIOGARAN,Pharmacien,LEYRAT FIOCRE FREDERIQUE,19/06/2014,REPAS,€35,,
BIOGARAN,Pharmacien,PARIS CHRISTIANE,10/06/2014,REPAS,€15,,
BIOGARAN,Pharmacien,VACHELARD MANON,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENEL CECILE,19/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOISSON JENIFER,10/06/2014,REPAS,€15,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUDOL FABIENNE,27/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUDOL FABIENNE,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRUGERON ROMUALD,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRUGERON ROMUALD,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DE CASTRO CHRISTOPHE,10/06/2014,REPAS,€15,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEGUIRARD BORIS,26/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEGURARD BORIS,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAGACHE ISABELLE,26/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAGACHE ISABELLE,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOISEAU DOMINIQUE,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LORENTZ ELISABETH,19/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN PAUL HENRY,19/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTOS STEPHANIE,26/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RAMOS STEPHANIE,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUGEMONT EMMANUELLE,27/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUGEMONT EMMANUELLE,27/02/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEL LAURENCE,27/06/2014,REPAS,€35,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSET LAURENCE,27/02/2014,REPAS,€35,,
bioMérieux,Pharmacien,LAFEUILLE BERNARD,18/10/2012,CADEAUX,€20,,
BIOMET,Médecin,ALAUX PHILIPPE,13/06/2012,REPAS,€18,,
BIOMET,Médecin,ALAUX PHILIPPE,03/04/2012,REPAS,€24,,
BIOMET,Médecin,ALAUX PHILIPPE,01/02/2012,REPAS,€46,,
BIOTRONIK FRANCE SAS,Infirmier,AUGERE CHRISTELLE,30/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Infirmier,BARRAT JULIETTE,30/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Infirmier,BLANC BRUDE FLORENCE,30/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Infirmier,CHAUVET DELPHINE,22/01/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,DE CASTRO MARIE,30/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Infirmier,FERNANDES OLIVERA CHRISTINE,30/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Infirmier,JAMILLOUX FLORENCE,22/01/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,THIALLIER MAGALIE,30/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Médecin,BARRAUD PASCAL,22/01/2014,REPAS,€24,,
