ARROW GENERIQUES SAS,Pharmacien,DRAIN FRANCOIS,23/04/2014,REPAS,€26,,
MUNDIPHARMA,Médecin,GENCE PATRICK,31/05/2013,AUTRE : FORMATION MEDICALE CONTINUE,€27,,
MUNDIPHARMA,Médecin,GENCE PATRICK,12/04/2013,AUTRE : FORMATION MEDICALE CONTINUE,€24,,
MUNDIPHARMA,Médecin,GENCE PATRICK,25/06/2014,REPAS,€54,,
MUNDIPHARMA,Médecin,GENCE PATRICK,27/09/2013,HOSPITALITE,€34,,
MUNDIPHARMA,Médecin,GENCE PATRICK,01/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,26/11/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,27/09/2013,HOSPITALITE,€34,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,01/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,05/02/2013,HOSPITALITE REUNION PROFESSIONNELLE,€60,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,31/05/2013,AUTRE : FORMATION MEDICALE CONTINUE,€27,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,12/04/2013,AUTRE : FORMATION MEDICALE CONTINUE,€24,,
MUNDIPHARMA,Médecin,HAGUIER MICHEL,25/06/2014,REPAS,€54,,
MUNDIPHARMA,Médecin,LEFEBVRE DIDIER,12/04/2013,AUTRE : FORMATION MEDICALE CONTINUE,€24,,
PAUL HARTMANN SA,Pharmacien,GUAY SOPHIE,03/10/2013,Repas,€34,,
PROCTER & GAMBLE FRANCE,Chirurgien-dentiste,BUREL Valérie,19/12/2013,REPAS,€96,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BESSOU VIRGINIE,04/07/2013,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,CLAVIER HELENE,04/07/2013,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELACOURT CHANTAL,04/07/2013,REPAS,€23,,
