ABBOTT PRODUCTS SAS,Médecin,GASNIER DESTOOP Virginie,06/09/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,04/05/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,27/06/2014,REPAS,€50,,
Laboratoires PRED,Chirurgien-dentiste,Savignat Evelyne,27/06/2013,Invitations,€135,,
Laboratoires PRED,Chirurgien-dentiste,Savignat Evelyne,29/04/2014,Cadeaux,"€1,000",,
LES LABORATOIRES SERVIER,Médecin,GASNIER-DESTOOP VIRGINIE,18/04/2014,Repas,€43,,
MENARINI FRANCE,Médecin,GASNIER DESTOOP VIRGINIE,29/03/2014,Autre : [Forfait],€300,,
MENARINI FRANCE,Médecin,VIOSSAT EMMANUEL,25/03/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,VIOSSAT EMMANUEL,05/11/2013,REPAS,€40,,
MSD France,Médecin,CHARTINIER NADINE,12/02/2014,REPAS,€30,,
MSD France,Médecin,GASNIER DESTOOP VIRGINIE,24/02/2012,REPAS,€40,,
MSD France,Médecin,GASNIER DESTOOP VIRGINIE,01/03/2013,REPAS,€40,,
NOVARTIS PHARMA SAS,Médecin,VIOSSAT EMMANUEL,13/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
ORTHOPLUS,Chirurgien-dentiste,SAVIGNAT EVELYNE,03/02/2014,REPAS,€11,,
PHARMATHERA,Médecin,GASNIER DESTOOP VIRGINIE,04/07/2013,OBJET D HOSPITALITE,€27,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,20/09/2013,RESTAURATION,€41,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,14/03/2014,RESTAURATION,€46,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,13/12/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,07/12/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,25/05/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,13/01/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,25/01/2013,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,GASNIER DESTOOP VIRGINIE,25/10/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,VIOSSAT EMMANUEL,17/10/2013,RESTAURATION,€77,,
SANOFI AVENTIS FRANCE,Médecin,GASNIER DESTOOP VIRGINIE,19/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,GASNIER DESTOOP VIRGINIE,30/08/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,GASNIER DESTOOP VIRGINIE,10/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,GASNIER DESTOOP VIRGINIE,14/02/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,GASNIER DESTOOP VIRGINIE,30/08/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,VIOSSAT EMMANUEL,10/06/2014,Repas,€54,,
Takeda France,Médecin,KINDUELO Aurore,14/11/2013,REPAS,€60,,
Zambon France,Médecin,GASNIER DESTOOP VIRGINIE,28/03/2014,Repas,€45,,
