ABBOTT PRODUCTS SAS,Médecin,DIDOUT Charles,06/09/2013,REPAS,€30,,
MSD France,Médecin,JOSEPH JEAN,20/05/2014,REPAS,€35,,
MSD France,Médecin,JOSEPH JEAN,01/04/2014,REPAS,€55,,
MSD France,Médecin,JOSEPH JEAN,26/09/2012,HOSPITALITE,€53,,
MSD France,Médecin,JOSEPH JEAN,11/04/2014,REPAS,€39,,
MSD France,Médecin,JOSEPH JEAN,19/04/2012,REPAS,€55,,
MSD France,Médecin,JOSEPH JEAN,29/11/2012,HOSPITALITE,€55,,
MSD France,Médecin,JOSEPH JEAN,12/07/2012,REPAS,€51,,
MSD France,Médecin,JOSEPH JEAN,09/03/2012,HOSPITALITE,€32,,
MSD France,Médecin,JOSEPH JEAN,12/07/2012,REPAS,€40,,
MSD France,Médecin,JOSEPH JEAN,04/10/2013,REPAS,€40,,
MSD France,Médecin,JULIEN LABRUYERE DELPHINE,03/06/2014,REPAS,€60,,
MSD France,Médecin,JULIEN LABRUYERE DELPHINE,21/06/2012,REPAS,€40,,
MSD France,Médecin,JULIEN LABRUYERE DELPHINE,15/10/2013,REPAS,€50,,
MSD France,Médecin,JULIEN LABRUYERE DELPHINE,05/06/2012,REPAS,€34,,
MSD France,Médecin,JULIEN LABRUYERE DELPHINE,15/10/2013,REPAS,€44,,
MSD France,Médecin,JULIEN LABRUYERE DELPHINE,21/06/2012,REPAS,€40,,
MSD France,Médecin,SAN JUAN PHILIPPE,21/06/2012,REPAS,€60,,
MSD France,Médecin,SAN JUAN PHILIPPE,20/06/2012,REPAS,€34,,
MSD France,Médecin,SAN JUAN PHILIPPE,27/09/2012,REPAS,€40,,
MSD France,Médecin,SAN JUAN PHILIPPE,16/02/2012,HOSPITALITE,€55,,
MSD France,Médecin,SAN JUAN PHILIPPE,10/01/2012,HOSPITALITE,€38,,
MSD France,Médecin,SAN JUAN PHILIPPE,22/11/2012,REPAS,€40,,
MSD France,Médecin,SAN JUAN PHILIPPE,05/07/2012,HOSPITALITE,€60,,
MSD France,Médecin,SAN JUAN PHILIPPE,19/07/2012,REPAS,€60,,
MSD France,Médecin,SAN JUAN PHILIPPE,04/10/2012,REPAS,€36,,
MSD France,Médecin,SAN JUAN PHILIPPE,29/11/2012,HOSPITALITE,€55,,
MSD France,Médecin,SAN JUAN PHILIPPE,16/04/2013,HOSPITALITÉ,€41,,
MUNDIPHARMA,Médecin,JULIEN LABRUYERE DELPHINE,02/07/2013,REPAS,€34,,
MUNDIPHARMA,Médecin,SAN JUAN PHILIPPE,19/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
NOVARTIS PHARMA SAS,Médecin,DIDOUT CHARLES,13/06/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,DIDOUT CHARLES,15/04/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,JOSEPH JEAN,24/09/2013,Autre : [Hospitalité Evenement Scientifique],€60,,
NOVARTIS PHARMA SAS,Médecin,JOSEPH JEAN,02/04/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,JOSEPH JEAN,16/05/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,JOSEPH JEAN,15/04/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,JOSEPH JEAN,13/06/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,JOSEPH JEAN,06/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,HEBERGEMENT,€117,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,07/03/2014,REPAS,€37,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,REPAS,€220,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,TRANSPORT,€190,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,HEBERGEMENT,€117,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,TRANSPORT,€48,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,TRANSPORT,€48,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,12/07/2013,REPAS,€24,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,REPAS,€220,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,08/03/2014,REPAS,€37,,
NOVO NORDISK,Médecin,DIDOUT CHARLES,11/01/2014,TRANSPORT,€190,,
NOVO NORDISK,Médecin,JOSEPH JEAN,08/03/2014,REPAS,€37,,
NOVO NORDISK,Médecin,JOSEPH JEAN,10/04/2014,REPAS,€55,,
NOVO NORDISK,Médecin,JOSEPH JEAN,07/03/2014,REPAS,€37,,
PFIZER SAS,Médecin,JOSEPH JEAN,17/01/2014,REPAS,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DELAPORTE CARINE,30/04/2013,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DELAPORTE CARINE,19/02/2013,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DELAPORTE CARINE,09/07/2013,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DELAPORTE CARINE,10/12/2013,RESTAURATION,€26,,
PIERRE FABRE MEDICAMENT,Médecin,DELAPORTE CARINE,05/03/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,DIDOUT CHARLES,13/09/2012,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,DIDOUT CHARLES,29/11/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,JOSEPH JEAN,25/01/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,JOSEPH JEAN,24/05/2012,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,14/02/2012,Restauration,€146,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,05/03/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,30/04/2013,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,19/02/2013,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,14/02/2012,Frais de dÃƒÂ©placement,€561,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,14/02/2012,HÃƒÂ©bergement,€105,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,10/12/2013,RESTAURATION,€26,,
PIERRE FABRE MEDICAMENT,Médecin,JULIEN LABRUYERE DELPHINE,09/07/2013,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,SAN JUAN PHILIPPE,26/02/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,SAN JUAN PHILIPPE,25/04/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,LOUREAU SOPHIE,05/11/2013,RESTAURATION,€12,,
PIERRE FABRE MEDICAMENT,Pharmacien,TIMSIT GUEDE NATACHA,22/03/2013,Restauration,€35,,
SANDOZ,Pharmacien,TIMSIT NATACHA,17/12/2013,REPAS,€50,,
SANOFI AVENTIS FRANCE,Médecin,DELAPORTE CARINE,27/08/2013,Restauration,€20,,
SANOFI AVENTIS FRANCE,Médecin,DELAPORTE CARINE,11/03/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Médecin,DIDOUT CHARLES,18/12/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,JULIEN LABRUYERE DELPHINE,11/03/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Médecin,JULIEN LABRUYERE DELPHINE,27/08/2013,Restauration,€20,,
SANOFI PASTEUR MSD SNC,Médecin,DELAPORTE CARINE,25/06/2013,Repas,€59,,
SANOFI PASTEUR MSD SNC,Médecin,DELAPORTE CARINE,08/10/2013,Repas,€45,,
SANOFI PASTEUR MSD SNC,Médecin,JULIEN LABRUYERE DELPHINE,08/10/2013,Repas,€45,,
SANOFI PASTEUR MSD SNC,Médecin,JULIEN LABRUYERE DELPHINE,25/06/2013,Repas,€59,,
SEPTODONT SAS,Chirurgien-dentiste,CHAMPEAU JEAN-CHRISTOPHE,27/11/2012,Cadeaux,€144,,
Smith & Nephew S.A.S.,Médecin,DIDOUT CHARLES,03/03/2014,REPAS,€32,,
Takeda France,Médecin,JOSEPH Jean,28/11/2013,REPAS,€60,,
Takeda France,Médecin,JOSEPH Jean,23/10/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,DELAPORTE CARINE,07/01/2014,REPAS,€55,,
TEVA SANTE SAS,Médecin,DELAPORTE CARINE,01/04/2014,REPAS,€55,,
TEVA SANTE SAS,Médecin,DIDOUT CHARLES,08/11/2013,REPAS,€38,,
TEVA SANTE SAS,Médecin,DIDOUT CHARLES,21/03/2014,REPAS,€33,,
TEVA SANTE SAS,Médecin,JULIEN LABRUYERE DELPHINE,01/04/2014,REPAS,€55,,
TEVA SANTE SAS,Médecin,JULIEN LABRUYERE DELPHINE,01/04/2014,REPAS,€55,,
THERABEL LUCIEN PHARMA,Médecin,DELAPORTE CARINE,28/05/2013,REPAS,€36,,
THERABEL LUCIEN PHARMA,Médecin,DIDOUT CHARLES,06/12/2013,REPAS,€40,,
THERABEL LUCIEN PHARMA,Médecin,DIDOUT CHARLES,26/04/2013,REPAS,€41,,
THERABEL LUCIEN PHARMA,Médecin,DIDOUT CHARLES,27/06/2014,REPAS,€29,,
THERABEL LUCIEN PHARMA,Médecin,HENRY ALEXANDRINE,10/06/2014,REPAS,€32,,
THERABEL LUCIEN PHARMA,Médecin,JOSEPH JEAN,06/12/2013,REPAS,€40,,
THERABEL LUCIEN PHARMA,Médecin,JULIEN LABRUYERE DELPHINE,28/05/2013,REPAS,€36,,
THERABEL LUCIEN PHARMA,Médecin,JULIEN LABRUYERE DELPHINE,01/10/2013,REPAS,€45,,
Zambon France,Médecin,DELAPORTE CARINE,04/02/2014,Repas,€40,,
Zambon France,Médecin,DIDOUT CHARLES,21/02/2014,Repas,€30,,
Zambon France,Médecin,JULIEN LABRUYERE DELPHINE,04/02/2014,Repas,€40,,
