ALAIR & AVD,Etablissement de santé,H.A.D.,11/12/2013,CADEAUX,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNIKIER DAVID,25/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEPRET BIXIO GERARD,10/04/2013,Hospitalite,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEPRET BIXIO GERARD,03/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUSSAIN ISABELLE,19/01/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAUXIRE NICOLE,25/09/2013,REPAS,€45,,
Laboratoires Grünenthal SAS,Médecin,GALINAT LACHENAUD DANIELLE,15/04/2014,REPAS,€50,,
Laboratoires Grünenthal SAS,Médecin,VERGNENEGRE FRANCOISE,15/04/2014,REPAS,€50,,
Laboratoires Leurquin Mediolanum,Médecin,BERNIKIER DAVID,06/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TRUCHASSOU MICHEL,06/11/2013,AUTRE,€15,,
LABORATOIRES MAYOLY SPINDLER,Médecin,COQUILLAUD Bruno,13/02/2014,HOSPITALITE,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,PACAUD Vincent,13/02/2014,HOSPITALITE,€50,,
LABORATOIRES URGO,Infirmier,BARRIERE MICHEL,19/11/2013,REPAS,€31,,
LABORATOIRES URGO,Infirmier,BEGOUT SYLVIE,19/11/2013,REPAS,€31,,
LABORATOIRES URGO,Infirmier,BUTOT NATHALIE,19/11/2013,REPAS,€31,,
LABORATOIRES URGO,Infirmier,DIGNAC VERONIQUE,19/11/2013,REPAS,€31,,
LABORATOIRES URGO,Infirmier,QUEMIN LAURE,19/11/2013,REPAS,€31,,
LABORATOIRES URGO,Infirmier,TEXIER BEATRICE,19/11/2013,REPAS,€31,,
LEO Pharma,Médecin,GROLLEAU JEAN YVES,12/06/2014,REPAS,€16,,
LEO Pharma,Pharmacien,JOUBERT AGNES,14/06/2013,REPAS,€45,,
LEO Pharma,Pharmacien,SIRIEIX JOELLE,14/06/2013,REPAS,€45,,
LES LABORATOIRES SERVIER,Médecin,TRUCHASSOU MICHEL,21/11/2013,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,TRUCHASSOU MICHEL,03/12/2013,Repas,€50,,
LUNDBECK SAS,Médecin,CHEVALIER CATHERINE,21/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€17,,
LUNDBECK SAS,Médecin,COQUILLAUD BRUNO,05/10/2013,AUTRE : FRAIS D HOSPITALITE / RP,€300,,
LUNDBECK SAS,Médecin,DEPRET BIXIO GERARD,30/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,GALINAT LACHENAUD DANIELLE,21/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€17,,
LUNDBECK SAS,Médecin,GAUDILLERE ERIC,05/10/2013,AUTRE : FRAIS D HOSPITALITE / RP,€300,,
LUNDBECK SAS,Médecin,GUEMARD JOUSSAIN ISABELLE,12/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,GUEMARD JOUSSAIN ISABELLE,16/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€58,,
LUNDBECK SAS,Médecin,TRUCHASSOU MICHEL,29/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Pharmacien,COGNARD PIERRE,29/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Pharmacien,COGNARD PIERRE,21/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€17,,
medi,Pharmacien,MARIAUD NATHALIE,03/02/2014,Repas,€12,,
medi,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GESLIN SYLVIE,03/02/2014,Repas,€11,,
MENARINI FRANCE,Médecin,PACAUD VINCENT,13/03/2014,Autre : [Restauration],€57,,
MSD France,Médecin,DEPRET BIXIO GERARD,27/09/2013,REPAS,€92,,
MSD France,Médecin,PONTHIER LAURE,03/10/2013,REPAS,€41,,
MSD France,Médecin,TRUCHASSOU MICHEL,04/07/2013,REPAS,€62,,
MSD France,Médecin,TRUCHASSOU MICHEL,22/03/2014,TRANSPORT,€457,,
MSD France,Médecin,TRUCHASSOU MICHEL,12/06/2014,REPAS,€60,,
MSD France,Médecin,TRUCHASSOU MICHEL,22/05/2014,REPAS,€60,,
MSD France,Médecin,TRUCHASSOU MICHEL,03/04/2014,REPAS,€50,,
MSD France,Médecin,TRUCHASSOU MICHEL,22/03/2014,HÉBERGEMENT,€300,,
MSD France,Médecin,TRUCHASSOU MICHEL,22/03/2014,REPAS,€174,,
NOVARTIS PHARMA SAS,Médecin,BELLET FRAYSSE ELISABETH,31/03/2014,Repas,€17,,
NOVARTIS PHARMA SAS,Médecin,BELLET FRAYSSE ELISABETH,29/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,TRUCHASSOU MICHEL,09/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PFIZER SAS,Médecin,DEPRET BIXIO GERARD,15/10/2013,Repas,€35,,
PIERRE FABRE MEDICAMENT,Médecin,BERNIKIER DAVID,12/12/2013,RESTAURATION,€51,,
PIERRE FABRE MEDICAMENT,Médecin,BERNIKIER DAVID,19/12/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,DEPRET BIXIO GERARD,15/02/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,DEPRET BIXIO GERARD,30/05/2012,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,DEPRET BIXIO GERARD,24/10/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,DEPRET BIXIO GERARD,20/03/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,LABOURET EMILIE,19/09/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,LABOURET EMILIE,14/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,LABOURET EMILIE,14/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,TRUCHASSOU MICHEL,13/12/2012,Restauration,€62,,
PRODUITS DENTAIRES PIERRE ROLLAND,Chirurgien-dentiste,BOURZEIX JULIE,31/05/2012,DON PRODUITS,€353,,
RB Pharmaceuticals France,Médecin,CHEVALIER Catherine,06/06/2014,Repas,€12,,
RB Pharmaceuticals France,Pharmacien,NGUYEN Andre,07/02/2014,Repas,€12,,
RB Pharmaceuticals France,Pharmacien,NGUYEN Andre,06/06/2014,Repas,€12,,
RB Pharmaceuticals France,Pharmacien,NGUYEN Andre,16/05/2014,Repas,€38,,
RESEARCH NOW SAS,Médecin,Fiorenza Fabrice,28/02/2013,enquête,€27,,
RESEARCH NOW SAS,Médecin,Fiorenza Fabrice,01/10/2013,enquête,€19,,
ROCHE SAS,Médecin,VIDAL ELISABETH,07/06/2013,Restauration,€60,,
ROCHE SAS,Médecin,VIDAL ELISABETH,06/06/2013,Hébergement,€187,,
ROCHE SAS,Médecin,VIDAL ELISABETH,05/06/2013,Inscription,€190,,
ROCHE SAS,Médecin,VIDAL ELISABETH,05/06/2013,Hébergement,€187,,
ROCHE SAS,Médecin,VIDAL ELISABETH,05/06/2013,Frais remboursés (transport),€70,,
ROCHE SAS,Médecin,VIDAL ELISABETH,05/06/2013,Transport,€60,,
ROCHE SAS,Médecin,VIDAL ELISABETH,07/06/2013,Hébergement,€187,,
SANOFI AVENTIS FRANCE,Pharmacien,JOUBERT AGNES,14/05/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Pharmacien,JOUBERT AGNES,12/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,SIRIEIX JOELLE,14/05/2014,Repas,€47,,
SEPTODONT SAS,Chirurgien-dentiste,MAGNONNEAU Gérard,09/01/2013,Cadeaux,€288,,
SEPTODONT SAS,Chirurgien-dentiste,MAGNONNEAU Gérard,09/01/2013,Cadeaux,€288,,
SEPTODONT SAS,Chirurgien-dentiste,MAGNONNEAU Gérard,15/11/2012,Cadeaux,€144,,
Takeda France,Médecin,LESCURE VICTOR,11/04/2014,Repas,€140,,
Takeda France,Médecin,LESCURE VICTOR,11/04/2014,Inscription,"€1,356",,
Takeda France,Médecin,LESCURE VICTOR,11/04/2014,Hébergement,€931,,
THERABEL LUCIEN PHARMA,Médecin,DEPRET BIXIO GERARD,21/05/2014,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,DEPRET BIXIO GERARD,27/06/2013,REPAS,€45,,
