ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TATTU CHARLOTTE,10/04/2014,REPAS,€40,,
Bayer HealthCare SAS,Médecin,VIDONNE ANNE MARIE,27/03/2014,Hospitalité,€60,,
BIOCODEX,Médecin,PLUMEY ERIC,21/11/2013,REPAS,€58,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOTELLA HENRI PIERRE,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOURGOGNE ERIC,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DESBIEZ PHILIPPE,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PALAMARCZUK JEAN CLAUDE,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PLUMEY ERIC,13/05/2014,HOSPITALITE,€60,,
BOIRON,Médecin,BOTELLA HENRI PIERRE,26/06/2014,[REPAS],€35,,
BOIRON,Médecin,BOURGOGNE ERIC,26/06/2014,[REPAS],€35,,
BOIRON,Médecin,CURTIT PLANCHAT CATHERINE,19/12/2013,[REPAS],€35,,
BOIRON,Médecin,PALAMARCZUK JEAN CLAUDE,26/06/2014,[REPAS],€35,,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,ABDELHANI DJERBAH,19/11/2013,HOSPITALITE,€373,,
BRISTOL-MYERS SQUIBB,Médecin,GAPENNE FRANCIS,11/03/2014,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,TURBERGUE HENRI,29/08/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Médecin,TURBERGUE HENRI,18/10/2013,Repas,€60,,
Codexial Dermatologie,Médecin,MEUNIER-MORIN GENEVIEVE,31/01/2014,REPAS,€18,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOTELLA HENRI PIERRE,03/04/2014,Repas,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOTELLA HENRI PIERRE,24/10/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOTELLA HENRI PIERRE,24/10/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOURGOGNE ERIC,03/04/2014,Repas,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOURGOGNE ERIC,03/10/2013,Repas,€35,,
DAIICHI SANKYO FRANCE SAS,Médecin,DESBIEZ PHILIPPE,24/10/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,DESBIEZ PHILIPPE,12/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,DESBIEZ PHILIPPE,03/10/2013,Repas,€35,,
DAIICHI SANKYO FRANCE SAS,Médecin,GEHIN CATHERINE,13/09/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,PALAMARCZUK JEAN CLAUDE,12/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,PLUMEY ERIC,05/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROLLAND BROZZETTI BEATRICE,13/09/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,TURBERGUE HENRI,08/04/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,TURBERGUE HENRI,21/01/2014,Repas,€60,,
DENTSPLY Implants,Chirurgien-dentiste,BESSERER HUBERT,12/11/2013,REPAS,€45,,
Essilor,Opticien-lunetier,Cuenot Pierre,09/10/2013,Invitation à déjeuner / dîner,€15,,
Essilor,Opticien-lunetier,Cuenot Pierre,26/06/2013,Invitation a dejeuner ou diner,€10,,
Essilor,Opticien-lunetier,Erard Christophe,26/06/2013,Invitation a dejeuner ou diner,€10,,
Essilor,Opticien-lunetier,ERARD CHRISTOPHE MR,31/12/2013,Cadeau,€37,,
Essilor,Opticien-lunetier,Locatelli Tino,09/10/2013,Invitation à déjeuner / dîner,€15,,
Essilor,Opticien-lunetier,Locatelli Toni,26/06/2013,Invitation a dejeuner ou diner,€10,,
Fresenius Medical Care France S.A.S.,Infirmier,IMPINI MARLENE,21/02/2014,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,LAURENT NADEGE,21/02/2014,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,PREVOT FABIENNE,21/02/2014,REPAS,€20,,
galderma international,Médecin,MORIN GENEVIEVE,09/04/2014,Repas,€102,,
galderma international,Médecin,PETIGNY MARYSE,09/04/2014,Repas,€102,,
GE Medical Systems SCS,Médecin,MANZONI JEAN MARC,16/05/2013,REPAS PROFESSIONNEL,€31,,
GUERBET France,Manipulateur d’électroradiologie médicale,CLAUDEL VIRGINIE,01/02/2014,HEBERGEMENT,€179,,
GUERBET France,Manipulateur d’électroradiologie médicale,CLAUDEL VIRGINIE,01/02/2014,TRANSPORT,€144,,
GUERBET France,Manipulateur d’électroradiologie médicale,DROZ VINCENT SOPHIE,01/02/2014,TRANSPORT,€144,,
GUERBET France,Manipulateur d’électroradiologie médicale,DROZ VINCENT SOPHIE,01/02/2014,HEBERGEMENT,€179,,
GUERBET France,Médecin,OULTON SILVIANA,30/09/2013,HEBERGEMENT,€235,,
ICOMED,Chirurgien-dentiste,BOUGE COLETTE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,LAI THI HANH,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BOURGOGNE ERIC,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BOURGOGNE ERIC,11/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DAHMANI NASROUDIN,18/12/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,DESBIEZ PHILIPPE,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUMEL FRANCOIS,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GEHIN CATHERINE,08/04/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,HAGENMULLER ISABELLE,27/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LOUVET GERARD,10/06/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,MORIN GENEVIEVE,31/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,OHL CHRISTINE,28/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,PERRODIN JEAN PAUL,31/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,PETIGNY MARYSE,09/05/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PLUMEY ERIC,08/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PLUMEY ERIC,04/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,PRENAT ANDRE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PRENAT ANDRE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PROVE STEPHANE,24/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,PROVE STEPHANE,23/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,TURBERGUE HENRI,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TURBERGUE HENRI,07/01/2013,Autre: [Enquête],€29,,
IPSEN PHARMA,Médecin,BOTELLA HENRI PIERRE,22/05/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,BOURGOGNE ERIC,22/05/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,DESBIEZ PHILIPPE,22/05/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,22/05/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,TURBERGUE HENRI,26/06/2014,REPAS,€31,,
JANSSEN-CILAG,Médecin,BOTELLA HENRI PIERRE,20/02/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,BOURGOGNE ERIC,20/02/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,DESBIEZ PHILIPPE,14/03/2013,REPAS,€40,,
JANSSEN-CILAG,Médecin,DESBIEZ PHILIPPE,14/03/2013,REPAS,€40,,
JANSSEN-CILAG,Médecin,FERRY JEAN PIERRE,14/03/2013,REPAS,€40,,
JANSSEN-CILAG,Médecin,PALAMARCZUK JEAN CLAUDE,20/02/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,TURBERGUE HENRI,19/12/2013,REPAS,€46,,
laboratoire BAUSCH&LOMB,Opticien-lunetier,ERARD CHRISTOPHE,21/11/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,BAESA CLAIRE,04/12/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,COPPOLA CAMILLE,04/12/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,TOUBIN CLAIRE,04/12/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Masseur-kinésithérapeute,MARCASSOLA PHILIPPE,31/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Masseur-kinésithérapeute,MARCASSOLI CLAUDE,26/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Masseur-kinésithérapeute,MARCASSOLI CLAUDE,24/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Masseur-kinésithérapeute,MARCASSOLI CLAUDE,29/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,03/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,21/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,31/01/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,18/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,13/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,29/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,15/05/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,03/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,21/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,31/01/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,13/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,10/04/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,29/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,24/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOTELLA HENRI PIERRE,06/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,03/07/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,31/10/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,18/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,14/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,06/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,31/01/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,31/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,13/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,06/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,24/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,31/01/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,15/05/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,03/07/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,10/04/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOGNE ERIC,26/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,15/05/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,03/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,13/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,21/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,31/01/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,03/07/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,18/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,04/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,31/10/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,24/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,04/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,31/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,13/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESBIEZ PHILIPPE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEHIN CATHERINE,14/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEHIN CATHERINE,22/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEHIN CATHERINE,05/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEHIN CATHERINE,15/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEHIN CATHERINE,11/04/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEHIN CATHERINE,11/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KLAEYLE MARIE DOMINIQUE,15/05/2014,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUVET GERARD,04/12/2013,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUVET GERARD,11/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUVET GERARD,20/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUVET GERARD,02/05/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOUVET GERARD,15/05/2014,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OHL CHRISTINE,31/01/2013,Inscription,€405,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OHL CHRISTINE,31/01/2013,Transport,€959,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,21/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,31/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,24/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,28/02/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,31/01/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,13/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,18/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,31/10/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,04/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,04/07/2013,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,29/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,21/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,10/04/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALAMARCZUK JEAN CLAUDE,24/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,24/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,01/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,10/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,12/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,22/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,16/01/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,25/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,11/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,06/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,22/05/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,27/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,13/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,03/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,24/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,01/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,10/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,10/04/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,03/04/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,05/09/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,12/12/2013,REPAS,€60,,
