ABBOTT PRODUCTS SAS,Médecin,LAGADEC Jean,17/09/2013,REPAS,€47,,
LES LABORATOIRES SERVIER,Médecin,MELOT ALAIN,07/10/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,MELOT ALAIN,25/11/2013,Repas,€57,,
LES LABORATOIRES SERVIER,Médecin,MELOT ALAIN,03/02/2014,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,MELOT ALAIN,23/06/2014,Repas,€56,,
Lilly France SAS,Médecin,HEIMENDINGER DANIEL,15/10/2013,REPAS,€60,,
LUNDBECK SAS,Médecin,BOUDJEMA MEHDI,12/10/2013,AUTRE : HOSPITALITE,€542,,
LUNDBECK SAS,Médecin,BOUDJEMA MEHDI,13/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,BOUDJEMA MEHDI,21/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,CHADLI FOUAD,12/10/2013,AUTRE : HOSPITALITE,€310,,
LUNDBECK SAS,Médecin,CHADLI FOUAD,21/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,GIRAUD BARO ELISABETH,18/10/2013,AUTRE : FRAIS D HOSPITALITE / RP,€147,,
MSD France,Médecin,BELZUNCE FRANCIS,02/10/2012,HOSPITALITE,€55,,
MSD France,Médecin,BOUDOU JACQUES,13/06/2012,REPAS,€52,,
MSD France,Médecin,LAGADEC JEAN,08/02/2012,REPAS,€52,,
MUNDIPHARMA,Médecin,BOUDOU JACQUES,20/02/2013,AUTRE : FORMATION MEDICALE CONTINUE,€58,,
NOVARTIS PHARMA SAS,Médecin,BOUDOU JACQUES,15/05/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,BOUDOU JACQUES,25/02/2014,Repas,€24,,
NOVARTIS PHARMA SAS,Médecin,BOUDOU JACQUES,19/09/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,MELOT ALAIN,17/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MELOT ALAIN,25/03/2014,Autre : [Participation Evenement Scientifique],€55,,
Otsuka Pharmaceutical France SAS,Médecin,MARTIN Juliette,08/10/2013,RESTAURATION,€40,,
PFIZER SAS,Médecin,LAGADEC JEAN,27/02/2014,REPAS,€53,,
PFIZER SAS,Médecin,SUDRE ANNE,22/11/2013,Repas,€37,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDOU JACQUES,04/04/2012,Restauration,€49,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDOU JACQUES,16/10/2013,RESTAURATION,€57,,
PIERRE FABRE MEDICAMENT,Médecin,LE FUR ESTELLE,18/10/2013,RESTAURATION,€29,,
PIERRE FABRE MEDICAMENT,Pharmacien,GEORGES ISABELLE,16/04/2013,Restauration,€50,,
RADIANTE,Pharmacien,GEORGES Isabelle,06/04/2012,Repas,€30,,
ROTTAPHARM SAS,Médecin,BOUDOU JACQUES,14/03/2014,DEJEUNER/REPAS A MIDI,€29,,
ROTTAPHARM SAS,Médecin,LE FUR ESTELLE,04/10/2013,DEJEUNER,€24,,
SANOFI PASTEUR MSD SNC,Médecin,MICHON AUPIC SYLVIE,27/02/2014,Repas,€34,,
Takeda France,Médecin,MELOT Alain,14/11/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,BOUDOU JACQUES,18/11/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,BOUDOU JACQUES,18/12/2013,REPAS,€58,,
TEVA SANTE SAS,Médecin,BOUDOU JACQUES,31/03/2014,REPAS,€31,,
TEVA SANTE SAS,Médecin,MICHON AUPIC SYLVIE,16/01/2014,REPAS,€24,,
TEVA SANTE SAS,Pharmacien,KORNMANN JEAN PHILLIP,16/12/2013,REPAS,€50,,
TEVA SANTE SAS,Pharmacien,M KORNMANN JEAN PHILIPPE,01/10/2013,REPAS,€13,,
VEXIM SA,Médecin,MELOT ALAIN,05/11/2013,HOSPITALITE,€37,,
VIROPHARMA SPRL,Médecin,MICHON AUPIC SYLVIE,20/03/2014,REPAS,€25,,
