ASPEN FRANCE,Médecin,CONVERSAT Céline,23/05/2014,Repas,€20,,
BRISTOL-MYERS SQUIBB,Médecin,BONNOT PHILIPPE,06/03/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,CABOURDIN PHILIPPE,20/02/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,CABOURDIN PHILIPPE,06/03/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,CABOURDIN PHILIPPE,03/10/2013,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,SOMMER VALERIE,06/03/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,SOMMER VALERIE,03/10/2013,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,SOMMER VALERIE,20/02/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Pharmacien,DEMANGEON AGNES,21/01/2014,Repas,€16,,
BSN-RADIANTE SAS,Pharmacien,BARRIERE Arnaud,03/04/2014,Repas,€25,,
BSN-RADIANTE SAS,Pharmacien,BARRIERE Christiane,03/04/2014,Repas,€25,,
CHIESI SA,Médecin,MULLER JEAN MICHEL,18/03/2014,Repas,€53,,
Cochlear France,Audioprothésiste,CABIJOS ARMELLE,21/01/2014,AUTRE : [JOURNEE D'ETUDE],€69,,
Cochlear France,Audioprothésiste,KONCZEWSKI PIERRE,21/01/2014,AUTRE : [JOURNEE D'ETUDE],€69,,
Cochlear France,Audioprothésiste,KONCZEWSKI PIERRE,21/01/2014,AUTRE : [JOURNEE D'ETUDE],€69,,
COSMETIQUE ACTIVE FRANCE,Etudiant,CASTELLUCIO JEREMIAH,28/01/2014,REPAS,€39,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FAVERON-GERARD ANNE,28/01/2014,REPAS,€39,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FERRIGNO LAETITIA,28/01/2014,REPAS,€39,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,MARTIN FLAVIE,20/02/2014,REPAS,€75,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,MUGNIER CLEMENCE,28/01/2014,REPAS,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,BONNOT PHILIPPE,11/07/2013,Repas,€19,,
DAIICHI SANKYO FRANCE SAS,Médecin,MULLER JEAN MICHEL,13/12/2013,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,MULLER JEAN MICHEL,06/06/2014,Repas,€34,,
DAIICHI SANKYO FRANCE SAS,Médecin,SOMMER VALERIE,13/12/2013,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,SOMMER VALERIE,06/06/2014,Repas,€34,,
Dexter,Chirurgien-dentiste,DRIZARD BRUNO,31/12/2013,Cadeaux,€24,,
ICOMED,Chirurgien-dentiste,CHURIE CHARLES,18/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,CHURIE CHARLES,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,CHURIE DELIOT ANNE,04/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,CHURIE DELIOT ANNE,16/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,HACMOUN GERARD,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,HACMOUN GERARD,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,CABOURDIN PHILIPPE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CABOURDIN PHILIPPE,21/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,MULLER JEAN MICHEL,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MULLER JEAN MICHEL,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POUCHARD LAURENT,07/03/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,POUCHARD LAURENT,23/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,SOMMER VALERIE,04/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,22/05/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,24/10/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,13/06/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,14/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,20/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNOT PHILIPPE,10/07/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,14/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,22/01/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,20/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,22/05/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,23/05/2013,Hospitalite,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,24/10/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,10/07/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABOURDIN PHILIPPE,13/06/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHANDELIER FALVO FRANCOISE,15/11/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CONVERSAT CELINE,24/10/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANTELET HERVE,22/01/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER JEAN MICHEL,04/07/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER JEAN MICHEL,10/07/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER JEAN MICHEL,14/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER JEAN MICHEL,20/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NORDEY MARIE,24/10/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUCHARD LAURENT,14/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUCHARD LAURENT,13/06/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUCHARD LAURENT,23/05/2013,Hospitalite,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUCHARD LAURENT,22/01/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUCHARD LAURENT,20/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,04/07/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,04/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,08/06/2012,Hospitalité,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,14/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,30/05/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,21/06/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,21/06/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,04/07/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOMMER VALERIE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUCKI ARDOUIN VERONIQUE,22/01/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,DEMANGEON AGNES,23/10/2012,Hospitalité,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CABOURDIN PHILIPPE,21/11/2013,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GEHIN CHRISTIAN,11/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,POUCHARD LAURENT,21/11/2013,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BARRIERE CHARLES,15/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BARRIERE CHARLES,26/09/2013,Repas,€44,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,CHEVALIER BEATRICE,15/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEMANGEON AGNES,12/03/2014,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEMANGEON AGNES,15/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEMANGEON AGNES,26/09/2013,Repas,€44,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,MARTIN FLAVIE,15/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,PERDERISET STEPHANIE,26/09/2013,Repas,€44,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,PERDERISET STEPHANIE,15/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FIATTE INGRID,15/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PIERRE ELISE,15/05/2014,Repas,€60,,
LABORATOIRES COLOPLAST,Médecin,BONNOT PHILIPPE,09/01/2014,Repas,€25,,
LABORATOIRES COLOPLAST,Médecin,CABOURDIN PHILIPPE,09/01/2014,Repas,€25,,
LABORATOIRES COLOPLAST,Médecin,SOMMER VALERIE,09/01/2014,Repas,€25,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BONNOT PHILIPPE,27/01/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,CABOURDIN PHILIPPE,27/01/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,POUCHARD LAURENT,27/01/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,SOMMER VALERIE,27/01/2014,HOSPITALITE,€40,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GERARD ANNE,13/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MUGNIER-BARBEAU CLEMENCE,22/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MUGNIER-BARBEAU CLEMENCE,22/10/2013,INVITATIONS,€20,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARCELOT ISABELLE,18/11/2013,REPAS,€30,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE BARRIERE ET ASSOCIES PHARMACIE BARRIERE ET ASSOCIES,15/10/2013,REPAS,€27,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE BARRIERE ET ASSOCIES PHARMACIE BARRIERE ET ASSOCIES,15/10/2013,REPAS,€27,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE BARRIERE ET ASSOCIES PHARMACIE BARRIERE ET ASSOCIES,15/10/2013,REPAS,€27,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE BARRIERE ET ASSOCIES PHARMACIE BARRIERE ET ASSOCIES,15/10/2013,REPAS,€27,,
LES LABORATOIRES SERVIER,Médecin,BONNOT PHILIPPE,04/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BONNOT PHILIPPE,01/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BONNOT PHILIPPE,17/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,CABOURDIN PHILIPPE,17/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,CABOURDIN PHILIPPE,12/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,MULLER JEAN MICHEL,04/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,NORDEY BERARD MARIE,04/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,POUCHARD LAURENT,04/07/2013,Repas,€60,,
Lilly France SAS,Pharmacien,ALBERTINI RAPIN DELPHINE,07/11/2013,REPAS,€60,,
LUNDBECK SAS,Médecin,BONNOT PHILIPPE,05/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€23,,
LUNDBECK SAS,Médecin,CABOURDIN PHILIPPE,05/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€23,,
LUNDBECK SAS,Médecin,SOMMER VALERIE,05/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€23,,
MEDA PHARMA,Médecin,CABOURDIN PHILIPPE,31/10/2013,REPAS,€38,,
MEDA PHARMA,Médecin,POUCHARD LAURENT,31/10/2013,REPAS,€54,,
MENARINI FRANCE,Médecin,BONNOT PHILIPPE,21/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,BONNOT PHILIPPE,18/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,CABOURDIN PHILIPPE,21/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,GEHIN CHRISTIAN,05/11/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,MANTELET HERVE,21/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,POUCHARD LAURENT,21/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,TUCKI ARDOUIN VERONIQUE,21/01/2014,Autre : [Restauration],€25,,
MSD France,Médecin,BONNOT PHILIPPE,19/01/2012,HOSPITALITE,€50,,
MSD France,Médecin,BONNOT PHILIPPE,16/05/2013,REPAS,€23,,
MSD France,Médecin,BONNOT PHILIPPE,28/11/2013,REPAS,€22,,
MSD France,Médecin,BONNOT PHILIPPE,23/02/2012,REPAS,€30,,
MSD France,Médecin,BONNOT PHILIPPE,10/04/2014,TRANSPORT,€327,,
MSD France,Médecin,BONNOT PHILIPPE,28/11/2013,REPAS,€22,,
MSD France,Médecin,BONNOT PHILIPPE,10/04/2014,REPAS,€174,,
MSD France,Médecin,BONNOT PHILIPPE,10/04/2014,TRANSPORT,€327,,
MSD France,Médecin,CABOURDIN PHILIPPE,10/04/2014,TRANSPORT,€327,,
MSD France,Médecin,CABOURDIN PHILIPPE,27/09/2012,REPAS,€32,,
MSD France,Médecin,CABOURDIN PHILIPPE,19/01/2012,HOSPITALITE,€50,,
MSD France,Médecin,CABOURDIN PHILIPPE,16/05/2013,REPAS,€23,,
MSD France,Médecin,CABOURDIN PHILIPPE,28/11/2013,REPAS,€22,,
MSD France,Médecin,CABOURDIN PHILIPPE,23/02/2012,REPAS,€30,,
MSD France,Médecin,CABOURDIN PHILIPPE,10/04/2014,HÉBERGEMENT,€300,,
MSD France,Médecin,CABOURDIN PHILIPPE,10/04/2014,REPAS,€174,,
MSD France,Médecin,GEHIN CHRISTIAN,19/03/2013,HOSPITALITÉ,€63,,
MSD France,Médecin,POUCHARD LAURENT,28/11/2013,REPAS,€22,,
MSD France,Médecin,POUCHARD LAURENT,27/09/2012,REPAS,€32,,
MSD France,Médecin,POUCHARD LAURENT,19/01/2012,HOSPITALITE,€50,,
MSD France,Médecin,POUCHARD LAURENT,23/02/2012,REPAS,€30,,
MSD France,Médecin,POUCHARD LAURENT,07/03/2013,REPAS,€19,,
MSD France,Médecin,POUCHARD LAURENT,16/05/2013,REPAS,€23,,
MSD France,Médecin,SOMMER VALERIE,15/06/2012,REPAS,€19,,
MSD France,Médecin,SOMMER VALERIE,01/06/2012,REPAS,€19,,
MSD France,Médecin,SOMMER VALERIE,28/11/2013,REPAS,€22,,
MSD France,Médecin,SOMMER VALERIE,23/07/2013,REPAS,€34,,
MSD France,Médecin,SOMMER VALERIE,31/08/2012,REPAS,€18,,
MSD France,Médecin,SOMMER VALERIE,15/06/2012,REPAS,€19,,
MSD France,Médecin,SOMMER VALERIE,16/05/2013,REPAS,€23,,
MSD France,Médecin,SOMMER VALERIE,27/09/2012,REPAS,€32,,
MSD France,Médecin,SOMMER VALERIE,19/01/2012,HOSPITALITE,€50,,
NOVARTIS PHARMA SAS,Médecin,BONNOT PHILIPPE,21/11/2013,Repas,€51,,
NOVARTIS PHARMA SAS,Médecin,BONNOT PHILIPPE,24/04/2014,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,BONNOT PHILIPPE,26/09/2013,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,CABOURDIN PHILIPPE,24/04/2014,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,CABOURDIN PHILIPPE,26/09/2013,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,POUCHARD LAURENT,16/10/2013,Repas,€41,,
NOVARTIS PHARMA SAS,Médecin,SOMMER VALERIE,07/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SOMMER VALERIE,24/04/2014,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,SOMMER VALERIE,21/11/2013,Repas,€51,,
NOVARTIS PHARMA SAS,Médecin,SOMMER VALERIE,13/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SOMMER VALERIE,26/09/2013,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,SOMMER VALERIE,18/02/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,BONNOT PHILIPPE,27/02/2014,REPAS,€34,,
NOVO NORDISK,Médecin,BONNOT PHILIPPE,19/09/2013,REPAS,€50,,
NOVO NORDISK,Médecin,CABOURDIN PHILIPPE,27/02/2014,REPAS,€34,,
NOVO NORDISK,Médecin,CABOURDIN PHILIPPE,19/09/2013,REPAS,€50,,
NOVO NORDISK,Médecin,SOMMER VALERIE,19/09/2013,REPAS,€50,,
PFIZER SAS,Médecin,BONNOT PHILIPPE,10/10/2013,Repas,€30,,
PFIZER SAS,Médecin,CABOURDIN PHILIPPE,10/10/2013,Repas,€30,,
PFIZER SAS,Médecin,SOMMER VALERIE,10/10/2013,Repas,€30,,
PIERRE FABRE MEDICAMENT,Médecin,BONNOT PHILIPPE,26/04/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,CABOURDIN PHILIPPE,26/04/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,GEHIN CHRISTIAN,17/01/2014,RESTAURATION,€35,,
PIERRE FABRE MEDICAMENT,Médecin,GEHIN CHRISTIAN,12/12/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,GEHIN CHRISTIAN,14/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,GEHIN CHRISTIAN,26/04/2013,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,MULLER JEAN MICHEL,18/04/2012,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,MULLER JEAN MICHEL,26/04/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,POUCHARD LAURENT,22/06/2012,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,POUCHARD LAURENT,26/04/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,POUCHARD LAURENT,18/09/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,POUCHARD LAURENT,17/01/2014,RESTAURATION,€35,,
PIERRE FABRE MEDICAMENT,Médecin,SOMMER VALERIE,13/06/2013,Restauration,€143,,
PIERRE FABRE MEDICAMENT,Médecin,SOMMER VALERIE,13/06/2013,HÃƒÂ©bergement,€66,,
PIERRE FABRE MEDICAMENT,Médecin,SOMMER VALERIE,13/06/2013,Restauration,€143,,
PIERRE FABRE MEDICAMENT,Médecin,SOMMER VALERIE,26/04/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Pharmacien,BARRIERE CHARLES,26/01/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Pharmacien,CHEVALIER BEATRICE,26/01/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Pharmacien,DEMANGEON AGNES,26/01/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Pharmacien,PERDERISET STEPHANIE,26/01/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FIATTE INGRID,26/01/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PIERRE ELISE,26/01/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROELS VIRGINIE,26/01/2012,Restauration,€12,,
ROCHE SAS,Médecin,SOUTENET VERONIQUE,06/09/2013,Repas,€16,,
SANOFI AVENTIS FRANCE,Médecin,BERTRAND QUENTIN,09/01/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,BERTRAND QUENTIN,13/02/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,BERTRAND QUENTIN,13/03/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,BERTRAND QUENTIN,10/04/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,BERTRAND QUENTIN,15/05/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,BONNOT PHILIPPE,15/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,BURDIN ANGELIQUE,25/09/2013,Restauration,€50,,
SANOFI AVENTIS FRANCE,Médecin,CABOURDIN PHILIPPE,15/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,GEHIN CHRISTIAN,22/01/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,POUCHARD LAURENT,15/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,SOMMER VALERIE,15/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,TARANCHON CORALIE,25/09/2013,Restauration,€50,,
