3M France,Pharmacien,RAVENEAU EDDY,26/03/2014,REPAS,€36,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,11/01/2013,AUTRE : [RESTAURATION],€13,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Autre : [Restauration],€293,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Autre [Inscription],€650,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,25/04/2012,AUTRE : [RESTAURATION],€46,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Hébergement,€816,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/02/2013,AUTRE : [RESTAURATION],€260,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,17/04/2013,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,09/06/2014,Autre : [Restauration],€26,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,01/03/2013,AUTRE : [RESTAURATION],€19,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Autre : [Restauration],€293,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Transport,€616,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,10/02/2014,Autre : [Restauration],€15,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,06/03/2012,AUTRE : [RESTAURATION],€13,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Autre [Inscription],€650,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,03/10/2012,TRANSPORT,€380,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,23/06/2013,Autre : [Restauration],€25,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,21/01/2014,Autre : [Restauration],€15,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,13/05/2014,Autre : [Restauration],€13,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,11/01/2013,AUTRE : [RESTAURATION],€13,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,20/10/2012,TRANSPORT,€112,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,03/10/2012,HEBERGEMENT,€375,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,01/06/2012,HEBERGEMENT,€465,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,02/03/2012,AUTRE : [INSCRIPTION],€656,,
ALK-Abelló,Médecin,BOULEGUE MICHEL,16/04/2013,AUTRE : [INSCRIPTION],€311,,
ALK-Abelló,Médecin,BOULEGUE MICHEL,16/04/2013,TRANSPORT,€286,,
ALK-Abelló,Médecin,GELY GHISLAIN,20/10/2012,AUTRE : [RESTAURATION],€120,,
ALK-Abelló,Médecin,GELY GHISLAIN,19/10/2013,HEBERGEMENT,€155,,
ALK-Abelló,Médecin,GELY GHISLAIN,19/10/2013,AUTRE : [RESTAURATION],€130,,
ALK-Abelló,Médecin,GELY GHISLAIN,31/01/2014,Transport,"€1,023",,
ALK-Abelló,Médecin,GELY GHISLAIN,31/01/2014,Autre : [Restauration],€258,,
ALK-Abelló,Médecin,GELY GHISLAIN,31/01/2014,Autre [Inscription],€480,,
ALK-Abelló,Médecin,GELY GHISLAIN,20/10/2012,HEBERGEMENT,€150,,
ALK-Abelló,Médecin,GELY GHISLAIN,31/01/2014,HÃ©bergement,€706,,
ALLERGAN FRANCE,Médecin,BOIVIN LAETITIA,10/09/2013,REPAS,€19,,
ALLERGAN FRANCE,Médecin,MALLET-GUY SANDRINE,16/05/2014,REPAS,€29,,
ALLERGAN FRANCE,Médecin,PELINARD LOUIS,24/02/2014,REPAS,€17,,
alliance healthcare repartition,Pharmacien,SEGUY BENOIT,04/06/2014,Repas,€14,,
American Medical Systems France,Médecin,MALLET Richard,23/11/2013,REPAS,€67,,
American Orthodontics,Chirurgien-dentiste,CAZENAVE CAROLINE,02/05/2013,REPAS,€53,,
American Orthodontics,Chirurgien-dentiste,CAZENAVE CAROLINE,23/10/2012,REPAS,€23,,
American Orthodontics,Chirurgien-dentiste,CAZENAVE CAROLINE,13/06/2014,REPAS,€65,,
American Orthodontics,Chirurgien-dentiste,CAZENAVE CAROLINE,13/01/2014,REPAS,€63,,
AMGEN SAS,Médecin,LAVIGNAC CAROLINE,18/03/2014,REPAS IMPROMPTU,€22,,
AMGEN SAS,Médecin,LIARD MEILLON MARIE ELISABETH,18/03/2014,REPAS IMPROMPTU,€22,,
AMGEN SAS,Médecin,POUX JEAN  MICHEL,13/04/2013,REPAS,€53,,
AMGEN SAS,Médecin,POUX JEAN  MICHEL,12/04/2013,REPAS,€51,,
AMGEN SAS,Médecin,POUX JEAN  MICHEL,13/04/2013,REPAS,€53,,
AMO FRANCE SAS,Médecin,BARBARA HELENE,13/09/2013,REPAS DE TRAVAIL,€15,,
AMO FRANCE SAS,Médecin,BARBARA HELENE,11/10/2013,REPAS DE TRAVAIL,€44,,
AMO FRANCE SAS,Médecin,BARBARA HELENE,27/09/2013,REPAS DE TRAVAIL,€18,,
AMO FRANCE SAS,Médecin,BROUSSEAUD FRANCOIS-XAVIER,02/10/2013,REPAS DE TRAVAIL,€11,,
AMO FRANCE SAS,Médecin,BROUSSEAUD FRANCOIS-XAVIER,12/03/2014,REPAS DE TRAVAIL,€16,,
AMO FRANCE SAS,Médecin,PELINARD LOUIS,27/01/2014,REPAS DE TRAVAIL,€16,,
AMO FRANCE SAS,Médecin,PELINARD LOUIS,18/02/2014,REPAS DE TRAVAIL,€14,,
AMPLITUDE,Médecin,BRUNOT PHILIPPE,20/09/2013,TRANSPORT,€172,,
AMPLITUDE,Médecin,BRUNOT PHILIPPE,20/09/2013,REPAS,€37,,
APTALIS PHARMA SAS,Médecin,EL JAMAL SEBASTIEN,25/04/2014,FRAIS D'HOSPITALIT,€20,,
APTALIS PHARMA SAS,Médecin,EL JAMAL SEBASTIEN,25/04/2014,FRAIS D'HOSPITALIT,€35,,
APTALIS PHARMA SAS,Médecin,GINESTET PIERRE,25/04/2014,FRAIS D'HOSPITALIT,€20,,
APTALIS PHARMA SAS,Médecin,GINESTET PIERRE,25/04/2014,FRAIS D'HOSPITALIT,€35,,
APTALIS PHARMA SAS,Médecin,HENRY BRUNO,25/04/2014,FRAIS D'HOSPITALIT,€35,,
APTALIS PHARMA SAS,Médecin,HENRY BRUNO,27/11/2013,FRAIS D'HOSPITALITÉ,€25,,
APTALIS PHARMA SAS,Médecin,HENRY BRUNO,25/04/2014,FRAIS D'HOSPITALIT,€20,,
APTALIS PHARMA SAS,Médecin,LAPLANE BERTRAND,21/03/2013,INSCRIPTIONS,€460,,
APTALIS PHARMA SAS,Médecin,LAPLANE BERTRAND,21/03/2013,FRAIS D'HOSPITALITÉ,€796,,
APTALIS PHARMA SAS,Médecin,LAPLANE BERTRAND,21/03/2013,INSCRIPTIONS,€460,,
APTALIS PHARMA SAS,Médecin,QUILEZ DANIEL,25/04/2014,FRAIS D'HOSPITALIT,€20,,
APTALIS PHARMA SAS,Médecin,QUILEZ DANIEL,25/04/2014,FRAIS D'HOSPITALIT,€35,,
APTALIS PHARMA SAS,Médecin,SINOIR PIERRE FRANCOIS,25/04/2014,FRAIS D'HOSPITALIT,€35,,
APTALIS PHARMA SAS,Médecin,SINOIR PIERRE FRANCOIS,25/04/2014,FRAIS D'HOSPITALIT,€20,,
ARROW GENERIQUES SAS,Pharmacien,BOUILLAGUET SERGE,17/12/2013,CADEAUX,€24,,
ARROW GENERIQUES SAS,Pharmacien,CHANCEL RENAUD,17/12/2013,CADEAUX,€24,,
ARROW GENERIQUES SAS,Pharmacien,CHANCEL RENAUD,31/08/2013,REPAS,€16,,
ARROW GENERIQUES SAS,Pharmacien,CHAVANEL CHRISTELLE,17/01/2014,CADEAUX,€12,,
ARROW GENERIQUES SAS,Pharmacien,DESSENDIER BRUNO,17/01/2014,CADEAUX,€12,,
ARROW GENERIQUES SAS,Pharmacien,DESSENDIER DOUNIAH,20/02/2014,REPAS,€24,,
ARROW GENERIQUES SAS,Pharmacien,DESSENDIER DOUNIAH,17/01/2014,CADEAUX,€12,,
ARROW GENERIQUES SAS,Pharmacien,HONORE MADY,17/12/2013,CADEAUX,€24,,
ARROW GENERIQUES SAS,Pharmacien,ICHER XAVIER,17/01/2014,CADEAUX,€12,,
ARROW GENERIQUES SAS,Pharmacien,ICHER XAVIER,11/12/2013,REPAS,€48,,
ARROW GENERIQUES SAS,Pharmacien,LAVAUD BERNARD,17/01/2014,CADEAUX,€12,,
ARROW GENERIQUES SAS,Pharmacien,LAVAUD BERNARD,11/12/2013,REPAS,€48,,
ARROW GENERIQUES SAS,Pharmacien,MONTEIL PATRICIA,17/01/2014,CADEAUX,€12,,
ARROW GENERIQUES SAS,Pharmacien,SALAGNAC DENIS,17/12/2013,CADEAUX,€24,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRETTE EVELYNE,20/02/2014,REPAS,€24,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,OLLIER ANNIE,20/02/2014,REPAS,€24,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RANISSE AURELIE,20/02/2014,REPAS,€24,,
Arthrex SAS,Médecin,GERAUD HUGUES,05/12/2013,HEBERGEMENT,€361,,
Arthrex SAS,Médecin,GERAUD HUGUES,05/12/2013,REPAS,€70,,
Arthrex SAS,Médecin,GERAUD HUGUES,05/12/2013,TRANSPORT,€174,,
Arthrex SAS,Médecin,HARISBOURE ALAIN,13/11/2013,REPAS,€60,,
ASPEN FRANCE,Médecin,CHASTANG Anne,06/03/2014,Repas,€33,,
ASPEN FRANCE,Médecin,CHASTANG Anne,22/05/2014,Repas,€26,,
ASPEN FRANCE,Médecin,CHASTANG Frédéric,06/03/2014,Repas,€33,,
ASPEN FRANCE,Médecin,CHASTANG Frédéric,22/05/2014,Repas,€26,,
ASPEN FRANCE,Médecin,POSTIL FRANCOIS Annabel,11/04/2014,Repas,€29,,
ASPEN FRANCE,Médecin,POSTIL FRANCOIS Annabel,26/06/2014,Repas,€41,,
ASTELLAS PHARMA,Association professionnel de santé,ASSOCIATION FFFCEDV,05/04/2014,DONS DE FONCTIONNEMENT,"€9,000",,
ASTELLAS PHARMA,Association professionnel de santé,CERCLE BRIVISTE URO,03/06/2014,DONS DE FONCTIONNEMENT,"€1,000",,
ASTELLAS PHARMA,Médecin,DUCROCQ SYLVAIN,14/12/2012,REPAS,€12,,
ASTELLAS PHARMA,Médecin,DUCROCQ SYLVAIN,15/12/2012,REPAS,€12,,
ASTELLAS PHARMA,Médecin,DUCROCQ SYLVAIN,14/12/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DUCROCQ SYLVAIN,14/12/2012,REPAS,€56,,
ASTELLAS PHARMA,Médecin,DUCROCQ SYLVAIN,12/01/2013,REPAS,€45,,
ASTELLAS PHARMA,Médecin,DUCROCQ SYLVAIN,14/12/2012,HEBERGEMENT,€210,,
ASTELLAS PHARMA,Médecin,MAGHIA REMI,18/01/2014,REPAS,€62,,
ASTELLAS PHARMA,Médecin,MAGHIA REMI,17/01/2014,HEBERGEMENT,€216,,
ASTELLAS PHARMA,Médecin,MAGHIA REMI,17/01/2014,TRANSPORT,€236,,
ASTELLAS PHARMA,Médecin,MAGHIA REMI,17/01/2014,REPAS,€51,,
ASTELLAS PHARMA,Médecin,MAGHIA REMI,17/01/2014,TRANSPORT,€19,,
ASTELLAS PHARMA,Médecin,MAGHIA REMI,18/01/2014,HEBERGEMENT,€173,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,23/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,12/01/2013,REPAS,€45,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,14/12/2012,HEBERGEMENT,€210,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,24/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,21/11/2012,INVITATIONS,€540,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,21/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,22/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,27/09/2012,INVITATIONS,€970,,
ASTELLAS PHARMA,Médecin,MALLET RICHARD,30/09/2012,HEBERGEMENT,€185,,
ASTRAZENECA,Etudiant,CHASSANG THOMAS,07/11/2013,Repas,€57,,
ASTRAZENECA,Etudiant,CHASSANG THOMAS,12/12/2013,Repas,€57,,
ASTRAZENECA,Etudiant,CHASSANG THOMAS,10/09/2013,Repas,€20,,
ASTRAZENECA,Etudiant,CHASSANG THOMAS,05/12/2013,Repas,€57,,
ASTRAZENECA,Etudiant,CHASSANG THOMAS,08/10/2013,Repas,€57,,
ASTRAZENECA,Etudiant,CHASSANG THOMAS,10/09/2013,Repas,€20,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,28/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,13/02/2014,Repas,€57,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,19/06/2014,Repas,€43,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,08/04/2014,Repas,€20,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,18/06/2014,Repas,€57,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,03/06/2014,Repas,€57,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,22/05/2014,Repas,€57,,
ASTRAZENECA,Etudiant,PENAULT MATHILDE,11/03/2014,Repas,€25,,
ASTRAZENECA,Etudiant,POIREL GHISLAINE,22/05/2014,Repas,€57,,
ASTRAZENECA,Infirmier,DALES SANDRINE,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,ANTOINE ELISABETH,03/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BENSLIMANE SAMIR,08/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BERTHE PAUL,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERTHE PAUL,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BLANC FRANCOIS,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUVOT CATHERINE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUVOT CATHERINE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHARLIAGUET JEAN PIERRE,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CIGANA ANDRE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,CIGANA SYLVIE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUTHEIL FAHEY MARIE JEANNE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,EL JAMAL SEBASTIEN,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,EL JAMAL SEBASTIEN,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,EL JAMAL SEBASTIEN,11/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,ESPALIAT ERIC,16/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,ESPALIAT ERIC,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,ESPALIAT ERIC,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,FORTUNE GERARD,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FORTUNE GERARD,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,FRAYSSE JEAN BERNARD,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FRAYSSE Jean-Bernard,29/11/2013,Transport,€301,,
ASTRAZENECA,Médecin,FRAYSSE Jean-Bernard,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,FRAYSSE Jean-Bernard,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,GADENNE GERARD,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GELY Ghislain,12/10/2013,[Repas],€43,,
ASTRAZENECA,Médecin,GELY GHISLAIN,06/12/2013,Transport,€53,,
ASTRAZENECA,Médecin,GELY GHISLAIN,06/12/2013,Hébergement,€185,,
ASTRAZENECA,Médecin,GELY GHISLAIN,06/12/2013,Transport,€81,,
ASTRAZENECA,Médecin,GELY GHISLAIN,07/12/2013,Transport,€76,,
ASTRAZENECA,Médecin,GELY GHISLAIN,06/12/2013,Transport,€81,,
ASTRAZENECA,Médecin,GELY GHISLAIN,06/12/2013,Transport,€53,,
ASTRAZENECA,Médecin,GELY GHISLAIN,06/12/2013,Repas,€60,,
ASTRAZENECA,Médecin,GUILLAUMONT VERONIQUE,03/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,HARISBOURE DE SAINT JORES ISABELLE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,HARISBOURE DE SAINT JORES ISABELLE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,KOHLER HERVE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LACROIX ALAIN,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LACROIX ALAIN,16/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAPEYRE ALAIN,31/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAPEYRE ALAIN,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAPEYRE ALAIN,25/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEINEKUGEL LE COCQ BUGEAT CECILE,21/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,LEINEKUGEL LE COCQ BUGEAT CECILE,23/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,LOPEZ STEPHANIE,06/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,MANDON J CHRISTOPHE,31/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,MANDON J CHRISTOPHE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MASDUPUY ALLEMAN ANNELISE,28/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,MASDUPUY ALLEMAN ANNELISE,03/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MASDUPUY ALLEMAN ANNELISE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MIANE BERTRAND,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MIANE Bertrand,29/11/2013,Transport,€284,,
ASTRAZENECA,Médecin,MIANE Bertrand,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,MIANE Bertrand,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,MIANE BERTRAND,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MIANE BERTRAND,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MIANE BERTRAND,16/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PORTE PATRICK,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PORTE PATRICK,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,PORTE PATRICK,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,POSTIL FRANCOIS ANNABEL,16/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PREMAUD JEAN PAUL,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,QUILEZ DANIEL,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,QUILEZ DANIEL,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,QUILEZ DANIEL,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,QUILEZ DANIEL,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,QUILEZ DANIEL,21/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUVELOUP TRONCHE FRANCOISE,27/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROUVELOUP TRONCHE FRANCOISE,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUVELOUP TRONCHE FRANCOISE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUVELOUP TRONCHE FRANCOISE,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROUVELOUP TRONCHE FRANCOISE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROYER BERNARD,27/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROYER BERNARD,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROYER BERNARD,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROYER BERNARD,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SALAVERRI MARTINE,20/03/2014,Repas,€57,,
