Adept Field Solutions,Médecin,Gauliez Antoine,02/04/2014,INDEMNITE,€140,,
Bayer HealthCare SAS,Médecin,VELUT XAVIER,10/10/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Pharmacien,BARDYN ANNE,05/12/2013,Hospitalité,€61,,
BAYER SANTE FAMILIALE,Médecin,MARGUETTAZ PATRICE,18/10/2013,REPAS,€42,,
Becton Dickinson France SAS,Pharmacien,LEGLEYE BRIGITTE,05/12/2013,REPAS,€18,,
Becton Dickinson France SAS,Pharmacien,WESTICLIN ELISE,05/12/2013,REPAS,€18,,
Beiersdorf s.a.s,Médecin,DUFOUR AGNES,18/03/2014,REPAS,€50,,
BIOCODEX,Médecin,COOREN GEOFFROY,15/12/2013,REPAS,€14,,
BIOCODEX,Médecin,COOREN J CLAUDE,15/12/2013,REPAS,€14,,
BIOCODEX,Médecin,GHEYSENS PASCAL,05/09/2013,REPAS,€55,,
BIOCODEX,Médecin,MARGUETTAZ PATRICE,05/09/2013,REPAS,€55,,
BIOGARAN,Pharmacien,LEFEBVRE MARTINE,09/09/2013,AUTRE : FORMATION PROGRAMME STAR,€13,,
BOEHRINGER INGELHEIM FRANCE,Médecin,COOREN GEOFFROY,15/05/2014,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GHEYSENS PASCAL,15/05/2014,HOSPITALITE,€46,,
BOIRON,Médecin,FOURMAINTRAUX DOMINIQUE,17/04/2014,[REPAS],€54,,
BOIRON,Médecin,FOURMAINTRAUX DOMINIQUE,17/04/2014,[REPAS],€54,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,13/02/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,19/12/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,06/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,24/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,25/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,22/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,02/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,GHEYSENS PASCAL,11/07/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MARGUETTAZ PATRICE,02/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TIROT OLIVIER,29/11/2013,Repas,€37,,
BRISTOL-MYERS SQUIBB,Pharmacien,PLATEL MONIQUE,25/11/2013,Repas,€34,,
BRISTOL-MYERS SQUIBB,Pharmacien,PLATEL MONIQUE,07/03/2014,Repas,€33,,
colgate palmolive,Chirurgien-dentiste,VARIN PATRICK,05/03/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,COOREN GEOFFROY,25/01/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,COOREN JEAN CLAUDE,25/01/2014,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Etudiant,BURET CAMILLE,23/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Etudiant,BURET CAMILLE,20/05/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,ANCREZ PERRINE,15/10/2013,HOSPITALITE,€62,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,LECRU SOPHIE,11/03/2014,REPAS,€66,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,LECRU SOPHIE,27/01/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,PLATEL MONIQUE,01/04/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,PLATEL MONIQUE,23/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,PLATEL MONIQUE,22/05/2014,REPAS,€47,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,TRIEZ ISABELLE,23/01/2014,REPAS,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,COOREN GEOFFROY,14/11/2013,Repas,€31,,
DAIICHI SANKYO FRANCE SAS,Médecin,COOREN GEOFFROY,12/09/2013,Repas,€20,,
DAIICHI SANKYO FRANCE SAS,Médecin,COOREN GEOFFROY,10/04/2014,Repas,€18,,
DAIICHI SANKYO FRANCE SAS,Médecin,PAILLEUX BERNARD,12/09/2013,Repas,€20,,
DAIICHI SANKYO FRANCE SAS,Médecin,TIROT OLIVIER,13/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,TIROT OLIVIER,08/11/2013,Repas,€42,,
DAIICHI SANKYO FRANCE SAS,Médecin,TIROT OLIVIER,18/04/2014,Repas,€33,,
DAIICHI SANKYO FRANCE SAS,Médecin,TIROT OLIVIER,20/09/2013,Repas,€45,,
DENTSPLY FRANCE,Chirurgien-dentiste,HADJIAT NABIL,29/11/2013,REPAS,€112,,
Essilor,Opticien-lunetier,HAIART MR,31/12/2013,Cadeau,€37,,
ICOMED,Chirurgien-dentiste,BREVIERE PHILIPPE,23/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,VARIN PATRICK,18/06/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,VARIN PATRICK,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,ZELIGZON SARAH,25/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,CAULIEZ ANTOINE,03/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,COOREN GEOFFROY,18/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,COOREN GEOFFROY,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COOREN J CLAUDE,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,D HALLENDRE ALAIN,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,D HALLENDRE ALAIN,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GABERT COGET FLORENCE,27/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,GHEYSENS PASCAL,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,MARGUETTAZ PATRICE,03/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MARGUETTAZ PATRICE,28/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VELUT XAVIER,10/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,VELUT XAVIER,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,WIBAUT LOSINSKI ANNE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,WIBAUT LOSINSKI ANNE,06/01/2014,Autre: [Enquête],€27,,
IPSEN PHARMA,Pharmacien,LECRU SOPHIE,03/12/2013,REPAS,€47,,
JANSSEN-CILAG,Médecin,DUFOUR DORIDOT AGNES,22/10/2013,REPAS,€53,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,VARIN PATRICK,11/12/2012,Autre,€250,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,VARIN PATRICK,05/01/2012,Cadeaux,€288,,
LABORATOIRE DES GRANIONS,Médecin,BEGHIN JEAN-MICHEL,26/03/2014,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN GEOFFROY,14/06/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN GEOFFROY,14/06/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN GEOFFROY,08/04/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN GEOFFROY,21/11/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN GEOFFROY,08/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN J CLAUDE,08/04/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COOREN J CLAUDE,17/01/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURMAINTRAUX DOMINIQUE,09/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GABERT COGET FLORENCE,30/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,05/06/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,20/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,31/01/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,26/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,04/04/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,05/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,06/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHEYSENS PASCAL,14/02/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KACIAF CHANTAL,13/04/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,02/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,14/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,02/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,05/06/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,16/05/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,06/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,06/09/2013,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,11/10/2013,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,14/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGUETTAZ PATRICE,04/04/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAILLEUX BERNARD,06/02/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TIROT OLIVIER,09/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TIROT OLIVIER,21/02/2014,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TIROT OLIVIER,09/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VELUT XAVIER,11/07/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VELUT XAVIER,17/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERMOOTE BENEDICTE,21/02/2012,Hospitalité,€41,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE LEGLEYE,15/01/2014,CADEAUX,€12,,
Laboratoires ARKOPHARMA,Médecin,FOURMAINTRAUX DOMINIQUE,17/04/2014,REPAS,€17,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SIX ANGÈLA,18/02/2014,REPAS,€50,,
LABORATOIRES COLOPLAST,Infirmier,BOIDIN PAULINE,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Infirmier,FERREIRA CLOTILDE,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Infirmier,GLORIEUX CINDY,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Infirmier,QUILLIOT LYDIE,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Infirmier,VANHOUTTE DUJARDIN SOPHIE,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Infirmier,WALLE OPHELIA,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Médecin,GHEYSENS PASCAL,01/10/2013,Repas,€43,,
LABORATOIRES COLOPLAST,Pharmacien,CARLIN LAURA,03/04/2014,Repas,€30,,
LABORATOIRES COLOPLAST,Pharmacien,DECOTTEGNIE LAURENCE,03/04/2014,Repas,€30,,
LABORATOIRES COLOPLAST,Pharmacien,DUHAUTOIT .,05/12/2013,Repas,€22,,
LABORATOIRES COLOPLAST,Pharmacien,PLATEL MONIQUE,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Pharmacien,PLATEL MONIQUE,05/12/2013,Repas,€22,,
LABORATOIRES COLOPLAST,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LELONG VALERIE,03/04/2014,Repas,€10,,
LABORATOIRES COLOPLAST,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOUCRIZ TALBI SABRINA,03/04/2014,Repas,€30,,
LABORATOIRES COLOPLAST,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SIX ANGELA,03/04/2014,Repas,€10,,
LABORATOIRES MAYOLY SPINDLER,Médecin,GHEYSENS PASCAL,25/03/2014,HOSPITALITE,€50,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,WIBAUT LOSINSKI ANNE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PLATEL MONIQUE,13/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,TRINEL ISABELLE,13/06/2013,INVITATIONS,€20,,
LEO Pharma,Médecin,COOREN GEOFFROY,28/11/2013,REPAS,€44,,
LES LABORATOIRES SERVIER,Médecin,COOREN JEAN-CLAUDE,05/09/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,GHEYSENS PASCAL,17/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,MARGUETTAZ PATRICE,17/10/2013,Repas,€40,,
Lilly France SAS,Médecin,GHEYSENS PASCAL,01/08/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€18,,
LUNDBECK SAS,Médecin,COOREN GEOFFROY,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€39,,
LUNDBECK SAS,Médecin,GHEYSENS PASCAL,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,MARGUETTAZ PATRICE,13/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€43,,
LUNDBECK SAS,Médecin,MARGUETTAZ PATRICE,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,MARGUETTAZ PATRICE,20/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€38,,
MEDEXACT,Médecin,CAULIEZ ANTOINE,22/05/2013,Autre: [Enquête],€30,,
MENARINI FRANCE,Médecin,GHEYSENS PASCAL,09/07/2013,AUTRE : RNT,€46,,
MENARINI FRANCE,Médecin,GHEYSENS PASCAL,21/11/2013,AUTRE : RNT,€43,,
MENARINI FRANCE,Médecin,TIROT OLIVIER,13/06/2013,AUTRE : RNT,€40,,
MENARINI FRANCE,Médecin,VELUT XAVIER,15/10/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,VELUT XAVIER,27/03/2014,Autre : [Restauration],€60,,
Merck Medication Familiale,Pharmacien,LEFEBVRE Martine,01/12/2013,Cadeaux,€20,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€33,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€10,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€60,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,HÉBERGEMENT,€160,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€10,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€10,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€10,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€33,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,HÉBERGEMENT,€160,,
MERCK SERONO,Infirmier,DA SILVA JOHNNY,18/10/2013,REPAS,€40,,
Molnlycke Health Care,Infirmier,BOIDIN PAULINE,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,CARPENTIER ISABELLE,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,CHAUVEAU SYLVIE,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,DESBONNET CATHERINE,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,DHULST MARIE FRANCOISE,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,FARDOUX MARINA,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,FERREIRA CLOTILDE,20/05/2014,REPAS,€18,,
Molnlycke Health Care,Infirmier,FORESTIER AUDREY,20/05/2014,REPAS,€18,,
MSD France,Médecin,BRICHE SABINE,19/06/2014,REPAS,€60,,
MSD France,Médecin,BRICHE SABINE,03/10/2012,REPAS,€74,,
MSD France,Médecin,BRICHE SABINE,25/10/2012,HOSPITALITE,€55,,
MSD France,Médecin,BRICHE SABINE,15/05/2013,REPAS,€34,,
MSD France,Médecin,COOREN GEOFFROY,20/06/2013,REPAS,€29,,
MSD France,Médecin,COOREN GEOFFROY,08/03/2012,REPAS,€40,,
MSD France,Médecin,GHEYSENS PASCAL,07/06/2012,REPAS,€40,,
MSD France,Médecin,GHEYSENS PASCAL,15/10/2013,REPAS,€40,,
MSD France,Médecin,GHEYSENS PASCAL,05/03/2013,REPAS,€39,,
MSD France,Médecin,KACIAF CHANTAL,24/05/2012,HOSPITALITE,€50,,
MSD France,Médecin,MARGUETTAZ PATRICE,18/10/2012,REPAS,€40,,
MSD France,Médecin,MARGUETTAZ PATRICE,07/06/2012,REPAS,€40,,
MSD France,Médecin,MARGUETTAZ PATRICE,01/06/2012,REPAS,€35,,
MSD France,Médecin,MARGUETTAZ PATRICE,08/11/2013,REPAS,€41,,
MSD France,Médecin,MARGUETTAZ PATRICE,23/11/2012,REPAS,€39,,
MSD France,Médecin,MARGUETTAZ PATRICE,07/02/2014,REPAS,€49,,
MSD France,Médecin,MARGUETTAZ PATRICE,27/01/2012,REPAS,€32,,
MSD France,Médecin,RICHE FRANCOISE,07/02/2012,REPAS,€19,,
MSD France,Médecin,TIROT OLIVIER,12/12/2013,REPAS,€54,,
MSD France,Médecin,TIROT OLIVIER,04/02/2014,REPAS,€39,,
MSD France,Médecin,TIROT OLIVIER,22/05/2012,HOSPITALITE,€78,,
MSD France,Médecin,TIROT OLIVIER,12/09/2013,HOSPITALITÉ,€60,,
MUNDIPHARMA,Médecin,MARGUETTAZ PATRICE,21/03/2014,REPAS,€39,,
MUNDIPHARMA,Médecin,VELUT XAVIER,13/02/2014,HOSPITALITE STAFF,€29,,
MYLAN SAS,Pharmacien,DECOTTEGNIE LAURENCE,16/09/2013,REPAS,€34,,
MYLAN SAS,Pharmacien,LEGLEYE BRIGITTE,16/09/2013,REPAS,€34,,
MYLAN SAS,Pharmacien,PLATEL MONIQUE,16/09/2013,REPAS,€34,,
NIDEK SA,Médecin,REQUILLART CAROLINE,04/07/2013,REPAS,€36,,
NOVARTIS PHARMA SAS,Médecin,COOREN GEOFFROY,04/07/2013,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,COOREN GEOFFROY,20/02/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,GHEYSENS PASCAL,26/11/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,GHEYSENS PASCAL,15/04/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,GHEYSENS PASCAL,03/06/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,GHEYSENS PASCAL,17/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,GHEYSENS PASCAL,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,GHEYSENS PASCAL,17/09/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,MARGUETTAZ PATRICE,10/10/2013,Repas,€34,,
NOVARTIS PHARMA SAS,Médecin,MARGUETTAZ PATRICE,25/07/2013,Repas,€35,,
NOVARTIS PHARMA SAS,Médecin,PAILLEUX BERNARD,04/07/2013,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,PAILLEUX BERNARD,20/02/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,TIROT OLIVIER,06/12/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,VELUT XAVIER,03/12/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVARTIS PHARMA SAS,Médecin,VELUT XAVIER,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,LEGLEYE DESRUMAUX BRIGITTE,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,WESTRELIN ELISE,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,COOREN GEOFFROY,12/12/2013,REPAS,€33,,
NOVO NORDISK,Médecin,GHEYSENS PASCAL,11/03/2014,REPAS,€45,,
NOVO NORDISK,Médecin,GHEYSENS PASCAL,12/11/2013,REPAS,€45,,
NOVO NORDISK,Médecin,GHEYSENS PASCAL,12/11/2013,REPAS,€45,,
NOVO NORDISK,Médecin,GHEYSENS PASCAL,07/12/2013,[FORFAIT],€300,,
NOVO NORDISK,Médecin,MARGUETTAZ PATRICE,07/12/2013,[FORFAIT],€300,,
NOVO NORDISK,Médecin,MARGUETTAZ PATRICE,23/05/2014,REPAS,€35,,
PAUL HARTMANN SA,Pharmacien,DECOTTEGNIE LAURENCE,02/10/2013,Repas,€53,,
PECH CERCIAT,Médecin,Dufour-Doridot Agnès,13/11/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Kaciaf Chantal,10/12/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,COOREN GEOFFROY,03/10/2013,Repas,€38,,
PFIZER SAS,Médecin,GHEYSENS PASCAL,01/04/2014,REPAS,€45,,
PFIZER SAS,Médecin,GHEYSENS PASCAL,29/10/2013,Repas,€50,,
PHADIA SAS,Pharmacien,BARDYN ANNE,21/11/2013,FRAIS DE REPAS,€24,,
PHADIA SAS,Technicien de laboratoire médical,CACHOT DELPHINE,21/11/2013,FRAIS DE REPAS,€24,,
PHADIA SAS,Technicien de laboratoire médical,TALLEUX PERRINE,21/11/2013,FRAIS DE REPAS,€24,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,04/04/2013,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,05/09/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,10/10/2013,RESTAURATION,€32,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,11/10/2012,Restauration,€19,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,06/09/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,30/08/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,06/06/2013,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,COOREN GEOFFROY,10/10/2013,RESTAURATION,€32,,
PIERRE FABRE MEDICAMENT,Médecin,GHEYSENS PASCAL,09/04/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,GHEYSENS PASCAL,15/05/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,GHEYSENS PASCAL,22/01/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,MARGUETTAZ PATRICE,06/06/2014,RESTAURATION,€31,,
PIERRE FABRE MEDICAMENT,Médecin,MARGUETTAZ PATRICE,31/08/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,MARGUETTAZ PATRICE,01/06/2012,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,MARGUETTAZ PATRICE,27/04/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,MARGUETTAZ PATRICE,11/01/2013,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,PAILLEUX BERNARD,10/10/2013,RESTAURATION,€32,,
