ABBOTT PRODUCTS SAS,Médecin,TRAN Jean philippe,19/11/2013,REPAS,€60,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,17/07/2013,Repas,€53,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,12/11/2013,Repas,€51,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,17/12/2013,Repas,€17,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,09/12/2013,Repas,€27,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,29/04/2014,Repas,€19,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,27/09/2013,Repas,€41,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,23/05/2014,Repas,€37,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,17/06/2014,Repas,€19,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,22/10/2013,Repas,€18,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,24/09/2013,Repas,€17,,
Arthrex SAS,Masseur-kinésithérapeute,HEMERY GILLES,12/12/2013,REPAS,€20,,
Arthrex SAS,Médecin,HARIRI AMIR,14/10/2013,TRANSPORT,€605,,
Arthrex SAS,Médecin,HARIRI AMIR,05/05/2014,REPAS,€48,,
Arthrex SAS,Médecin,HARIRI AMIR,14/10/2013,HOTEL,€70,,
Arthrex SAS,Médecin,HARIRI AMIR,29/07/2013,HOTEL,€77,,
Arthrex SAS,Médecin,HARIRI AMIR,29/07/2013,REPAS,€40,,
Arthrex SAS,Médecin,HARIRI AMIR,14/10/2013,TRANSPORT,€605,,
Arthrex SAS,Médecin,HARIRI AMIR,14/10/2013,HOTEL,€70,,
Arthrex SAS,Médecin,HARIRI AMIR,05/05/2014,HEBERGEMENT,€192,,
Arthrex SAS,Médecin,HARIRI AMIR,29/07/2013,REPAS,€40,,
ASTELLAS PHARMA,Médecin,CAILLIE FREDERIC,27/05/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,CAILLIE FREDERIC,01/04/2014,REPAS,€55,,
ASTELLAS PHARMA,Médecin,CHARBIT LIONEL,27/05/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,CHARBIT LIONEL,01/04/2014,REPAS,€55,,
ASTELLAS PHARMA,Médecin,DENARNAUD JEAN,11/06/2014,REPAS,€50,,
ASTELLAS PHARMA,Médecin,DENARNAUD JEAN,01/04/2014,REPAS,€55,,
ASTELLAS PHARMA,Médecin,DENARNAUD JEAN,27/05/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,DENARNAUD JEAN,01/04/2014,REPAS,€55,,
ASTELLAS PHARMA,Médecin,MANSOUR JEAN PIERRE,11/06/2014,REPAS,€50,,
ASTELLAS PHARMA,Médecin,MANSOUR JEAN PIERRE,01/04/2014,REPAS,€55,,
ASTELLAS PHARMA,Médecin,MANSOUR JEAN PIERRE,27/05/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,TORRAS PIERRE,01/04/2014,REPAS,€55,,
ASTELLAS PHARMA,Médecin,TORRAS PIERRE,27/05/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,TORRAS PIERRE,11/06/2014,REPAS,€50,,
ASTELLAS PHARMA,Médecin,TRAN JEAN PHILIPPE,01/03/2013,REPAS,€63,,
ASTELLAS PHARMA,Médecin,VERDURON ALAIN,11/06/2014,REPAS,€50,,
ASTELLAS PHARMA,Médecin,VERDURON ALAIN,11/06/2014,REPAS,€50,,
ASTRAZENECA,Médecin,BOUKADOUM SAID MOHAMED,11/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,BOUKADOUM SAID MOHAMED,16/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,BOUKADOUM SAID MOHAMED,02/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,BOUKADOUM SAID MOHAMED,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,BOUKADOUM SAID MOHAMED,02/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,DEME MAMADOU,19/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD JEAN,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,DENARNAUD JEAN,19/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,HOUZARD DOMINIQUE,15/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,HOUZARD DOMINIQUE,04/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,HOUZARD DOMINIQUE,23/10/2013,Repas,€43,,
Bayer HealthCare SAS,Médecin,QUERIOZ VIVIER CHRISTINE,15/01/2014,Hospitalité,€311,,
Bayer HealthCare SAS,Médecin,QUERIOZ VIVIER CHRISTINE,24/09/2013,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,QUERIOZ VIVIER CHRISTINE,02/07/2013,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,QUERIOZ VIVIER CHRISTINE,04/04/2014,Hospitalité,"€1,018",,
Bayer HealthCare SAS,Médecin,QUERIOZ VIVIER CHRISTINE,10/06/2014,Hospitalité,€39,,
Bayer HealthCare SAS,Médecin,QUERIOZ VIVIER CHRISTINE,08/11/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,SACHS REGIS,05/06/2014,REPAS,€58,,
Bayer HealthCare SAS,Médecin,Scherrer Michel,05/06/2014,REPAS,€58,,
Bayer HealthCare SAS,Médecin,TRAN JEAN PHILIPPE,10/03/2014,REPAS,€39,,
BAYER SANTE FAMILIALE,Médecin,LE MEUNIER JEAN MICHEL,03/10/2013,REPAS,€25,,
BAYER SANTE FAMILIALE,Médecin,MATHIEU MARC,03/10/2013,REPAS,€25,,
BAYER SANTE FAMILIALE,Médecin,SCHERRER MICHEL,03/10/2013,REPAS,€25,,
BAYER SANTE FAMILIALE,Médecin,TRAN JEAN PHILIPPE,08/10/2013,REPAS,€34,,
BIOCODEX,Médecin,BENICHOU JOELLE,05/12/2013,REPAS,€60,,
BIOCODEX,Médecin,DERHI GATY,05/12/2013,REPAS,€60,,
BIOCODEX,Médecin,TRAN JEAN PHILIPPE,16/05/2014,REPAS,€45,,
BIOCODEX,Médecin,TRAN JEAN PHILIPPE,04/10/2013,REPAS,€48,,
BIOGARAN,Pharmacien,BARTOU CHANTAL,10/04/2014,REPAS,€32,,
BIOGARAN,Pharmacien,NEDELEC EMILIE,18/03/2014,REPAS,€26,,
BIOGARAN,Pharmacien,THERET DIDIER,18/03/2014,REPAS,€26,,
BIOGARAN,Pharmacien,WILLEM LEVERT CATHY,10/04/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BARDI STEPHANIE,10/04/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORNIER VALERIE,18/03/2014,REPAS,€26,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LINO MONIQUE,18/03/2014,REPAS,€31,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEREZ ANNIE,18/03/2014,REPAS,€26,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PUMA LAURA,18/03/2014,REPAS,€31,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SACI KAMEL,18/03/2014,REPAS,€31,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TOPPAZZINI SONIA,10/04/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,WILLEM OLIVIER,10/04/2014,REPAS,€32,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CACHOUX ANTOINE KHALED,16/01/2014,HOSPITALITE,€311,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KIRILOVA DOBREVA EFROSSINIA,20/09/2013,HOSPITALITE,€24,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SLIMANE KAMEL,20/09/2013,HOSPITALITE,€24,,
BOIRON,Médecin,ROY BOUZONNET SYLVIE,16/04/2014,[REPAS],€18,,
BOIRON,Médecin,ROY BOUZONNET SYLVIE,18/06/2014,[REPAS],€22,,
BOIRON,Médecin,ROY BOUZONNET SYLVIE,16/04/2014,[REPAS],€18,,
BOIRON,Médecin,ROY BOUZONNET SYLVIE,28/05/2014,[REPAS],€15,,
BOIRON,Médecin,ROY BOUZONNET SYLVIE,26/03/2014,[REPAS],€25,,
Brainlab,Médecin,Mansour Jean-Pierre,20/03/2014,Hospitalité,€182,,
BRISTOL-MYERS SQUIBB,Médecin,CACHOUX ANTOINE,12/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,12/12/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GALLOT DOMINIQUE,24/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Médecin,GALLOT DOMINIQUE,12/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,QUERIOZ VIVIER CHRISTINE,24/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,19/02/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,12/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,29/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,02/10/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,18/10/2013,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,30/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,18/12/2013,Repas,€39,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,05/05/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,12/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,28/02/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,19/02/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,TRAN JEAN PHILIPPE,29/01/2014,Repas,€41,,
BRISTOL-MYERS SQUIBB,Pharmacien,POIRE PIERRE,23/04/2014,Repas,€10,,
BRISTOL-MYERS SQUIBB,Pharmacien,VERHEYDE JEAN MICHEL,12/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Pharmacien,VERHEYDE TRAN MY DUNG,12/02/2014,Repas,€55,,
CHIESI SA,Médecin,DERHI GATY,13/11/2013,Repas,€45,,
CHIESI SA,Médecin,TRAN JEAN PHILIPPE,13/12/2013,Repas,€46,,
CHIESI SA,Médecin,TRAN JEAN PHILIPPE,15/05/2014,Repas,€43,,
CHIESI SA,Médecin,TRAN JEAN PHILIPPE,04/02/2014,Repas,€50,,
CHUGAI PHARMA FRANCE,Médecin,MANSOUR JEAN PIERRE,07/10/2013,REPAS,€31,,
CHUGAI PHARMA FRANCE,Médecin,STAMBOULI DALILA,13/06/2013,REPAS,€18,,
COUSIN BIOSERV,Médecin,CHARBIT LIONEL,30/08/2013,HOSPITALITE,€500,,
COUSIN BIOSERV,Médecin,LACHACHI FOUZI,31/10/2013,INVITATION SPONTANEE,€24,,
COUSIN BIOSERV,Médecin,LACHACHI FOUZI,31/10/2013,INVITATION SPONTANEE,€24,,
CROMA,Médecin,Benzacken Laurent,07/05/2014,Restauration,€26,,
DAIICHI SANKYO FRANCE SAS,Médecin,QUERIOZ VIVIER CHRISTINE,24/09/2013,Repas,€53,,
DAIICHI SANKYO FRANCE SAS,Médecin,QUERIOZ VIVIER CHRISTINE,03/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,TRAN JEAN PHILIPPE,19/11/2013,Repas,€38,,
Dentsply Gac Europe,Chirurgien-dentiste,DEPARDIEU FABIEN,14/03/2014,REPAS,€141,,
Dentsply Gac Europe,Chirurgien-dentiste,DR NAJM NICOLAS,30/03/2014,INVITATIONS,€450,,
Dentsply Gac Europe,Chirurgien-dentiste,DR NAJM NICOLAS,19/05/2014,INVITATIONS,€400,,
Dentsply Gac Europe,Chirurgien-dentiste,DR NAJM NICOLAS,30/03/2014,INVITATIONS,€450,,
Dentsply Gac Europe,Chirurgien-dentiste,DR NAJM NICOLAS,18/05/2014,INVITATIONS,€400,,
Dentsply Gac Europe,Chirurgien-dentiste,POLLIART DOMINIQUE,21/01/2014,REPAS,€16,,
Dentsply Gac Europe,Chirurgien-dentiste,POLLIART DOMINQUUE,12/02/2014,REPAS,€23,,
Dentsply Gac Europe,Etablissement de santé,CENTRE DE SANTE DES VERTS GALANT,05/02/2014,REPAS,€23,,
Dentsply Gac Europe,Etablissement de santé,CENTRE DE SANTE DES VERTS GALANT,17/05/2014,REPAS,€30,,
Dentsply Gac Europe,Etablissement de santé,CENTRE DE SANTE DES VERTS GALANTS,14/03/2014,REPAS,€141,,
Dentsply Gac Europe,Etablissement de santé,CENTRE SANTE,11/01/2014,CADEAUX,€28,,
Dentsply Gac Europe,Etablissement de santé,DR SALIM,19/05/2014,INVITATIONS,€400,,
Dentsply Gac Europe,Etablissement de santé,DR SALIM,18/05/2014,INVITATIONS,€400,,
DJO France SAS,Pharmacien,BARTOLI CHANTAL,24/09/2013,Repas,€17,,
DJO France SAS,Pharmacien,WILLEM CATHY,24/09/2013,Repas,€17,,
DRAGER MEDICAL S.A.S.,Médecin,HARDY ANNE,11/10/2013,REPAS,€26,,
EISAI SAS,Infirmier,BUISSON CAROLINE,03/12/2013,REPAS,€18,,
EISAI SAS,Infirmier,LANSIAUX MARIANNE,03/12/2013,REPAS,€18,,
Essilor,Opticien-lunetier,blanchet corantin,16/10/2013,Bouteille (s) de champagne,€102,,
Essilor,Opticien-lunetier,Blanchet Corantin,16/10/2013,Bouteille (s) de champagne,€102,,
Essilor,Opticien-lunetier,Blanchet Corentin,09/01/2012,Bouteilles (s) de champagne,€28,,
ETHICON,Médecin,CAILLIE FREDERIC,31/05/2013,REPAS,€18,,
ETHICON,Médecin,CHARBIT LIONEL,31/05/2013,REPAS,€18,,
ETHICON,Médecin,HARIRI AMIR,05/06/2014,TRANSPORT,€354,,
ETHICON,Médecin,HARIRI AMIR,05/06/2014,HEBERGEMENT,€530,,
ETHICON,Médecin,LACHACHI MOHAMED FAWZI,02/10/2013,REPAS,€39,,
ETHICON,Médecin,LACHACHI MOHAMED FAWZI,22/05/2014,INSCRIPTION,€340,,
ETHICON,Médecin,LACHACHI MOHAMED FAWZI,26/03/2014,REPAS,€54,,
EUROPHTA,Médecin,ABEHASSERA ROBERT,13/02/2014,REPAS,€46,,
EUROPHTA,Médecin,CARDINE STEPHANIE,23/01/2014,REPAS,€17,,
FRESENIUS KABI FRANCE,Médecin,DENARNAUD JEAN,14/11/2013,REPAS,€38,,
FRESENIUS KABI FRANCE,Médecin,DENARNAUD JEAN,09/09/2013,REPAS,€23,,
FRESENIUS KABI FRANCE,Médecin,MANSOUR JEAN PIERRE,14/11/2013,REPAS,€38,,
Fresenius Medical Care France S.A.S.,Infirmier,LAURENCE NATHALIE,07/04/2014,REPAS,€21,,
Fresenius Medical Care France S.A.S.,Infirmier,TABARES SP,15/05/2014,REPAS,€30,,
Fresenius Medical Care France S.A.S.,Médecin,HARDY-TAMAKOSHI ANNE,21/01/2013,REPAS,€46,,
Fresenius Medical Care France S.A.S.,Médecin,VUONG PHILIPPE,21/01/2013,REPAS,€46,,
GE HEALTHCARE SAS,Manipulateur d’électroradiologie médicale,BONELLO LAURENT,16/05/2014,Hospitalité Congrès Symposium,€520,,
GE HEALTHCARE SAS,Manipulateur d’électroradiologie médicale,GAY NATHALIE,16/05/2014,Hospitalité Congrès Symposium,€520,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,BERNASZUK JUSTINE,15/05/2014,Hospitalité Congrès Symposium,€362,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,BONELLO LAURENT,15/05/2014,Hospitalité Congrès Symposium,€362,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,GAY NATHALIE,15/05/2014,Hospitalité Congrès Symposium,€362,,
GE Medical Systems SCS,Médecin,BANAYAN SORAYA,20/01/2014,REPAS PROFESSIONNEL,€78,,
GE Medical Systems SCS,Médecin,BOUARFA NAIMA,20/01/2014,REPAS PROFESSIONNEL,€78,,
GE Medical Systems SCS,Médecin,ISRAEL JEAN MARC,20/01/2014,REPAS PROFESSIONNEL,€78,,
GILEAD SCIENCES,Médecin,LE MEUNIER JEAN MICHEL,10/04/2014,REPAS,€18,,
GILEAD SCIENCES,Médecin,LE MEUNIER JEAN MICHEL,13/03/2014,REPAS,€60,,
GIVEN IMAGING,Médecin,KERNEVEZ PATRICK,25/04/2014,REPAS,€14,,
GIVEN IMAGING,Médecin,VERDURON ALAIN,25/04/2014,REPAS,€14,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,VOISIN VINCENT,02/02/2014,Repas,€15,,
GUERBET France,Manipulateur d’électroradiologie médicale,BODEA DORIS,15/05/2014,AUTRE : INSCRIPTION,€335,,
GUERBET France,Manipulateur d’électroradiologie médicale,BODEA DORIS,15/05/2014,TRANSPORT,€69,,
GUERBET France,Manipulateur d’électroradiologie médicale,BODEA DORIS,15/05/2014,HEBERGEMENT,€600,,
GUERBET France,Manipulateur d’électroradiologie médicale,TARHOUNI MYRIAM,15/05/2014,AUTRE : INSCRIPTION,€335,,
GUERBET France,Médecin,ITTAH GERARD,30/09/2013,HOSPITALITE,"€2,895",,
GUERBET France,Médecin,LEVREL LOURY JEAN  MARIE,31/07/2013,TRANSPORT,"€1,324",,
GUERBET France,Médecin,LOGEAY OLIVIER,30/11/2013,AUTRE: FRAIS D'INSCRIPTION,€270,,
GUERBET France,Médecin,LOGEAY OLIVIER,30/09/2013,HOSPITALITE,"€2,895",,
GUERBET France,Médecin,THIOLLIER SYLVAIN,30/09/2013,HOSPITALITE,"€1,525",,
GUERBET France,Médecin,THIOLLIER SYLVAIN,15/05/2014,TRANSPORT,€181,,
GUERBET France,Médecin,THIOLLIER SYLVAIN,15/05/2014,AUTRE : ASSURANCE TRANSPORT,€11,,
GUERBET France,Médecin,THIOLLIER SYLVAIN,15/05/2014,HEBERGEMENT,€113,,
GUERBET France,Médecin,THIOLLIER SYLVAIN,24/01/2014,HEBERGEMENT,€158,,
GUERBET France,Médecin,THIOLLIER SYLVAIN,24/01/2014,TRANSPORT,€104,,
GUERBET France,Médecin,THOLLIER SYLVAIN,07/04/2014,AUTRE : INSCRIPTION,€650,,
HERAEUS KULZER FRANCE,Chirurgien-dentiste,TAYEBJEE COURECH,10/07/2013,Repas,€22,,
ICOMED,Chirurgien-dentiste,BISMUTH BERNARD,29/05/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,FEZZANI LINDA,26/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,SEGAL PHILIPPE,02/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,TAYEBJEE COURECH,18/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,TAYEBJEE COURECH,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,ZERBIB PHILIPPE,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BENICHOU JOELLE,14/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOHBOT JACQUES,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOHBOT JACQUES,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,BOUCHET CAROLE,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BOUCHET CAROLE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CACHOUX ANTOINE KHALED,28/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,CACHOUX ANTOINE KHALED,06/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,CARROUGE VERONIQUE,25/09/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,CARROUGE VERONIQUE,08/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,06/03/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,DAHAN MICKAEL,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DELAUNAY ALAIN,21/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DELAUNAY ALAIN,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DERHI GATY,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DURAND DIDIER,15/04/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DURAND DIDIER,04/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,FUMERON CHRISTINE,18/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRYNBAUM MAURYCY,06/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GRYNBAUM MAURYCY,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,HAMON DOMINIQUE,07/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,HAMON DOMINIQUE,13/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JOLY HERMENIER AGNES,10/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,JOLY HERMENIER AGNES,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE MEUNIER JEAN MICHEL,05/06/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,LE MEUNIER JEAN MICHEL,20/05/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,MEDDEB MOHAMED DALI,25/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MIDDLETON OLIVIER,13/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MORIN YVES,02/12/2013,Autre: [Enquête],€18,,
ICOMED,Médecin,MORIN YVES,15/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PAIS PHILOMENE,06/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PINARD DOMINIQUE,23/06/2014,Autre: [Enquête],€13,,
ICOMED,Médecin,PINARD DOMINIQUE,28/05/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,SOUSSI ALLAIN,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,SOUSSI ALLAIN,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SOUSSI MARTINE,09/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,TOLEDANO JONATHAN,12/09/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,VAUDOUR BRESSON FRANCOISE,05/06/2013,Autre: [Enquête],€19,,
ICOMED,Pharmacien,WILLEM LEVERT CATHY,03/06/2014,Autre: [Enquête],€27,,
ICOMED,Pharmacien,WILLEM LEVERT CATHY,18/06/2014,Autre: [Enquête],€16,,
IPSEN PHARMA,Médecin,TRAN JEAN PHILIPPE,13/05/2014,REPAS,€38,,
JANSSEN-CILAG,Médecin,AL MOUFTI OUBAIDA,08/03/2013,REPAS,€24,,
JANSSEN-CILAG,Médecin,DELAUNAY ALAIN,21/11/2013,REPAS,€46,,
JANSSEN-CILAG,Médecin,LE MEUNIER JEAN MICHEL,21/11/2013,REPAS,€46,,
JANSSEN-CILAG,Médecin,LE MEUNIER JEAN MICHEL,26/09/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,MATHIEU MARC,21/11/2013,REPAS,€46,,
JANSSEN-CILAG,Médecin,TRAN JEAN PHILIPPE,24/09/2013,REPAS,€59,,
"Laboratoire AGUETTANT, Société par Actions Simplifiée",Médecin,DOBREVA EFROSSINIA,19/09/2013,REPAS,€23,,
laboratoire BAUSCH&LOMB,Médecin,BENZACKEM LAURENT,12/05/2014,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU JOELLE,22/06/2012,Inscription,€350,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU JOELLE,22/06/2012,Hospitalité,€935,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU JOELLE,28/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LIONEL,19/06/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LIONEL,28/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAUNAY ALAIN,20/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DERHI GATY,18/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DERHI GATY,20/09/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DERHI GATY,24/04/2013,Hospitalite,€55,,
