3M France,Chirurgien-dentiste,SAULUE PAUL,18/01/2014,REPAS,€50,,
ABBOTT PRODUCTS SAS,Médecin,LOISILLON FRANCK,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,LOISILLON Franck,31/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,LOISILLON Franck,01/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,LOISILLON FRANCK,20/03/2014,REPAS,€29,,
ABBOTT PRODUCTS SAS,Médecin,LOISILLON FRANCK,26/06/2014,REPAS,€30,,
ABBOTT PRODUCTS SAS,Médecin,MENTINE NICOLAS,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,MERCIER Yves,31/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,MERCIER YVES,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,NEHAMIA PIERRE,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,PAGES Marc,31/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,PAGES MARC,17/01/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,PAGES Marc,17/01/2014,HEBERGEMENT,€51,,
ABBOTT PRODUCTS SAS,Médecin,PAGES Marc,01/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,PAGES MARC,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,PAOLINI BRUNO,06/02/2014,REPAS,€20,,
ABBOTT PRODUCTS SAS,Médecin,RIFFARD CELINE,17/01/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,SEVERAC PASCAL,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,TUSTES RENE,26/06/2014,REPAS,€30,,
ABBOTT PRODUCTS SAS,Médecin,TUSTES RENE,20/03/2014,REPAS,€29,,
AbbVie,Médecin,KFOURY ZEID,27/05/2014,REPAS,€50,,
AbbVie,Médecin,KFOURY ZEID,27/05/2014,REPAS,€50,,
AbbVie,Médecin,PAGES MARC,27/05/2014,REPAS,€50,,
AbbVie,Médecin,PAGES MARC,07/10/2013,Repas,€24,,
AbbVie,Médecin,PAGES MARC,05/11/2013,HOSPITALITE,€75,,
AbbVie,Pharmacien,FREGEVILLE STEPHANE,20/02/2014,REPAS,€26,,
AbbVie,Pharmacien,GOLEMIEC ISABELLE,20/02/2014,REPAS,€26,,
AbbVie,Pharmacien,SUBIRADE NATHALIE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,AMIOT CATHERINE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CANTEGREL CARINE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COUVRAT EMILIE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAMON ISABELLE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HUET MELANIE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PALIDE MURIELLE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SIMON STEPHANIE,20/02/2014,REPAS,€26,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VECCHI SYLVIE,20/02/2014,REPAS,€26,,
ACIST Europe BV,Médecin,ARMENGAUD JEAN,21/03/2013,Repas,€25,,
ACIST Europe BV,Médecin,COLIN PATRICE,21/03/2013,Repas,€25,,
Actelion Pharmaceuticals France,Médecin,BARDY JEAN GUILLAUME,24/07/2013,REPAS,€25,,
Actelion Pharmaceuticals France,Médecin,BARDY JEAN GUILLAUME,10/03/2014,REPAS,€17,,
Actelion Pharmaceuticals France,Médecin,OUESLATI AIDA,10/03/2014,REPAS,€17,,
ALFA WASSERMANN PHARMA,Médecin,BORD PIERRE ETIENNE,03/03/2014,REPAS,€23,,
ALFA WASSERMANN PHARMA,Médecin,BOYER PIERRE LUC,19/11/2013,REPAS,€15,,
ALFA WASSERMANN PHARMA,Médecin,BRUGEL GERARD,04/07/2013,REPAS,€23,,
ALFA WASSERMANN PHARMA,Médecin,BRUGEL GERARD,19/06/2014,REPAS,€27,,
ALFA WASSERMANN PHARMA,Médecin,CALABET JEAN MARIE,19/06/2014,REPAS,€27,,
ALFA WASSERMANN PHARMA,Médecin,CAZALS JEAN BRICE,03/03/2014,REPAS,€23,,
ALFA WASSERMANN PHARMA,Médecin,CHAABAN IMADDEDINE,19/11/2013,REPAS,€15,,
ALFA WASSERMANN PHARMA,Médecin,CHABOUSSOU JEAN PIERRE,25/03/2014,REPAS,€24,,
ALFA WASSERMANN PHARMA,Médecin,PAOLINI BRUNO,19/11/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,BENCHEKROUN BETTEMBOURG SAMIA,11/06/2014,TRANSPORT,€57,,
ALLERGAN FRANCE,Médecin,BETTEMBOURG OLIVIER,14/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,CHEVALIER JEROME,22/05/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CHEVALIER JEROME,14/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,CHOLLET PASCALE,22/05/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,DARIE MICHEL,14/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,DAURIN JEAN,17/03/2014,REPAS,€26,,
ALLERGAN FRANCE,Médecin,DAURIN JEAN,14/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,DAURIN JEAN,22/05/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,DENEUVILLE SYLVIE,17/03/2014,REPAS,€26,,
ALLERGAN FRANCE,Médecin,FERRANDO POINGT MARY FLORENCE,12/09/2013,REPAS,€13,,
ALLERGAN FRANCE,Médecin,LAMARQUE CHEVALIER MARIE PIERRE,14/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,LAMARQUE-CHEVALIER MARIE-PIERRE,22/05/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VRIGNAUD LAURENT,14/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,VRIGNAUD LAURENT,22/05/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VRIGNAUD LAURENT,14/04/2014,REPAS,€16,,
American Medical Systems France,Médecin,MENTINE Nicolas,17/09/2013,TRANSPORT,€155,,
American Medical Systems France,Médecin,MENTINE Nicolas,25/10/2013,TRANSPORT,€191,,
American Medical Systems France,Médecin,MENTINE Nicolas,17/09/2013,HEBERGEMENT,€216,,
American Medical Systems France,Médecin,MENTINE Nicolas,17/09/2013,REPAS,€29,,
American Orthodontics,Médecin,MISINO JEROME,13/01/2014,REPAS,€16,,
American Orthodontics,Médecin,MISINO JEROME,28/04/2014,REPAS,€19,,
AMGEN SAS,Médecin,BERNARD OLIVIER,09/04/2014,REPAS IMPROMPTU,€32,,
AMGEN SAS,Médecin,BERNARD OLIVIER,16/09/2013,REPAS IMPROMPTU,€22,,
AMGEN SAS,Médecin,BERNARD OLIVIER,19/12/2013,REPAS IMPROMPTU,€35,,
AMGEN SAS,Médecin,BERTHOUX MARIE LAURENCE,16/09/2013,REPAS IMPROMPTU,€22,,
AMGEN SAS,Médecin,CAUCHOIS ADELA,16/09/2013,REPAS IMPROMPTU,€22,,
Amplifon Groupe France,Médecin,BURNY ALAIN,07/04/2014,REPAS,€69,,
Amplifon Groupe France,Médecin,BURNY ALAIN,31/01/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],€857,,
Amplifon Groupe France,Médecin,VOYER PASCAL,31/01/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,276",,
APTALIS PHARMA SAS,Médecin,BOYER CECILE,12/02/2014,FRAIS D'HOSPITALIT,€43,,
APTALIS PHARMA SAS,Médecin,BOYER CECILE,12/02/2014,FRAIS D'HOSPITALIT,€12,,
APTALIS PHARMA SAS,Médecin,CHAABAN IMAD EDDINE,12/02/2014,FRAIS D'HOSPITALIT,€12,,
APTALIS PHARMA SAS,Médecin,CHAABAN IMAD EDDINE,12/02/2014,FRAIS D'HOSPITALIT,€43,,
APTALIS PHARMA SAS,Médecin,PAOLINI BRUNO,12/02/2014,FRAIS D'HOSPITALIT,€12,,
APTALIS PHARMA SAS,Médecin,PAOLINI BRUNO,12/02/2014,FRAIS D'HOSPITALIT,€43,,
ARCHIMEDES PHARMA France,Médecin,BERNARD OLIVIER,27/10/2013,Transport,€500,,
ARCHIMEDES PHARMA France,Médecin,BERNARD OLIVIER,27/10/2013,Autre : Inscription,€600,,
ARCHIMEDES PHARMA France,Médecin,BERNARD OLIVIER,27/10/2013,Hébergement,€500,,
ARROW GENERIQUES SAS,Pharmacien,DUSSILLOLS CORINE,27/03/2014,REPAS,€30,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KNABAEL EMMANUEL,27/03/2014,REPAS,€30,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LETURCK NATHALIE,27/03/2014,REPAS,€30,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONBOISSE MAGALIE,27/03/2014,REPAS,€30,,
Arthrex SAS,Infirmier,FEUILLERAT NELLY,24/10/2013,REPAS,€64,,
Arthrex SAS,Infirmier,FEUILLERAT NELLY,24/10/2013,TRANSPORT,€353,,
Arthrex SAS,Infirmier,FEUILLERAT NELLY,24/10/2013,HOTEL,€117,,
Arthrex SAS,Infirmier,ROSSI MARIE CLAIRE,24/10/2013,TRANSPORT,€223,,
Arthrex SAS,Infirmier,ROSSI MARIE CLAIRE,24/10/2013,HOTEL,€117,,
Arthrex SAS,Infirmier,ROSSI MARIE CLAIRE,24/10/2013,REPAS,€64,,
Arthrex SAS,Médecin,DECOUCY FRANCOIS,11/03/2014,REPAS,€23,,
ASPIDE MEDICAL,Médecin,SARKISSIAN MARC,02/10/2013,AUTRE: [FRAIS D'INSCRIPTION A LA MANIFESTATION],€500,,
ASTELLAS PHARMA,Médecin,BOYER PIERRE LUC,27/03/2014,REPAS,€12,,
ASTELLAS PHARMA,Médecin,CHAABAN IMAD,16/05/2013,REPAS,€61,,
ASTELLAS PHARMA,Médecin,CHAABAN IMAD,27/03/2014,REPAS,€12,,
ASTELLAS PHARMA,Médecin,GATT HUBERT,16/05/2013,REPAS,€61,,
ASTELLAS PHARMA,Médecin,PAOLINI BRUNO,27/03/2014,REPAS,€12,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,07/03/2014,Repas,€15,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,09/01/2014,Repas,€35,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,04/11/2013,Repas,€22,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,19/12/2013,Repas,€52,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,08/07/2013,Repas,€14,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,30/09/2013,Repas,€18,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,19/10/2013,Transport,€303,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,19/12/2013,Repas,€52,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,19/05/2014,Repas,€17,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAQUES DAMIEN,02/05/2014,Repas,€21,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAURENT PATRICK,13/11/2013,Repas,€77,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LAURENT PATRICK,13/11/2013,Repas,€77,,
ASTRAZENECA,Etudiant,ANTOINE VIRGINIE,24/09/2013,Repas,€57,,
ASTRAZENECA,Etudiant,ANTOINE VIRGINIE,03/07/2013,Repas,€57,,
ASTRAZENECA,Etudiant,SAVARY AMANDINE,03/07/2013,Repas,€57,,
ASTRAZENECA,Etudiant,SAVARY AMANDINE,03/07/2013,Repas,€57,,
ASTRAZENECA,Infirmier,CASSAGNOLES MURIEL,08/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CASSAGNOLES MURIEL,20/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,COMBES CAROLE,08/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,ESTAGER HERVE,08/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,FAUTHOUX DIDIER,20/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,FONTA CHRISTINE,13/03/2014,Repas,€25,,
ASTRAZENECA,Infirmier,FORABOSCO VIRGINIE,08/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GOULAT STEPHANE,13/03/2014,Repas,€25,,
ASTRAZENECA,Infirmier,GOULAT STEPHANE,08/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,LANDAU MONIQUE,13/03/2014,Repas,€25,,
ASTRAZENECA,Infirmier,MANON CLAUDINE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,MAYE FRANCOISE,20/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,MAYE FRANCOISE,13/03/2014,Repas,€25,,
ASTRAZENECA,Infirmier,MERLAND SEBASTIEN,30/01/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PRUNIER AURORE,08/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,RICOT GISELE,14/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,VIGNERON ELISABETH,13/03/2014,Repas,€25,,
ASTRAZENECA,Infirmier,VIGNERON ELISABETH,04/12/2013,Repas,€57,,
ASTRAZENECA,Infirmier,VIGNERON ELISABETH,08/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,ABDICHE SAMIR,21/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,ABDICHE SAMIR,27/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,BISQUEY VINCENT,12/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,BISQUEY VINCENT,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOYER CECILE,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOYER CECILE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOYER PIERRE LUC,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRUGEL GERARD,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CEGLAREK GRESLE MARIE HELENE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHAABAN IMAD,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHABOUSSOU JEAN PIERRE,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHABOUSSOU JEAN PIERRE,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHELLIER MARC,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHELLIER MARC,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHELLIER MARC,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHELLIER MARC,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHELLIER MARC,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CORS JEAN PAUL,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DALOMIS ARMELLE,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DALOMIS ARMELLE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DALOMIS ARMELLE,13/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,DALOMIS ARMELLE,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DALOMIS ARMELLE,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEZOU SYLVIE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,FALZON PAUL,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GATT HUBERT,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GATT HUBERT,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GATT HUBERT,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GATT HUBERT,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GATT HUBERT,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GINESTET JEAN YVES,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GOUGET JEAN FRANCOIS,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUILLET CATHERINE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAFFORT PATRICK,12/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,LEMIEUX HERVE,25/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,LEMIEUX HERVE,02/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,LOISILLON FRANCK,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOISILLON FRANCK,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MERCIER YVES,04/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MERCIER YVES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MERCIER YVES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MERCIER YVES,30/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MERCIER YVES,04/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,ODIEVRE BRIGITTE,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,ODIEVRE BRIGITTE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PIGEAUD PHILIPPE,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROCCATI JEAN MARC,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TAPESAR NARENDRA NATH,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TAPESAR NARENDRA NATH,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TAPESAR GARAGNANI MARIE CHRISTINE,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,TAPESAR GARAGNANI MARIE CHRISTINE,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TAPESAR GARAGNANI MARIE CHRISTINE,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TUSTES RENE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,YASSINE HASSANE,15/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,YASSINE HASSANE,14/05/2014,Repas,€57,,
Audition Martin,Médecin,BURNY ALAIN,28/09/2013,HEBERGEMENT + REPAS,€770,,
Audition Martin,Médecin,VOYER PASCAL,27/09/2013,HEBERGEMENT + REPAS,€770,,
AUDITION SANTE,Médecin,BANNUS CHARLES,14/10/2013,CADEAUX,€299,,
AUDITION SANTE,Médecin,BANUS CHARLES,01/12/2013,CADEAUX,€18,,
AUDITION SANTE,Médecin,FRETILLERE ERIC,01/12/2013,CADEAUX,€18,,
AUDITION SANTE,Médecin,VOYER PASCAL,01/12/2013,CADEAUX,€18,,
Bayer HealthCare SAS,Manipulateur d’électroradiologie médicale,CURVAT PATRICIA,18/10/2013,Hospitalité,€717,,
Bayer HealthCare SAS,Manipulateur d’électroradiologie médicale,POUCHES SYLVIE,18/10/2013,Hospitalité,€714,,
Bayer HealthCare SAS,Manipulateur d’électroradiologie médicale,SOULIES CARINE,09/05/2014,Hospitalité,€275,,
Bayer HealthCare SAS,Manipulateur d’électroradiologie médicale,SOULIES CARINE,18/06/2014,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,BAUDONNAT BRUNO,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,BENCHEKROUN BETTEMBOURG SAMIA,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,BETTEMBOURG OLIVIER,04/05/2014,Hospitalité,"€2,990",,
Bayer HealthCare SAS,Médecin,BETTEMBOURG OLIVIER,31/01/2014,Hospitalité,€288,,
Bayer HealthCare SAS,Médecin,BETTEMBOURG OLIVIER,05/05/2014,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,BETTEMBOURG OLIVIER,19/07/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,BETTEMBOURG OLIVIER,04/10/2013,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,BETTEMBOURG OLIVIER,11/10/2013,Hospitalité,€414,,
Bayer HealthCare SAS,Médecin,BURNY SYLVIE,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,CHEVALIER JEROME,23/05/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,CHEVALIER JEROME,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,DARIE MICHEL,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,DAURIN JEAN,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,26/04/2014,Hospitalité,€272,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,10/12/2013,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,26/04/2014,Hospitalité,€272,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,19/03/2014,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,15/01/2014,Hospitalité,"€1,027",,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,26/04/2014,Hospitalité,€13,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,15/01/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,DENISI ROCCO,15/11/2013,Hospitalité,€37,,
Bayer HealthCare SAS,Médecin,GIRARD ALAIN,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,HERMAN ANDRE,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,LAFFORT PATRICK,10/12/2013,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,LAFFORT PATRICK,19/03/2014,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,LAFFORT PATRICK,31/01/2014,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,LAMARQUE CHEVALIER MARIE PIERRE,23/05/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,LAMARQUE-CHEVALIER MARIE PIERRE,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,LEMIEUX HERVE,01/07/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,LEMIEUX HERVE,19/10/2013,Hospitalité,€16,,
Bayer HealthCare SAS,Médecin,LEMIEUX HERVE,22/05/2014,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,LEMIEUX HERVE,19/10/2013,Hospitalité,€253,,
Bayer HealthCare SAS,Médecin,LEMIEUX HERVÉ,15/11/2013,Hospitalité,€37,,
Bayer HealthCare SAS,Médecin,LOISILLON FRANCK,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,MARAUD LUC,20/09/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,MARAUD LUC,20/09/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,MARAUD LUC,31/01/2014,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,MARAUD LUC,19/03/2014,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,MARAUD LUC,10/12/2013,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,MARTIN FRANCOISE,01/12/2013,Hospitalité,"€2,981",,
Bayer HealthCare SAS,Médecin,MARTIN FRANCOISE,18/06/2014,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,MARTIN THEVENOT MONIQUE,19/03/2014,Hospitalité,€606,,
Bayer HealthCare SAS,Médecin,MARTIN THEVENOT MONIQUE,06/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,MERCIER YVES,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,PLANES ALAIN,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,RICAUD ALAIN,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,SAUCAZ LARAME MICHEL,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,SEHABIAGUE JOEL,06/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SERVETO GEORGES,08/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,VRIGNAUD LAURENT,04/07/2013,Hospitalité,€67,,
Bayer HealthCare SAS,Médecin,VRIGNAUD LAURENT,23/05/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Pharmacien,CORNIER LAURENCE,17/12/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Pharmacien,MARTINEZ CORINNE,17/12/2013,Hospitalité,€54,,
