ALLERGAN FRANCE,Médecin,ALEGRE DE LA SOUJEOLE JEAN,14/11/2013,REPAS,€49,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FAUVEL PATRICK,26/07/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,THOMANN MARION,26/07/2013,HOSPITALITE,€20,,
BOIRON,Pharmacien,MELIANI MARY,09/01/2014,[REPAS],€50,,
BRISTOL-MYERS SQUIBB,Médecin,BENDAVID POL,18/10/2013,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,ETIENNE WILFRIED,18/10/2013,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,FAUVEL PATRICK,18/10/2013,Repas,€37,,
BRISTOL-MYERS SQUIBB,Pharmacien,GIRARD SEVERINE,10/06/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Pharmacien,PANTAIS ISABELLE,22/11/2013,Repas,€31,,
BRISTOL-MYERS SQUIBB,Pharmacien,PANTAIS ISABELLE,10/06/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Pharmacien,SERRAULT JEAN FRANCOIS,06/03/2014,Repas,€60,,
CHIESI SA,Médecin,ANOTIN PIERRE,05/11/2013,Repas,€51,,
CHIESI SA,Médecin,BOURGET ANTOINE,25/03/2014,Repas,€53,,
colgate palmolive,Chirurgien-dentiste,BEUNARD KARINE,02/01/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,SADOUNI HANANE,02/01/2014,Dons de materiel,€16,,
DAIICHI SANKYO FRANCE SAS,Médecin,BILLIARD ALAIN,03/10/2013,Repas,€35,,
EG LABO - LABORATOIRES EUROGENERICS,Pharmacien,SERRAULT Jean François,25/10/2013,repas,€21,,
ETHICON,Opticien-lunetier,COISINE ALINE,05/11/2013,REPAS,€35,,
ICOMED,Chirurgien-dentiste,BRUNEAU JEAN MARC,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,BOYER JACQUES,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FAUVEL PATRICK,14/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,FAUVEL PATRICK,06/01/2014,Autre: [Enquête],€25,,
JANSSEN-CILAG,Médecin,BENDAVID LARA,06/12/2013,REPAS,€13,,
JANSSEN-CILAG,Médecin,BENDAVID POL,06/12/2013,REPAS,€13,,
JANSSEN-CILAG,Médecin,FAUVEL PATRICK,06/12/2013,REPAS,€13,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,RATTEL FRANCK,12/04/2012,Autre,€10,,
laboratoire BAUSCH&LOMB,Opticien-lunetier,REVEILLARD VERONIQUE,05/09/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,BRIAND HELENE,22/11/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,22/02/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,25/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,21/03/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,21/03/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,25/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,22/02/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,21/11/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID LARA,14/06/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,14/06/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,22/02/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,25/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,24/01/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,06/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,18/05/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,21/03/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENDAVID POL,16/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BILLIARD ALAIN,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOYER JACQUES,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIAND HELENE,24/01/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIAND HELENE,16/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIAND HELENE,21/03/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARSIN MARIE,19/10/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,06/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,25/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,14/06/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,30/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,19/10/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,16/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,22/02/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ETIENNE WILFRIED,21/03/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,22/02/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,16/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,14/06/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,21/03/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,06/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,24/01/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,22/11/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAUVEL PATRICK,18/05/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUENE BERNARD,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBRAHIM NADA,16/01/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUIGNON LAURENCE,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,THOMANN MARION,18/05/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SERRAULT FLORENCE,27/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SERRAULT JEAN FRANCOIS,27/06/2013,Hospitalite,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BENDAVID LARA,17/01/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BENDAVID LARA,20/12/2013,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BENDAVID POL,17/01/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BENDAVID POL,20/12/2013,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRIAND HELENE,17/01/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRIAND HELENE,20/12/2013,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ETIENNE WILFRIED,20/12/2013,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ETIENNE WILFRIED,17/01/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FAUVEL PATRICK,17/01/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FAUVEL PATRICK,20/12/2013,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,THOMANN MARION,20/12/2013,Repas,€28,,
LABORATOIRES COLOPLAST,Infirmier,BILLARD VERONIQUE,18/10/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Infirmier,COLAS GUILLAUME,18/10/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Infirmier,OGEREAU CATHERINE,18/10/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Infirmier,RUAULT LYDIE,18/10/2013,Repas,€25,,
Laboratoires Grünenthal SAS,Médecin,BENDAVID POL,10/10/2013,REPAS,€52,,
MENARINI FRANCE,Médecin,BENDAVID LARA,20/09/2013,AUTRE : RNT,€18,,
MENARINI FRANCE,Médecin,BENDAVID POL,20/09/2013,AUTRE : RNT,€18,,
MENARINI FRANCE,Médecin,BOURGET ANTOINE,13/05/2014,Autre : [Restauration],€40,,
MENARINI FRANCE,Médecin,BRIAND HELENE,20/09/2013,AUTRE : RNT,€18,,
MENARINI FRANCE,Médecin,ETIENNE WILFRIED,20/09/2013,AUTRE : RNT,€18,,
MENARINI FRANCE,Médecin,FAUVEL PATRICK,20/09/2013,AUTRE : RNT,€18,,
Molnlycke Health Care,Infirmier,BILLARD VERONIQUE,06/12/2013,INVITATIONS,€30,,
Molnlycke Health Care,Infirmier,COLAS GUILLAUME,06/12/2013,INVITATIONS,€30,,
Molnlycke Health Care,Infirmier,LANDELLE ISABELLE,06/12/2013,INVITATIONS,€30,,
Molnlycke Health Care,Infirmier,OGEREAU CATHERINE,06/12/2013,INVITATIONS,€30,,
Molnlycke Health Care,Infirmier,RUAULT LYDIE,06/12/2013,INVITATIONS,€30,,
Molnlycke Health Care,Infirmier,VIET JOCELYNE,06/12/2013,INVITATIONS,€30,,
Molnlycke Health Care,Pharmacien,SIMON FRANÇOISE,23/05/2014,REPAS,€35,,
MSD France,Médecin,BENDAVID LARA,09/03/2012,REPAS,€30,,
MSD France,Médecin,BENDAVID POL,05/04/2012,HOSPITALITE,€58,,
MSD France,Médecin,BENDAVID POL,09/03/2012,REPAS,€30,,
MSD France,Médecin,BENDAVID POL,18/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOURGET ANTOINE,18/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,CHEVREUL PIRECKI AUDE,15/10/2013,REPAS,€32,,
MSD France,Médecin,CHEVREUL PIRECKI AUDE,04/10/2012,HOSPITALITE,€62,,
MSD France,Médecin,CHEVREUL PIRECKI AUDE,17/12/2013,REPAS,€42,,
MSD France,Médecin,FAUVEL PATRICK,09/03/2012,REPAS,€30,,
MUNDIPHARMA,Médecin,BOURGET ANTOINE,21/06/2014,HOSPITALITE REUNION PROFESSIONNELLE,€365,,
MYLAN SAS,Pharmacien,LUDEAU NATHALIE,13/09/2013,REPAS,€42,,
MYLAN SAS,Pharmacien,LUDEAU NATHALIE,19/06/2014,REPAS,€42,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LELIEVRE ANNIE,13/09/2013,REPAS,€42,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LELIEVRE ANNIE,19/06/2014,REPAS,€42,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PETIT FRANCOIS,19/06/2014,REPAS,€42,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POUTEAU JULIE,13/09/2013,REPAS,€42,,
NOVARTIS PHARMA SAS,Médecin,BENDAVID LARA,24/06/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BENDAVID POL,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BENDAVID POL,17/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BILLIARD ALAIN,27/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BOYER JACQUES,27/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BOYER JACQUES,24/06/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BRIAND HELENE,24/06/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,ETIENNE WILFRIED,24/06/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GUENE BERNARD,27/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GUENE BERNARD,24/06/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,MARTIN BRUNO,27/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVO NORDISK,Médecin,BILLIARD ALAIN,17/06/2014,REPAS,€34,,
NOVO NORDISK,Médecin,BILLIARD ALAIN,19/09/2013,REPAS,€31,,
NOVO NORDISK,Médecin,QUIGNON LAURENCE,17/06/2014,REPAS,€34,,
PFIZER SAS,Médecin,BOURGET ANTOINE,17/04/2014,REPAS,€50,,
PFIZER SAS,Médecin,POUPLIN CELINE,09/12/2013,Repas,€30,,
PHARMA DOM,Pharmacien,GIRARD SEVERINE,18/02/2014,DEJEUENER D'OPPORTUNITE,€21,,
PHARMA DOM,Pharmacien,MELIANI MARY,18/02/2014,DEJEUENER D'OPPORTUNITE,€21,,
PHARMA DOM,Pharmacien,PANTAIS ISABELLE,05/09/2013,DEJEUNER D'OPPORTUNITE,€35,,
PIERRE FABRE MEDICAMENT,Médecin,BENDAVID POL,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,BILLIARD ALAIN,23/01/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,BILLIARD ALAIN,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,BILLIARD ALAIN,26/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BOURGET ANTOINE,18/04/2014,RESTAURATION,€31,,
PIERRE FABRE MEDICAMENT,Médecin,BOURGET ANTOINE,26/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BOURGET ANTOINE,04/04/2012,Restauration,€54,,
PIERRE FABRE MEDICAMENT,Médecin,BOYER JACQUES,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,BOYER JACQUES,23/01/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,FAUVEL PATRICK,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,GUENE BERNARD,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,GUENE BERNARD,23/01/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN BRUNO,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,QUIGNON LAURENCE,26/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,QUIGNON LAURENCE,07/11/2013,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,QUIGNON LAURENCE,23/01/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Pharmacien,COUSEIN ERIC,27/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Pharmacien,PANTAIS ISABELLE,01/02/2013,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Pharmacien,SERRAULT FLORENCE,12/11/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Pharmacien,SERRAULT JEAN FRANCOIS,12/11/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Pharmacien,SERRAULT JEAN FRANCOIS,23/06/2014,RESTAURATION,€27,,
PIERRE FABRE MEDICAMENT,Pharmacien,SERRAULT JEAN FRANCOIS,20/01/2012,Restauration,€25,,
PRECIPHAR,Médecin,BENDAVID LARA,18/04/2014,Repas,€30,,
PRECIPHAR,Médecin,BENDAVID POL,18/04/2014,Repas,€30,,
PRECIPHAR,Médecin,ETIENNE WILFRIED,18/04/2014,Repas,€30,,
PRECIPHAR,Médecin,FAUVEL PATRICK,18/04/2014,Repas,€30,,
PROCTER & GAMBLE FRANCE,Chirurgien-dentiste,BEUNARD Karine,27/02/2014,REPAS,€52,,
PROCTER & GAMBLE FRANCE,Chirurgien-dentiste,BRUNEAU Jean-Marc,27/02/2014,REPAS,€52,,
PROCTER & GAMBLE FRANCE,Chirurgien-dentiste,SADOUNI Hanane,27/02/2014,REPAS,€52,,
SANOFI AVENTIS FRANCE,Médecin,BENDAVID LARA,24/04/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,BENDAVID POL,24/04/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,BILLIARD ALAIN,24/04/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,BOYER JACQUES,24/04/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,GUENE BERNARD,24/04/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN BRUNO,24/04/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Pharmacien,GIRARD SEVERINE,21/02/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Pharmacien,MELIANI POHU MARY,21/02/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Pharmacien,PANTAIS ISABELLE,21/02/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Pharmacien,PANTAIS ISABELLE,25/09/2013,Restauration,€25,,
Smith & Nephew S.A.S.,Médecin,ETIENNE WILFRIED,26/09/2013,REPAS,€35,,
Smith & Nephew S.A.S.,Médecin,GUENE BERNARD,26/09/2013,REPAS,€35,,
Smith & Nephew S.A.S.,Médecin,MARTIN BRUNO,26/09/2013,REPAS,€35,,
Smith & Nephew S.A.S.,Médecin,QUIGNON LAURENCE,26/09/2013,REPAS,€35,,
THERABEL LUCIEN PHARMA,Médecin,BILLIARD ALAIN,11/06/2013,REPAS,€35,,
THERABEL LUCIEN PHARMA,Médecin,QUIGNON LAURENCE,11/06/2013,REPAS,€35,,
Zimmer Dental SAS,Chirurgien-dentiste,ARNOLD-GALAS ROZENN,15/04/2014,repas,€67,,
Zimmer Dental SAS,Chirurgien-dentiste,HANANE SADOUNI,17/06/2014,REPAS,€46,,
