ALFA WASSERMANN PHARMA,Médecin,LHOSMOT JEAN-LOUIS,06/06/2014,REPAS,€25,,
MSD France,Médecin,ROUSSEL JACQUES,26/11/2013,REPAS,€40,,
MSD France,Médecin,ROUSSEL JACQUES,23/08/2013,REPAS,€15,,
MSD France,Médecin,ROUSSEL JACQUES,18/04/2013,REPAS,€40,,
MSD France,Médecin,ROUSSEL JACQUES,31/05/2013,REPAS,€40,,
MSD France,Médecin,ROUSSEL JACQUES,24/05/2012,REPAS,€15,,
MSD France,Médecin,ROUSSEL JACQUES,03/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,ROUSSEL JACQUES,17/04/2014,REPAS,€60,,
MUNDIPHARMA,Médecin,ROUSSEL JACQUES,11/04/2014,REPAS,€28,,
MUNDIPHARMA,Médecin,ROUSSEL JACQUES,21/05/2013,AUTRE : REPAS PROFESSIONNEL,€34,,
MYLAN SAS,Pharmacien,ICART ADRIEN,15/11/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,LANQUETIN CAROLE,15/11/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,LANQUETIN SYLVESTRE,15/11/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JEUNET AGNES,15/11/2013,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,LHOSMOT JEAN LOUIS,03/10/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,ROUSSEL JACQUES,25/02/2014,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,ROUSSEL JACQUES,16/07/2013,Repas,€54,,
NOVARTIS PHARMA SAS,Médecin,ROUSSEL JACQUES,22/10/2013,Repas,€34,,
PFIZER SAS,Médecin,ROUSSEL JACQUES,28/05/2014,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LHOSMOT JEAN LOUIS,05/04/2012,Frais de dÃƒÂ©placement,€316,,
PIERRE FABRE MEDICAMENT,Médecin,LHOSMOT JEAN LOUIS,09/01/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,21/11/2013,RESTAURATION,€30,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,06/03/2014,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,11/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,09/02/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,31/08/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,31/08/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,19/04/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,09/02/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,05/04/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSEL JACQUES,06/03/2014,RESTAURATION,€45,,
SANOFI AVENTIS FRANCE,Médecin,ROUSSEL JACQUES,10/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,LANQUETIN CAROLE,19/05/2014,Repas,€24,,
Takeda France,Médecin,ROUSSEL Jacques,05/12/2013,REPAS,€60,,
Takeda France,Médecin,ROUSSEL Pierre paul,05/12/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,ROUSSEL JACQUES,28/03/2014,REPAS,€56,,
