ABBOTT FRANCE,Pharmacien,BARTHES PHILIPPE,28/05/2014,REPAS,€16,,
MSD France,Médecin,DELPY MICHEL,03/07/2012,REPAS,€55,,
MSD France,Médecin,DELPY MICHEL,28/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,DELPY MICHEL,26/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,DELPY MICHEL,02/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,DELPY MICHEL,01/03/2012,REPAS,€55,,
MSD France,Médecin,DELPY MICHEL,25/07/2012,REPAS,€54,,
MSD France,Médecin,DELPY MICHEL,23/11/2013,TRANSPORT,€109,,
MSD France,Médecin,DELPY MICHEL,10/10/2013,REPAS,€60,,
MSD France,Médecin,DELPY MICHEL,17/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,DELPY MICHEL,23/11/2013,REPAS,€135,,
MSD France,Médecin,DELPY MICHEL,20/03/2014,REPAS,€55,,
MSD France,Médecin,DELPY MICHEL,19/02/2014,REPAS,€60,,
MSD France,Médecin,DELPY MICHEL,27/06/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,DELPY MICHEL,25/07/2012,REPAS,€54,,
MSD France,Médecin,DELPY MICHEL,23/11/2013,TRANSPORT,€109,,
MSD France,Médecin,DENARNAUD CLAUDE,11/04/2014,TRANSPORT,€110,,
MSD France,Médecin,DENARNAUD CLAUDE,26/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,DENARNAUD CLAUDE,10/06/2014,REPAS,€51,,
MSD France,Médecin,DENARNAUD CLAUDE,11/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,DENARNAUD CLAUDE,04/10/2013,REPAS,€30,,
MSD France,Médecin,DENARNAUD CLAUDE,02/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,DENARNAUD CLAUDE,14/06/2013,HOSPITALITÉ,"€1,847",,
MSD France,Médecin,DENARNAUD CLAUDE,10/05/2012,HOSPITALITE,€55,,
MSD France,Médecin,DENARNAUD CLAUDE,12/04/2014,REPAS,€60,,
MSD France,Médecin,DENARNAUD CLAUDE,12/04/2014,REPAS,€40,,
MSD France,Médecin,DENARNAUD CLAUDE,11/04/2014,REPAS,€20,,
MSD France,Médecin,DENARNAUD CLAUDE,22/06/2012,REPAS,€27,,
MSD France,Médecin,DENARNAUD MARIE PIERRE,03/07/2012,REPAS,€55,,
MSD France,Médecin,MARTIN CLAUDE,25/09/2012,REPAS,€11,,
NOVARTIS PHARMA SAS,Médecin,BOUDET PHILIPPE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVARTIS PHARMA SAS,Médecin,BOUDET VERONIQUE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVARTIS PHARMA SAS,Médecin,DELPY MICHEL,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVARTIS PHARMA SAS,Médecin,DENARNAUD CLAUDE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVO NORDISK,Médecin,DELPY MICHEL,11/01/2014,HEBERGEMENT,€117,,
NOVO NORDISK,Médecin,DELPY MICHEL,11/01/2014,HEBERGEMENT,€117,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDET PHILIPPE,02/07/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDET PHILIPPE,04/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDET PHILIPPE,16/02/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDET VERONIQUE,04/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,BOUDET VERONIQUE,02/07/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,DELPY MICHEL,27/10/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,DELPY MICHEL,04/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,DELPY MICHEL,16/02/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,DELPY MICHEL,31/05/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD CLAUDE,31/05/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD MARIE PIERRE,04/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD MARIE PIERRE,02/07/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD MARIE PIERRE,16/05/2013,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD MARIE PIERRE,21/02/2013,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD MARIE PIERRE,31/05/2012,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,DELPY MICHEL,10/12/2013,Restauration,€19,,
SIGVARIS,Médecin,HERRERO GILBERT,26/09/2013,REPAS,€30,,
SIGVARIS,Médecin,SICHE MARIE PIERRE,26/09/2013,REPAS,€30,,
Takeda France,Médecin,DENARNAUD Marie pierre,03/10/2013,REPAS,€35,,
Takeda France,Médecin,DENARNAUD Marie pierre,27/02/2014,REPAS,€25,,
TEVA SANTE SAS,Médecin,DENARNAUD CLAUDE,11/10/2013,REPAS,€55,,
TEVA SANTE SAS,Médecin,DENARNAUD MARIE PIERRE,20/02/2014,REPAS,€30,,
TEVA SANTE SAS,Médecin,DENARNAUD MARIE PIERRE,11/10/2013,REPAS,€36,,
TEVA SANTE SAS,Pharmacien,MARTINEZ CATHERINE,13/05/2014,REPAS,€30,,
Zambon France,Médecin,DENARNAUD CLAUDE,21/03/2014,Repas,€26,,
