ABBOTT PRODUCTS SAS,Médecin,NICOLAS Patrick,11/12/2013,REPAS,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MAILLIU RICHARD,18/03/2014,Repas,€13,,
BRISTOL-MYERS SQUIBB,Médecin,MAILLIU RICHARD,24/01/2014,Repas,€14,,
BRISTOL-MYERS SQUIBB,Médecin,NICOLAS PATRICK,16/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,NICOLAS PATRICK,12/03/2014,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,VIGUIER FABIENNE,26/11/2013,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,VIGUIER FABIENNE,19/02/2014,Repas,€13,,
BRISTOL-MYERS SQUIBB,Médecin,VIGUIER FABIENNE,26/11/2013,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,VIGUIER FABIENNE,12/07/2013,Repas,€15,,
BRISTOL-MYERS SQUIBB,Médecin,VIGUIER FABIENNE,30/09/2013,Repas,€41,,
CAPRON PODOLOGIE,Pédicure-podologue,BEAUVAIS AURELIE,31/10/2013,CADEAUX,€10,,
CHIESI SA,Médecin,BIZEAU AURELIE,05/12/2013,Repas,€28,,
CHIESI SA,Médecin,JOUSSON STEPHANIE,05/12/2013,Repas,€28,,
CHIESI SA,Médecin,LAPENNE MYRIAM,05/12/2013,Repas,€28,,
CHIESI SA,Médecin,LENOIR SYLVIE,05/12/2013,Repas,€28,,
CHIESI SA,Médecin,MAILLIU RICHARD,05/12/2013,Repas,€28,,
CHIESI SA,Médecin,NICOLAS PATRICK,13/11/2013,Repas,€50,,
CHIESI SA,Médecin,NICOLAS PATRICK,05/12/2013,Repas,€28,,
CHIESI SA,Médecin,VIGUIER FABIENNE,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,BOURDIN CLAUDE,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,CURIEUX FERAUX BERNADETTE,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,GUERIN GERMAIN CELINE,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,MORLAT BASLE NICOLE,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,PERRUT CAROLINE,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,RIGLET ELISABETH,05/12/2013,Repas,€28,,
CHIESI SA,Pharmacien,RIGLET PHILIPPE,05/12/2013,Repas,€28,,
colgate palmolive,Chirurgien-dentiste,LEPLEGE FRANCOISE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,RUTH HUSBAND ALISON,04/02/2014,Dons de materiel,€16,,
DAIICHI SANKYO FRANCE SAS,Médecin,BAUMIER DIDIER,03/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,NICOLAS PATRICK,02/04/2014,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,NICOLAS PATRICK,03/06/2014,Repas,€45,,
Essilor,Opticien-lunetier,BLOT Evelyne,13/11/2013,Invitation à déjeuner / dîner,€18,,
Essilor,Opticien-lunetier,COSTES Anne-Sophie,13/11/2013,Invitation à déjeuner / dîner,€18,,
GILEAD SCIENCES,Médecin,BERTAUX LOUISE,11/03/2014,REPAS,€60,,
ICOMED,Chirurgien-dentiste,HUSBAND ALISON RUTH,09/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,HUSBAND ALISON RUTH,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,DILLON CLAUDE,24/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,HUBERT LANDREAU SYLVIE,05/04/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,HUBERT LANDREAU SYLVIE,07/03/2014,Autre: [Enquête],€18,,
JANSSEN-CILAG,Médecin,NICOLAS PATRICK,15/11/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUMIER DIDIER,10/10/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUMIER DIDIER,30/09/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUMIER DIDIER,14/05/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAILLIU RICHARD,10/10/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAILLIU RICHARD,10/10/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAILLIU RICHARD,30/09/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,08/04/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,10/04/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,14/05/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,05/06/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,22/01/2014,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,29/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,26/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLAS PATRICK,25/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TAISNE PHILIPPE,19/01/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,30/09/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,10/10/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,14/05/2013,Hospitalite,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,17/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,14/03/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,15/05/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGUIER FABIENNE,10/10/2013,REPAS,€41,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,NICOLAS PATRICK,18/12/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,NICOLAS PATRICK,09/10/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,NICOLAS PATRICK,04/06/2014,Repas,€60,,
Laboratoires Leurquin Mediolanum,Médecin,BAUMIER DIDIER,16/10/2013,AUTRE,€30,,
LEO Pharma,Médecin,BAUMIER DIDIER,08/04/2014,REPAS,€49,,
LEO Pharma,Médecin,NICOLAS PATRICK,16/04/2014,REPAS,€53,,
LES LABORATOIRES SERVIER,Médecin,HUBERT SYLVIE,22/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HUBERT SYLVIE,22/01/2014,Hébergement,€480,,
LES LABORATOIRES SERVIER,Médecin,HUBERT SYLVIE,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,NICOLAS PATRICK,19/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,NICOLAS PATRICK,05/04/2014,Hébergement,€268,,
LES LABORATOIRES SERVIER,Médecin,NICOLAS PATRICK,09/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,NICOLAS PATRICK,27/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,NICOLAS PATRICK,12/02/2014,Repas,€50,,
Lilly France SAS,Infirmier,DOISNEAU SEVERINE,26/09/2013,REPAS,€12,,
Lilly France SAS,Infirmier,PEQUIGNOT CAROLE,26/09/2013,REPAS,€12,,
Lilly France SAS,Médecin,BADIN JEAN PHILIPPE,18/09/2013,REPAS,€33,,
Lilly France SAS,Médecin,BERTAUX LOUISE,19/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,BERTAUX LOUISE,18/09/2013,REPAS,€33,,
Lilly France SAS,Médecin,HUBERT LANDREAU SYLVIE,18/09/2013,REPAS,€33,,
Lilly France SAS,Médecin,JOLY CHANTAL,18/09/2013,REPAS,€33,,
Lilly France SAS,Médecin,JOLY CHANTAL,26/09/2013,REPAS,€59,,
Lilly France SAS,Médecin,NICOLAS PATRICK,18/09/2013,REPAS,€33,,
Lilly France SAS,Médecin,NICOLAS PATRICK,25/09/2013,REPAS,€60,,
LUNDBECK SAS,Médecin,DILLON CLAUDE,01/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€56,,
MENARINI FRANCE,Médecin,NICOLAS PATRICK,04/09/2013,REPAS,€55,,
MERCK SERONO,Médecin,BERTAUX LOUISE,06/02/2014,REPAS,€22,,
MERCK SERONO,Médecin,NICOLAS PATRICK,26/03/2014,REPAS,€45,,
MSD France,Médecin,BENZIANE DALI FELLA,20/03/2014,REPAS,€60,,
MSD France,Médecin,BENZIANE DALI FELLA,03/06/2014,REPAS,€55,,
MSD France,Médecin,BERTAUX LOUISE,20/03/2012,HOSPITALITE,€49,,
MSD France,Médecin,BERTAUX LOUISE,03/06/2014,REPAS,€55,,
MSD France,Médecin,BERTAUX LOUISE,20/06/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,BERTAUX LOUISE,30/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,BERTAUX LOUISE,14/06/2012,HOSPITALITE,€50,,
MSD France,Médecin,BERTAUX LOUISE,06/02/2014,REPAS,€55,,
MSD France,Médecin,BERTAUX LOUISE,20/03/2014,REPAS,€60,,
MSD France,Médecin,NICOLAS PATRICK,03/09/2013,REPAS,€40,,
MSD France,Médecin,NICOLAS PATRICK,08/01/2014,REPAS,€53,,
MSD France,Médecin,NICOLAS PATRICK,20/09/2013,REPAS,€56,,
MSD France,Médecin,NICOLAS PATRICK,29/01/2014,REPAS,€31,,
MSD France,Médecin,NICOLAS PATRICK,06/11/2013,REPAS,€60,,
MSD France,Médecin,NICOLAS PATRICK,27/11/2012,HOSPITALITE,€58,,
MSD France,Médecin,NICOLAS PATRICK,02/03/2012,REPAS,€40,,
MSD France,Médecin,NICOLAS PATRICK,20/09/2013,REPAS,€56,,
MSD France,Médecin,NICOLAS PATRICK,02/03/2012,REPAS,€40,,
MUNDIPHARMA,Médecin,NICOLAS PATRICK,23/05/2014,REPAS,€40,,
NOVARTIS PHARMA SAS,Médecin,NICOLAS PATRICK,11/10/2013,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,NICOLAS PATRICK,15/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,NICOLAS PATRICK,30/04/2014,Autre : [Participation Evenement Scientifique],€50,,
Octapharma France,Association professionnel de santé,Association pour le Développement et la Recherche en Oncologie Médicale,28/04/2014,Dons de fonctionnement,"€2,000",,
Otsuka Pharmaceutical France SAS,Médecin,HUBERT SYLVIE,03/04/2014,REPAS,€60,,
Otsuka Pharmaceutical France SAS,Médecin,HUBERT SYLVIE,03/04/2014,HOSPITALITE,€60,,
Otsuka Pharmaceutical France SAS,Médecin,HUBERT SYLVIE,03/04/2014,TRANSPORT,€62,,
Otsuka Pharmaceutical France SAS,Médecin,HUBERT SYLVIE,03/04/2014,HEBERGEMENT,€185,,
PFIZER SAS,Médecin,LAPENNE MYRIAM,18/07/2013,Repas,€36,,
PFIZER SAS,Médecin,NICOLAS PATRICK,04/02/2014,REPAS,€55,,
PFIZER SAS,Médecin,NICOLAS PATRICK,06/06/2014,REPAS,€36,,
PIERRE FABRE MEDICAMENT,Médecin,BERTAUX LOUISE,05/06/2014,RESTAURATION,€54,,
PIERRE FABRE MEDICAMENT,Médecin,BERTAUX LOUISE,04/04/2013,Restauration,€14,,
PIERRE FABRE MEDICAMENT,Médecin,MAILLIU RICHARD,15/05/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,NICOLAS PATRICK,25/06/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,NICOLAS PATRICK,28/08/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,NICOLAS PATRICK,26/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,NICOLAS PATRICK,26/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,NICOLAS PATRICK,25/06/2013,Restauration,€48,,
PRECIPHAR,Médecin,BAUMIER DIDIER,20/01/2014,Repas,€18,,
PRECIPHAR,Médecin,BAUMIER DIDIER,04/06/2014,Repas,€17,,
PRECIPHAR,Médecin,MAILLIU RICHARD,04/06/2014,Repas,€17,,
PRECIPHAR,Médecin,MAILLU RICHARD,20/01/2014,Repas,€18,,
PRECIPHAR,Médecin,NICOLAS PATRICK,17/12/2013,REPAS,€33,,
SANOFI AVENTIS FRANCE,Médecin,BAUMIER DIDIER,15/05/2014,Repas,€12,,
Takeda France,Médecin,BAUMIER Didier,02/04/2014,REPAS,€19,,
Takeda France,Médecin,MAILLIU Richard,02/04/2014,REPAS,€19,,
TEVA SANTE SAS,Médecin,NICOLAS PATRICK,25/03/2014,REPAS,€45,,
TEVA SANTE SAS,Médecin,NICOLAS PATRICK,12/03/2014,REPAS,€39,,
TEVA SANTE SAS,Pharmacien,MORLAT NICOLE,12/12/2013,REPAS,€120,,
TEVA SANTE SAS,Pharmacien,MORLAT NICOLE,12/12/2013,HEBERGEMENT,€180,,
THERABEL LUCIEN PHARMA,Médecin,NICOLAS PATRICK,28/05/2013,REPAS,€44,,
THERABEL LUCIEN PHARMA,Médecin,NICOLAS PATRICK,28/05/2013,REPAS,€44,,
