3M France,Pharmacien,PERRIN LACOUR JEANNE,19/09/2013,REPAS,€30,,
ASTELLAS PHARMA,Médecin,TOURNIER MICHEL,03/04/2014,REPAS,€49,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,RACHIDI ASSAAD,13/11/2013,Repas,€71,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,RACHIDI ASSAAD,12/06/2014,Repas,€40,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,RACHIDI ASSAAD,11/11/2013,Repas,€29,,
ASTRAZENECA,Médecin,BARRERE GHISLAINE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CAMBRILLAT NICOLAS,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CARTIER JEAN CHARLES,05/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,CARTIER JEAN CHARLES,24/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,CARTIER JEAN CHARLES,23/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,CARTIER JEAN CHARLES,30/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,GALLEA YVES,10/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,MENUDET JEAN LOUP,05/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MIAS PHILIPPE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUX VALERIE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUX VALERIE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,TOURNIER MICHEL,26/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,TOURNIER MICHEL,30/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,TOURNIER MICHEL,24/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,TOURNIER MICHEL,23/01/2014,Repas,€43,,
ASTRAZENECA,Pharmacien,BRUN JEAN FRANCOIS,10/04/2014,Repas,€43,,
AUDIOMEDI SAS,Audioprothésiste,SADELER JEAN MATHIEU,02/12/2013,REPAS,€26,,
Bayer HealthCare SAS,Médecin,CARNEAU FREDERIC,10/05/2014,Hospitalité,€881,,
Bayer HealthCare SAS,Médecin,CARNEAU FREDERIC,29/11/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,MIAS PHILIPPE,03/02/2014,Hospitalité,€55,,
BIOCODEX,Médecin,MENUDET JEAN LOUP,27/03/2014,REPAS,€38,,
BIOCODEX,Médecin,TOURNIER MICHEL,27/03/2014,REPAS,€38,,
BIOCODEX,Médecin,TOURNIER MICHEL,24/10/2013,REPAS,€35,,
BIOCODEX,Pharmacien,WARIN JEANNE,27/03/2014,REPAS,€38,,
BIOCODEX,Pharmacien,WARIN JEANNE,24/10/2013,REPAS,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MIAS PHILIPPE,07/11/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,OUANES KAMEL,16/01/2014,HOSPITALITE,"€1,273",,
BRISTOL-MYERS SQUIBB,Médecin,BARRERE GHISLAINE,11/07/2013,Repas,€17,,
BRISTOL-MYERS SQUIBB,Médecin,CARTIER JEAN CHARLES,07/11/2013,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,TOURNIER MICHEL,07/11/2013,Repas,€40,,
COOPERVISION SAS,Opticien-lunetier,CONSTANT PIERRE,07/01/2014,REPAS,€59,,
COOPERVISION SAS,Opticien-lunetier,GUILBAUD DIDIER,07/01/2014,REPAS,€59,,
COSMETIQUE ACTIVE FRANCE,Médecin,VIGNEAU MICHELE,10/04/2014,AUTRE: [FORMATION],€40,,
COSMETIQUE ACTIVE FRANCE,Médecin,VIGNEAU MICHELE,04/06/2014,AUTRE: [FORMATION],€56,,
DAIICHI SANKYO FRANCE SAS,Médecin,CARTIER JEAN CHARLES,11/07/2013,Repas,€32,,
DAIICHI SANKYO FRANCE SAS,Médecin,CARTIER JEAN CHARLES,20/02/2014,Repas,€42,,
DAIICHI SANKYO FRANCE SAS,Médecin,MIAS PHILIPPE,07/02/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,TOURNIER MICHEL,20/02/2014,Repas,€42,,
DAIICHI SANKYO FRANCE SAS,Médecin,TOURNIER MICHEL,11/07/2013,Repas,€32,,
EDWARDS LIFESCIENCES,Médecin,MASCARO JEAN-MARC,30/10/2013,REPAS,€13,,
Essilor,Opticien-lunetier,Bacherot Stéphane,13/11/2013,Invitation à déjeuner / dîner,€22,,
Essilor,Opticien-lunetier,Bodoy Guillaume,13/11/2013,Invitation à déjeuner / dîner,€22,,
Essilor,Opticien-lunetier,Constant Béatrice,13/11/2013,Invitation à déjeuner / dîner,€22,,
Essilor,Opticien-lunetier,Constant Pierre,13/11/2013,Invitation à déjeuner / dîner,€22,,
Essilor,Opticien-lunetier,Cozzo Laure,13/11/2013,Invitation à déjeuner / dîner,€22,,
Essilor,Opticien-lunetier,Da Silva Karen,13/11/2013,Invitation à déjeuner / dîner,€22,,
GLOBAL D,Chirurgien-dentiste,HERNANDEZ YVES,24/04/2014,REPAS,€31,,
GLOBAL D,Chirurgien-dentiste,THENARD ALAIN,24/04/2014,REPAS,€31,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,CONSTANT PIERRE,01/10/2013,Repas,€36,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,CONSTANT PIERRE,27/05/2014,Repas,€24,,
ICOMED,Chirurgien-dentiste,AMIACH ANDRE YVES,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,BOURLET GILLES,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,CHATOT BRIGITTE,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,FERRAND GERARD,05/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,FERRAND GERARD,12/02/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,FROGER CHRISTIANE,06/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,FROGER CHRISTIANE,06/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,GALLEA YVES,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GORIUS ALAIN,24/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MIAS PHILIPPE,07/04/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,MIAS PHILIPPE,12/03/2013,Autre: [Enquête],€25,,
JANSSEN-CILAG,Infirmier,DUPRE MARIE CHRISTINE,04/06/2013,REPAS,€20,,
JANSSEN-CILAG,Infirmier,JAFFRE PATRICK,04/06/2013,REPAS,€20,,
JANSSEN-CILAG,Infirmier,PEMEANT THIERRY,04/06/2013,REPAS,€20,,
JANSSEN-CILAG,Médecin,BELLIER PATRICK,05/06/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,LIZE GUILHOT FRANCOISE,27/11/2013,AUTRE : ENVOI D'ARTICLES OU D'OUVRAGES SCIENTIFIQUES,€20,,
JANSSEN-CILAG,Médecin,MENUDET JEAN LOUP,16/05/2013,REPAS,€35,,
JANSSEN-CILAG,Médecin,TOURNIER MICHEL,16/05/2013,REPAS,€35,,
JANSSEN-CILAG,Médecin,VINCENT CORINNE,07/02/2013,REPAS,€54,,
KRKA FRANCE EURL,Pharmacien,BRUN JEAN-FRANCOIS,20/09/2013,REPAS,€23,,
KRKA FRANCE EURL,Pharmacien,BRUN JEAN-FRANCOIS,07/12/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARRERE GHISLAINE,23/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARTIER JEAN CHARLES,13/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARTIER JEAN CHARLES,21/11/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARTIER JEAN CHARLES,14/11/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARTIER JEAN CHARLES,04/07/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARTIER JEAN CHARLES,21/11/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARTIER JEAN CHARLES,14/11/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MENUDET JEAN LOUP,20/09/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MENUDET JEAN LOUP,13/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MENUDET JEAN LOUP,14/11/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROGER CHRISTIANE,15/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUX VALERIE,23/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,04/07/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,14/11/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,13/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,17/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,24/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,20/09/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,23/05/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURNIER MICHEL,24/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,WARIN JEANNE,13/02/2014,REPAS,€50,,
Laboratoires Grünenthal SAS,Médecin,CARTIER JEAN CHARLES,12/12/2013,REPAS,€37,,
Laboratoires Grünenthal SAS,Médecin,CARTIER JEAN CHARLES,15/04/2014,REPAS,€53,,
Laboratoires Leurquin Mediolanum,Médecin,BARRERE GHISLAINE,30/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOURNIER MICHEL,29/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOURNIER MICHEL,23/06/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,TOURNIER MICHEL,21/05/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOURNIER MICHEL,29/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TOURNIER MICHEL,12/02/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,VAUDEY ROLAND,29/10/2013,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,BROBREMOND ANNE,16/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,FAURE MAJORIE,05/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,FAURE MARJORIE,19/06/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,FAURE MARTINE,19/06/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,JEAN HELENE,16/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,WARIN JEANNE,17/04/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,WARIN JEANNE,17/04/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,BERRESHEIM SYBILLE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,LOYAL SOPHIE,01/12/2013,CADEAUX,€15,,
Labvoratoire CHAUVIN,Médecin,CARNEAU FREDERIC,06/09/2013,TRANSPORT,€19,,
Labvoratoire CHAUVIN,Médecin,CARNEAU FREDERIC,06/09/2013,REPAS,€46,,
Labvoratoire CHAUVIN,Médecin,CARNEAU FREDERIC,06/09/2013,HEBERGEMENT,€64,,
LEO Pharma,Médecin,RACHIDI ASSAD,13/11/2013,REPAS,€44,,
LEO Pharma,Médecin,VIGNEAU MICHELE,04/06/2014,REPAS,€32,,
LEO Pharma,Médecin,VIGNEAU MICHELE,12/02/2014,REPAS,€40,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LIOTARD MARIE MADELEINE,11/06/2013,REPAS,€34,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PONCE JUDITH,11/06/2013,REPAS,€34,,
LES LABORATOIRES SERVIER,Médecin,BARRERE GHISLAINE,04/07/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,BOUROKBA SEDI MOHAMED,24/10/2013,Repas,€18,,
LES LABORATOIRES SERVIER,Médecin,OUANES KAMEL,24/10/2013,Repas,€18,,
LES LABORATOIRES SERVIER,Médecin,OUANES KAMEL,17/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,OUANES KAMEL,09/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,OUANES KAMEL,24/01/2014,Repas,€14,,
LES LABORATOIRES SERVIER,Médecin,ROUX VALERIE,04/07/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,11/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,17/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,19/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,04/02/2014,Repas,€58,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,21/02/2014,Hébergement,€160,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,03/04/2014,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,21/02/2014,Transport,€844,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,17/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VAUDEY ROLAND,15/05/2014,Repas,€60,,
Lilly France SAS,Infirmier,CAVE PATRICIA,19/09/2013,REPAS,€24,,
Lilly France SAS,Infirmier,FAURE VERONIQUE,16/11/2013,REPAS,€25,,
Lilly France SAS,Infirmier,FAURE VERONIQUE,11/12/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€35,,
Lilly France SAS,Infirmier,GIREN ANGELE,19/09/2013,REPAS,€24,,
Lilly France SAS,Pharmacien,MAZERES BERNARD,15/11/2013,TRANSPORT,€20,,
Lilly France SAS,Pharmacien,MAZERES BERNARD,15/11/2013,TRANSPORT,€30,,
MEDEXACT,Médecin,MIAS PHILIPPE,12/02/2013,Autre: [Enquête],€19,,
MEDTRONIC France S.A.S,Médecin,OUANES KAMEL,07/09/2013,REPAS,€38,,
Molnlycke Health Care,Infirmier,DUMOULIN MARIE CATHERINE,15/10/2013,INVITATIONS,€12,,
Molnlycke Health Care,Infirmier,LALLIER SAUTEL ANNIE,15/10/2013,INVITATIONS,€12,,
Molnlycke Health Care,Infirmier,MAUSSION CHRISTINE,15/10/2013,INVITATIONS,€12,,
Molnlycke Health Care,Infirmier,MEGE CORINNE,15/10/2013,INVITATIONS,€12,,
Molnlycke Health Care,Infirmier,VICENTE ANTUNES FREDERIC,15/10/2013,INVITATIONS,€12,,
MSD France,Médecin,BARRERE GHISLAINE,21/03/2013,HOSPITALITE,€58,,
MSD France,Médecin,BARRERE GHISLAINE,04/10/2012,HOSPITALITE,€50,,
MSD France,Médecin,CARTIER JEAN CHARLES,11/10/2012,REPAS,€35,,
MSD France,Médecin,CARTIER JEAN CHARLES,19/09/2013,REPAS,€40,,
MSD France,Médecin,CARTIER JEAN CHARLES,05/04/2012,REPAS,€40,,
MSD France,Médecin,CARTIER JEAN CHARLES,05/04/2012,REPAS,€55,,
MSD France,Médecin,ROUX VALERIE,04/10/2012,HOSPITALITE,€50,,
MSD France,Médecin,ROUX VALERIE,21/03/2013,HOSPITALITE,€58,,
MSD France,Médecin,TOURNIER MICHEL,19/09/2013,REPAS,€40,,
MSD France,Médecin,TOURNIER MICHEL,11/10/2012,REPAS,€35,,
MSD France,Médecin,VAUDEY ROLAND,24/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,VAUDEY ROLAND,13/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,VAUDEY ROLAND,06/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,VAUDEY ROLAND,03/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,VAUDEY ROLAND,07/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,VAUDEY ROLAND,26/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,VINCENT CORINNE,18/10/2013,REPAS,€75,,
MSD France,Sage-femme,MAHEC GAELLE,24/09/2012,HOSPITALITE,€57,,
MUNDIPHARMA,Médecin,CARTIER JEAN CHARLES,26/04/2013,AUTRE : REPAS PROFESSIONNEL,€22,,
MUNDIPHARMA,Médecin,TOURNIER MICHEL,12/12/2013,REPAS,€37,,
MYLAN SAS,Pharmacien,BRUN JEAN FRANCOIS,11/12/2013,REPAS,€27,,
MYLAN SAS,Pharmacien,BRUN JEAN FRANCOIS,24/01/2014,REPAS,€29,,
MYLAN SAS,Pharmacien,BRUN JEAN FRANCOIS,01/04/2014,REPAS,€24,,
MYLAN SAS,Pharmacien,BRUN JEAN FRANCOIS,17/06/2014,REPAS,€24,,
MYLAN SAS,Pharmacien,BRUN JEAN FRANCOIS,05/07/2013,REPAS,€22,,
MYLAN SAS,Pharmacien,GRANJON FREDERIC,16/10/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,GRANJON FREDERIC,27/05/2014,REPAS,€18,,
MYLAN SAS,Pharmacien,MAZERES BERNARD,04/02/2014,REPAS,€42,,
MYLAN SAS,Pharmacien,PERRIN WARIN JEANNE,28/01/2014,REPAS,€36,,
MYLAN SAS,Pharmacien,SEIGNOBOS BERNARD,04/02/2014,REPAS,€42,,
MYLAN SAS,Pharmacien,WARIN JEANNE,19/03/2014,REPAS,€17,,
MYLAN SAS,Pharmacien,WARIN JEANNE,16/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COUPET CATHERINE,16/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRAS SONIA,04/02/2014,REPAS,€42,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SALVINI GAELLE,16/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SOUBEYRAN CHARLOTTE,16/10/2013,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,06/12/2013,Transport,€86,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,06/12/2013,Hébergement,€220,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,06/12/2013,Autre : [Inscription Evenement Scientifique],€200,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,15/11/2013,Autre : [Inscription Evenement Scientifique],"€1,397",,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,08/09/2013,Autre : [Inscription Evenement Scientifique],€260,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,05/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,08/09/2013,Hébergement,€211,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,08/09/2013,Repas,€60,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,16/01/2014,Transport,€185,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,16/01/2014,Repas,€77,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,16/01/2014,Hébergement,€220,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,08/09/2013,Autre : [Inscription Evenement Scientifique],€260,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,15/11/2013,Autre : [Inscription Evenement Scientifique],"€1,397",,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,06/12/2013,Autre : [Inscription Evenement Scientifique],€200,,
NOVARTIS PHARMA SAS,Médecin,CARNEAU FREDERIC,06/12/2013,Hébergement,€220,,
NOVARTIS PHARMA SAS,Pharmacien,ETIENNE GENEVIEVE,12/09/2013,Transport,€162,,
NOVARTIS PHARMA SAS,Pharmacien,ETIENNE GENEVIEVE,12/09/2013,Hébergement,€200,,
NOVARTIS PHARMA SAS,Pharmacien,ETIENNE GENEVIEVE,12/09/2013,Repas,€196,,
NOVO NORDISK,Médecin,CARTIER JEAN CHARLES,26/06/2014,REPAS,€35,,
NOVO NORDISK,Médecin,CARTIER JEAN CHARLES,13/03/2014,REPAS,€40,,
NOVO NORDISK,Médecin,MENUDET JEAN LOUP,13/03/2014,REPAS,€40,,
NOVO NORDISK,Médecin,TOURNIER MICHEL,13/03/2014,REPAS,€40,,
Otsuka Pharmaceutical France SAS,Médecin,BELLIER PATRICK,11/06/2014,Repas,€64,,
PFIZER SAS,Médecin,CARTIER JEAN CHARLES,17/04/2014,REPAS,€50,,
PFIZER SAS,Médecin,MENUDET JEAN LOUP,17/04/2014,REPAS,€50,,
PFIZER SAS,Médecin,MENUDET JEAN LOUP,21/11/2013,Repas,€57,,
PHONAK FRANCE,Audioprothésiste,CONSTANT PIERRE,25/04/2014,CADEAUX,€71,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,05/01/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,15/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,27/09/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,17/12/2013,RESTAURATION,€67,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,04/10/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,27/09/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,14/06/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,24/05/2012,Restauration,€65,,
PIERRE FABRE MEDICAMENT,Médecin,CARTIER JEAN CHARLES,08/03/2012,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,MENUDET JEAN LOUP,08/03/2012,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,MENUDET JEAN LOUP,05/09/2013,RESTAURATION,€28,,
PIERRE FABRE MEDICAMENT,Médecin,MENUDET JEAN LOUP,20/12/2013,RESTAURATION,€67,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,05/09/2013,RESTAURATION,€28,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,23/05/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,17/12/2013,RESTAURATION,€67,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,08/03/2012,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,15/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,04/10/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,27/09/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNIER MICHEL,05/01/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€141,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,30/05/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,14/06/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€219,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€57,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,17/12/2013,RESTAURATION,€67,,
PIERRE FABRE MEDICAMENT,Médecin,VAUDEY ROLAND,14/06/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Pharmacien,WARIN JEANNE,04/04/2012,Restauration,€13,,
ROCHE SAS,Infirmier,MAUSSION CHRISTINE,10/10/2013,Repas,€22,,
SANOFI AVENTIS FRANCE,Etudiant,ROUBAUD MAGALI,16/01/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Infirmier,BRUN ALEXANDRA,19/09/2013,Restauration,€20,,
SANOFI AVENTIS FRANCE,Infirmier,CLAUZONNIER BEATRICE,19/09/2013,Restauration,€20,,
