AbbVie,Médecin,DESURMONT PHILIPPE,04/02/2014,REPAS,€32,,
ASTRAZENECA,Médecin,THIEULEUX Henri,29/11/2013,Transport,€247,,
ASTRAZENECA,Médecin,THIEULEUX Henri,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,THIEULEUX Henri,29/11/2013,Hébergement,€215,,
ASTRAZENECA,Médecin,WESTCOTT SALOMON CATHERINE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,WESTCOTT SALOMON CATHERINE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,WESTCOTT SALOMON CATHERINE,25/03/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,LEVEAU SMEULDERS LAURENCE,25/03/2014,Repas,€57,,
BARD FRANCE SAS,Association professionnel de santé,SICCV,11/03/2014,DON,"€1,315",,
Bayer HealthCare SAS,Médecin,BEHAGUE DANIEL,27/02/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,BOUQUET YVES,27/02/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,CAYET PIERRE,03/06/2014,Hospitalité,€36,,
Bayer HealthCare SAS,Médecin,HEUCLIN HIAULT CATHERINE,28/02/2014,HOSPITALITE,€218,,
Bayer HealthCare SAS,Médecin,LECLERCQ SFEZ MONELLE,03/04/2014,Hospitalité,€200,,
Bayer HealthCare SAS,Médecin,LULUNGU MARTIN,19/09/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,POISSONNIER GEORGES,27/02/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,PORICHE FREDERIC,19/11/2013,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,TAREL JEAN LUC,19/11/2013,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,TAREL JEAN LUC,03/06/2014,Hospitalité,€36,,
Bayer HealthCare SAS,Médecin,VAILLANT ERIC,17/06/2014,Hospitalité,€18,,
Bayer HealthCare SAS,Médecin,VINCKIER GORKA LUDMILA,25/03/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,WATINE OLIVIER,20/01/2014,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,WATINE OLIVIER,09/12/2013,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,WESTCOTT SALOMON CATHERINE,19/11/2013,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,WESTCOTT SALOMON CATHERINE,03/06/2014,Hospitalité,€36,,
Becton Dickinson France SAS,Pharmacien,DELAHOUTRE CATHERINE,18/03/2014,REPAS,€32,,
Becton Dickinson France SAS,Pharmacien,FRYS JACQUELINE,05/12/2013,REPAS,€25,,
Becton Dickinson France SAS,Pharmacien,MANGIN ANNE,05/12/2013,REPAS,€18,,
Beiersdorf s.a.s,Médecin,DUPARC ADELINE,18/03/2014,CADEAUX,€37,,
BEST OF OPTIMIZERS,Médecin,ESTEVE VERONIQUE,25/06/2014,Autre : cheque,€250,,
BIOCODEX,Médecin,BOUQUET YVES,16/02/2014,REPAS,€13,,
BIOCODEX,Médecin,BOUQUET YVES,16/02/2014,REPAS,€13,,
BIOCODEX,Médecin,LEBRUN PHILIPPE,16/02/2014,REPAS,€13,,
BIOCODEX,Médecin,LEBRUN PHILIPPE,15/12/2013,REPAS,€14,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,21/02/2013,TRANSPORT,€361,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,04/02/2013,REPAS,€37,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,31/03/2013,TRANSPORT,€390,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,18/04/2013,REPAS,€51,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,20/04/2013,TRANSPORT,€35,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,20/04/2013,TRANSPORT,€10,,
BIOMET,Infirmier,LEMIEGRE CHANTAL,31/03/2013,TRANSPORT,€12,,
BIOMET,Infirmier,PAYELEVILLE SYLVIE,18/04/2013,REPAS,€51,,
BIOMET,Infirmier,ROUSSEAU AURELIE,10/01/2013,TRANSPORT,€295,,
BIOMET,Masseur-kinésithérapeute,BRACQUART FRANCOIS,18/04/2013,REPAS,€51,,
BIOMET,Masseur-kinésithérapeute,BRACQUART FRANCOIS,31/03/2013,TRANSPORT,€12,,
BIOMET,Masseur-kinésithérapeute,BRACQUART FRANCOIS,31/03/2013,TRANSPORT,€390,,
BIOMET,Masseur-kinésithérapeute,BRACQUART FRANCOIS,04/02/2013,REPAS,€37,,
BIOMET,Masseur-kinésithérapeute,BRACQUART FRANCOIS,21/02/2013,TRANSPORT,€361,,
BIOMET,Médecin,DEPRET THIERRY,20/12/2012,TRANSPORT,€228,,
BIOMET,Médecin,LAFFARGUE PHILIPPE,20/04/2013,TRANSPORT,€30,,
BIOMET,Médecin,LAFFARGUE PHILIPPE,20/04/2013,TRANSPORT,€23,,
BIOMET,Médecin,LAFFARGUE PHILIPPE,20/04/2013,TRANSPORT,€30,,
BIOMET,Médecin,LAFFARGUE PHILIPPE,20/04/2013,TRANSPORT,€23,,
BIOMET,Médecin,LAFFARGUE PHILIPPE,20/04/2013,TRANSPORT,€257,,
BIOMET,Médecin,PINOIT YANNICK,29/09/2013,TRANSPORT,€240,,
BIOMET,Médecin,PINOIT YANNICK,30/07/2013,TRANSPORT,€10,,
BIOMET,Médecin,PINOIT YANNICK,07/02/2014,REPAS,€76,,
BIOMET,Médecin,PINOIT YANNICK,30/07/2013,TRANSPORT,€541,,
BIOMET,Médecin,PINOIT YANNICK,21/10/2013,HEBERGEMENT,€550,,
BIOMET,Médecin,PINOIT YANNICK,05/12/2013,REPAS,€66,,
BIOMET,Médecin,PINOIT YANNICK,24/06/2013,HEBERGEMENT,€145,,
BIOMET,Médecin,PINOIT YANNICK,14/06/2013,REPAS,€67,,
BIOMET,Médecin,PINOIT YANNICK,20/12/2012,TRANSPORT,€228,,
BIOMET,Médecin,PINOIT YANNICK,07/12/2012,REPAS,€18,,
BIOMET,Médecin,PINOIT YANNICK,14/11/2013,REPAS,€65,,
BIOMET,Médecin,PINOIT YANNICK,04/02/2013,REPAS,€37,,
BIOMET,Médecin,PINOIT YANNICK,21/03/2013,REPAS,€20,,
BIOMET,Médecin,ROUMAZEILLE BERTRAND,04/02/2013,REPAS,€37,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,CAYEUX CLAIRE,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,GAUCHEZ HUGUES,01/10/2013,HOSPITALITE,€15,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,GAUCHEZ HUGUES,15/10/2013,HOSPITALITE,€32,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,GAUCHEZ HUGUES,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,GAUCHEZ HUGUES,13/03/2014,HOSPITALITE,€617,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,GAUCHEZ HUGUES,15/10/2013,HOSPITALITE,€32,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,GAUCHEZ HUGUES,25/06/2014,TRANSPORT,€175,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,MACE BENJAMIN,23/06/2013,HOSPITALITE,€609,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,MACE BENJAMIN,15/10/2013,HOSPITALITE,€19,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,MARSELLA PHILIPPE,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JOUNIEAUX FRANCOIS,13/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PORICHE FREDERIC,15/05/2014,HOSPITALITE,€37,,
BOIRON,Médecin,CARON PAUL MARIE,17/12/2013,[REPAS],€41,,
BOIRON,Médecin,CARON PAUL MARIE,01/07/2013,[AUTRE],€156,,
BOIRON,Médecin,DUFLOS ODILE,14/06/2014,[REPAS],€38,,
BOIRON,Médecin,DUFLOS ODILE,27/05/2014,[REPAS],€35,,
BOIRON,Médecin,DUFLOS ODILE,04/02/2014,[REPAS],€40,,
BOIRON,Médecin,DUFLOS ODILE,17/12/2013,[REPAS],€41,,
BOSTON SCIENTIFIC SAS,Médecin,LEGGHE RAPHAËL,01/10/2013,TRANSPORT,€422,,
BOSTON SCIENTIFIC SAS,Médecin,LEGGHE RAPHAËL,01/10/2013,HEBERGEMENT,€140,,
BOSTON SCIENTIFIC SAS,Médecin,LEGGHE RAPHAËL,01/10/2013,REPAS,€21,,
BOSTON SCIENTIFIC SAS,Médecin,MEURICE THIBAUD,29/01/2014,TRANSPORT,€279,,
BOSTON SCIENTIFIC SAS,Médecin,MEURICE THIBAUD,29/01/2014,AUTRE : [INSCRIPTIONS],€750,,
BOSTON SCIENTIFIC SAS,Médecin,WANNEBROUCQ JÉRÔME,01/10/2013,REPAS,€21,,
BOSTON SCIENTIFIC SAS,Médecin,WANNEBROUCQ JÉRÔME,01/10/2013,HEBERGEMENT,€140,,
BOSTON SCIENTIFIC SAS,Médecin,WANNEBROUCQ JÉRÔME,01/10/2013,TRANSPORT,€516,,
BRISTOL-MYERS SQUIBB,Médecin,BOUQUET YVES,17/12/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,BOUQUET YVES,21/11/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,BOUQUET YVES,13/03/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,BURETTE LEFEBVRE FREDERIQUE,21/11/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DELATTRE ARNAUD,13/03/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,JACQUEMART THIERRY,17/10/2013,Transport,€225,,
BRISTOL-MYERS SQUIBB,Médecin,JACQUEMART THIERRY,17/10/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,JACQUEMART THIERRY,17/10/2013,Hospitalité,€478,,
BRISTOL-MYERS SQUIBB,Médecin,JACQUEMART THIERRY,17/10/2013,Hébergement,€326,,
BRISTOL-MYERS SQUIBB,Médecin,KOZAK JEROME,10/12/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,KOZAK JEROME,19/11/2013,Repas,€35,,
BRISTOL-MYERS SQUIBB,Médecin,PETIT DOMINIQUE,26/09/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,PETIT DOMINIQUE,10/12/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,POISSONNIER GEORGES,13/03/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,POISSONNIER GEORGES,24/06/2014,Repas,€36,,
BRISTOL-MYERS SQUIBB,Médecin,POISSONNIER GEORGES,17/12/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,POISSONNIER GEORGES,21/11/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,PORICHE FREDERIC,24/06/2014,Repas,€36,,
BRISTOL-MYERS SQUIBB,Médecin,PORICHE FREDERIC,03/04/2014,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,PORICHE FREDERIC,05/09/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,PORICHE FREDERIC,07/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Pharmacien,CRETEUR PHILIPPE,09/04/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Pharmacien,SYSSAU PHILIPPE,17/03/2014,Repas,€36,,
BRISTOL-MYERS SQUIBB,Pharmacien,SYSSAU PHILIPPE,16/06/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Pharmacien,SYSSAU PHILIPPE,09/01/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Pharmacien,SYSSAU PHILIPPE,27/09/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MESSIAEN MICHAEL,07/09/2013,Transport,€118,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MESSIAEN MICHAEL,07/09/2013,Hébergement,€187,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MESSIAEN MICHAEL,07/09/2013,Repas,€69,,
CENTRALE DES PEELINGS,Médecin,FONTAINE THIERRY,04/10/2013,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,FONTAINE THIERRY,23/10/2013,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,FONTAINE THIERRY,04/10/2013,cadeaux,€21,,
CEREPLAS,Médecin,CAPON ALEXANDRE,10/09/2013,REPAS,€36,,
CEREPLAS,Médecin,ELIA ANDRE,10/09/2013,REPAS,€36,,
chris eyes,Médecin,PUECH VIRGINIE,17/01/2014,REPAS,€53,,
CHUGAI PHARMA FRANCE,Association professionnel de santé,ASS POUR LA FORMATION ET LA RECHERCHE EN ONCOLOGIE ET SOINS PALLIATIFS,10/06/2014,DONS,"€2,500",,
CHUGAI PHARMA FRANCE,Médecin,MENSIER ERIC,17/10/2013,REPAS,€22,,
