ABBOTT PRODUCTS SAS,Médecin,MORIN Didier,12/11/2013,REPAS,€20,,
MSD France,Médecin,CARDIN PHILIPPE,05/02/2014,REPAS,€57,,
MSD France,Médecin,CARDIN PHILIPPE,10/04/2014,REPAS,€42,,
MSD France,Médecin,CARDIN PHILIPPE,05/12/2013,REPAS,€32,,
MSD France,Médecin,CARDIN PHILIPPE,20/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,GAUDIN MARION,10/04/2014,REPAS,€42,,
MSD France,Médecin,JULLIEN PIERRE,14/11/2013,REPAS,€36,,
MSD France,Médecin,LECLERCQ MARC,24/05/2013,REPAS,€40,,
MSD France,Médecin,LECLERCQ MARC,14/03/2014,REPAS,€39,,
MSD France,Médecin,LECLERCQ MARC,17/12/2013,REPAS,€40,,
MSD France,Médecin,MARTIN GILLES,17/03/2014,REPAS,€39,,
MSD France,Médecin,MARTIN GILLES,17/12/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,MORIN DIDIER,21/01/2014,REPAS,€32,,
NOVARTIS PHARMA SAS,Médecin,LECLERCQ MARC,25/10/2013,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,LECLERCQ MARC,11/03/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,MARTIN GILLES,11/03/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,MARTIN GILLES,25/10/2013,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,MORIN DIDIER,04/03/2014,Repas,€33,,
NOVARTIS PHARMA SAS,Médecin,MORIN DIDIER,06/05/2014,Repas,€37,,
NOVARTIS PHARMA SAS,Médecin,MORIN DIDIER,10/10/2013,Repas,€43,,
NOVARTIS PHARMA SAS,Médecin,SABET HANSE SAWSAN,23/01/2014,Transport,€790,,
NOVARTIS PHARMA SAS,Médecin,SABET HANSE SAWSAN,25/03/2014,Autre : [Participation Evenement Scientifique],€30,,
NOVARTIS PHARMA SAS,Médecin,SABET HANSE SAWSAN,23/01/2014,Hébergement,€176,,
NOVARTIS PHARMA SAS,Médecin,SABET HANSE SAWSAN,23/01/2014,Repas,€152,,
OCP REPARTITION,Pharmacien,GRAS SABINE,12/12/2013,REPAS,€60,,
Otsuka Pharmaceutical France SAS,Médecin,PROKOPOV Alexandre,26/09/2013,RESTAURATION,€11,,
PFIZER SAS,Médecin,BELLET COLETTE,23/05/2014,REPAS,€45,,
PFIZER SAS,Médecin,BELLET COLETTE,12/07/2013,Repas,€51,,
PFIZER SAS,Médecin,BELLET COLETTE,27/09/2013,Repas,€60,,
PFIZER SAS,Médecin,BELLET COLETTE,22/11/2013,Repas,€46,,
PFIZER SAS,Médecin,BELLET COLETTE,10/09/2013,Repas,€54,,
PFIZER SAS,Médecin,BELLET COLETTE,04/04/2014,REPAS,€55,,
PFIZER SAS,Médecin,LECLERCQ MARC,12/07/2013,Repas,€51,,
PFIZER SAS,Médecin,LECLERCQ MARC,27/09/2013,Repas,€60,,
PFIZER SAS,Médecin,LECLERCQ MARC,04/04/2014,REPAS,€55,,
PFIZER SAS,Médecin,LECLERCQ MARC,22/11/2013,Repas,€46,,
PFIZER SAS,Médecin,LECLERCQ MARC,10/09/2013,Repas,€54,,
PFIZER SAS,Médecin,LECLERCQ MARC,23/05/2014,REPAS,€45,,
PFIZER SAS,Médecin,MARTIN GILLES,04/04/2014,REPAS,€55,,
PFIZER SAS,Médecin,MARTIN GILLES,23/05/2014,REPAS,€45,,
PFIZER SAS,Médecin,MORIN DIDIER,17/06/2014,REPAS,€46,,
PHONAK FRANCE,Audioprothésiste,CARME CHRISTOPHE,03/12/2013,REPAS,€24,,
PHONAK FRANCE,Audioprothésiste,CARME CHRISTOPHE,05/06/2014,REPAS,€31,,
PIERRE FABRE MEDICAMENT,Médecin,BELLET COLETTE,19/10/2012,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BELLET COLETTE,15/11/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,BELLET COLETTE,10/01/2014,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,BELLET COLETTE,25/04/2014,RESTAURATION,€33,,
PIERRE FABRE MEDICAMENT,Médecin,CARDIN PHILIPPE,28/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,20/09/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,13/11/2012,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,10/01/2014,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,14/06/2013,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,25/01/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,25/04/2014,RESTAURATION,€33,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,23/11/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,19/10/2012,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,27/01/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,30/03/2012,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,23/11/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LECLERCQ MARC,25/01/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN GILLES,15/11/2013,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN GILLES,01/10/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN GILLES,19/10/2012,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN GILLES,25/04/2014,RESTAURATION,€33,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN GILLES,20/09/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN GILLES,10/01/2014,RESTAURATION,€36,,
PIERRE FABRE MEDICAMENT,Médecin,MORIN DIDIER,26/06/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,MORIN DIDIER,18/09/2012,Restauration,€25,,
SANDOZ,Pharmacien,TEISSONIERE DENISE,11/02/2014,REPAS,€26,,
SANDOZ,Pharmacien,TEISSONIERE Thomas,11/02/2014,REPAS,€26,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEFOR CATHERINE,11/02/2014,REPAS,€26,,
SANOFI AVENTIS FRANCE,Médecin,MORIN DIDIER,20/08/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,MORIN DIDIER,10/06/2014,Repas,€28,,
SANOFI AVENTIS FRANCE,Médecin,MORIN DIDIER,27/05/2014,Repas,€29,,
SANOFI AVENTIS FRANCE,Médecin,MORIN DIDIER,22/04/2014,Repas,€29,,
STARKEY FRANCE,Audioprothésiste,CARME Christophe,07/12/2013,REPAS,€40,,
TEVA SANTE SAS,Médecin,MORIN DIDIER,07/01/2014,REPAS,€36,,
TEVA SANTE SAS,Médecin,MORIN DIDIER,13/08/2013,REPAS,€31,,
Zambon France,Médecin,MORIN DIDIER,12/06/2014,Repas,€30,,
