ARJOHUNTLEIGH,Etablissement de santé,EHPAD DE GORZE,25/01/2012,Repas,€19,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,22/01/2014,Transport,€125,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/10/2013,Autre : Inscription,€800,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/10/2013,Repas,€122,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/10/2013,Transport,€533,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,28/11/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,19/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/10/2013,Hébergement,€613,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,11/10/2013,Hébergement,€175,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,11/10/2013,Repas,€208,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,11/10/2013,Transport,€108,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,06/11/2013,Autre,€85,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,06/11/2013,Repas,€61,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,21/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,26/11/2013,Autre,€63,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,26/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,28/11/2013,Autre,€64,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,30/11/2013,Repas,€182,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,30/11/2013,Transport,€204,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/06/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/06/2014,Transport,€33,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,13/03/2014,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,PARACHE JEAN-FRANCOIS,28/11/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,PARACHE JEAN-FRANCOIS,13/03/2014,Repas,€48,,
LUNDBECK SAS,Médecin,CAHEN EVELYNE,15/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€29,,
LUNDBECK SAS,Médecin,CHINAULT PATRICIA,15/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€29,,
LUNDBECK SAS,Médecin,PARACHE JEAN FRANCOIS,15/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€29,,
LUNDBECK SAS,Médecin,PARACHE JEAN FRANCOIS,16/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
NOVARTIS PHARMA SAS,Médecin,PERREIN CHRISTIAN,17/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
Otsuka Pharmaceutical France SAS,Médecin,CHINAULT Patricia,10/10/2013,RESTAURATION,€55,,
Otsuka Pharmaceutical France SAS,Médecin,PARACHE JEAN FRANCOIS,19/02/2014,Repas,€55,,
SANOFI AVENTIS FRANCE,Infirmier,MARITAUD CATHERINE,07/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,LEMOING SANDRINE,21/01/2014,Repas,€24,,
SANOFI AVENTIS FRANCE,Médecin,LEMOING SANDRINE,29/04/2014,Repas,€16,,
SANOFI AVENTIS FRANCE,Médecin,MARTINONI JULIE,18/02/2014,Repas,€21,,
SANOFI AVENTIS FRANCE,Médecin,PERREIN CHRISTIAN,18/03/2014,Repas,€16,,
SANOFI AVENTIS FRANCE,Pharmacien,LEY ANNE CHRISTINE,07/11/2013,Restauration,€54,,
ViiV HEALTHCARE SAS,Pharmacien,LEY ANNE CHRISTINE,12/04/2013,Hospitalite,€21,,
