ARAIR Assistance,Masseur-kinésithérapeute,Riocreux Patrick,01/02/2013,Transport et Inscription,€152,,
BOIRON,Médecin,DASSONVILLE LISE,21/09/2013,[REPAS],€36,,
CHIESI SA,Médecin,HUMBERT ROMAIN,12/09/2013,Repas,€46,,
GUERBET France,Médecin,BERTIN PHILIPPE,28/11/2013,AUTRE : PACKAGE,"€2,740",,
GUERBET France,Médecin,BERTIN PHILIPPE,28/11/2013,AUTRE : ASSURANCE,€10,,
ICOMED,Chirurgien-dentiste,BONHOMME ANNIE,04/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DELFAU SERGE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BALVA SERGE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BALVA SERGE,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,DASSONVILLE LISE,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAFONTAINE PATRICE,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LAFONTAINE PATRICE,21/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LIMA LUIS,18/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LIMA LUIS,18/02/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DASSONVILLE LISE,16/02/2012,Hospitalité,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULANGER FLORENCE,10/04/2014,Repas,€37,,
Laboratoires Grünenthal SAS,Médecin,MIGINIAC MARC,05/06/2014,REPAS,€50,,
Laboratoires Leurquin Mediolanum,Médecin,BALVA SERGE,25/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LACLAVETINE BERNARD,14/10/2013,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LECRUX CAROLE,03/06/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,LACLAVETINE BIZIOU MARIE THERESE,01/12/2013,CADEAUX,€15,,
LES LABORATOIRES SERVIER,Médecin,HUMBERT ROMAIN,10/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HUMBERT ROMAIN,06/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HUMBERT ROMAIN,18/02/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HUMBERT ROMAIN,22/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LAFONTAINE PATRICE,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,LAFONTAINE PATRICE,21/02/2014,Transport,€766,,
LES LABORATOIRES SERVIER,Médecin,LAFONTAINE PATRICE,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,LAFONTAINE PATRICE,21/02/2014,Hébergement,€160,,
MENARINI FRANCE,Médecin,HUMBERT ROMAIN,26/03/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,HUMBERT ROMAIN,09/10/2013,REPAS,€53,,
MSD France,Médecin,LAFONTAINE PATRICE,27/03/2014,REPAS,€39,,
MSD France,Médecin,LECRUX STEPHANE,27/03/2014,REPAS,€39,,
MSD France,Médecin,LIMA LUIS,27/03/2014,REPAS,€39,,
MSD France,Pharmacien,MORIN LIONEL,16/10/2012,HOSPITALITE,€53,,
NOVARTIS PHARMA SAS,Médecin,LAFONTAINE PATRICE,15/04/2014,Autre : [Participation Evenement Scientifique],€55,,
OCP REPARTITION,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VERTROUX FRANCOIS ,27/03/2014,REPAS,€22,,
SANOFI AVENTIS FRANCE,Médecin,BOURGEOIS PAULINE,04/12/2013,Restauration,€17,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,11/09/2013,Repas,€10,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,17/01/2014,Repas,€54,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,12/02/2014,Repas,€10,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,13/02/2014,Repas,€10,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,20/03/2014,Repas,€61,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,04/04/2014,Repas,€60,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,07/05/2014,Repas,€10,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,28/05/2014,Repas,€30,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,04/06/2014,Repas,€10,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,18/11/2013,Repas,€10,,
St Jude Medical France SAS,Médecin,PIERRE BERTRAND,28/11/2013,Repas,€10,,
THERABEL LUCIEN PHARMA,Médecin,BALVA SERGE,14/05/2014,REPAS,€50,,
THERABEL LUCIEN PHARMA,Médecin,HUMBERT ROMAIN,14/05/2014,REPAS,€50,,
THERABEL LUCIEN PHARMA,Médecin,LACLAVETINE BERNARD,14/05/2014,REPAS,€50,,
