3M France,Chirurgien-dentiste,CAUCHY DAVID,30/01/2014,REPAS,€28,,
American Medical Systems France,Médecin,VALTILLE Pierre,26/06/2013,HEBERGEMENT,€165,,
American Medical Systems France,Médecin,VALTILLE Pierre,26/06/2013,REPAS,€40,,
AMGEN SAS,Médecin,BEREAU ANTHUNE SANDRA,14/04/2014,REPAS IMPROMPTU,€19,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,TRANSPORT,€36,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,REPAS,€52,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,HEBERGEMENT,€130,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,REPAS,€45,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,05/04/2013,REPAS,€45,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,TRANSPORT,€239,,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,TRANSPORT,€20,,
AMGEN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BEREAU ANTHUNE SANDRA,30/01/2014,REPAS IMPROMPTU,€19,,
AMPLITUDE,Médecin,STAHL PHILIPPE,11/11/2013,HEBERGEMENT,€440,,
AMPLITUDE,Médecin,STAHL PHILIPPE,07/02/2014,TRANSPORT,€166,,
AMPLITUDE,Médecin,STAHL PHILIPPE,30/08/2013,REPAS,€37,,
AMPLITUDE,Médecin,STAHL PHILIPPE,30/08/2013,TRANSPORT,€109,,
AMPLITUDE,Médecin,STAHL PHILIPPE,11/11/2013,TRANSPORT,€170,,
AMPLITUDE,Médecin,STAHL PHILIPPE,07/02/2014,REPAS,€37,,
AMPLITUDE,Médecin,stahl PHILIPPE,06/06/2014,repas,€39,,
AMPLITUDE,Médecin,stahl PHILIPPE,06/06/2014,transport,€170,,
ASTELLAS PHARMA,Médecin,ANDRIOLO PHILIPPE,29/01/2013,REPAS,€54,,
ASTRAZENECA,Médecin,ANDRIOLO PHILIPPE,05/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,BERNARD JEAN CHARLES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERNARD JEAN CHARLES,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERNARD JEAN CHARLES,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERNARD JEAN CHARLES,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERNARD JEAN CHARLES,05/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,BERNARD JEAN CHARLES,03/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,CARPENTIER LAURENT,28/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,CARPENTIER LAURENT,26/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,CHEVALON BERNARD,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHEVALON BERNARD,03/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,DA ROCHA GUILLAUME,05/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,DEBAVELAERE CHRISTINE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEBAVELAERE CHRISTINE,24/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,DEBEUGNY ALAIN,05/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,DEHEDIN HUGUES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DEHEDIN HUGUES,05/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,DEHEDIN HUGUES,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEHEDIN HUGUES,25/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,GRAS EMMANUEL,26/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,GRAS MARC,28/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,GRAS MARC,26/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,MARBOEUF PHILIPPE,26/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,MARBOEUF PHILIPPE,28/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,MARTIN SERGE,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN SERGE,18/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN SERGE,03/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,MARTIN SERGE,05/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,TRINH ESTELLE,12/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,TRINH ESTELLE,25/11/2013,Repas,€20,,
BARD FRANCE SAS,Etudiant,SKRYPCZYK CECILE,24/07/2013,REPAS,€25,,
BARD FRANCE SAS,Infirmier,DESSEAUX CATHERINE,07/03/2014,REPAS,€40,,
BARD FRANCE SAS,Médecin,BUGNON PIERRE-YVES,12/09/2013,TRANSPORT,€351,,
BARD FRANCE SAS,Médecin,BUGNON PIERRE-YVES,24/01/2014,REPAS,€60,,
BARD FRANCE SAS,Médecin,BUGNON PIERRE-YVES,24/07/2013,REPAS,€25,,
BARD FRANCE SAS,Médecin,BUGNON BOULENGER PASCALE,24/07/2013,REPAS,€25,,
BARD FRANCE SAS,Médecin,BUGNON-BOULENGER PASCALE,24/01/2014,REPAS,€60,,
BARD FRANCE SAS,Médecin,DEREUX HUBERT-JEAN,24/01/2014,REPAS,€60,,
BARD FRANCE SAS,Médecin,LAURENT JEAN-FRANCOIS,24/07/2013,REPAS,€25,,
BARD FRANCE SAS,Médecin,LAURENT JEAN-FRANCOIS,24/07/2013,REPAS,€25,,
BARD FRANCE SAS,Médecin,MAUCOUR CHRISTOPHE,12/09/2013,TRANSPORT,€351,,
BARD FRANCE SAS,Médecin,MAUCOUR CHRISTOPHE,24/07/2013,REPAS,€25,,
BARD FRANCE SAS,Médecin,MAUCOUR CHRISTOPHE,24/01/2014,REPAS,€60,,
BARD FRANCE SAS,Médecin,MAUCOUR CHRISTOPHE,02/10/2013,INSCRIPTION,€500,,
BARD FRANCE SAS,Pharmacien,DUPONT BRIGITTE,07/03/2014,REPAS,€40,,
BARD FRANCE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEMAIRE KARINE,07/03/2014,REPAS,€40,,
BARD FRANCE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SEVIN FLORENCE,07/03/2014,REPAS,€40,,
BARD FRANCE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TARNECKI VINCENT,07/03/2014,REPAS,€40,,
Bayer HealthCare SAS,Médecin,ANDRIOLO PHILIPPE,20/05/2014,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,ANDRIOLO PHILIPPE,15/10/2013,Hospitalité,€44,,
Bayer HealthCare SAS,Médecin,CARLIOZ ROLAND,08/10/2013,Hospitalité,€53,,
Bayer HealthCare SAS,Médecin,CARLIOZ ROLAND,11/03/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,CARLIOZ ROLAND,23/11/2013,Hospitalité,€300,,
Bayer HealthCare SAS,Médecin,CARPENTIER LAURENT,11/03/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,CARPENTIER LAURENT,12/11/2013,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,CARPENTIER LAURENT,08/10/2013,Hospitalité,€53,,
Bayer HealthCare SAS,Médecin,CUVILLIER BERTRAND,25/06/2014,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,DEBEUGNY ALAIN,20/05/2014,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,DEBEUGNY ALAIN,15/10/2013,Hospitalité,€44,,
Bayer HealthCare SAS,Médecin,DEHEDIN HUGUES,15/10/2013,Hospitalité,€44,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,02/04/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,03/04/2014,Hospitalité,€18,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,09/04/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,03/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,26/02/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,18/10/2013,Hospitalité,€434,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,02/04/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,DUPONT PHILIPPE,14/02/2014,HOSPITALITE,€525,,
Bayer HealthCare SAS,Médecin,GRAS EMMANUEL,11/03/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,GRAS EMMANUEL,23/11/2013,Hospitalité,€300,,
Bayer HealthCare SAS,Médecin,GRAS EMMANUEL,12/11/2013,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,GRAS MARC,12/11/2013,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,GRAS MARC,08/10/2013,Hospitalité,€53,,
Bayer HealthCare SAS,Médecin,GRAS MARC,11/03/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,MALBRANQUE GREGORY,31/08/2013,Hospitalité,"€2,045",,
Bayer HealthCare SAS,Médecin,MARBOEUF PHILIPPE,11/03/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,MARBOEUF PHILIPPE,08/10/2013,Hospitalité,€53,,
Bayer HealthCare SAS,Médecin,MARBOEUF PHILIPPE,12/11/2013,Hospitalité,€35,,
Becton Dickinson France SAS,Médecin,DIEUDONNE LUCILLE,21/03/2014,REPAS,€21,,
Becton Dickinson France SAS,Médecin,HARDY CATHERINE,21/03/2014,REPAS,€21,,
Becton Dickinson France SAS,Médecin,HOBER CHRISTINE,21/03/2014,REPAS,€21,,
BIOCODEX,Médecin,MARTIN SERGE,14/06/2014,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,DUPONT PHILIPPE,12/12/2013,REPAS,€18,,
BIOGEN IDEC FRANCE,Médecin,DUPONT PHILIPPE,04/02/2014,REPAS,€38,,
BIOMET,Infirmier,BLAUQUE GENEVIEVE,11/04/2014,REPAS,€15,,
BIOMET,Infirmier,GUILBERT SOPHIE,06/05/2013,REPAS,€67,,
BIOMET,Infirmier,KUSAK JEAN FRANCOIS,17/03/2014,REPAS,€53,,
BIOMET,Infirmier,MAURY MARIE FRANCE,11/04/2014,REPAS,€15,,
BIOMET,Infirmier,SEFORD FLORENCE,02/01/2014,REPAS,€15,,
BIOMET,Infirmier,SEGARD FLORENCE,11/04/2014,REPAS,€15,,
BIOMET,Masseur-kinésithérapeute,DAUCHY MAXIME,11/04/2014,REPAS,€15,,
BIOMET,Masseur-kinésithérapeute,LEHEMBRE DANY,11/04/2014,REPAS,€15,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERNARD JEAN CHARLES,15/05/2014,HOSPITALITE,€45,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERNARD JEAN CHARLES,24/04/2014,HOSPITALITE,€45,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEBEUGNY ALAIN,25/04/2014,HOSPITALITE,€33,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEBEUGNY ALAIN,13/12/2013,HOSPITALITE,€33,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEHEDIN HUGUES,13/12/2013,HOSPITALITE,€33,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALBRANQUE GREGORY,13/05/2014,HOSPITALITE,€17,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALBRANQUE GREGORY,29/11/2013,HOSPITALITE,€17,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALBRANQUE GREGORY,10/01/2014,HOSPITALITE,€18,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALBRANQUE GREGORY,28/02/2014,HOSPITALITE,€17,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALBRANQUE GREGORY,13/05/2014,HOSPITALITE,€17,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARBOEUF PHILIPPE,20/06/2013,HOSPITALITE,€300,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARBOEUF PHILIPPE,31/01/2014,HOSPITALITE,€30,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARTIN SERGE,24/04/2014,HOSPITALITE,€45,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARTIN SERGE,15/05/2014,HOSPITALITE,€45,,
BOIRON,Médecin,BROSSARD COGET MICHELE,28/11/2013,[REPAS],€45,,
BOIRON,Sage-femme,LEDDA ANITA,15/04/2014,[REPAS],€30,,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,DELEFORTRIE IRENE,05/10/2013,REPAS,€32,,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,MATYBA AURELIE,05/10/2013,REPAS,€32,,
BRISTOL-MYERS SQUIBB,Médecin,ANDRIOLO PHILIPPE,27/03/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,ANDRIOLO PHILIPPE,11/03/2014,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,ANDRIOLO PHILIPPE,02/10/2013,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,ANDRIOLO PHILIPPE,26/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,BERNARD JEAN CHARLES,02/10/2013,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,BERNARD JEAN CHARLES,27/03/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,BERNARD JEAN CHARLES,13/03/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,CARLIOZ ROLAND,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,CARLIOZ ROLAND,14/01/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,CARLIOZ ROLAND,14/01/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,CARLIOZ ROLAND,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,CARPENTIER LAURENT,10/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,CARPENTIER LAURENT,17/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,CARPENTIER LAURENT,08/04/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,DEBEUGNY ALAIN,06/06/2014,Repas,€31,,
BRISTOL-MYERS SQUIBB,Médecin,DEBEUGNY ALAIN,27/03/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,DEBEUGNY ALAIN,26/11/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Médecin,DEBEUGNY ALAIN,11/03/2014,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,DEHEDIN HUGUES,27/03/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,DEHEDIN HUGUES,26/11/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS EMMANUEL,10/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS EMMANUEL,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS EMMANUEL,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS EMMANUEL,08/04/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS EMMANUEL,14/03/2014,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS MARC,10/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS MARC,08/04/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS MARC,20/02/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,GRAS MARC,14/01/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,GUIOT AURELIE,14/03/2014,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,MARBOEUF PHILIPPE,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MARBOEUF PHILIPPE,08/04/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,MARBOEUF PHILIPPE,10/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN SERGE,26/06/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN SERGE,27/03/2014,Repas,€54,,
CHIESI SA,Médecin,ANDRIOLO PHILIPPE,17/09/2013,Repas,€46,,
CHIESI SA,Médecin,CHEVALON BERNARD,09/01/2014,Repas,€28,,
CHIESI SA,Médecin,CHEVALON BERNARD,21/11/2013,Repas,€37,,
CHIESI SA,Médecin,CHEVALON BERNARD,24/09/2013,Repas,€39,,
CHIESI SA,Médecin,DEBEUGNY ALAIN,21/03/2014,Repas,€34,,
CHIESI SA,Médecin,DEBEUGNY ALAIN,17/09/2013,Repas,€46,,
CHIESI SA,Médecin,DEHEDIN HUGUES,17/09/2013,Repas,€46,,
CHIESI SA,Médecin,GRANDAMME CHRISTIAN,21/11/2013,Repas,€37,,
CHIESI SA,Médecin,GRANDAMME CHRISTIAN,09/01/2014,Repas,€28,,
CHUGAI PHARMA FRANCE,Médecin,AUBREE YVELINE,02/12/2013,REPAS,€11,,
CHUGAI PHARMA FRANCE,Médecin,GRANDAMME CHRISTIAN,08/08/2013,REPAS,€21,,
Cook France SARL,Médecin,VANHOOVE JEAN-PIERRE,15/11/2013,REPAS,€57,,
COOPERVISION SAS,Médecin,BEUVRY ANNE,17/06/2014,REPAS,€60,,
COOPERVISION SAS,Médecin,DECLERCK REGIS,24/09/2013,REPAS,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,WAEYTENS DANIEL,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,WAEYTENS DANIEL,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,WAEYTENS DANIEL,06/05/2014,AUTRE: [RP],€72,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GROUX DIDIER,23/01/2014,REPAS,€25,,
CRISTALENS SA,Médecin,BEUVRY -BADGUERAHANIAN Anne,26/09/2013,Repas,€56,,
CRISTALENS SA,Médecin,BEUVRY -BADGUERAHANIAN Anne,20/09/2013,Repas,€19,,
CRISTALENS SA,Médecin,BEUVRY -BADGUERAHANIAN Anne,10/07/2013,Repas,€59,,
CRISTALENS SA,Médecin,BEUVRY -BADGUERAHANIAN Anne,02/04/2014,Hospitalité,"€2,500",,
ETHICON,Infirmier,RACINE CATHERINE,11/07/2013,REPAS,€40,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANQUE NICOLE,28/11/2013,REPAS,€47,,
Fresenius Medical Care France S.A.S.,Médecin,FOURMAULT GENEVIEVE,13/03/2014,REPAS,€29,,
galderma international,Médecin,BERNARD JEAN CHARLES,21/11/2013,Repas,€31,,
galderma international,Médecin,MARTIN SERGE,21/11/2013,Repas,€31,,
GAMBRO HOSPAL SAS,Infirmier,CORROYER LAURENCE,29/07/2013,REPAS,€27,,
GAMBRO HOSPAL SAS,Infirmier,LESAGE JOSEPHINE,19/09/2013,TRANSPORT,€252,,
GAMBRO HOSPAL SAS,Infirmier,LESAGE JOSEPHINE,19/09/2013,TRANSPORT,€30,,
GAMBRO HOSPAL SAS,Infirmier,LESAGE JOSEPHINE,19/09/2013,REPAS,€113,,
GAMBRO HOSPAL SAS,Infirmier,LESAGE JOSEPHINE,19/09/2013,HEBERGEMENT,€107,,
GUERBET France,Médecin,ABBOUD GEORGES,28/11/2013,AUTRE : PACKAGE,"€2,795",,
GUERBET France,Médecin,ABBOUD GEORGES,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,ABBOUD GEORGES,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,BOURY SAMUEL,10/09/2013,REPAS,€60,,
GUERBET France,Médecin,DUEZ VINCENT,10/09/2013,REPAS,€60,,
GUERBET France,Médecin,GUSELLA PATRICK,30/09/2013,HEBERGEMENT,€222,,
GUERBET France,Médecin,GUSELLA PATRICK,30/09/2013,AUTRE: FRAIS D'INSCRIPTION,"€1,140",,
GUERBET France,Médecin,GUSELLA PATRICK,30/09/2013,TRANSPORT,€119,,
GUERBET France,Médecin,GUSELLA PATRICK,30/09/2013,TRANSPORT,€69,,
GUERBET France,Médecin,GUSELLA PATRICK,30/09/2013,HEBERGEMENT,€645,,
GUERBET France,Médecin,HANCART-DESTEE CAROLINE,10/09/2013,REPAS,€60,,
GUERBET France,Médecin,SALHI AHMED,10/09/2013,REPAS,€60,,
GUERBET France,Médecin,SALHI AHMED,19/12/2013,REPAS,€55,,
GUERBET France,Médecin,VANDEPUTTE MARIE-ASTRID,10/09/2013,REPAS,€60,,
H.A.C.Pharma,Médecin,DEWAILLY ARNAUD,03/06/2014,REPAS,€31,,
horus pharma,Médecin,BEUVRY BADGUERAHANIAN Anne,17/10/2013,Repas,€52,,
horus pharma,Médecin,BEUVRY BADGUERAHANIAN Anne,19/09/2013,Repas,€55,,
horus pharma,Médecin,DECLERCK R. Regis,14/03/2014,Repas,€55,,
horus pharma,Médecin,DECLERCK R. Regis,10/10/2013,Repas,€42,,
ICOMED,Chirurgien-dentiste,DUBROC EMMANUEL,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MASSE GREGORY,26/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BERNARD JEAN CHARLES,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERNARD JEAN CHARLES,02/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BEUVRY BADGUERAHANIAN ANNE,20/06/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BROSSARD COGET MICHELE,18/07/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,CARPENTIER LAURENT,27/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,CARPENTIER LAURENT,11/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COURTIN PETER MARIE HELENE,19/03/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,DA ROCHA GUILLAUME,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,DEBEUGNY ALAIN,27/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,DEBEUGNY ALAIN,07/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DESRUELLES MICHEL,11/07/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DEWAILLY ARNAUD,05/07/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DEWAILLY ARNAUD,14/04/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,DIERS ANNE SOPHIE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRAS EMMANUEL,06/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,GRAS EMMANUEL,14/04/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,KACZYNSKI VALERIE,12/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,KOJFER ALAIN,29/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MALBRANQUE GREGORY,17/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,MARBOEUF PHILIPPE,06/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MARBOEUF PHILIPPE,13/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MARTIN SERGE,02/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,MARTIN SERGE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TONDELIER PIERRE,13/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VALMAGE CLAUDE,13/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VANHOOVE JEAN PIERRE,30/08/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,WAEYTENS DANIEL,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,WAEYTENS DANIEL,07/03/2014,Autre: [Enquête],€26,,
JANSSEN-CILAG,Infirmier,BOUTIER CORINNE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,BOUTTIER CORINNE,24/01/2014,REPAS,€30,,
JANSSEN-CILAG,Infirmier,DEGARDIN VERONIQUE,30/08/2013,REPAS,€29,,
JANSSEN-CILAG,Infirmier,DEGARDIN VERONIQUE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,DESMARETS MARIE CLAUDE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,DESMARETS MARIE CLAUDE,24/01/2014,REPAS,€30,,
JANSSEN-CILAG,Infirmier,DESMARETS MARIE CLAUDE,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,DI MORA FREDERIC,24/01/2014,REPAS,€30,,
JANSSEN-CILAG,Infirmier,ERVEL CLAUDINE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Infirmier,ERVEL CLAUDINE,08/02/2013,REPAS,€26,,
JANSSEN-CILAG,Infirmier,FOUCHART THERESE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Infirmier,FOUCHART THERESE,08/02/2013,REPAS,€26,,
JANSSEN-CILAG,Infirmier,GOREZ CHRISTELE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Infirmier,GOREZ CHRISTELE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Infirmier,KOTERBA IRENE,24/01/2014,REPAS,€30,,
