APTALIS PHARMA SAS,Manipulateur d’électroradiologie médicale,CARTEAUX BARGOIN NICOLE,29/11/2013,FRAIS D'HOSPITALITÉ,€16,,
ICOMED,Médecin,BOVA PEYRE CAROLINE,07/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BURCKBUCHLER CHRISTIAN,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GINESTE ANNE MARIE,20/01/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,GINESTE ANNE MARIE,13/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PRE RAIMBOURG MARIE ADELE,06/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,PRE RAIMBOURG MARIE ADELE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VIREVIALLE JACKY,22/11/2013,Autre: [Enquête],€32,,
IXAIR ASSISTANCE,Médecin,BENKABOU GHERICIA,28/02/2014,repas,€57,,
LABORATOIRE ATO-ZIZINE,Association professionnel de santé,DENTAIRE DE LA CROIX BLANCHE,04/12/2012,Cadeaux,€144,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENKABOU GHERICIA,06/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENKABOU GHERICIA,06/10/2012,Transport,€65,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE GRISE DANIELE,19/06/2014,REPAS,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE GRISE DANIELE,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTHE ROSE MICHEL,19/06/2014,REPAS,€19,,
Laboratoires BESINS INTERNATIONAL,Médecin,DUPUY Philippe,03/06/2014,Repas,€47,,
Laboratoires BESINS INTERNATIONAL,Médecin,MEZZANA Florence,03/04/2013,Repas,€49,,
LABORATOIRES CONVATEC,Infirmier,CHATILLON CECILE,05/06/2014,REPAS,€58,,
LABORATOIRES CONVATEC,Infirmier,PIERRE COLTHILDE,05/06/2014,REPAS,€58,,
LABORATOIRES CONVATEC,Infirmier,ROCHEFEUILLE NICOLE,05/06/2014,REPAS,€58,,
Laboratoires Grünenthal SAS,Médecin,FAURE GRISE DANIELE,06/02/2014,REPAS,€28,,
Laboratoires Grünenthal SAS,Médecin,FAURE GRISE DANIELE,24/04/2014,REPAS,€29,,
Laboratoires Grünenthal SAS,Médecin,MARTHE ROSE MICHEL,06/02/2014,REPAS,€28,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,VADIER MARGIT,01/12/2013,CADEAUX,€15,,
LES LABORATOIRES SERVIER,Médecin,VIREVIALLE JACKY,30/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VIREVIALLE JACKY,11/03/2014,Repas,€60,,
Lilly France SAS,Pharmacien,HAMMOU SALIMA,17/10/2013,REPAS,€40,,
Lilly France SAS,Pharmacien,M KADMI SLAHEDDINE,17/10/2013,REPAS,€40,,
Lilly France SAS,Pharmacien,SERRES FRANCIS,17/10/2013,REPAS,€40,,
MEDEXACT,Médecin,VIREVIALLE JACKY,03/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,BENKABOU ASSIA,07/06/2014,Transport,€568,,
MENARINI FRANCE,Médecin,BENKABOU ASSIA,07/06/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,BENKABOU ASSIA,07/06/2014,Autre : [Inscription],€670,,
MENARINI FRANCE,Médecin,BENKABOU ASSIA,07/06/2014,Hébergement,€874,,
MENARINI FRANCE,Médecin,BENKABOU GHERICIA,07/09/2013,HOSPITALITE CONGRES,"€1,349",,
MENARINI FRANCE,Médecin,FAURE GRISE DANIELE,20/02/2014,Autre : [Restauration],€34,,
MENARINI FRANCE,Médecin,FAURE GRISE DANIELE,29/03/2014,Autre : [Forfait],€300,,
MENARINI FRANCE,Médecin,MARTHE ROSE MICHEL,20/02/2014,Autre : [Restauration],€34,,
MERZ PHARMA France,Masseur-kinésithérapeute,BRUNNER Sarah,12/10/2013,Repas,€18,,
MSD France,Médecin,CECCALDI CHRISTINE,24/05/2013,HOSPITALITÉ,€50,,
MSD France,Médecin,FAURE GRISE DANIELE,26/09/2013,REPAS,€53,,
MSD France,Médecin,FAURE GRISE DANIELE,16/11/2013,TRANSPORT,€344,,
MSD France,Médecin,FAURE GRISE DANIELE,16/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,FAURE GRISE DANIELE,03/06/2014,REPAS,€35,,
MSD France,Médecin,FAURE GRISE DANIELE,04/04/2014,REPAS,€34,,
MSD France,Médecin,FAURE GRISE DANIELE,20/05/2014,REPAS,€60,,
MSD France,Médecin,FAURE GRISE DANIELE,03/06/2014,REPAS,€57,,
MSD France,Médecin,FAURE GRISE DANIELE,16/11/2013,REPAS,€135,,
MSD France,Médecin,FAURE GRISE DANIELE,14/05/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,FAURE GRISE DANIELE,16/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,FAURE GRISE DANIELE,28/11/2013,REPAS,€60,,
MSD France,Médecin,MARTHE ROSE MICHEL,15/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,POURRAT TESTE MARIE,04/04/2014,REPAS,€34,,
MSD France,Médecin,VIREVIALLE JACKY,10/12/2013,REPAS,€60,,
MUNDIPHARMA,Médecin,BENKABOU ASSIA,27/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,BENKABOU ASSIA,27/06/2014,HEBERGEMENT,€220,,
MUNDIPHARMA,Médecin,BENKABOU ASSIA,23/05/2014,HOSPITALITE STAFF,€34,,
MUNDIPHARMA,Médecin,BENKABOU ASSIA,27/06/2014,TRANSPORT,€11,,
MUNDIPHARMA,Médecin,BENKABOU ASSIA,27/06/2014,REPAS,€10,,
MYLAN SAS,Pharmacien,EL ALLALI FATIMA,01/07/2013,REPAS,€31,,
NOVARTIS PHARMA SAS,Médecin,BENKABOU GHERICIA,16/11/2013,Repas,€76,,
NOVARTIS PHARMA SAS,Médecin,BENKABOU GHERICIA,05/09/2013,Repas,€28,,
NOVARTIS PHARMA SAS,Médecin,BENKABOU GHERICIA,25/04/2014,Repas,€54,,
NOVARTIS PHARMA SAS,Médecin,FAURE GRISE DANIELE,10/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FAURE GRISE DANIELE,02/07/2013,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,MARTHE ROSE MICHEL,13/03/2014,Repas,€32,,
OCP REPARTITION,Pharmacien,M KADMI SLAHEDDINE,11/03/2014,REPAS,€47,,
PHARMA DOM,Médecin,BENKABOU YAHIAOUI GHERICIA,30/04/2014,TRANSPORT,€170,,
PHARMA DOM,Médecin,BENKABOU YAHIAOUI GHERICIA,30/04/2014,HEBERGEMENT 4 NUITS,€400,,
PHARMA DOM,Médecin,BENKABOU YAHIAOUI GHERICIA,30/04/2014,INSCRIPTION,€270,,
PHARMA DOM,Médecin,BENKABOU YAHIAOUI GHERICIA,30/04/2014,2 REPAS,€66,,
PHARMATHERA,Médecin,MARTHE ROSE MICHEL,21/11/2013,OBJET D HOSPITALITE,€30,,
PIERRE FABRE MEDICAMENT,Médecin,BENKABOU GHERICIA,11/01/2012,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,BENKABOU GHERICIA,02/03/2012,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,FAURE GRISE DANIELE,08/03/2012,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,FAURE GRISE DANIELE,16/01/2014,RESTAURATION,€27,,
PIERRE FABRE MEDICAMENT,Médecin,FAURE GRISE DANIELE,03/04/2013,Restauration,€47,,
SANDOZ,Pharmacien,DUPUY PHILIPPE,05/02/2014,REPAS,€32,,
SANOFI AVENTIS FRANCE,Médecin,PRE RAIMBOURG MARIE ADELE,11/07/2013,Restauration,€22,,
SANOFI AVENTIS FRANCE,Médecin,VIREVIALLE JACKY,27/06/2014,Repas,€51,,
Takeda France,Médecin,BENKABOU Assia,05/06/2014,REPAS,€34,,
Takeda France,Médecin,BENKABOU Assia,11/04/2014,REPAS,€33,,
Takeda France,Médecin,BENKABOU GHERICIA,14/03/2014,Repas,€108,,
Takeda France,Médecin,BENKABOU GHERICIA,15/03/2014,Hébergement,€145,,
Takeda France,Médecin,FAURE GRISE Daniele,12/06/2014,REPAS,€30,,
Takeda France,Médecin,FAURE GRISE Daniele,03/10/2013,REPAS,€28,,
Takeda France,Médecin,MARTHE ROSE Michel,03/10/2013,REPAS,€28,,
Takeda France,Médecin,MARTHE ROSE Michel,12/06/2014,REPAS,€30,,
