ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRUNET LAETITIA,06/02/2014,REPAS,€28,,
LABORATOIRES URGO,Infirmier,VERON ESTELLE,19/12/2013,REPAS,€20,,
LES LABORATOIRES SERVIER,Médecin,BERGERON CHANTAL,18/09/2013,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,BERGERON CHANTAL,07/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BERGERON CHANTAL,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BERGERON CHANTAL,20/11/2013,Repas,€31,,
Lilly France SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,02/04/2014,REPAS,€55,,
MENARINI FRANCE,Médecin,BERGERON CHANTAL,24/10/2013,REPAS,€36,,
MENARINI FRANCE,Médecin,COURTEMANCHE BERGERON CHANTAL,05/03/2014,Autre : [Restauration],€22,,
MENARINI FRANCE,Médecin,COURTEMANCHE BERGERON CHANTAL,17/05/2014,Autre : [Forfait],€291,,
MSD France,Médecin,COURTEMANCHE BERGERON CHANTAL,17/10/2013,REPAS,€58,,
MSD France,Médecin,COURTEMANCHE BERGERON CHANTAL,08/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,GROSSE CHRISTIAN,24/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,GROSSE CHRISTIAN,19/01/2012,HOSPITALITE,€60,,
MYLAN SAS,Pharmacien,GAUTIER SYLVAIN,24/04/2014,REPAS,€35,,
MYLAN SAS,Pharmacien,LERIVEREND BÉATRICE,23/01/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,28/08/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,04/09/2013,Autre : [Hospitalité Evenement Scientifique],€45,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,08/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,05/06/2014,Autre : [Participation Evenement Scientifique],€50,,
OCP REPARTITION,Pharmacien,BOULOM CHARLES,12/11/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,CHAMPCLOU JOCELYNE,12/11/2013,REPAS,€60,,
PHONAK FRANCE,Audioprothésiste,LE VILLAIN CATHELINE,26/03/2014,REPAS,€41,,
PIERRE FABRE MEDICAMENT,Médecin,COURTEMANCHE BERGERON CHANTAL,01/03/2012,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,COURTEMANCHE BERGERON CHANTAL,25/04/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU CHRISTOPHE,10/02/2014,HOSPITALITE SITES PIERRE FABRE,€120,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU CHRISTOPHE,10/02/2014,RESTAURATION,€61,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU CHRISTOPHE,10/02/2014,RESTAURATION,€57,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU CHRISTOPHE,10/02/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU CHRISTOPHE,10/02/2014,RESTAURATION,€61,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU MARIE CHRISTINE,10/02/2014,RESTAURATION,€61,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU MARIE CHRISTINE,10/02/2014,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU MARIE CHRISTINE,10/02/2014,HOSPITALITE SITES PIERRE FABRE,€120,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU MARIE CHRISTINE,10/02/2014,RESTAURATION,€57,,
PIERRE FABRE MEDICAMENT,Pharmacien,RABREAU MARIE CHRISTINE,10/02/2014,HOSPITALITE SITES PIERRE FABRE,€114,,
SANOFI AVENTIS FRANCE,Médecin,CARO JEAN YVES,10/04/2014,Repas,€25,,
SANOFI AVENTIS FRANCE,Médecin,COURTEMANCHE BERGERON CHANTAL,04/07/2013,Restauration,€52,,
SANOFI AVENTIS FRANCE,Médecin,COURTEMANCHE BERGERON CHANTAL,04/06/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,COURTEMANCHE BERGERON CHANTAL,16/10/2013,Restauration,€45,,
SANOFI AVENTIS FRANCE,Médecin,COURTEMANCHE BERGERON CHANTAL,05/02/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,GROSSE CHRISTIAN,19/11/2013,Restauration,€14,,
SANOFI AVENTIS FRANCE,Médecin,LERIVEREND JEAN ERIC,10/04/2014,Repas,€25,,
TEVA SANTE SAS,Médecin,GROSSE CHRISTIAN,07/11/2013,REPAS,€25,,
THERABEL LUCIEN PHARMA,Médecin,BERGERON COURTEMANCHE CHANTAL,26/06/2014,REPAS,€50,,
UCB Pharma SA,Médecin,GROSSE CHRISTIAN,24/06/2014,Repas,€22,,
