ABBOTT FRANCE,Pharmacien,ORAZI THOMAS,28/02/2014,REPAS,€17,,
ALK-Abelló,Médecin,JACQUOT PUECH NICOLE,05/12/2013,TRANSPORT,€482,,
ALK-Abelló,Médecin,MILLA YVAN,03/12/2013,AUTRE : [RESTAURATION],€23,,
ALK-Abelló,Médecin,MILLA BENISTY NATHALIE,03/12/2013,AUTRE : [RESTAURATION],€23,,
ALK-Abelló,Médecin,PAILLARGUELO CHRISTIAN,23/03/2013,HEBERGEMENT,€170,,
ALK-Abelló,Médecin,PAILLARGUELO CHRISTIAN,23/03/2013,AUTRE : [RESTAURATION],€180,,
ALK-Abelló,Médecin,PAILLARGUELO CHRISTIAN,28/03/2013,AUTRE : [RESTAURATION],€52,,
ALK-Abelló,Médecin,PAILLARGUELO CHRISTIAN,13/09/2012,AUTRE : [RESTAURATION],€55,,
ALK-Abelló,Médecin,PUECH JACQUOT NICOLE,13/02/2014,Autre : [Restauration],€29,,
ALK-Abelló,Médecin,VACHER JEAN LUC,28/03/2013,AUTRE : [RESTAURATION],€52,,
ALK-Abelló,Médecin,VACHER JEAN LUC,11/10/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,VACHER JEAN LUC,13/02/2014,Autre : [Restauration],€29,,
ALK-Abelló,Médecin,VACHER JEAN LUC,23/03/2013,AUTRE : [RESTAURATION],€130,,
ALK-Abelló,Médecin,VACHER JEAN LUC,23/03/2013,HEBERGEMENT,€170,,
ALLERGAN FRANCE,Médecin,BASSIME LOTFI,21/05/2014,REPAS,€19,,
ALLERGAN FRANCE,Médecin,BASSIME LOTFI,19/03/2014,REPAS,€18,,
ALLERGAN FRANCE,Médecin,BASSIME LOTFI,03/07/2013,REPAS,€20,,
ALLERGAN FRANCE,Médecin,BOSSONNEY ELISE,19/03/2014,AUTRE-INSCRIPTION,€320,,
ALLERGAN FRANCE,Médecin,BOSSONNEY ELISE,19/02/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CONFOLENT ANNE,19/02/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CONFOLENT ANNE SOPHIE,18/10/2013,REPAS,€19,,
ALLERGAN FRANCE,Médecin,CONFOLENT ANNE SOPHIE,15/11/2013,REPAS,€21,,
ALLERGAN FRANCE,Médecin,MANN JOELLE,27/03/2014,REPAS,€51,,
ALLERGAN FRANCE,Médecin,MANN JOELLE,01/10/2013,REPAS,€27,,
ALLERGAN FRANCE,Médecin,MOUSSAVI SEYED,21/05/2014,REPAS,€19,,
ALLERGAN FRANCE,Médecin,MOUSSAVI SEYED,19/03/2014,REPAS,€18,,
ALLERGAN FRANCE,Médecin,MOUSSAVI SEYED JAMAL,03/07/2013,REPAS,€20,,
ALLERGAN FRANCE,Médecin,PLASSE GANDOLFO ANNIE,18/10/2013,REPAS,€35,,
ALLERGAN FRANCE,Médecin,PLASSE GANDOLFO ANNIE,15/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,PLASSE GANDOLFO ANNIE,27/06/2013,REPAS,€43,,
ALLERGAN FRANCE,Médecin,PLASSE GANDOLFO ANNIE,18/10/2013,HOSPITALITE,€35,,
American Orthodontics,Chirurgien-dentiste,DOURLHIES CHRISTIAN,13/09/2012,REPAS,€42,,
American Orthodontics,Chirurgien-dentiste,LUCCHETTI DELPHINE,13/09/2012,REPAS,€42,,
AMGEN SAS,Médecin,FOURNET DOMINIQUE,18/03/2014,REPAS REUNION,€32,,
AMGEN SAS,Médecin,HERVE NOELLE,18/03/2014,REPAS REUNION,€32,,
ANTHOGYR,Médecin,OLIVIER Jérôme,30/10/2012,Repas ou Hébèrgement,€132,,
ANTHOGYR,Médecin,OLIVIER Jérôme,28/11/2013,Repas ou Hébèrgement,€46,,
APTALIS PHARMA SAS,Médecin,DRAY CLAUDE,15/01/2013,AUTRES,€489,,
ASTELLAS PHARMA,Médecin,NGUYEN DUY PHUONG,27/03/2014,REPAS,€30,,
ASTELLAS PHARMA,Médecin,NGUYEN DUY PHUONG,27/03/2014,REPAS,€30,,
ASTRAZENECA,Infirmier,BETIS VICQUELIN MARIE JOSEE,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,DERAY AUDREY,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,DUPRE STEPHANIE,21/02/2014,Repas,€57,,
ASTRAZENECA,Infirmier,JACOTET ANAIS,13/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,JACOTET ANAIS,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,JUANCHICH SERGE,13/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,JUANCHICH SERGE,21/02/2014,Repas,€57,,
ASTRAZENECA,Infirmier,MAGNY ELSA,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,MOY SABRINA,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,MOY SABRINA,13/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PONCE ELODIE,13/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PONCE ELODIE,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,PONCE ELODIE,21/02/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PRADIER DOMINIQUE,21/02/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PRADIER DOMINIQUE,13/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PRADIER DOMINIQUE,22/11/2013,Repas,€57,,
ASTRAZENECA,Infirmier,SIOL CLAUDINE,13/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,TARDIEU ANNE,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,ANSELME DENISE,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,ANSELME DENISE,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ANSELME DENISE,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,ANSELME DENISE,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,26/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,14/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,23/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,23/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,20/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,AUGER SUREAUX CATHERINE,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERARDI ANNE,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERARDI ANNE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERLANDIER NATHALIE,15/11/2013,Transport,€448,,
ASTRAZENECA,Médecin,BERLANDIER NATHALIE,15/11/2013,Hébergement,€189,,
ASTRAZENECA,Médecin,BERLANDIER NATHALIE,15/11/2013,Repas,€10,,
ASTRAZENECA,Médecin,BERLANDIER NATHALIE,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,BERLANDIER NATHALIE,16/11/2013,Autre,€98,,
ASTRAZENECA,Médecin,BOLAND STEPHANIE,03/04/2014,Repas,€20,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,28/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,27/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,15/05/2014,Repas,€40,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASTANY CAMILLE,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,26/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,20/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,23/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,15/05/2014,Repas,€40,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,CASTELNAU CHRISTIAN,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,CAUMON THIERRY,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,COSTE FRANCOIS,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,COSTE FRANCOIS,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,COSTE FRANCOIS,27/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,COSTE FRANCOIS,28/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,COSTE FRANCOIS,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DAURIS VIRGINIE,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DJERADJIAN SANDY,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUPUIS NAVAI SOPHIE,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUPUIS NAVAI SOPHIE,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUPUIS NAVAI SOPHIE,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUPUY Didier,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,DUPUY Didier,29/11/2013,Transport,€313,,
ASTRAZENECA,Médecin,DUPUY Didier,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,GARCIA MARIE PIERRE,15/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GARCIA MARIE PIERRE,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GARCIA MARIE PIERRE,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GARCIA MARIE PIERRE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRANIER HERVE,28/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,GRANIER HERVE,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRANIER HERVE,27/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,GUILLAUME ORAZI CATHERINE,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,HEINRICH CLAUDE,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,JREIDINI SAMI,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JREIDINI SAMI,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JREIDINI SAMI,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,JREIDINI SAMI,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,JREIDINI SAMI,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARTINEZ THIERRY,10/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,MAUBERT CHRISTOPHE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,ORAZI XAVIER,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SABBAGH JAD,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SABBAGH JAD,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SABBAGH JAD,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,SABBAGH JAD,27/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,SABBAGH JAD,28/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,SAJAS CHRISTIANE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,SOULIER MATTHIEU,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SOULIER MATTHIEU,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,23/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,22/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,13/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,26/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SULTAN JOCELYNE,22/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,CALVET NICOLAS,25/02/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,HARBION NICOLE,21/02/2014,Repas,€57,,
Bastide Le Confort Médical,Médecin,Garcia Marie Pierre,28/01/2014,Repas,€22,,
Bastide Le Confort Médical,Médecin,Mercier Catherine,28/01/2014,Repas,€22,,
BAUERFEIND FRANCE,Pharmacien,DIDILLON CHRISTOPHE,20/02/2014,INVITATION,€27,,
Bayer HealthCare SAS,Médecin,CARRA JEAN PIERRE,22/04/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,DUPUY DIDIER,20/05/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,GARCIA MARIE PIERRE,12/12/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,GARCIA MARIE PIERRE,23/05/2013,Hospitalité,€58,,
Bayer HealthCare SAS,Médecin,GARCIA MARIE PIERRE,04/04/2014,Hospitalité,"€1,348",,
Bayer HealthCare SAS,Médecin,GARCIA MARIE PIERRE,21/01/2014,Hospitalité,€63,,
Bayer HealthCare SAS,Médecin,GARCIA MARIE PIERRE,22/04/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,GARCIA MARIE PIERRE,07/06/2013,Hospitalité,"€1,322",,
Bayer HealthCare SAS,Médecin,GARCIA MARIE-PIERRE,04/07/2013,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,RESCHOFSKY MERCIER CATHERINE,14/06/2014,Hospitalité,€197,,
Bayer HealthCare SAS,Médecin,RESCHOFSKY-MERCIER CATHERINE,04/07/2013,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,SAJAS CHRISTIANE,14/11/2013,Hospitalité,€31,,
BIOCODEX,Médecin,BERARDI ANNE,20/05/2014,REPAS,€60,,
BIOCODEX,Médecin,BERARDI ANNE,22/11/2013,REPAS,€58,,
BIOGARAN,Pharmacien,BENETEAU CHRISTELLE,10/09/2013,REPAS,€21,,
BIOGARAN,Pharmacien,DIDILLON Christophe,13/01/2014,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,GARCIA JEREMIE,13/06/2014,REPAS,€17,,
BIOGARAN,Pharmacien,GARCIA MOREL AUDREY,13/06/2014,REPAS,€17,,
BIOGARAN,Pharmacien,LEOTY JEAN LOUIS,15/04/2014,REPAS,€33,,
BIOGARAN,Pharmacien,MALLIE JULIEN,16/12/2013,REPAS,€29,,
BIOGARAN,Pharmacien,MALLIE THOMAS,16/12/2013,REPAS,€29,,
BIOGARAN,Pharmacien,MALLIE Thomas,27/06/2014,AUTRE : FORMATION CURSUS ESSEC,€656,,
BIOGARAN,Pharmacien,MASSEI ROMAIN,10/09/2013,REPAS,€21,,
BIOGARAN,Pharmacien,ORAZI DAMIEN,10/01/2014,REPAS,€24,,
BIOGARAN,Pharmacien,OUAZIZ SAMIR,16/12/2013,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRELLE-GUITARO BRIGITTE,15/04/2014,REPAS,€33,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAPELLE MATHILDE,16/12/2013,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ELKHALFI ZEYNEB,16/12/2013,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIRARD LUCIE,13/06/2014,REPAS,€17,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEOTY ROBERT,15/04/2014,REPAS,€33,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN ANAIS,15/04/2014,REPAS,€33,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MENTEYNE SYLVIE,15/04/2014,REPAS,€33,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MOYNIER ANNABEL,15/04/2014,REPAS,€33,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,NOGUERA THOMAS,16/12/2013,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POSO ELSA,16/12/2013,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POTRI CELINE,13/06/2014,REPAS,€17,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RICHARD SYLVIE,16/12/2013,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TURPIN LAURIE,15/04/2014,REPAS,€33,,
bioMérieux,Pharmacien,CUENANT MICHELE,13/03/2012,TRANSPORT,€214,,
bioMérieux,Pharmacien,MIROUSE EUGENIE,13/03/2012,TRANSPORT,€196,,
bioMérieux,Pharmacien,MIROUSE EUGENIE,04/10/2012,REPAS,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CONFAIS WALTON MARIE PAULE,09/07/2013,HOSPITALITE,€19,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUPUY DIDIER,03/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GARCIA MARIE PIERRE,09/07/2013,HOSPITALITE,€19,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GARCIA MARIE PIERRE,28/11/2013,HOSPITALITE,€34,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PAILLARGUELO CHRISTIAN,31/01/2014,HOSPITALITE,€624,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RESCHOFSKY MERCIER CATHERINE,15/10/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RESCHOFSKY MERCIER CATHERINE,09/07/2013,HOSPITALITE,€19,,
BOIRON,Pharmacien,CARRE FREDERIQUE,06/11/2013,[REPAS],€30,,
BOIRON,Pharmacien,ORAZI CAROLINE,06/11/2013,[REPAS],€30,,
BOIRON,Pharmacien,OUAZIZ SAMIR,17/12/2013,[REPAS],€23,,
BOSTON SCIENTIFIC SAS,Médecin,GARCIA MARIE-PIERRE,30/05/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,GARCIA MARIE-PIERRE,28/03/2013,REPAS,€55,,
BOSTON SCIENTIFIC SAS,Médecin,MERCIER CATHERINE,30/05/2013,REPAS,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CONFAIS WALTON MARIE PAULE,22/01/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DUPUY DIDIER,20/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GARCIA MARIE PIERRE,06/02/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GARCIA MARIE PIERRE,24/06/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,GARCIA MARIE PIERRE,20/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,HERVE NOELLE,27/03/2014,Repas,€12,,
BRISTOL-MYERS SQUIBB,Médecin,JREIDINI SAMI,22/01/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,RESCHOFSKY MERCIER CATHERINE,22/05/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,RESCHOFSKY MERCIER CATHERINE,18/02/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,TOUZERY DANIELLE,04/02/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,TOUZERY DANIELLE,13/05/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FOISSAC FABIENNE,07/09/2013,Repas,€69,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FOISSAC FABIENNE,07/09/2013,Hébergement,€187,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FOISSAC FABIENNE,07/09/2013,Transport,€536,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAURICE LAETITIA,09/09/2013,Transport,€140,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAURICE LAETITIA,09/09/2013,Transport,€140,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAURICE LAETITIA,09/09/2013,Hébergement,€187,,
CENTRALE DES PEELINGS,Médecin,DAYRE DANIELE,31/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,DAYRE DANIELE,31/03/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,MANN JOELLE,31/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,MANN JOELLE,31/03/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,SAJAS CHRISTIANE,12/03/2014,cadeaux,€17,,
CHIESI SA,Médecin,PAILLARGUELO CHRISTIAN,25/09/2013,Repas,€53,,
CHIESI SA,Médecin,TOUZERY BERTRAND,31/12/2013,Repas,€39,,
CHIESI SA,Médecin,TOUZERY BERTRAND,25/09/2013,Repas,€53,,
chris eyes,Médecin,CONFOLENT ANNE SOPHIE,03/07/2013,REPAS,€38,,
chris eyes,Médecin,CONFOLENT ANNE SOPHIE,10/12/2013,REPAS,€21,,
chris eyes,Médecin,CONFOLENT ANNE SOPHIE,19/06/2013,REPAS,€18,,
chris eyes,Médecin,CONFOLENT ANNE SOPHIE,21/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,ALIBERT ANSELME DENISE,16/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BRONSTEIN JULIEN,16/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GOUJON ALAIN,16/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,LAUTIER JEAN PAUL,16/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,LOUP STEPHANE,16/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,ROCA BEATRICE,16/11/2013,REPAS,€30,,
COOPERVISION SAS,Opticien-lunetier,NOILHETAS FANNY,12/06/2014,REPAS,€35,,
COOPERVISION SAS,Opticien-lunetier,THEVENET ANAIS,12/06/2014,REPAS,€35,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MARTIN JUSTINE,20/01/2014,REPAS,€18,,
COSMETIQUE ACTIVE FRANCE,Médecin,MERLET ALBRAND SEVERINE,26/06/2014,AUTRE: [FORMATION],€55,,
