ABBOTT FRANCE,Diététicien,ROBIN FLORENCE,07/05/2013,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,13/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,26/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,20/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TROST PATRICK,27/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,11/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,03/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,27/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,24/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,01/02/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,14/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,06/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,13/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,08/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,25/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,13/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,28/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WATRIN BERNARD,26/10/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SCHMIDT THIERRY,03/06/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SCHMIDT THIERRY,14/05/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SCHMIDT THIERRY,19/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SCHMIDT THIERRY,16/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SCHMIDT THIERRY,14/10/2013,REPAS,€42,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE NOUVELLE,12/12/2013,CADEAUX,€20,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE SCHMIDT,18/12/2013,CADEAUX,€12,,
Laboratoire Innothera,Pharmacien,GERVASONI VERONIQUE,16/12/2013,REPAS,€25,,
Laboratoire Innothera,Pharmacien,SANNIER JOELLE,16/12/2013,REPAS,€25,,
Laboratoire Innothera,Pharmacien,SCHNEIDER VIRGINIE,05/12/2013,REPAS,€16,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ABDOUNE VIRGINIE,26/11/2013,REPAS,€23,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BARLIER HELENE,05/12/2013,REPAS,€16,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENDER SYLVIE,26/11/2013,REPAS,€23,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAWLOWSKI NELLY,26/11/2013,REPAS,€23,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRUSZEWSKI SABRINA,16/12/2013,REPAS,€25,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KRENC AUDREY,26/11/2013,REPAS,€23,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAZZAROTTO SANDRA,16/12/2013,REPAS,€25,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MUNOM GUILLAUME,26/11/2013,REPAS,€23,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SAVENER CATHY,05/12/2013,REPAS,€16,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SOUCHAL MARIE-LAURE,16/12/2013,REPAS,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CACCIATORE ONOFRIO,23/05/2014,Repas,€36,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,OSSOLA EUGENE,23/05/2014,Repas,€36,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,WATRIN BERNARD,21/02/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GERVASONI VERONIQUE,28/01/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SANNIER JOELLE,28/01/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SCHMIDT THIERRY,21/03/2014,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ABDOUNE VIRGINIE,28/01/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENDER SYLVIE,28/01/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRUSZEWSKI SABRINA,28/01/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAZZAROTTO SANDRA,28/01/2014,Repas,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SOUCHAL MARIE LAURE,28/01/2014,Repas,€39,,
Laboratoires Grünenthal SAS,Médecin,CACCIATORE ONOFRIO,30/01/2014,REPAS,€21,,
Laboratoires Grünenthal SAS,Médecin,CACCIATORE ONOFRIO,26/09/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,OSSOLA EUGENE,26/09/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,OSSOLA EUGENE,30/01/2014,REPAS,€21,,
Laboratoires Grünenthal SAS,Médecin,WATRIN BERNARD,16/05/2014,REPAS,€55,,
LABORATOIRES MAYOLY SPINDLER,Médecin,OSSOLA EUGENE,04/03/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,WATRIN BERNARD,22/11/2013,HOSPITALITE,€60,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,SCHMIDT THIERRY,26/11/2013,HOSPITALITE,€24,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,SCHMIDT THIERRY,01/04/2014,HOSPITALITE,€27,,
LABORATOIRES URGO,Médecin,GAVINELLI -BELOCCHI PATRICIA,24/09/2013,REPAS,€23,,
LABORATOIRE TETRA MEDICAL,Pharmacien,SCHMIDT THIERRY,21/05/2013,REPAS,€19,,
LES LABORATOIRES SERVIER,Médecin,CACCIATORE ONOFRIO,08/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,WATRIN BERNARD,20/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,WATRIN BERNARD,25/04/2014,Repas,€60,,
MENARINI FRANCE,Médecin,AROUS GILLES,17/10/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,CACCIATORE ONOFRIO,13/02/2014,Autre : [Restauration],€50,,
MENARINI FRANCE,Médecin,CACCIATORE ONOFRIO,15/10/2013,AUTRE : RNT,€57,,
MENARINI FRANCE,Médecin,CACCIATORE ONOFRIO,03/12/2013,AUTRE : RNT,€53,,
MENARINI FRANCE,Médecin,CACCIATORE ONOFRIO,27/02/2014,Autre : [Restauration],€47,,
MENARINI FRANCE,Médecin,OSSOLA EUGENE,27/02/2014,Autre : [Restauration],€47,,
MENARINI FRANCE,Médecin,OSSOLA EUGENE,15/10/2013,AUTRE : RNT,€57,,
MENARINI FRANCE,Médecin,OSSOLA EUGENE,13/02/2014,Autre : [Restauration],€50,,
MENARINI FRANCE,Médecin,OSSOLA EUGENE,03/12/2013,AUTRE : RNT,€53,,
MENARINI FRANCE,Médecin,WATRIN BERNARD,06/09/2013,REPAS,€54,,
MENARINI FRANCE,Médecin,WATRIN BERNARD,10/01/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Pharmacien,SCHMIDT THIERRY,01/10/2013,AUTRE : RNT,€23,,
MERCK SERONO,Médecin,OSSOLA EUGENE,29/04/2014,REPAS,€45,,
MSD France,Médecin,AROUS GILLES,17/10/2013,REPAS,€68,,
MSD France,Médecin,WATRIN BERNARD,04/10/2013,REPAS,€58,,
MSD France,Médecin,WATRIN BERNARD,19/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,WATRIN BERNARD,29/06/2012,REPAS,€60,,
MSD France,Médecin,WATRIN BERNARD,22/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,WATRIN BERNARD,19/10/2012,REPAS,€60,,
MSD France,Pharmacien,MUNCH GUILLAUME,17/10/2013,REPAS,€68,,
MSD France,Pharmacien,SCHMIDT THIERRY,17/10/2013,REPAS,€68,,
MUNDIPHARMA,Médecin,CACCIATORE ONOFRIO,26/06/2014,HOSPITALITE REUNION PROFESSIONNELLE,€65,,
MUNDIPHARMA,Médecin,OSSOLA EUGENE,26/06/2014,HOSPITALITE REUNION PROFESSIONNELLE,€65,,
NOVARTIS PHARMA SAS,Médecin,CACCIATORE ONOFRIO,01/04/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,CACCIATORE ONOFRIO,01/10/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,CACCIATORE ONOFRIO,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CACCIATORE ONOFRIO,27/09/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,CACCIATORE ONOFRIO,11/02/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,OSSOLA EUGENE,01/10/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,OSSOLA EUGENE,01/04/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,OSSOLA EUGENE,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,OSSOLA EUGENE,11/02/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,WATRIN BERNARD,15/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,WATRIN BERNARD,28/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,WATRIN BERNARD,23/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,SCHMIDT THIERRY,22/11/2013,Repas,€21,,
NOVARTIS PHARMA SAS,Pharmacien,SCHMIDT THIERRY,25/02/2014,Repas,€28,,
NOVO NORDISK,Médecin,AROUS GILLES,12/09/2013,REPAS,€39,,
NOVO NORDISK,Médecin,CACCIATORE ONOFRIO,03/10/2013,REPAS,€55,,
NOVO NORDISK,Médecin,CACCIATORE ONOFRIO,28/11/2013,REPAS,€60,,
NOVO NORDISK,Médecin,CACCIATORE ONOFRIO,10/04/2014,REPAS,€55,,
NOVO NORDISK,Médecin,OSSOLA EUGENE,03/10/2013,REPAS,€55,,
NOVO NORDISK,Médecin,OSSOLA EUGENE,10/04/2014,REPAS,€55,,
NOVO NORDISK,Médecin,OSSOLA EUGENE,20/02/2014,REPAS,€50,,
NOVO NORDISK,Médecin,OSSOLA EUGENE,28/11/2013,REPAS,€60,,
NOVO NORDISK,Médecin,WATRIN BERNARD,21/12/2013,REPAS,€60,,
PFIZER SAS,Médecin,CACCIATORE ONOFRIO,21/03/2014,REPAS,€53,,
PFIZER SAS,Médecin,OSSOLA EUGENE,21/03/2014,REPAS,€53,,
PIERRE FABRE MEDICAMENT,Médecin,AROUS GILLES,22/03/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,AROUS GILLES,19/04/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,AROUS GILLES,13/06/2012,Restauration,€69,,
PIERRE FABRE MEDICAMENT,Médecin,CACCIATORE ONOFRIO,21/03/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,OSSOLA EUGENE,03/07/2012,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,OSSOLA EUGENE,21/03/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,TROST PATRICK,20/09/2012,Restauration,€59,,
PIERRE FABRE MEDICAMENT,Médecin,TROST PATRICK,30/04/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,TROST PATRICK,21/03/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,TROST PATRICK,03/07/2012,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,WATRIN BERNARD,25/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,WATRIN BERNARD,04/05/2012,Restauration,€51,,
PIERRE FABRE MEDICAMENT,Médecin,WATRIN BERNARD,14/09/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,WATRIN BERNARD,06/12/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,WATRIN BERNARD,31/05/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Pharmacien,MUNCH GUILLAUME,30/08/2013,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Pharmacien,MUNCH GUILLAUME,23/05/2014,RESTAURATION,€16,,
PIERRE FABRE MEDICAMENT,Pharmacien,SCHMIDT THIERRY,23/05/2014,RESTAURATION,€16,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ABDOUNE VIRGINIE,30/08/2013,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ABDOUNE VIRGINIE,23/05/2014,RESTAURATION,€16,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENDER SYLVIE,30/08/2013,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENDER SYLVIE,23/05/2014,RESTAURATION,€16,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KRENC AUDREY,30/08/2013,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KRENC AUDREY,23/05/2014,RESTAURATION,€16,,
RB Pharmaceuticals France,Médecin,AROUS Gilles,13/02/2014,Repas,€26,,
RB Pharmaceuticals France,Médecin,AROUS Gilles,24/04/2014,Repas,€40,,
RB Pharmaceuticals France,Médecin,WATRIN Bernard,24/04/2014,Repas,€40,,
RB Pharmaceuticals France,Pharmacien,MUNCH Guillaume,05/12/2013,Repas,€60,,
ROTTAPHARM SAS,Médecin,CACCIATORE ONOFRIO,24/09/2013,DEJEUNER/RNT,€50,,
ROTTAPHARM SAS,Médecin,CACCIATORE ONOFRIO,10/12/2013,DEJEUNER/DEJEUNER,€50,,
ROTTAPHARM SAS,Médecin,CACCIATORE ONOFRIO,18/03/2014,DEJEUNER/DEJEUNER,€50,,
ROTTAPHARM SAS,Médecin,OSSOLA EUGENE,24/09/2013,DEJEUNER/RNT,€50,,
ROTTAPHARM SAS,Médecin,OSSOLA EUGENE,10/12/2013,DEJEUNER/DEJEUNER,€50,,
SIGVARIS,Pharmacien,SCHMIDT THIERRY,10/01/2014,REPAS,€22,,
SIGVARIS,Pharmacien,SCHMIDT THIERRY,18/11/2013,REPAS,€20,,
Takeda France,Médecin,CACCIATORE Onofrio,25/02/2014,REPAS,€50,,
Takeda France,Médecin,CACCIATORE Onofrio,26/11/2013,REPAS,€50,,
Takeda France,Médecin,OSSOLA Eugene,26/11/2013,REPAS,€50,,
Takeda France,Médecin,OSSOLA Eugene,25/02/2014,REPAS,€50,,
Takeda France,Pharmacien,SCHMIDT Thierry,08/04/2014,REPAS,€55,,
TEVA SANTE SAS,Médecin,CACCIATORE ONOFRIO,10/10/2013,REPAS,€50,,
TEVA SANTE SAS,Médecin,OSSOLA EUGENE,10/10/2013,REPAS,€50,,
TEVA SANTE SAS,Médecin,TROST PATRICK,22/11/2013,REPAS,€46,,
TEVA SANTE SAS,Pharmacien,SCHMIDT THIERRY,15/10/2013,REPAS,€30,,
TEVA SANTE SAS,Pharmacien,SCHMIDT THIERRY,22/04/2014,REPAS,€26,,
THERABEL LUCIEN PHARMA,Pharmacien,SCHMIDT THIERRY,02/07/2013,REPAS,€30,,
Zambon France,Médecin,CACCIATORE ONOFRIO,27/03/2014,Repas,€45,,
Zambon France,Médecin,OSSOLA EUGENE,27/03/2014,Repas,€45,,
Zambon France,Médecin,TROST PATRICK,27/03/2014,Repas,€45,,
