ARCHIMEDES PHARMA France,Infirmier,JAUMONT CECILE,12/12/2013,Repas,€10,,
IPSEN PHARMA,Médecin,ORBEN NATHALIE,29/08/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,MARGAROLI ERIC,23/04/2013,REPAS,€37,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,CLAUDEL FRANCIS,22/07/2013,Autre,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,28/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,08/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,27/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,13/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,23/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,04/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,23/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,16/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,10/02/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,24/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,12/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,13/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,07/12/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,23/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,05/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,04/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,06/07/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,01/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,19/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,13/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,27/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,08/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,06/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOZZOLA PATRICK,13/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARGAROLI ERIC,06/09/2012,Hospitalité,€47,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BOZZOLA PATRICK,09/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BOZZOLA PATRICK,31/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BOZZOLA PATRICK,27/08/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BOZZOLA PATRICK,02/10/2013,Repas,€60,,
MENARINI FRANCE,Médecin,BOZZOLA PATRICK,10/12/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,BOZZOLA PATRICK,14/02/2014,Autre : [Restauration],€53,,
MSD France,Médecin,BOZZOLA PATRICK,04/06/2014,REPAS,€45,,
MSD France,Médecin,BOZZOLA PATRICK,30/08/2013,REPAS,€40,,
MSD France,Médecin,BOZZOLA PATRICK,03/01/2014,REPAS,€40,,
MSD France,Médecin,BOZZOLA PATRICK,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOZZOLA PATRICK,28/03/2014,REPAS,€55,,
MSD France,Médecin,CHAIB MALIK,23/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,CHAIB MALIK,19/09/2013,REPAS,€56,,
MUNDIPHARMA,Médecin,BOZZOLA PATRICK,05/07/2013,REPAS,€55,,
PFIZER SAS,Médecin,WAGNER CLAUDINE,04/12/2013,Repas,€60,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,WACH WICKER MICHELE,21/03/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BOZZOLA PATRICK,25/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,BOZZOLA PATRICK,17/02/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,CHAIB MALIK,15/03/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,CHAIB MALIK,31/05/2013,Restauration,€60,,
RB Pharmaceuticals France,Médecin,BOZZOLA Patrick,07/03/2014,Repas,€53,,
SANOFI AVENTIS FRANCE,Médecin,BIZOT CLAUDE,26/03/2014,Repas,€36,,
Takeda France,Médecin,BOZZOLA Patrick,15/11/2013,REPAS,€45,,
Takeda France,Médecin,BOZZOLA Patrick,21/02/2014,REPAS,€54,,
Takeda France,Médecin,BOZZOLA Patrick,28/03/2014,REPAS,€50,,
TEVA SANTE SAS,Médecin,RATSIANOHARANA DANIELE,19/09/2013,REPAS,€52,,
