ABBOTT PRODUCTS SAS,Médecin,RIOU Bernard,15/10/2013,REPAS,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LE GOUEFFLEC SOPHIE,21/10/2013,HOSPITALITE,€44,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LE GOUEFFLEC SOPHIE,26/05/2014,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MADINGOU MENARD GISELE,17/04/2014,HOSPITALITE,€44,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MAZEAU PASCAL,26/05/2014,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MAZEAU PASCAL,03/02/2014,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MAZEAU PASCAL,21/10/2013,HOSPITALITE,€44,,
BRISTOL-MYERS SQUIBB,Etudiant,AMIEL MARC ANTOINE,21/05/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,BUSSON EMILIE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LEFEUVRE PIERRE FRANCOIS,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LEFEUVRE PIERRE FRANCOIS,17/02/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,LE GOUEFFLEC SOPHIE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LE GOUEFFLEC SOPHIE,17/02/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,MADINGOU MENARD GISELE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MADINGOU MENARD GISELE,17/06/2014,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,MAZEAU PASCAL,21/05/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,MAZEAU PASCAL,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MAZEAU PASCAL,17/02/2014,Repas,€40,,
CONGRES COLLOQUES CONVENTIONS,Médecin,MADINGOU MENARD GISELE,28/09/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,JOHAN ISABELLE,28/01/2014,REPAS,€28,,
ICOMED,Chirurgien-dentiste,GHECK NICOLAS,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,PONTAIS FLORENCE,23/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,EMANUELE PIERRE,16/05/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,EMANUELE PIERRE,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE GOUEFFLEC SOPHIE,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MADINGOU MENARD GISELE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MADINGOU MENARD GISELE,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAZEAU PASCAL,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,RIOU BERNARD,16/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,RIOU BERNARD,27/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,RIOU BERNARD,30/09/2013,Autre: [Enquête],€29,,
IPSEN PHARMA,Pharmacien,HERVE FRANCOIS,28/11/2013,REPAS,€10,,
IPSEN PHARMA,Pharmacien,HERVE FRANCOIS,28/11/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MADINGOU MENARD GISELE,27/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIOU BERNARD,28/05/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIOU BERNARD,02/07/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIOU BERNARD,19/11/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,BOURDIEL VERONIQUE,11/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JOHAN ISABELLE,11/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VIEL MOREAU CHRISTINE,11/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BIGNON HELENE,11/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COUEFFE CATHERINE,11/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LETOURNEUX MARIE LAURE,11/02/2014,REPAS,€17,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POIVET STÉPHANIE,16/05/2014,REPAS,€46,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,RIOU BERNARD,10/01/2014,Repas,€43,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MAZEAU PASCAL,18/02/2014,HOSPITALITE,€45,,
LES LABORATOIRES SERVIER,Médecin,MADINGOU-MENARD GISELE,25/03/2014,Repas,€48,,
Lilly France SAS,Médecin,MAZEAU PASCAL,15/04/2014,REPAS,€60,,
Lilly France SAS,Médecin,MAZEAU PASCAL,08/10/2013,REPAS,€60,,
LUNDBECK SAS,Médecin,LE GOUEFFLEC SOPHIE,13/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,LE GOUEFFLEC SOPHIE,07/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,MAZEAU PASCAL,13/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,MAZEAU PASCAL,27/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,MAZEAU PASCAL,19/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,MAZEAU PASCAL,07/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,RIOU BERNARD,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
MENARINI FRANCE,Médecin,BUSSON EMILIE,11/02/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,MADINGOU MENARD GISELE,17/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,MAZEAU PASCAL,11/02/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,MAZEAU PASCAL,17/10/2013,REPAS,€55,,
Molnlycke Health Care,Infirmier,QUINTON MATHIEU,20/02/2014,REPAS,€21,,
MSD France,Médecin,MADINGOU MENARD GISELE,07/06/2012,REPAS,€48,,
NOVARTIS PHARMA SAS,Médecin,BUSSON EMILIE,19/09/2013,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,BUSSON EMILIE,04/07/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,EMANUELE PIERRE,03/12/2013,Autre : [Hospitalité Evenement Scientifique],€32,,
NOVARTIS PHARMA SAS,Médecin,EMANUELE PIERRE,13/05/2014,Autre : [Participation Evenement Scientifique],€22,,
NOVARTIS PHARMA SAS,Médecin,EMANUELE PIERRE,03/06/2014,Autre : [Participation Evenement Scientifique],€26,,
NOVARTIS PHARMA SAS,Médecin,EMANUELE PIERRE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€24,,
NOVARTIS PHARMA SAS,Médecin,LEFEUVRE PIERRE FRANCOIS,10/02/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,LEFEUVRE PIERRE FRANCOIS,24/04/2014,Autre : [Participation Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,LE GOUEFFLEC SOPHIE,24/04/2014,Autre : [Participation Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,LE GOUEFFLEC SOPHIE,19/09/2013,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,LE GOUEFFLEC SOPHIE,10/02/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,MADINGOU MENARD GISELE,24/04/2014,Autre : [Participation Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,MADINGOU MENARD GISELE,19/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MAZEAU PASCAL,19/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MAZEAU PASCAL,19/09/2013,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,MAZEAU PASCAL,04/07/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,MAZEAU PASCAL,10/02/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,MAZEAU PASCAL,24/04/2014,Autre : [Participation Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,RIOU BERNARD,18/03/2014,Repas,€42,,
PIERRE FABRE MEDICAMENT,Médecin,RIOU BERNARD,30/05/2013,Restauration,€60,,
RADIANTE,Pharmacien,JOHAN Isabelle,26/11/2012,Repas,€21,,
RESMED SAS,Chirurgien-dentiste,LEBLANC JEAN CHRISTOPHE,25/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,MADINGOU MENARD GISELE,17/10/2013,Restauration,€25,,
SANOFI AVENTIS FRANCE,Pharmacien,BOURDIEL VERONIQUE,24/06/2014,Repas,€54,,
Straumann France,Chirurgien-dentiste,LEBLANC JEAN CHRISTOPHE,09/10/2013,Repas,€25,,
TEVA SANTE SAS,Médecin,RIOU BERNARD,05/11/2013,REPAS,€50,,
