AbbVie,Pharmacien,MEURISSE CLOTHILDE,17/04/2014,REPAS,€60,,
ICOMED,Médecin,GLUSZAK ERIC,14/01/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,PONT JEAN PIERRE,21/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SUMJACZI DOMINIQUE,17/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,SUMJACZI DOMINIQUE,26/02/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANOUILH YANNICK,29/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANOUILH YANNICK,08/11/2013,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANOUILH YANNICK,03/02/2012,Hospitalité,€20,,
Laboratoires Grünenthal SAS,Médecin,ANOUILH YANNICK,21/03/2014,REPAS,€24,,
LES LABORATOIRES SERVIER,Médecin,ANOUILH YANNICK,04/02/2014,Repas,€60,,
LUNDBECK SAS,Médecin,ANOUILH YANNICK,12/10/2013,AUTRE : FRAIS D HOSPITALITE / RP,€300,,
MENARINI FRANCE,Médecin,GLUSZAK ERIC,10/12/2013,REPAS,€40,,
MSD France,Médecin,BEAUGENDRE EDOUARD,19/09/2013,REPAS,€55,,
MSD France,Médecin,BEAUGENDRE EDOUARD,10/10/2013,REPAS,€42,,
MSD France,Médecin,BEAUGENDRE EDOUARD,03/06/2014,REPAS,€55,,
MSD France,Médecin,BEAUGENDRE EDOUARD,30/05/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,BEAUGENDRE EDOUARD,25/10/2012,HOSPITALITE,€51,,
MSD France,Médecin,BEAUGENDRE EDOUARD,12/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,DELASSUS ARNAULD,20/06/2012,HOSPITALITE,€56,,
MSD France,Médecin,GLUSZAK ERIC,01/10/2013,REPAS,€33,,
MSD France,Médecin,SUMJACZI DOMINIQUE,18/10/2012,REPAS,€58,,
MSD France,Médecin,SUMJACZI DOMINIQUE,26/06/2012,REPAS,€60,,
NOVARTIS PHARMA SAS,Médecin,ANOUILH YANNICK,03/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Pharmacien,DELFY HENGUELLE AURELIE,08/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Pharmacien,HENGUELLE ELISE,08/04/2014,Autre : [Participation Evenement Scientifique],€50,,
OCP REPARTITION,Pharmacien,HOLUIGUE CHRISTOPHE,03/02/2014,REPAS,€42,,
PIERRE FABRE MEDICAMENT,Médecin,ANOUILH YANNICK,25/10/2012,HÃƒÂ©bergement,€95,,
PIERRE FABRE MEDICAMENT,Médecin,ANOUILH YANNICK,25/10/2012,Frais de dÃƒÂ©placement,€576,,
PIERRE FABRE MEDICAMENT,Médecin,ANOUILH YANNICK,25/10/2012,Restauration,€134,,
PIERRE FABRE MEDICAMENT,Pharmacien,HENGUELLE JEAN PIERRE,29/05/2012,Restauration,€34,,
ROCHE SAS,Médecin,BOURGEOIS VINCENT,21/03/2013,Frais remboursés (transport),€380,,
ROCHE SAS,Médecin,BOURGEOIS VINCENT,23/03/2013,Hébergement,€220,,
ROCHE SAS,Médecin,BOURGEOIS VINCENT,21/03/2013,Hébergement,€220,,
ROCHE SAS,Médecin,BOURGEOIS VINCENT,22/03/2013,Hébergement,€220,,
ROCHE SAS,Médecin,BOURGEOIS VINCENT,21/03/2013,Inscription,€460,,
Smith & Nephew S.A.S.,Infirmier,ROUTIER DELPHINE,12/06/2014,REPAS,€20,,
TEVA SANTE SAS,Pharmacien,HACHE EMMANUEL,23/04/2014,REPAS,€25,,
TEVA SANTE SAS,Pharmacien,HOLUIGUE CHRISTOPHE,23/04/2014,REPAS,€25,,
