AMGEN SAS,Médecin,BUCUR SIMONA,18/03/2014,REPAS IMPROMPTU,€21,,
ASTRAZENECA,Médecin,GUERIN AGNES,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUEROUT THIERRY,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUEROUT THIERRY,27/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,HAROUN GINA,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,HAROUN GINA,31/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,HENNI MOSTEFA MOHAMED,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HENNI MOSTEFA MOHAMED,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,HENNI MOSTEFA MOHAMED,14/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LADEGAILLERIE ANNE MARIE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,LAPORTE MANY MARIE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE BRAS CATHERINE,27/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,LE BRAS CATHERINE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,PASCAL JOELLE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PASCAL JOELLE,31/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,PASCAL JOELLE,27/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PASCAL JOELLE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PASCAL JOELLE,14/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SITHAKHAM NICOLE,26/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SITHAKHAM NICOLE,15/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SITHAKHAM NICOLE,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,TABTI Mahmoud,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,TABTI Mahmoud,18/10/2013,Hébergement,€186,,
ASTRAZENECA,Médecin,TABTI Mahmoud,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,TABTI MAHMOUD,14/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,TABTI Mahmoud,18/10/2013,Transport,€512,,
ASTRAZENECA,Médecin,VILLOTEAU MAGALI,31/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,VILLOTEAU MAGALI,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,VILLOTEAU MAGALI,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,WINTREBERT DOMINIQUE,27/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,WINTREBERT DOMINIQUE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,WINTREBERT DOMINIQUE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,ZEGRAR BELOUFA,07/04/2014,Repas,€20,,
ASTRAZENECA,Médecin,ZEGRAR BELOUFA,31/01/2014,Repas,€25,,
ASTRAZENECA,Pharmacien,BERCHOT GIRAUDEAU FRANCOISE,04/04/2014,Repas,€43,,
ASTRAZENECA,Pharmacien,MARTIN BOTOVAVY LUCIE,04/12/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,SIMO KENMOGNE ELIANE,27/06/2014,Repas,€20,,
ASTRAZENECA,Pharmacien,SIMO KENMOGNE ELIANE,04/04/2014,Repas,€43,,
Bayer HealthCare SAS,Médecin,SITHAKHAM NICOLE,06/12/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,SITHAKHAM NICOLE,17/06/2014,Hospitalité,€60,,
BIOMET 3i,Chirurgien-dentiste,GARREC PASCAL,23/01/2014,REPAS,€54,,
BRISTOL-MYERS SQUIBB,Médecin,SITHAKHAM NICOLE,03/12/2013,Repas,€35,,
BRISTOL-MYERS SQUIBB,Médecin,SITHAKHAM NICOLE,27/09/2013,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,SITHAKHAM NICOLE,05/02/2014,Repas,€54,,
CHIESI SA,Médecin,SITHAKHAM NICOLE,09/10/2013,Repas,€53,,
colgate palmolive,Chirurgien-dentiste,BEHAR BENHAMOU DIANE,04/02/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,SITHAKHAM NICOLE,15/03/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,MAURICE JEROME,10/02/2014,REPAS,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,SITHAKHAM NICOLE,15/10/2013,Repas,€54,,
DJO France SAS,Pharmacien,MARTIN LUCIE,06/06/2014,Repas,€13,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GOUVEIA TANIA,06/06/2014,Repas,€13,,
ICOMED,Chirurgien-dentiste,BEHAR BENHAMOU DIANE,14/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,BEHAR BENHAMOU DIANE,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BENARBIA FARID,17/03/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,BENDJENANA GHISLAINE,06/02/2014,Autre: [Enquête],€18,,
ICOMED,Médecin,BENDJENANA GHISLAINE,28/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,BOURAT HUGUES,17/03/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,BOURAT HUGUES,23/04/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,GAILLOT FLORENCE,14/05/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,GAILLOT FLORENCE,12/03/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,GAILLOT FLORENCE,18/12/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,GALISSON PATRICK,15/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,GLIKMAN JACQUES,28/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,GLIKMAN JACQUES,07/11/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,GUERIN AGNES,23/01/2014,Autre: [Enquête],€15,,
ICOMED,Médecin,GUERIN AGNES,10/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAPORTE MANY MARIE,19/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,MILLIER CLAUDE JACQUELINE,07/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,PASCAL JOELLE,23/04/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,SITHAKHAM NICOLE,29/04/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,VILLOTEAU MAGALI,12/03/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,VILLOTEAU MAGALI,21/01/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,WINTREBERT DOMINIQUE,23/04/2013,Autre: [Enquête],€15,,
JANSSEN-CILAG,Etudiant,CHAPELET SIMON,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Etudiant,DAUPHIN ADELAIDE,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Etudiant,HENRIET XAVIER,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Etudiant,LEYGUES MELISA,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Etudiant,LIGARIUS ANDY,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Etudiant,SAMAKE MOUSSOKOURA,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Etudiant,VOGLEMACCI KARINE,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,AHOLU TATIANA,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,ANANI FATMA,06/12/2013,REPAS,€18,,
JANSSEN-CILAG,Infirmier,ARTICE CAMILLE,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,BUJAT MARIE,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,CARMONT ANNETTE,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,DERATINI PHILIPPE,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,DROUARD ANNE,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,FEUILLOY VIRGINIE,06/12/2013,REPAS,€18,,
JANSSEN-CILAG,Infirmier,KAMAGATE AWA,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,KAMAGATE AWA,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,KHELIL ABDENOUR,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,LEGATHE FRANCOIS,06/12/2013,REPAS,€18,,
JANSSEN-CILAG,Infirmier,MAGNAT KEVIN,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,MAGNAT LEWIN,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,MBUNDANI CORINNE,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,MOCQUET THERESE,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,NGAGNI RICHARD,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,PIETRZAK SYLVIE,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,PIETRZAK SYLVIE,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,TEUQUERS MYRIAM,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,TEUQUERS MYRIAM,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Infirmier,VENS NATHALIE,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,20/09/2013,INSCRIPTION,€150,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,04/12/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,20/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,10/04/2014,REPAS,€17,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,03/07/2013,REPAS,€38,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,11/04/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,24/01/2014,INSCRIPTION,€347,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,17/09/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,05/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,24/01/2013,REPAS,€26,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,06/02/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,BACHIR NADIR,29/03/2013,INSCRIPTION,€324,,
JANSSEN-CILAG,Médecin,BALHASKA ABDELKADER,20/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,BALHASKA ABDELKADER,20/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,BALHASKA ABDELKADER,25/01/2013,INSCRIPTION,€335,,
JANSSEN-CILAG,Médecin,BENDJENANA GHISLAINE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,BENDJENANA GHISLAINE,06/12/2013,REPAS,€18,,
JANSSEN-CILAG,Médecin,BENKARA KARIMA,06/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,BOUCHAMA KARIMA,20/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,BOURAT HUGUES,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,BOURAT HUGUES,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,CHEKIROU NORA,20/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,CHEKIROU NORA,09/03/2013,AUTRE : REMBOURSEMENT DE FRAIS,€34,,
JANSSEN-CILAG,Médecin,CHEKIROU NORA,25/01/2013,INSCRIPTION,€335,,
JANSSEN-CILAG,Médecin,DJELID KEMIM DJAMILA,04/12/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,DJELID KEMIM DJAMILA,24/01/2014,INSCRIPTION,€347,,
JANSSEN-CILAG,Médecin,GAILLOT FLORENCE,14/05/2013,REPAS,€47,,
JANSSEN-CILAG,Médecin,GAILLOT FLORENCE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,GUERIN AGNES,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,GUIZ ABDEL,03/07/2013,REPAS,€38,,
JANSSEN-CILAG,Médecin,GUIZ ABDEL,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,HAROUN GINA,06/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,HAROUN GINA,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,HAROUN GINA,04/12/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,HENNI KHEMIS,04/12/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,HENNI MOSTEFA MOHAMED,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,LALIBI DJAMEL,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,NEHARI RACHID,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,PASCAL JOELLE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,PASCAL JOELLE,06/12/2013,REPAS,€18,,
JANSSEN-CILAG,Médecin,RATENI NADIA,25/10/2013,INSCRIPTION,€100,,
JANSSEN-CILAG,Médecin,RATENI NADIA,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,25/01/2013,INSCRIPTION,€335,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,20/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,03/07/2013,REPAS,€38,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,11/04/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,19/03/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,06/11/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,17/09/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,17/10/2013,REPAS,€10,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,06/02/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,TABTI MAHMOUD,04/12/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,VILLOTEAU MAGALI,24/01/2014,INSCRIPTION,€347,,
JANSSEN-CILAG,Médecin,VILLOTEAU MAGALI,14/05/2013,REPAS,€47,,
JANSSEN-CILAG,Médecin,VILLOTEAU MAGALI,24/01/2014,INSCRIPTION,€347,,
JANSSEN-CILAG,Médecin,ZEGRAR BELOUFA,10/04/2014,REPAS,€17,,
JANSSEN-CILAG,Médecin,ZEGRAR BELOUFA,29/01/2013,REPAS,€33,,
JANSSEN-CILAG,Pharmacien,BERCHOT GIRAUDEAU FRANCOISE,02/04/2013,REPAS,€46,,
JANSSEN-CILAG,Pharmacien,BERCHOT GIRAUDEAU FRANCOISE,08/02/2013,REPAS,€11,,
JANSSEN-CILAG,Pharmacien,BERCHOT GIRAUDEAU FRANCOISE,08/10/2013,REPAS,€70,,
JANSSEN-CILAG,Pharmacien,SIMO KENMOGNE ELIANE,08/02/2013,REPAS,€11,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BUCUR SIMONA,13/03/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SITHAKHAM NICOLE,09/04/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SITHAKHAM NICOLE,10/09/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SITHAKHAM NICOLE,09/10/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO KENMOGNE ELIANE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO KENMOGNE ELIANE,10/04/2014,TRANSPORT,€389,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO KENMOGNE ELIANE,10/04/2014,TRANSPORT,€68,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO KENMOGNE ELIANE,10/04/2014,HEBERGEMENT,€146,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO KENMOGNE ELIANE,10/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO KENMOGNE ELIANE,11/04/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO-KENMOGNE ELIANE,29/03/2012,Hospitalité,€646,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SIMO-KENMOGNE ELIANE,29/03/2012,Transport,€107,,
Laboratoires Lohmann & Rauscher,Infirmier,BOUTON ELODIE,19/01/2014,AUTRE : [FRAIS D'INSCRIPTION],€270,,
Laboratoires Lohmann & Rauscher,Infirmier,DERUT ALEXANDRA,19/01/2014,AUTRE : [FRAIS D'INSCRIPTION],€270,,
Laboratoires Lohmann & Rauscher,Infirmier,MENDES KARINE,19/01/2014,AUTRE : [FRAIS D'INSCRIPTION],€270,,
Laboratoires Lohmann & Rauscher,Infirmier,TOURET CHARLINE,19/01/2014,AUTRE : [FRAIS D'INSCRIPTION],€270,,
LES LABORATOIRES SERVIER,Médecin,BENKARA KARIMA,11/10/2013,Repas,€70,,
LES LABORATOIRES SERVIER,Médecin,DERRIDJ SAMIA,05/11/2013,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,GLIKMAN JACQUES,19/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,TABTI MAHMOUD,11/10/2013,Repas,€70,,
Lilly France SAS,Infirmier,KHELIL ABDENOUR,28/04/2014,REPAS,€20,,
Lilly France SAS,Infirmier,MATI TAHAR,08/10/2013,REPAS,€15,,
Lilly France SAS,Infirmier,MATI TAHAR,08/10/2013,REPAS,€14,,
Lilly France SAS,Infirmier,MOCQUET THERESE,28/04/2014,REPAS,€20,,
Lilly France SAS,Infirmier,PIETRZAK SYLVIE,10/10/2013,REPAS,€22,,
Lilly France SAS,Médecin,BACHIR NADIR,05/11/2013,REPAS,€14,,
Lilly France SAS,Médecin,BACHIR NADIR,28/04/2014,REPAS,€20,,
Lilly France SAS,Médecin,BACHIR NADIR,10/10/2013,REPAS,€22,,
Lilly France SAS,Médecin,BACHIR NADIR,05/11/2013,REPAS,€14,,
Lilly France SAS,Médecin,BOURAT HUGUES,10/10/2013,REPAS,€22,,
Lilly France SAS,Médecin,KHOUGEH KHALDOUN,29/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,LALIBI DJAMEL,10/10/2013,REPAS,€22,,
Lilly France SAS,Médecin,N KOUNOU CHRISTOPHE,24/01/2014,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€175,,
Lilly France SAS,Médecin,SMADJA NATHALIE,29/01/2014,REPAS,€21,,
LUNDBECK SAS,Infirmier,POCHARD GAELLE,04/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,BENDJENANA GHISLAINE,25/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€26,,
LUNDBECK SAS,Médecin,PROUHEZE MARTIAL,10/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€34,,
MEDEXACT,Médecin,GUERIN AGNES,08/10/2013,Autre: [Enquête],€15,,
MERCK SERONO,Médecin,TRABELSI JEAN,01/07/2013,REPAS,€13,,
MSD France,Infirmier,ROTT VIRGINIE,30/04/2014,REPAS,€20,,
MSD France,Médecin,SITHAKHAM NICOLE,05/11/2013,REPAS,€45,,
MSD France,Médecin,SITHAKHAM NICOLE,16/05/2014,REPAS,€55,,
MYLAN SAS,Pharmacien,TCHUANKAM SIDONIE,20/01/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,TORTOSA ERIC,20/01/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUILBERT ASTRID,20/01/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JENNET PATRICIA,20/01/2014,REPAS,€50,,
