ABBOTT PRODUCTS SAS,Pharmacien,Martin Jean-Luc,11/12/2013,REPAS,€17,,
NOVARTIS PHARMA SAS,Médecin,BASSINO ARMAND,08/04/2014,Autre : [Participation Evenement Scientifique],€55,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,JEBALI ANIS,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BASSINO ARMAND,21/02/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,HUBERT ALAIN,29/05/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,HUBERT ALAIN,21/02/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,HUBERT JEAN CHARLES,29/05/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,ISMAIL FLORENCE,24/02/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,NERI FRANCOIS,05/04/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Pharmacien,BELLIN JEAN PAUL,29/05/2012,Restauration,€32,,
RESEARCH NOW SAS,Médecin,HUBERT Jean-Charles,15/11/2013,enquête,€17,,
RESEARCH NOW SAS,Médecin,NERI François,20/09/2013,enquête,€19,,
SANOFI AVENTIS FRANCE,Médecin,HUBERT ALAIN,07/05/2014,Repas,€54,,
SANTE PLUS,Médecin,TERRIS MONIQUE,26/10/2013,HOSPITALITE,"€1,715",,
SANTE PLUS,Médecin,TERRIS MONIQUE,11/04/2014,REPAS,€50,,
Takeda France,Médecin,HUBERT Alain,23/01/2014,REPAS,€30,,
Takeda France,Médecin,ISMAIL Florence,26/11/2013,REPAS,€46,,
TRB CHEMEDICA,Médecin,PARIENTE ANNE MARIE,21/09/2013,AUTRE : REUNION,€121,,
TRB CHEMEDICA,Médecin,PARIENTE ANNE MARIE,11/07/2013,REPAS,€32,,
TRB CHEMEDICA,Médecin,PARIENTE ANNE MARIE,10/04/2014,REPAS,€90,,
TRB CHEMEDICA,Médecin,PARIENTE ANNE MARIE,22/05/2014,REPAS,€65,,
