3S ORTHO,Médecin,AKHARAS CHAOUKI,20/10/2013,REPAS,€64,,
AMGEN SAS,Médecin,AMMAR NAJI,08/10/2013,TRANSPORT,€249,,
AMGEN SAS,Médecin,AMMAR NAJI,09/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,AMMAR NAJI,10/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,AMMAR NAJI,08/10/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,AMMAR NAJI,10/10/2013,REPAS REUNION,€60,,
AMGEN SAS,Médecin,AMMAR NAJI,08/10/2013,AUTRE [FRAIS D INSCRIPTION],€290,,
AMGEN SAS,Médecin,AMMAR NAJI,08/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,AMMAR NAJI,08/10/2013,TRANSPORT,€81,,
AMGEN SAS,Médecin,AMMAR NAJI,08/10/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,BRILLET GEORGES,11/04/2013,HEBERGEMENT,€230,,
AMGEN SAS,Médecin,BRILLET GEORGES,12/04/2013,REPAS,€51,,
AMGEN SAS,Médecin,BRILLET GEORGES,12/04/2013,HEBERGEMENT,€230,,
AMGEN SAS,Médecin,BRILLET GEORGES,12/04/2013,REPAS,€51,,
AMGEN SAS,Médecin,BRILLET GEORGES,12/04/2013,TRANSPORT,€39,,
AMGEN SAS,Médecin,CHARPENTIER MICHEL,08/10/2013,REPAS IMPROMPTU,€30,,
AMGEN SAS,Médecin,FAUQUEZ CAMILLE,08/10/2013,REPAS IMPROMPTU,€30,,
AMGEN SAS,Médecin,QUENNESSON SEBASTIEN,30/01/2014,REPAS IMPROMPTU,€50,,
AMGEN SAS,Médecin,QUENNESSON SEBASTIEN,08/10/2013,REPAS IMPROMPTU,€30,,
AMGEN SAS,Pharmacien,BARE ODILE,04/04/2013,REPAS,€52,,
AMGEN SAS,Pharmacien,BARE ODILE,05/04/2013,REPAS,€45,,
AMGEN SAS,Pharmacien,BARE ODILE,04/04/2013,REPAS,€45,,
AMGEN SAS,Pharmacien,BARE ODILE,04/04/2013,TRANSPORT,€36,,
AMGEN SAS,Pharmacien,BARE ODILE,04/04/2013,HEBERGEMENT,€130,,
AMGEN SAS,Pharmacien,BARE ODILE,13/11/2013,REPAS IMPROMPTU,€35,,
AMGEN SAS,Pharmacien,BARE ODILE,04/04/2013,TRANSPORT,€20,,
AMGEN SAS,Pharmacien,BARE ODILE,04/04/2013,TRANSPORT,€239,,
AMPLITUDE,Médecin,ALRIC CHRISTOPHE,20/09/2013,REPAS,€37,,
AMPLITUDE,Médecin,ALRIC CHRISTOPHE,20/09/2013,TRANSPORT,€77,,
APTALIS PHARMA SAS,Médecin,BORDAT MARIE HELENE,07/01/2014,FRAIS D'HOSPITALIT,€34,,
APTALIS PHARMA SAS,Médecin,BORDAT MARIE HELENE,07/01/2014,FRAIS D'HOSPITALIT,€21,,
APTALIS PHARMA SAS,Médecin,KELLER THIERRY,07/01/2014,FRAIS D'HOSPITALIT,€34,,
APTALIS PHARMA SAS,Médecin,KELLER THIERRY,07/01/2014,FRAIS D'HOSPITALIT,€34,,
APTALIS PHARMA SAS,Médecin,MIGNOT HERVE,07/01/2014,FRAIS D'HOSPITALIT,€21,,
APTALIS PHARMA SAS,Médecin,MIGNOT HERVE,07/01/2014,FRAIS D'HOSPITALIT,€34,,
ARAIR Assistance,Diététicien,JOFFRE Micheline,06/06/2012,Transport Inscription Hébergement,€583,,
ARAIR Assistance,Médecin,Cotte Laurent,21/11/2013,Hébergement Transport et Inscription,€645,,
ARAIR Assistance,Médecin,KACIMI Djamila,27/01/2012,Transport Inscription Hébergement,€685,,
ARAIR Assistance,Médecin,Kacimi Djamila,01/02/2013,Transport et Inscription,€390,,
ARAIR Assistance,Médecin,LAMOTTE Florence,12/03/2014,Hébergement Inscription,€655,,
ASPIDE MEDICAL,Médecin,COTILLON BERTRAND,02/10/2013,FRAIS D'HEBERGEMENT,€519,,
ASPIDE MEDICAL,Médecin,COTILLON BERTRAND,02/10/2013,AUTRE: [FRAIS D'INSCRIPTION A LA MANIFESTATION],€450,,
ASPIDE MEDICAL,Médecin,GERBAUD PIERRE-FRANCOIS,21/11/2013,REPAS,€60,,
ASPIDE MEDICAL,Médecin,MURGU CAESAR,28/03/2014,FRAIS DE TRANSPORT,€171,,
ASPIDE MEDICAL,Médecin,MURGU CAESAR,28/03/2014,AUTRE: [FRAIS D'INSCRIPTION A LA MANIFESTATION],€200,,
ASPIDE MEDICAL,Médecin,MURGU CAESAR,28/03/2014,FRAIS D'HEBERGEMENT,€263,,
ASTELLAS PHARMA,Médecin,DAHMANI LAURENT,13/06/2013,REPAS,€50,,
ASTELLAS PHARMA,Médecin,DAHMANI LAURENT,12/06/2013,REPAS,€46,,
ASTELLAS PHARMA,Médecin,DAHMANI LAURENT,12/06/2013,INVITATIONS,€711,,
ASTELLAS PHARMA,Médecin,DAHMANI LAURENT,12/06/2013,TRANSPORT,€34,,
ASTELLAS PHARMA,Médecin,DAHMANI LAURENT,12/06/2013,TRANSPORT,€54,,
ASTELLAS PHARMA,Médecin,DIGUET FRANCOIS,14/02/2013,REPAS,€26,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,06/06/2012,INVITATIONS,€390,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,07/06/2012,HEBERGEMENT,€167,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,07/06/2012,REPAS,€55,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,13/06/2013,HEBERGEMENT,€162,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,06/06/2012,REPAS,€55,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,12/06/2013,REPAS,€29,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,14/06/2013,HEBERGEMENT,€167,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,12/06/2013,INVITATIONS,€273,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,13/06/2013,REPAS,€45,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,11/06/2013,HEBERGEMENT,€28,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,12/06/2013,TRANSPORT,€532,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,12/06/2013,HEBERGEMENT,€32,,
ASTELLAS PHARMA,Médecin,EL BOUZIDI NOUR EDDINE,06/06/2012,HEBERGEMENT,€167,,
ASTELLAS PHARMA,Médecin,HURTES CHRISTINE,17/05/2013,REPAS,€30,,
ASTELLAS PHARMA,Médecin,KERVELLA JULIEN NELLY,17/05/2013,REPAS,€30,,
ASTELLAS PHARMA,Médecin,MOUZOU PIERRE,11/06/2013,REPAS,€42,,
ASTELLAS PHARMA,Médecin,PHILIPPE LAURENCE,23/05/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,RIPOLL JEAN MICHEL,14/02/2013,REPAS,€26,,
ASTELLAS PHARMA,Médecin,SALLAERAS CAROLINE,05/11/2013,HOSPITALITE,€80,,
ASTRAZENECA,Etudiant,LATTOUF Jean Noël,29/11/2013,Transport,€72,,
ASTRAZENECA,Etudiant,LATTOUF Jean Noël,29/11/2013,Hébergement,€215,,
ASTRAZENECA,Etudiant,LATTOUF Jean Noël,29/11/2013,Transport,€72,,
ASTRAZENECA,Etudiant,PECQUERIAUX OLIVIER,15/05/2014,Repas,€57,,
ASTRAZENECA,Etudiant,PECQUERIAUX OLIVIER,15/04/2014,Repas,€57,,
ASTRAZENECA,Infirmier,DIAZ MARIA,21/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,DUPLAN MATHIEU,21/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,LHOMME STEPHANE,21/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,MAISON CELINE,21/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,PION JACQUELINE,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,ABDALLAH Amine,29/11/2013,Hébergement,€215,,
ASTRAZENECA,Médecin,ABDALLAH Amine,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,ABDALLAH Amine,29/11/2013,Transport,€301,,
ASTRAZENECA,Médecin,ATTIOGBE JOSEPH,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BAUM ALBERT,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BAUM ALBERT,16/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BEDIOU CHRISTOPHE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERTROU JACQUES,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BORDAT MARIE HELENE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BORDAT MARIE HELENE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHAUVET FABIENNE,21/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,CHAUVET FABIENNE,21/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,COTTE LAURENT,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAUGUET JEAN LUC,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,KELLER THIERRY,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEPEE ALAIN,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEPEE ALAIN,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MOREAU YVES,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,RIPOLL JEAN MICHEL,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,SEGUIN SEBASTIEN,10/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,SOUBRA ABDUL RAHMAN,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TATARENKO JEAN MICHEL,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,VILLALONGA BERNARD,13/03/2014,Repas,€57,,
AUDIOMEDI SAS,Audioprothésiste,AUROZO STEPHANE,06/11/2013,REPAS,€25,,
BARD FRANCE SAS,Infirmier,BRISSE LYDIE,27/03/2014,REPAS,€49,,
BARD FRANCE SAS,Infirmier,DROUIN ERIC,27/03/2014,REPAS,€49,,
BARD FRANCE SAS,Infirmier,GIRAUD EMILIE,27/03/2014,REPAS,€49,,
BARD FRANCE SAS,Infirmier,PANTALEON FREDERIQUE,27/03/2014,REPAS,€49,,
BARD FRANCE SAS,Médecin,BAALI SMAIL,02/07/2013,REPAS,€44,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,02/07/2013,REPAS,€44,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,09/04/2014,REPAS,€48,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,28/03/2014,INSCRIPTION,€250,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,09/04/2014,TRANSPORT,€156,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,27/11/2013,HEBERGEMENT,€522,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,27/11/2013,TRANSPORT,€100,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,28/03/2014,HEBERGEMENT,€299,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,09/04/2014,HOTEL,€187,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,27/11/2013,INSCRIPTION,€360,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,02/07/2013,REPAS,€44,,
BARD FRANCE SAS,Médecin,BATOKO ADAM,09/04/2014,REPAS,€48,,
BARD FRANCE SAS,Médecin,DE WAILLY GEOFFROY,27/03/2014,REPAS,€49,,
BARD FRANCE SAS,Médecin,VIGNES STEPHANE,27/03/2014,REPAS,€49,,
Bastide Le Confort Médical,Infirmier,Fonville Christine,03/03/2014,Repas,€28,,
Bastide Le Confort Médical,Médecin,Benfreha Khaled,26/10/2013,Repas,€50,,
Bastide Le Confort Médical,Médecin,Levitta Françoise,11/03/2014,Hospitalité,"€1,025",,
Bayer HealthCare SAS,Manipulateur d’électroradiologie médicale,BEAULIEU JEAN HUGHES,11/06/2014,Hospitalité,€25,,
Bayer HealthCare SAS,Manipulateur d’électroradiologie médicale,COMBACAU VALERIE,11/06/2014,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,BENFREHA KHALED,15/01/2014,Hospitalité,€972,,
Bayer HealthCare SAS,Médecin,DURIS PIERRE,22/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,HURTES CHRISTINE,22/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,HURTES CHRISTINE,19/03/2014,Hospitalité,€619,,
Bayer HealthCare SAS,Médecin,KERVELLA JULIEN NELLY,19/03/2014,Hospitalité,€602,,
Bayer HealthCare SAS,Médecin,LAVIGNAC MOREAU MARIE PASCALE,22/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LESTRADE NATHALIE,16/05/2014,REPAS,€17,,
Bayer HealthCare SAS,Médecin,LESTRADE NATHALIE,16/05/2014,REPAS,€17,,
Bayer HealthCare SAS,Médecin,SOUNNI AHMED,11/06/2014,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,THERET CHAPELOT EVELYNE,22/04/2014,Hospitalité,€60,,
Becton Dickinson France SAS,Autres types de personne morale,LABORATOIRE LESCAROUX,03/01/2014,CADEAUX,€33,,
BIOCODEX,Etudiant,LOHO FLORENCE,01/10/2013,REPAS,€17,,
BIOCODEX,Médecin,ATTIOGBE JOSEPH,17/04/2014,REPAS,€53,,
BIOCODEX,Médecin,BATARD MURIEL,06/12/2013,REPAS,€21,,
BIOCODEX,Médecin,BEDIOU CHRISTOPHE,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,BERTROU JACQUES,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,BERTROU JACQUES,15/10/2013,REPAS,€43,,
BIOCODEX,Médecin,BORDAT MARIE HELENE,05/12/2013,REPAS,€25,,
BIOCODEX,Médecin,COTTET ANNE,15/10/2013,REPAS,€43,,
BIOCODEX,Médecin,DIGUET FRANCOIS,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,FAUGUET JEAN LUC,17/04/2014,REPAS,€53,,
BIOCODEX,Médecin,HETIER JEAN JACQUES,15/10/2013,REPAS,€43,,
BIOCODEX,Médecin,KASSIANOFF ALAIN,15/10/2013,REPAS,€43,,
BIOCODEX,Médecin,KELLER THIERRY,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,LE GARGASSON BENOIT,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,LEPEE ALAIN,17/04/2014,REPAS,€53,,
BIOCODEX,Médecin,MOREAU CHRISTIAN,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,MOULIN MARIE,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,MOUZOU PIERRE,15/10/2013,REPAS,€43,,
BIOCODEX,Médecin,RIPOLL JEAN MICHEL,10/10/2013,REPAS,€50,,
BIOCODEX,Médecin,SOUBRA ABDUL RAHMAN,17/04/2014,REPAS,€53,,
BIOCODEX,Médecin,TATARENKO JEAN MICHEL,06/09/2013,REPAS,€24,,
BIOCODEX,Médecin,TATARENKO JEAN MICHEL,16/05/2014,REPAS,€19,,
BIOCODEX,Médecin,TERRACHER CELINE,06/12/2013,REPAS,€21,,
BIOCODEX,Pharmacien,FAGEON FRANCIS,01/10/2013,REPAS,€17,,
BIOCODEX,Pharmacien,FAGEON MARIE AGNES,01/10/2013,REPAS,€17,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROCARD EMELINE,01/10/2013,REPAS,€17,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COLNOT HERMINE,01/10/2013,REPAS,€17,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DIOT GWENAELLE,01/10/2013,REPAS,€17,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUIGNARD ISABELLE,01/10/2013,REPAS,€17,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PENAT CHRISTINE,01/10/2013,REPAS,€17,,
BIOGARAN,Pharmacien,SIMON PHILIPPE,27/09/2013,AUTRE : FORMATION CURSUS ESSEC,€547,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,23/07/2013,REPAS,€24,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,05/12/2013,REPAS,€50,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,13/09/2013,HEBERGEMENT,€282,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,27/06/2013,REPAS,€26,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,27/06/2013,REPAS,€35,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,13/09/2013,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,05/12/2013,REPAS,€50,,
BIOGEN IDEC FRANCE,Médecin,SECARDIN FREDERIC,12/06/2014,REPAS,€37,,
BIOMET,Médecin,ALRIC CHRISTOPHE,07/02/2012,REPAS,€43,,
BIOMET,Médecin,ALRIC CHRISTOPHE,08/02/2012,REPAS,€20,,
BIOMET,Médecin,ALRIC CHRISTOPHE,21/01/2014,REPAS,€48,,
BIOMET,Médecin,ALRIC CHRISTOPHE,08/02/2012,REPAS,€45,,
BIOTRONIK FRANCE SAS,Infirmier,FLEURION ISABELLE,24/10/2013,REPAS,€37,,
BIOTRONIK FRANCE SAS,Infirmier,RIVIERE DELPHINE,24/10/2013,REPAS,€37,,
BIOTRONIK FRANCE SAS,Médecin,BAROUDI RABAH,25/11/2013,REPAS,€47,,
BIOTRONIK FRANCE SAS,Médecin,POITRINEAU OLIVIER,05/07/2013,REPAS,€18,,
BIOTRONIK FRANCE SAS,Médecin,POITRINEAU OLIVIER,10/12/2013,REPAS,€56,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHAUVIN VERON ODILE,03/04/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,COTTE LAURENT,03/04/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LESTRADE NATHALIE,24/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TATARENKO JEAN MICHEL,24/01/2014,HOSPITALITE,€23,,
BOIRON,Médecin,BATARD MURIEL,08/04/2014,[REPAS],€68,,
BOIRON,Médecin,BATARD MURIEL,08/04/2014,[REPAS],€45,,
BOIRON,Médecin,FAUGUET JEAN LUC,18/12/2013,[REPAS],€19,,
BOIRON,Médecin,GRELLAUD RODIER ANNE,08/04/2014,[REPAS],€45,,
BOIRON,Médecin,HURTES CHRISTINE,02/09/2013,[REPAS],€22,,
BOIRON,Médecin,HURTES CHRISTINE,08/04/2014,[REPAS],€45,,
BOIRON,Médecin,HURTES CHRISTINE,08/04/2014,[REPAS],€68,,
BOIRON,Médecin,KERVELLA JULIEN NELLY,08/04/2014,[REPAS],€45,,
BOIRON,Médecin,KERVELLA JULIEN NELLY,02/09/2013,[REPAS],€22,,
BOIRON,Médecin,KERVELLA-JULIEN NELLY,08/04/2014,[REPAS],€68,,
BOIRON,Médecin,LESTRADE NATHALIE,14/02/2014,[REPAS],€23,,
BOIRON,Médecin,LESTRADE NATHALIE,13/12/2013,[REPAS],€35,,
BOIRON,Médecin,LESTRADE NATHALIE,27/09/2013,[REPAS],€25,,
BOIRON,Médecin,PHILIPPE LAURENCE,27/09/2013,[REPAS],€25,,
BOIRON,Médecin,TATARENKO JEAN MICHEL,14/02/2014,[REPAS],€23,,
BOIRON,Médecin,TATARENKO JEAN MICHEL,27/09/2013,[REPAS],€25,,
BOIRON,Médecin,TERRACHER CELINE,13/12/2013,[REPAS],€35,,
BOIRON,Médecin,TERRACHER CELINE,14/02/2014,[REPAS],€23,,
BOIRON,Médecin,TERRACHER CELINE,27/09/2013,[REPAS],€25,,
BOIRON,Médecin,TERRACHER CELINE,08/04/2014,[REPAS],€45,,
BOIRON,Médecin,TERRACHER CELINE,08/04/2014,[REPAS],€68,,
BOIRON,Médecin,THERET CHAPELOT EVELYNE,08/04/2014,[REPAS],€68,,
BOIRON,Médecin,THERET CHAPELOT EVELYNE,08/04/2014,[REPAS],€45,,
BOSTON SCIENTIFIC SAS,Infirmier,DERBALI MOHAMED,23/05/2014,REPAS,€30,,
BOSTON SCIENTIFIC SAS,Médecin,ANDRIANANIRINA RAJOELINA,21/11/2013,REPAS,€56,,
BOSTON SCIENTIFIC SAS,Médecin,DAUMAS PIERRE-LOUIS,21/11/2013,REPAS,€56,,
BRACCO IMAGING FRANCE,Etudiant,DAWAMENECH M YASSER,06/03/2014,HOSPITALITE,"€1,115",,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,BARBONNAIS GISÈLE,04/06/2014,REPAS,€23,,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,TAVERNE ISABELLE,04/06/2014,REPAS,€23,,
BRACCO IMAGING FRANCE,Médecin,SOUSTELLE MARC,04/06/2014,REPAS,€23,,
BRISTOL-MYERS SQUIBB,Médecin,BORDAT MARIE HELENE,06/05/2014,Repas,€59,,
BRISTOL-MYERS SQUIBB,Médecin,BORDAT MARIE HELENE,13/02/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,COTTET ANNE,25/03/2014,Repas,€51,,
BRISTOL-MYERS SQUIBB,Médecin,DA SILVA JEAN PAUL,07/02/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Médecin,DIGUET FRANCOIS,18/02/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,GRELLAUD RODIER ANNE,18/02/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,KASSIANOFF ALAIN,25/03/2014,Repas,€51,,
BRISTOL-MYERS SQUIBB,Médecin,KELLER THIERRY,06/05/2014,Repas,€59,,
BRISTOL-MYERS SQUIBB,Médecin,MOUZOU PIERRE,17/12/2013,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,RIPOLL JEAN MICHEL,13/02/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,TATARENKO JEAN MICHEL,21/02/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Pharmacien,GOBERT HELENE,13/02/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Pharmacien,VERNEDAL NICOLE,13/02/2014,Repas,€25,,
CHIESI SA,Médecin,PHILIPPE LAURENCE,25/10/2013,Repas,€44,,
CHIESI SA,Médecin,TATARENKO JEAN MICHEL,25/10/2013,Repas,€44,,
CHIESI SA,Médecin,TERRACHER CELINE,25/10/2013,Repas,€44,,
