ABBOTT PRODUCTS SAS,Médecin,POUPARD Pascal,19/09/2013,REPAS,€38,,
GaldermaQMed,Médecin,CHIVILO VANHOVE CHRISTINE,03/04/2014,Transport,€461,,
GaldermaQMed,Médecin,CHIVILO VANHOVE CHRISTINE,31/03/2014,Repas,€24,,
GaldermaQMed,Médecin,CHIVILO VANHOVE CHRISTINE,11/06/2014,Hospitalité,€11,,
GaldermaQMed,Médecin,CHIVILO VANHOVE CHRISTINE,03/04/2014,Hospitalité,"€1,230",,
GaldermaQMed,Médecin,CHIVILO VANHOVE CHRISTINE,31/01/2014,Repas,€49,,
ICOMED,Médecin,CHIVILO VANHOVE CHRISTINE,21/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,CHIVILO VANHOVE CHRISTINE,11/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,POUPARD PASCAL,20/06/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,RABIER JACK,06/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,RABIER JACK,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROY DUPUIS PASCALE,06/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,SELLAM SYLVAIN,07/01/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,SELLAM SYLVAIN,21/01/2014,Autre: [Enquête],€26,,
JANSSEN-CILAG,Médecin,POUPARD PASCAL,03/04/2014,REPAS,€34,,
JANSSEN-CILAG,Médecin,POUPARD PASCAL,28/11/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,POUPARD PASCAL,16/05/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUPARD PASCAL,14/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUPARD PASCAL,14/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROBERT DOMINIQUE,15/03/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROBERT DOMINIQUE,14/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SELLAM SYLVAIN,17/10/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SELLAM SYLVAIN,11/03/2014,REPAS,€50,,
Laboratoires Grünenthal SAS,Médecin,POUPARD PASCAL,16/01/2014,REPAS,€41,,
Laboratoires Leurquin Mediolanum,Médecin,ROY DUPUIS PASCALE,14/03/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,ROY DUPUIS PASCALE,10/10/2013,AUTRE,€30,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,JAMONEAU AMELIE,24/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,KEPINSKI SANDRINE,23/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MELIN-GAUTIER BETTY,24/10/2013,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,CHIVILO CHRISTINE,03/10/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,CHIVILO CHRISTINE,26/03/2014,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,SABOURIN TISSEYRE ANOUTCHKA,03/10/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,SABOURIN TISSEYRE ANOUTCHKA,26/03/2014,Repas,€48,,
MEDEXACT,Médecin,DJOUDI JAMAL,06/12/2013,Autre: [Enquête],€12,,
MENARINI FRANCE,Médecin,POUPARD PASCAL,24/10/2013,AUTRE : RNT,€33,,
MENARINI FRANCE,Médecin,POUPARD PASCAL,31/10/2013,AUTRE : RNT,€33,,
MENARINI FRANCE,Médecin,ROBERT DOMINIQUE,24/10/2013,AUTRE : RNT,€33,,
MENARINI FRANCE,Médecin,ROBERT DOMINIQUE,31/10/2013,AUTRE : RNT,€33,,
MERZ PHARMA France,Médecin,DJOUDI JAMAL,10/04/2014,Repas,€60,,
MERZ PHARMA France,Médecin,DJOUDI JAMAL,12/02/2014,Repas,€42,,
MERZ PHARMA France,Médecin,DJOUDI JAMAL,05/03/2014,Repas,€16,,
MERZ PHARMA France,Médecin,DJOUDI JAMAL,10/04/2014,Hébergement,€219,,
MERZ PHARMA France,Médecin,DJOUDI JAMAL,06/07/2013,Repas,€50,,
MERZ PHARMA France,Médecin,DJOUDI JAMAL,18/11/2013,Repas,€41,,
MSD France,Médecin,IDIER CHRISTOPHE,15/10/2013,REPAS,€76,,
MSD France,Médecin,IDIER CHRISTOPHE,15/10/2013,REPAS,€63,,
MSD France,Médecin,IDIER CHRISTOPHE,15/10/2013,REPAS,€63,,
MSD France,Médecin,POUPARD PASCAL,05/12/2013,REPAS,€32,,
MSD France,Médecin,ROBERT DOMINIQUE,05/12/2013,REPAS,€32,,
MSD France,Médecin,ROBERT DOMINIQUE,06/06/2013,REPAS,€15,,
NOVARTIS PHARMA SAS,Médecin,SELLAM SYLVAIN,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,SELLAM SYLVAIN,19/02/2014,Autre : [Participation Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,SELLAM SYLVAIN,10/06/2014,Autre : [Participation Evenement Scientifique],€55,,
PECH CERCIAT,Médecin,Chivilo-Vanhove Christine,26/09/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Chivilo-Vanhove Christine,12/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Chivilo-Vanhove Christine,12/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Djoudi Jamal,12/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Djoudi Jamal,26/09/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Djoudi Jamal,12/07/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,POUPARD PASCAL,20/03/2014,REPAS,€52,,
PFIZER SAS,Médecin,ROBERT DOMINIQUE,20/03/2014,REPAS,€52,,
PFIZER SAS,Médecin,SELLAM SYLVAIN,12/12/2013,Repas,€59,,
PIERRE FABRE MEDICAMENT,Médecin,POUPARD PASCAL,04/04/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,ROBERT DOMINIQUE,04/04/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Pharmacien,DAILLIER GIBOIN PASCALE,08/02/2013,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Pharmacien,DAILLIER GIBOIN PASCALE,08/02/2013,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Pharmacien,KEPINSKI COGNET SANDRINE,08/02/2013,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Pharmacien,SHIPLEY LAURENT,08/02/2013,Restauration,€22,,
RESEARCH NOW SAS,Médecin,CHAUVET Agnès,27/09/2013,enquête,€19,,
TEOXANE FRANCE,Médecin,CHIVILO CHRISTINE,30/04/2013,HOSPITALITE,€135,,
TEOXANE FRANCE,Médecin,CHIVILO CHRISTINE,30/04/2014,HOSPITALITE,€99,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,18/06/2012,HOSPITALITE,€95,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,30/06/2012,HOSPITALITE,€81,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,30/04/2014,HOSPITALITE,€120,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/07/2012,HOSPITALITE,€80,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/12/2012,HOSPITALITE,€35,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,01/07/2013,HOSPITALITE,€98,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,30/09/2013,HOSPITALITE,€61,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/10/2013,HOSPITALITE,€76,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/12/2013,HOSPITALITE,€74,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/12/2013,HOSPITALITE,€155,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,28/02/2014,HOSPITALITE,€130,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,21/03/2014,HOSPITALITE,€69,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,01/07/2012,HOSPITALITE,€15,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/12/2013,HOSPITALITE,€100,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,31/12/2013,HOSPITALITE,€67,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,21/03/2014,HOSPITALITE,€69,,
TEOXANE FRANCE,Médecin,DJOUDI JAMAL,30/04/2014,HOSPITALITE,€120,,
TEVA SANTE SAS,Médecin,POUPARD PASCAL,13/02/2014,REPAS,€34,,
THERABEL LUCIEN PHARMA,Médecin,IDIER CHRISTOPHE,27/03/2014,REPAS,€38,,
VIFOR FRANCE SA,Médecin,BRETAUDEAU BENOIT,01/04/2014,REPAS,€39,,
