ABBOTT PRODUCTS SAS,Médecin,PINGANAUD Gregory,28/11/2013,REPAS,€51,,
MENARINI FRANCE,Médecin,FAURE MICHEL,25/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,GUISLAIN CHRISTIAN,25/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,ROUET MARION,25/02/2014,Autre : [Restauration],€58,,
Molnlycke Health Care,Infirmier,JINA FRANCOISE,18/03/2014,REPAS,€29,,
Molnlycke Health Care,Infirmier,TASTET EMMANUELLE,18/03/2014,REPAS,€29,,
Molnlycke Health Care,Médecin,FAURE MICHEL,18/03/2014,REPAS,€29,,
Molnlycke Health Care,Médecin,GUISLAIN CHRISTIAN,18/03/2014,REPAS,€29,,
Molnlycke Health Care,Médecin,ROUET MARION,27/06/2014,REPAS,€25,,
MSD France,Médecin,DENIS ROBERT,05/06/2014,REPAS,€31,,
MSD France,Médecin,DENIS ROBERT,15/10/2013,REPAS,€76,,
MSD France,Médecin,DENIS ROBERT,12/12/2013,REPAS,€27,,
MSD France,Médecin,DENIS ROBERT,28/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,DENIS ROBERT,29/05/2012,HOSPITALITE,€50,,
MSD France,Médecin,DENIS ROBERT,22/10/2013,REPAS,€60,,
MSD France,Médecin,DENIS ROBERT,19/03/2014,REPAS,€22,,
MSD France,Médecin,DENIS ROBERT,25/07/2013,REPAS,€23,,
MSD France,Médecin,DENIS ROBERT,17/01/2014,REPAS,€30,,
MSD France,Médecin,DENIS ROBERT,04/10/2013,REPAS,€40,,
MSD France,Médecin,DENIS ROBERT,04/12/2013,REPAS,€13,,
MSD France,Médecin,DENIS ROBERT,03/12/2013,REPAS,€60,,
MSD France,Médecin,DENIS ROBERT,22/10/2013,REPAS,€60,,
MSD France,Médecin,DENIS ROBERT,17/09/2013,REPAS,€18,,
MSD France,Médecin,DENIS ROBERT,15/10/2013,REPAS,€63,,
MSD France,Médecin,DENIS ROBERT,17/01/2014,REPAS,€30,,
MSD France,Médecin,DENIS ROBERT,17/04/2014,REPAS,€31,,
MSD France,Médecin,DENIS ROBERT,10/04/2014,REPAS,€55,,
MSD France,Médecin,DENIS ROBERT,08/04/2014,REPAS,€68,,
MSD France,Médecin,FAURE MICHEL,24/01/2012,REPAS,€55,,
MSD France,Médecin,FAURE MICHEL,03/12/2013,REPAS,€60,,
MSD France,Médecin,FAURE MICHEL,10/07/2012,HOSPITALITE,€50,,
MSD France,Médecin,GUISLAIN CHRISTIAN,03/12/2013,REPAS,€60,,
MSD France,Médecin,GUISLAIN CHRISTIAN,12/12/2013,REPAS,€27,,
MSD France,Médecin,GUISLAIN CHRISTIAN,10/07/2012,HOSPITALITE,€50,,
MUNDIPHARMA,Médecin,DENIS ROBERT,28/01/2014,REPAS,€50,,
MUNDIPHARMA,Médecin,DENIS ROBERT,19/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€53,,
MUNDIPHARMA,Médecin,FAURE MICHEL,19/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€53,,
MUNDIPHARMA,Médecin,FAURE MICHEL,19/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€53,,
MUNDIPHARMA,Médecin,GUISLAIN CHRISTIAN,19/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€53,,
MUNDIPHARMA,Médecin,GUISLAIN CHRISTIAN,28/01/2014,REPAS,€50,,
MUNDIPHARMA,Médecin,PINGANAUD GREGORY,19/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€53,,
NOVARTIS PHARMA SAS,Médecin,DENIS ROBERT,27/08/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,FAURE MICHEL,01/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,FAURE MICHEL,27/08/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GUISLAIN CHRISTIAN,01/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GUISLAIN CHRISTIAN,27/08/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,PINGANAUD GREGORY,27/08/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,ROUET MARION,01/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVO NORDISK,Médecin,FAURE MICHEL,05/11/2013,REPAS,€55,,
NOVO NORDISK,Médecin,GUISLAIN CHRISTIAN,05/11/2013,REPAS,€55,,
PIERRE FABRE MEDICAMENT,Médecin,DENIS ROBERT,26/09/2012,HÃƒÂ©bergement,€117,,
PIERRE FABRE MEDICAMENT,Médecin,DENIS ROBERT,26/09/2012,Restauration,€130,,
PIERRE FABRE MEDICAMENT,Médecin,DENIS ROBERT,02/10/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,DENIS ROBERT,17/06/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DENIS ROBERT,26/09/2012,Frais de dÃƒÂ©placement,€82,,
PIERRE FABRE MEDICAMENT,Médecin,FAURE MICHEL,02/10/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,FAURE MICHEL,22/10/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,GUISLAIN CHRISTIAN,02/10/2012,Restauration,€42,,
SANOFI AVENTIS FRANCE,Infirmier,BERLAND MORISSET CLAUDINE,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Infirmier,FOURNIER MARYLIN,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Infirmier,TASTET EMMANUELLE,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Médecin,DENIS ROBERT,03/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,FAURE MICHEL,03/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,FAURE MICHEL,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Médecin,GUISLAIN CHRISTIAN,03/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,PINGANAUD GREGORY,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Médecin,ROUET MARION,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Médecin,SOL HELENE,08/10/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Médecin,SOL HELENE,14/01/2014,Repas,€23,,
Takeda France,Médecin,DENIS Robert,12/02/2014,REPAS,€34,,
Takeda France,Médecin,FAURE Michel,12/02/2014,REPAS,€34,,
Takeda France,Médecin,GUISLAIN Christian,12/02/2014,REPAS,€34,,
TEVA SANTE SAS,Médecin,DENIS ROBERT,03/06/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,DENIS ROBERT,17/12/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,FAURE MICHEL,15/10/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,GUISLAIN CHRISTIAN,15/10/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,GUISLAIN CHRISTIAN,17/12/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,GUISLAIN CHRISTIAN,03/06/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,ROUET MARION,15/10/2013,REPAS,€60,,
