BIOGARAN,Pharmacien,DORANGE VALÉRIE,15/11/2013,AUTRE : FORMATION CURSUS ESSEC,€547,,
ICOMED,Médecin,SIMIAN SALVAY FRANCK,03/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ZANELLA GERALDINE,20/01/2014,Autre: [Enquête],€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ZANELLA GERALDINE,27/06/2012,Hospitalité,€44,,
LABORATOIRE MENE ET MOY,Médecin,LEFEBVRE-SAGUI CAROLINE,17/12/2013,cadeaux,€27,,
LABORATOIRE MENE ET MOY,Médecin,LEFEBVRE-SAGUI CAROLINE,17/12/2013,cadeaux,€31,,
LEO Pharma,Médecin,BEAUJARD JEROME,05/09/2013,REPAS,€20,,
LEO Pharma,Médecin,BEAUJARD JEROME,08/11/2013,REPAS,€20,,
LES LABORATOIRES SERVIER,Médecin,SIMIAN-SALVAY FRANCK,14/11/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,SIMIAN-SALVAY FRANCK,10/04/2014,Repas,€49,,
Molnlycke Health Care,Infirmier,FAGGIO BATTOUR PATRICIA,20/11/2013,INVITATIONS,€18,,
Molnlycke Health Care,Infirmier,ITALIANO NADINE,21/11/2013,INVITATIONS,€18,,
MSD France,Médecin,SIMIAN SALVAY FRANCK,10/10/2013,REPAS,€60,,
MYLAN SAS,Pharmacien,FLORENT PIERRE MARIE,04/06/2014,REPAS,€48,,
MYLAN SAS,Pharmacien,GAYDON BOURRAT ANNE,04/06/2014,REPAS,€48,,
MYLAN SAS,Pharmacien,JEAN CLAUDE SOPHIE,04/06/2014,REPAS,€48,,
MYLAN SAS,Pharmacien,MORGE NYLA,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DANIELO VERONIQUE,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUBOIS IMAN,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JACOB KARINE,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORGE PHILIPPE,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEREIRA ALEXANDRINA,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEREZ ALEXANDRA,04/06/2014,REPAS,€48,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RATUSTEL VALERIE,04/06/2014,REPAS,€48,,
NOVARTIS PHARMA SAS,Médecin,SIMIAN SALVAY FRANCK,04/07/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SIMIAN SALVAY FRANCK,20/05/2014,Autre : [Participation Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,SIMIAN SALVAY FRANCK,25/10/2012,Restauration,€26,,
SANOFI AVENTIS FRANCE,Infirmier,FAGGIO BATTOUR PATRICIA,11/12/2013,Restauration,€13,,
SAS LABORATOIRES VIVACY,Médecin,LEFEBVRE SAGUI CAROLINE,06/06/2013,TRANSPORT,€242,,
SEPTODONT SAS,Association professionnel de santé,LOLICA,08/11/2012,Autre,€10,,
