ABBOTT FRANCE,Médecin,MOREAU FRANCOIS,12/03/2014,REPAS,€37,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,10/11/2012,AUTRE : [RESTAURATION],€104,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,08/06/2012,AUTRE : [RESTAURATION],€49,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/12/2013,HEBERGEMENT,€480,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,16/11/2013,AUTRE : [RESTAURATION],€130,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/04/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/12/2013,AUTRE : [INSCRIPTION],€580,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/10/2012,HEBERGEMENT,€196,,
ALLERGAN FRANCE,Médecin,VANNIER MARIE NOELLE,12/06/2014,REPAS,€50,,
ALLERGAN FRANCE,Médecin,VANNIER MARIE NOELLE,03/04/2014,REPAS,€49,,
Amplifon Groupe France,Médecin,AZOULAY BENJAMIN,10/04/2014,REPAS,€60,,
Amplifon Groupe France,Médecin,AZOULAY BENJAMIN,31/01/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,443",,
Amplifon Groupe France,Médecin,AZOULAY BENJAMIN,25/05/2014,REPAS,€69,,
ARROW GENERIQUES SAS,Pharmacien,BOLLET LYDIE,09/12/2013,CADEAUX,€22,,
ASTRAZENECA,Médecin,BELLACHE BEL MOKHTAR NASSERA,25/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,CAMUZEAUX DANIELE,11/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CORNUAULT NADINE,11/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DE BOE THIBAUT,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DRUELLE LAPLACE VALERIE,25/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUCLAP MONIQUE,06/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,ITIER OGIER CAROLINE,11/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ITIER OGIER CAROLINE,06/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,ITIER OGIER CAROLINE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECOMTE VERONIQUE,11/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LECOMTE VERONIQUE,06/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MARINI LAURENCE,11/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUX MICHEL,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROUX MICHEL,11/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROUX MICHEL,30/01/2014,Repas,€57,,
AUDITION SANTE,Médecin,AMSALLEM PIERRE,01/12/2013,CADEAUX,€41,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DE BOE THIBAUT,18/03/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARINI LAURENCE,18/03/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,CHEVIGNON EDWIGE,17/10/2013,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,JOUBERT VALERIE,17/10/2013,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,OLRY ROUVROY CAROLINE,17/10/2013,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAKIM SANDRINE,17/10/2013,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUVROY WILLIAM,17/10/2013,HOSPITALITE,€46,,
BRISTOL-MYERS SQUIBB,Pharmacien,CHEVIGNON EDWIGE,22/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Pharmacien,JOUBERT VALERIE,22/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Pharmacien,OLRY ROUVROY CAROLINE,22/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Pharmacien,VANNESTE LAURENCE,22/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIRANDIER CHRISTINE,22/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAKIM SANDRINE,22/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUVROY WILLIAM,22/01/2014,Repas,€55,,
CHIESI SA,Médecin,PASQUET NOUALHAGUET CHRISTINE,21/01/2014,Repas,€25,,
COSMETIQUE ACTIVE FRANCE,Etudiant,WEBER CAROLINE,03/06/2014,REPAS,€37,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BONNA CAROLINE,03/06/2014,REPAS,€37,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,JOUBERT VALERIE,28/01/2014,REPAS,€62,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,ROUVROY CAROLINE,28/01/2014,REPAS,€62,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,WEBER MARYSE,03/06/2014,REPAS,€37,,
Guerbet,Médecin,TICHOUX CAROLINE,28/03/2014,REPAS,€60,,
horus pharma,Médecin,VANNIER MN. Marie noelle,26/09/2013,Repas,€55,,
ICOMED,Chirurgien-dentiste,IOACHIM ILEANA,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,AZOULAY BENJAMIN,23/06/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,AZOULAY BENJAMIN,12/06/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,GAITZ JEAN PIERRE,08/04/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GAITZ JEAN PIERRE,09/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRESSEFF ISABELLE,18/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,MARINI LAURENCE,20/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,MARINI LAURENCE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PASQUET NOUALHAGUET CHRISTINE,13/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUX MICHEL,03/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,VANNIER MARIE NOELLE,02/05/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,GAITZ JEAN PIERRE,28/05/2013,REPAS,€38,,
JANSSEN-CILAG,Médecin,GAITZ JEAN PIERRE,17/09/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,GAITZ JEAN PIERRE,12/09/2013,REPAS,€60,,
JANSSEN-CILAG,Pharmacien,BENYAYA JOSEPH,19/09/2013,REPAS,€46,,
JANSSEN-CILAG,Pharmacien,BENYAYA JOSEPH,24/09/2013,REPAS,€55,,
JANSSEN-CILAG,Pharmacien,BENYAYA JOSEPH,18/09/2013,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE BOE THIBAUT,29/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE BOE THIBAUT,07/11/2013,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ITIER OGIER CAROLINE,31/01/2014,INSCRIPTION,€87,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ITIER OGIER CAROLINE,23/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ITIER OGIER CAROLINE,10/02/2012,Inscription,€110,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ITIER OGIER CAROLINE,31/01/2014,TRANSPORT,€70,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ITIER OGIER CAROLINE,19/01/2013,Inscription,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECOMTE VERONIQUE,23/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECOMTE VERONIQUE,11/05/2012,Hospitalité,€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET CHRISTINE,26/03/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,25/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,23/09/2013,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,18/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,28/04/2014,REPAS,€11,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,23/09/2013,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,18/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASQUET NOUALHAGUET CHRISTINE,08/10/2012,Hospitalité,€18,,
Laboratoire Innothera,Pharmacien,JOUBERT VALERIE,12/05/2014,REPAS,€19,,
Laboratoire Innothera,Pharmacien,ROUVROY-OLRY CAROLINE,12/05/2014,REPAS,€20,,
LABORATOIRE JALDES,Médecin,Pasquet-Noualhaguet Christine,19/11/2013,Autre : [ECHANTILLON],€15,,
Laboratoires Bailleul,Médecin,GAITZ 				 Jean Pierre ,23/09/2013,Repas,€48,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/12/2013,Repas,€13,,
LABORATOIRES GENEVRIER,Médecin,GAITZ JEAN PIERRE,13/05/2014,REPAS,€45,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,WEBER MARYSE,24/04/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,WEBER-LONCLE MARYSE,26/09/2013,INVITATIONS,€20,,
Laboratoires SVR France,Médecin,GAITZ JEAN-PIERRE,20/03/2014,REPAS,€60,,
LEO Pharma,Médecin,GAITZ JEAN PIERRE,12/06/2014,REPAS,€52,,
LES LABORATOIRES SERVIER,Médecin,MONCHARMONT HELENE,06/02/2014,Repas,€84,,
Lilly France SAS,Médecin,CAMUZEAUX DANIELE,02/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,DUCLAP MONIQUE,21/03/2014,REPAS,€50,,
Lilly France SAS,Médecin,DUCLAP MONIQUE,20/06/2014,REPAS,€55,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,11/02/2014,REPAS,€21,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,21/03/2014,REPAS,€50,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,21/01/2014,REPAS,€24,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,11/02/2014,REPAS,€21,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,21/01/2014,REPAS,€24,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,11/03/2014,REPAS,€24,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,13/05/2014,REPAS,€23,,
Lilly France SAS,Médecin,ITIER OGIER CAROLINE,20/06/2014,REPAS,€55,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,13/05/2014,REPAS,€23,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,11/03/2014,REPAS,€24,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,11/02/2014,REPAS,€21,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,21/01/2014,REPAS,€24,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,20/06/2014,REPAS,€55,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,21/01/2014,REPAS,€24,,
Lilly France SAS,Médecin,LECOMTE VERONIQUE,11/02/2014,REPAS,€21,,
Lilly France SAS,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,24/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,30/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,30/11/2013,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€210,,
LUNDBECK SAS,Médecin,DEVORT JEANNICK,19/12/2013,AUTRE : FRAIS D HOSPITALITE / RP,€29,,
LUNDBECK SAS,Médecin,DEVORT JEANNICK,17/06/2014,AUTRE : FRAIS D HOSPITALITE / RP,€11,,
MEDA PHARMA,Médecin,GAITZ JEAN PIERRE,10/04/2014,REPAS,€59,,
MEDEXACT,Médecin,GAITZ JEAN PIERRE,04/11/2013,Autre: [Enquête],€19,,
MENARINI FRANCE,Médecin,DE BOE THIBAUT,26/11/2013,REPAS,€58,,
MERCK SERONO,Médecin,JACQ MICHEL,27/08/2013,REPAS,€11,,
MERCK SERONO,Médecin,LARDILLEUX POUPARD MARIE ANNICK,08/02/2014,REPAS,€10,,
MERCK SERONO,Médecin,LARDILLEUX POUPARD MARIE ANNICK,08/02/2014,REPAS,€44,,
MERCK SERONO,Médecin,SABERIANFAR REZA,21/08/2013,REPAS,€15,,
MSD France,Médecin,DE BOE THIBAUT,07/11/2013,REPAS,€60,,
MSD France,Médecin,DE BOE THIBAUT,06/09/2012,REPAS,€28,,
MSD France,Médecin,DE BOE THIBAUT,23/05/2013,HOSPITALITÉ,€64,,
MSD France,Médecin,DE BOE THIBAUT,23/05/2013,REPAS,€25,,
MSD France,Médecin,DUCLAP MONIQUE,14/02/2014,REPAS,€40,,
MSD France,Médecin,DUCLAP MONIQUE,23/05/2014,REPAS,€39,,
MSD France,Médecin,ITIER OGIER CAROLINE,23/05/2014,REPAS,€39,,
MSD France,Médecin,ITIER OGIER CAROLINE,14/02/2014,REPAS,€40,,
MSD France,Médecin,ITIER OGIER CAROLINE,13/12/2013,REPAS,€35,,
MSD France,Médecin,ITIER OGIER CAROLINE,08/06/2012,REPAS,€41,,
MSD France,Médecin,ITIER OGIER CAROLINE,06/07/2012,REPAS,€39,,
MSD France,Médecin,LECOMTE VERONIQUE,14/02/2014,REPAS,€40,,
MSD France,Médecin,LECOMTE VERONIQUE,23/05/2014,REPAS,€39,,
MSD France,Médecin,LECOMTE VERONIQUE,06/07/2012,REPAS,€39,,
MSD France,Médecin,LECOMTE VERONIQUE,13/12/2013,REPAS,€35,,
MSD France,Médecin,MARINI LAURENCE,30/01/2014,REPAS,€60,,
MSD France,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,19/05/2014,REPAS,€58,,
MSD France,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,08/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,PASQUET NOUALHAGUET CHRISTINE,25/03/2014,REPAS,€23,,
MSD France,Médecin,ROULLIER VANESSA,21/06/2012,REPAS,€60,,
MSD France,Médecin,ROUX MICHEL,07/11/2013,REPAS,€60,,
MSD France,Médecin,ROUX MICHEL,04/12/2013,REPAS,€64,,
MSD France,Médecin,VANNIER MARIE NOELLE,03/10/2012,HOSPITALITE,€59,,
MSD France,Médecin,VANNIER MARIE NOELLE,29/05/2013,HOSPITALITÉ,€48,,
MSD France,Médecin,VANNIER MARIE NOELLE,17/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,VANNIER MARIE NOELLE,21/03/2012,REPAS,€48,,
MSD France,Médecin,VANNIER MARIE NOELLE,10/04/2014,REPAS,€60,,
MSD France,Médecin,VANNIER MARIE NOELLE,09/04/2013,HOSPITALITÉ,€61,,
MSD France,Pharmacien,GASNIER CHRISTINE,01/06/2012,REPAS,€41,,
NOVARTIS PHARMA SAS,Médecin,DE BOE THIBAUT,06/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DE BOE THIBAUT,24/09/2013,Autre : [Hospitalité Evenement Scientifique],€60,,
NOVARTIS PHARMA SAS,Médecin,DUCLAP MONIQUE,04/04/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,ITIER OGIER CAROLINE,04/04/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,ITIER OGIER CAROLINE,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LECOMTE VERONIQUE,04/04/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,VANNIER MARIE NOELLE,06/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,VANNIER MARIE NOELLE,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€49,,
NOVARTIS PHARMA SAS,Médecin,VANNIER MARIE NOELLE,30/01/2014,Autre : [Inscription Evenement Scientifique],€180,,
NOVO NORDISK,Médecin,MARTINEZ LUC,23/09/2013,INSCRIPTION,€550,,
NOVO NORDISK,Médecin,MARTINEZ LUC,23/09/2013,HÃ‰BERGEMENT,€75,,
NOVO NORDISK,Médecin,MARTINEZ LUC,24/04/2014,HÃ‰BERGEMENT,€632,,
NOVO NORDISK,Médecin,MARTINEZ LUC,24/04/2014,TRANSPORT,€718,,
NOVO NORDISK,Médecin,MARTINEZ LUC,23/09/2013,REPAS,€260,,
NOVO NORDISK,Médecin,MARTINEZ LUC,24/04/2014,REPAS,€142,,
NOVO NORDISK,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,11/03/2014,INSCRIPTION,€310,,
PECH CERCIAT,Médecin,Gaitz Jean-Pierre,28/11/2013,Autre : [ECHANTILLON],€20,,
PHONAK FRANCE,Audioprothésiste,SALIBA ALEXANDRE,28/11/2013,REPAS,€25,,
PIERRE FABRE MEDICAMENT,Médecin,DE BOE THIBAUT,18/10/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,DE BOE THIBAUT,11/06/2013,Restauration,€57,,
PIERRE FABRE MEDICAMENT,Médecin,DE BOE THIBAUT,16/05/2013,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,DE BOE THIBAUT,24/10/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,DE BOE THIBAUT,02/02/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DUCLAP MONIQUE,17/01/2014,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,DUCLAP MONIQUE,20/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,DUCLAP MONIQUE,28/03/2014,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DUCLAP MONIQUE,20/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,20/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,12/07/2013,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,17/01/2014,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,09/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,17/10/2012,Restauration,€146,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,01/06/2012,Restauration,€44,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,24/05/2012,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,17/10/2012,HÃƒÂ©bergement,€133,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,28/03/2014,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,17/10/2012,Frais de dÃƒÂ©placement,€413,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,11/04/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,ITIER OGIER CAROLINE,11/06/2013,Restauration,€57,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,28/03/2014,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,17/10/2012,Restauration,€146,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,24/05/2012,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,17/10/2012,HÃƒÂ©bergement,€133,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,12/07/2013,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,20/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,17/10/2012,Frais de dÃƒÂ©placement,€413,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,01/06/2012,Restauration,€44,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,17/01/2014,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,28/03/2014,RESTAURATION,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,20/09/2013,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,LECOMTE VERONIQUE,12/07/2013,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,16/01/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,18/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MONCHARMONT DE LA RAMBERGUE HELENE,11/06/2013,Restauration,€57,,
SANOFI AVENTIS FRANCE,Médecin,ITIER OGIER CAROLINE,08/04/2014,Repas,€23,,
SANOFI AVENTIS FRANCE,Médecin,ITIER OGIER CAROLINE,19/07/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,LECOMTE VERONIQUE,08/04/2014,Repas,€23,,
SANOFI AVENTIS FRANCE,Médecin,LECOMTE VERONIQUE,19/07/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Pharmacien,CHEVIGNON EDWIGE,22/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,JOUBERT VALERIE,22/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,OLRY ROUVROY CAROLINE,22/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,WEBER MARYSE,19/06/2014,Repas,€53,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIRANDIER CHRISTINE,22/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAKIM SANDRINE,22/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUVROY WILLIAM,22/05/2014,Repas,€54,,
SANOFI PASTEUR MSD SNC,Médecin,ITIER OGIER CAROLINE,02/07/2013,Repas,€44,,
SANOFI PASTEUR MSD SNC,Médecin,LECOMTE VERONIQUE,02/07/2013,Repas,€44,,
STALLERGENES SA,Médecin,PASQUET CHRISTINE,12/09/2013,TRANSPORT,€178,,
STALLERGENES SA,Médecin,PASQUET CHRISTINE,12/09/2013,HEBERGEMENT,€483,,
STALLERGENES SA,Médecin,PASQUET CHRISTINE,12/09/2013,REPAS,€408,,
STALLERGENES SA,Médecin,PASQUET NOUALHAGUET CHRISTINE,28/11/2013,REPAS,€48,,
STALLERGENES SA,Médecin,PASQUET NOUALHAGUET CHRISTINE,12/02/2014,REPAS,€52,,
Takeda France,Médecin,DE BOE Thibaut,28/11/2013,REPAS,€60,,
Takeda France,Médecin,PASQUET NOUALHAGUET Christine,20/05/2014,REPAS,€41,,
Takeda France,Médecin,PASQUET NOUALHAGUET Christine,03/10/2013,REPAS,€41,,
Takeda France,Médecin,ROUX Michel,28/11/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,DE BOE THIBAUT,06/02/2014,REPAS,€41,,
TEVA SANTE SAS,Médecin,MARINI LAURENCE,10/06/2014,REPAS,€60,,
Zambon France,Médecin,ITIER OGIER CAROLINE,05/07/2013,Repas,€18,,
Zambon France,Médecin,LECOMTE VERONIQUE,05/07/2013,Repas,€18,,
