3M France,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,YEDIOU LAZHAR,26/11/2013,REPAS,€17,,
AbbVie,Médecin,BERGER GAUCHIER FRANCOISE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,CHARDONNET ERIC,25/03/2014,REPAS,€25,,
AbbVie,Médecin,CHARDONNET ERIC,22/05/2014,REPAS,€15,,
AbbVie,Médecin,CHARDONNET ERIC,16/07/2013,Repas,€11,,
AbbVie,Médecin,CLAPOT PHILIPPE,22/05/2014,REPAS,€15,,
AbbVie,Médecin,CLAPOT PHILIPPE,25/03/2014,REPAS,€25,,
AbbVie,Médecin,COHEN BERNARD,13/05/2014,REPAS,€30,,
AbbVie,Médecin,CORNET DROGUET NADINE,16/07/2013,Repas,€11,,
AbbVie,Médecin,CORNET DROGUET NADINE,05/12/2013,Repas,€28,,
AbbVie,Médecin,DENTANT LIONEL,05/12/2013,Repas,€42,,
AbbVie,Médecin,DIDIER ROBERTO BRIGITTE,26/11/2013,Repas,€37,,
AbbVie,Médecin,GUICHARD ERIC,16/07/2013,Repas,€11,,
AbbVie,Médecin,GUILLOT BERNARD,05/12/2013,Repas,€28,,
AbbVie,Médecin,HONARMAND MAHCHID,13/05/2014,REPAS,€30,,
AbbVie,Médecin,JOUK JARRY SYLVIE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,JOUNEH MOHAMED HASSAN,25/01/2014,TRANSPORT,€143,,
AbbVie,Médecin,JOUNEH MOHAMED HASSAN,23/01/2014,TRANSPORT,€251,,
AbbVie,Médecin,JOUNEH MOHAMED HASSAN,23/01/2014,HEBERGEMENT,€199,,
AbbVie,Médecin,JOUNEH MOHAMED HASSAN,23/01/2014,REPAS,€54,,
AbbVie,Médecin,JOUNEH MOHAMED HASSAN,11/02/2014,REPAS,€42,,
AbbVie,Médecin,KEZACHIAN GILLES,11/02/2014,REPAS,€47,,
AbbVie,Médecin,KEZACHIAN GILLES,05/12/2013,Repas,€42,,
AbbVie,Médecin,KUENTZ PHILIPPE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,LAROUSSI CHABERT NADIA,11/02/2014,REPAS,€47,,
AbbVie,Médecin,LAROUSSI CHABERT NADIA,07/11/2013,Repas,€35,,
AbbVie,Médecin,LELTE JEAN PIERRE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,MASSIAH MICHEL,13/05/2014,REPAS,€30,,
AbbVie,Médecin,MENESES ALEXANDRA,14/01/2014,REPAS,€14,,
AbbVie,Médecin,MEZIN ROUX JEAN LUC,20/05/2014,REPAS,€26,,
AbbVie,Médecin,PELLOTIER EVE,14/11/2013,REPAS,€12,,
AbbVie,Médecin,POINSIGNON JEAN PIERRE,16/07/2013,Repas,€11,,
AbbVie,Médecin,RAZAKABOAY MURIEL,14/01/2014,REPAS,€14,,
AbbVie,Médecin,RAZAKABOAY MURIEL,25/03/2014,REPAS,€25,,
AbbVie,Médecin,RAZAKABOAY MURIEL,14/01/2014,REPAS,€14,,
AbbVie,Médecin,RAZAKABOAY MURIEL,16/07/2013,Repas,€11,,
AbbVie,Médecin,RAZAKABOAY MURIEL,13/05/2014,REPAS,€28,,
AbbVie,Médecin,ROUSSEAU EMMANUEL,07/11/2013,Repas,€35,,
AbbVie,Médecin,ROZAND YVES,25/03/2014,REPAS,€25,,
AbbVie,Médecin,ROZAND YVES,22/05/2014,REPAS,€15,,
AbbVie,Médecin,SARAZIN ANNE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,TSAN PIERRE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,VOLATIER ELISABETH,13/05/2014,REPAS,€30,,
AbbVie,Médecin,WOLF FRANCOISE,13/05/2014,REPAS,€30,,
AbbVie,Médecin,ZAMBELLI LAURENT,13/05/2014,REPAS,€30,,
AbbVie,Pharmacien,DEVEZ PAUL-EMMANUEL,14/11/2013,REPAS,€12,,
accomed,Médecin,BENYAMIN JEAN-JACQUES,09/05/2014,HEBERGEMENT CONGRES PARIS,€410,,
Actelion Pharmaceuticals France,Médecin,BRAZIER REMY,17/06/2014,REPAS,€59,,
Actelion Pharmaceuticals France,Médecin,ELKHOLTI MERIEME,24/04/2014,REPAS,€53,,
Actelion Pharmaceuticals France,Médecin,ROY PIERRE ALAIN,17/06/2014,REPAS,€59,,
Actelion Pharmaceuticals France,Pharmacien,REVOL BRUNO,09/10/2013,TRANSPORT,€210,,
Actelion Pharmaceuticals France,Pharmacien,REVOL BRUNO,09/10/2013,REPAS,€50,,
AGIR à dom Assistance,Médecin,AGUILANIU Bernard,24/06/2013,[REPAS],€22,,
AGIR à dom Assistance,Médecin,HAMM BERNARD,17/01/2012,[REPAS],€31,,
AGIR à dom Assistance,Médecin,HAMM BERNARD,03/07/2012,[HOSPITALITE],€28,,
AGIR à dom Assistance,Médecin,HAMM BERNARD,01/09/2012,[REPAS],€14,,
AGIR à dom Assistance,Médecin,RUEL CATHERINE,30/07/2012,[HOSPITALITE],€28,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,30/01/2014,REPAS,€38,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,31/01/2014,HEBERGEMENT,€340,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,01/02/2014,REPAS,€23,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,01/02/2014,REPAS,€12,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,01/04/2014,REPAS,€34,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,31/01/2014,REPAS,€21,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,22/10/2013,REPAS,€30,,
AIR DOMICILE SANTE ALPES,Médecin,CHAVEZ LEODINAS,27/02/2014,REPAS,€36,,
AIR DOMICILE SANTE ALPES,Médecin,DE LAMBERTERIE GILLES,22/10/2013,REPAS,€30,,
AIR DOMICILE SANTE ALPES,Médecin,DE LAMBERTERIE GILLES,01/04/2014,REPAS,€34,,
AIR DOMICILE SANTE ALPES,Médecin,GIREY-RANNAUD JANIE,09/09/2013,REPAS,€35,,
AIR DOMICILE SANTE ALPES,Médecin,HAMM BERNARD,12/09/2013,REPAS,€27,,
AIR DOMICILE SANTE ALPES,Médecin,HAMM BERNARD,31/10/2013,REPAS,€35,,
AIR DOMICILE SANTE ALPES,Médecin,HAMM BERNARD,27/02/2014,REPAS,€36,,
AIR DOMICILE SANTE ALPES,Médecin,PLAINDOUX AGNES,22/11/2013,REPAS,€50,,
AIR DOMICILE SANTE ALPES,Médecin,ROUSSEAUX-KUENTZ MARTINE,22/11/2013,REPAS,€50,,
AIR DOMICILE SANTE ALPES,Médecin,ROUSSEAUX-KUENTZ MARTINE,22/11/2013,REPAS,€50,,
ALFA WASSERMANN PHARMA,Médecin,CHEVALLIER CHRISTIAN,22/05/2014,REPAS,€22,,
ALFA WASSERMANN PHARMA,Médecin,CHEVALLIER CHRISTIAN,06/02/2014,REPAS,€22,,
ALFA WASSERMANN PHARMA,Médecin,FROISSART BRUNO,06/02/2014,REPAS,€22,,
ALFA WASSERMANN PHARMA,Médecin,FROISSART BRUNO,22/05/2014,REPAS,€22,,
ALK-Abelló,Médecin,BEEKER ANNE,10/10/2013,AUTRE : [RESTAURATION],€55,,
ALK-Abelló,Médecin,BEEKER ANNE,10/07/2013,AUTRE : [RESTAURATION],€24,,
ALK-Abelló,Médecin,BEEKER ANNE,28/03/2013,AUTRE : [RESTAURATION],€41,,
ALK-Abelló,Médecin,BEEKER SERGIESCU ANNE-ELISABETH,10/05/2012,AUTRE : [RESTAURATION],€42,,
ALK-Abelló,Médecin,BEEKER SERGIESCU ANNE-ELISABETH,01/06/2012,AUTRE : [INSCRIPTION],€500,,
ALK-Abelló,Médecin,BEEKER SERGIESCU ANNE-ELISABETH,12/03/2012,AUTRE : [RESTAURATION],€13,,
ALK-Abelló,Médecin,BEEKER SERGIESCU ANNE-ELISABETH,01/06/2012,HEBERGEMENT,€465,,
ALK-Abelló,Médecin,BEEKER SERGIESCU ANNE-ELISABETH,01/06/2012,AUTRE : [RESTAURATION],€174,,
ALK-Abelló,Médecin,BEEKER SERGIESCU ANNE-ELISABETH,01/06/2012,TRANSPORT,€657,,
ALK-Abelló,Médecin,HONARMAND MAHCHID,26/09/2013,AUTRE : [INSCRIPTION],€400,,
ALK-Abelló,Médecin,HONARMAND MAHCHID,26/09/2013,AUTRE : [RESTAURATION],€115,,
ALK-Abelló,Médecin,HONARMAND MAHCHID,26/09/2013,TRANSPORT,€116,,
ALK-Abelló,Médecin,HONARMAND MAHCHID,05/04/2013,AUTRE : [RESTAURATION],€39,,
ALK-Abelló,Médecin,HONARMAND MAHCHID,26/09/2013,HEBERGEMENT,€182,,
ALK-Abelló,Médecin,SOLIGNAC FERNSTROM CATHERINE,30/05/2013,TRANSPORT,€865,,
ALK-Abelló,Médecin,SOLIGNAC FERNSTROM CATHERINE,30/05/2013,TRANSPORT,€865,,
ALK-Abelló,Médecin,SOLIGNAC FERNSTROM CATHERINE,30/05/2013,AUTRE : [INSCRIPTION],€500,,
ALK-Abelló,Médecin,SOLIGNAC FERNSTROM CATHERINE,30/05/2013,AUTRE : [RESTAURATION],€221,,
ALK-Abelló,Médecin,ZAMBELLI VALENTINA,16/04/2013,HEBERGEMENT,€690,,
ALK-Abelló,Médecin,ZAMBELLI VALENTINA,16/04/2013,AUTRE : [INSCRIPTION],€311,,
ALK-Abelló,Médecin,ZAMBELLI VALENTINA,16/04/2013,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,ZAMBELLI VALENTINA,26/09/2013,AUTRE : [INSCRIPTION],€400,,
ALK-Abelló,Médecin,ZAMBELLI VALENTINA,16/04/2013,TRANSPORT,€209,,
ALK-Abelló,Médecin,ZAMBELLI VALENTINA,10/05/2012,AUTRE : [RESTAURATION],€42,,
ALLERGAN FRANCE,Etudiant,RENARD ELISABETH,13/06/2014,AUTRE-INSCRIPTION,€95,,
ALLERGAN FRANCE,Médecin,AZARIAN VALANEJAD MARYAM,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,AZARIAN VALANEJAD MARYAM,22/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BERNAL-DESCOUR FABIENNE,12/05/2014,REPAS,€44,,
ALLERGAN FRANCE,Médecin,BERTHEMY PELLET SYLVIE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,BERTHEMY PELLET SYLVIE,15/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BERTRAND CHRISTOPHE,30/01/2014,REPAS,€56,,
ALLERGAN FRANCE,Médecin,DARDART BENOIT,22/11/2013,REPAS,€27,,
ALLERGAN FRANCE,Médecin,DARDART BENOIT,11/09/2013,REPAS,€59,,
ALLERGAN FRANCE,Médecin,DESCOTES ANNE,28/01/2014,REPAS,€33,,
ALLERGAN FRANCE,Médecin,DESCOTES ANNE,26/05/2014,AUTRE-INSCRIPTION,€760,,
ALLERGAN FRANCE,Médecin,DESCOTES ANNE,26/05/2014,AUTRE-INSCRIPTION,€760,,
ALLERGAN FRANCE,Médecin,DESCOTES ANNE,11/02/2014,REPAS,€43,,
ALLERGAN FRANCE,Médecin,DESCOTES ANNE,28/01/2014,REPAS,€33,,
ALLERGAN FRANCE,Médecin,DRUELLE MANOHA AGNES,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,EHRET CHRISTOPHE,18/12/2013,REPAS,€27,,
ALLERGAN FRANCE,Médecin,EHRET CHRISTOPHE,06/02/2014,HOSPITALITE,€80,,
ALLERGAN FRANCE,Médecin,GENIN ISABELLE,22/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,GENIN ISABELLE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,JOUVENCEL CHANTAL,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,LALANNE WOERNER SOPHIE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,LEGOUPIL CHRISTINE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,LEGOUPIL CHRISTINE,15/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,MARTINET XAVIER,03/12/2013,REPAS,€16,,
ALLERGAN FRANCE,Médecin,MARTINET XAVIER,11/09/2013,REPAS,€58,,
ALLERGAN FRANCE,Médecin,MASELLA JEAN-JACQUES,30/01/2014,REPAS,€56,,
ALLERGAN FRANCE,Médecin,MASELLA JEAN-JACQUES,02/04/2014,REPAS,€19,,
ALLERGAN FRANCE,Médecin,MENGER DOMINIQUE,30/01/2014,REPAS,€56,,
ALLERGAN FRANCE,Médecin,MICHELI-GANDY MURIELLE,20/06/2014,REPAS,€48,,
ALLERGAN FRANCE,Médecin,PERESSE DENIS,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,PORTAL CATHERINE,04/04/2014,REPAS,€37,,
ALLERGAN FRANCE,Médecin,PORTAL CATHERINE,04/04/2014,REPAS,€37,,
ALLERGAN FRANCE,Médecin,PORTAL CATHERINE,24/02/2014,REPAS,€40,,
ALLERGAN FRANCE,Médecin,RENARD ELISABETH,20/06/2014,REPAS,€48,,
ALLERGAN FRANCE,Médecin,RENARD ELISABETH,12/05/2014,REPAS,€44,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,24/03/2014,TRANSPORT,€535,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,16/04/2014,REPAS,€20,,
ALLERGAN FRANCE,Médecin,SERRA TOSIO FRANCOISE,22/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VAREILLES MARC,02/04/2014,REPAS,€19,,
ALLERGAN FRANCE,Médecin,VAREILLES MARC,30/01/2014,REPAS,€56,,
ALLERGAN FRANCE,Médecin,VERNE BRIGITTE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,VERNE BRIGITTE,13/06/2014,AUTRE-INSCRIPTION,€160,,
ALLERGAN FRANCE,Médecin,VERNE BRIGITTE,13/06/2014,HEBERGEMENT,€132,,
ALLERGAN FRANCE,Médecin,WOODWARD CAROLE,30/10/2013,REPAS,€13,,
ALLERGAN FRANCE,Médecin,WOODWARD CAROLE,10/04/2014,HOSPITALITE,€60,,
alliance healthcare repartition,Pharmacien,FOURNIVAL JEAN LUC,20/01/2014,Repas,€24,,
alliance healthcare repartition,Pharmacien,FOURNIVAL JEAN-LUC,06/02/2014,Repas,€22,,
American Orthodontics,Chirurgien-dentiste,FIACRE CYRILLE,29/01/2013,REPAS,€41,,
American Orthodontics,Chirurgien-dentiste,FIACRE CYRILLE,11/06/2013,REPAS,€72,,
American Orthodontics,Chirurgien-dentiste,FIACRE CYRILLE,10/07/2012,REPAS,€53,,
American Orthodontics,Chirurgien-dentiste,FIACRE CYRILLE,24/01/2012,REPAS,€45,,
AMGEN SAS,Infirmier,AUDO TREHAN CHRISTELLE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,HEMON LAURENS ARMELLE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,HURTREZ DOMINIQUE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,LIEZE AURORE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,MUGNIER VERONIQUE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,OTTOZ GENEVIEVE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,OUTERRYCK BEATRICE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Infirmier,ROUQUETTE ALEXANDRA,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Médecin,CATIMEL GILLES,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Médecin,CLAPOT PHILIPPE,14/01/2014,REPAS IMPROMPTU,€30,,
AMGEN SAS,Médecin,DUPARC ANGELIQUE,27/09/2013,REPAS IMPROMPTU,€18,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€14,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€814,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,08/11/2013,REPAS REUNION,€60,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,05/11/2013,HEBERGEMENT,€283,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,HEBERGEMENT,€283,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,AUTRE [FRAIS D INSCRIPTION],€353,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,05/11/2013,REPAS REUNION,€60,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€221,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€14,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,DUPUY BROUSSEAU LAURA,06/11/2013,HEBERGEMENT,€283,,
AMGEN SAS,Médecin,FAVARD FLORENT,03/04/2014,REPAS IMPROMPTU,€21,,
AMGEN SAS,Médecin,FAVARD FLORENT,02/04/2014,HEBERGEMENT,€164,,
AMGEN SAS,Médecin,FAVARD FLORENT,03/04/2014,HEBERGEMENT,€164,,
AMGEN SAS,Médecin,FAVARD FLORENT,04/04/2014,REPAS IMPROMPTU,€31,,
AMGEN SAS,Médecin,FAVARD FLORENT,03/04/2014,TRANSPORT,€196,,
AMGEN SAS,Médecin,FAVARD FLORENT,04/04/2014,REPAS IMPROMPTU,€20,,
AMGEN SAS,Médecin,FAVARD FLORENT,04/04/2014,HEBERGEMENT,€148,,
AMGEN SAS,Médecin,GARNIER  TIXIDRE CLAIRE,14/06/2013,TRANSPORT,€145,,
AMGEN SAS,Médecin,GARNIER  TIXIDRE CLAIRE,14/06/2013,TRANSPORT,€22,,
AMGEN SAS,Médecin,GARNIER  TIXIDRE CLAIRE,14/06/2013,REPAS,€60,,
AMGEN SAS,Médecin,GARNIER  TIXIDRE CLAIRE,15/06/2013,REPAS,€32,,
AMGEN SAS,Médecin,GHEWY THIERRY,25/03/2014,REPAS IMPROMPTU,€44,,
AMGEN SAS,Médecin,GUICHARD ERIC,21/03/2014,REPAS IMPROMPTU,€41,,
AMGEN SAS,Médecin,JOUNEH MOHAMED HASSAN,23/09/2013,REPAS IMPROMPTU,€42,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,29/09/2013,REPAS REUNION,€53,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,28/09/2013,REPAS REUNION,€60,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,27/09/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,27/09/2013,REPAS REUNION,€53,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,29/09/2013,HEBERGEMENT,€286,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,30/09/2013,HEBERGEMENT,€286,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,29/09/2013,REPAS REUNION,€53,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,27/09/2013,REPAS IMPROMPTU,€19,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,27/09/2013,AUTRE [FRAIS D INSCRIPTION],€699,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,27/09/2013,TRANSPORT,€449,,
AMGEN SAS,Médecin,LEYRONNAS CECILE,27/09/2013,HEBERGEMENT,€286,,
AMGEN SAS,Médecin,NINET JEAN CHRISTOPHE,21/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,POINSIGNON JEAN PIERRE,18/03/2014,REPAS REUNION,€37,,
AMGEN SAS,Médecin,RAZAKABOAY MURIEL,14/01/2014,REPAS IMPROMPTU,€30,,
AMGEN SAS,Médecin,ROZAND YVES,14/01/2014,REPAS IMPROMPTU,€30,,
AMGEN SAS,Médecin,ROZAND YVES,18/03/2014,REPAS REUNION,€37,,
AMGEN SAS,Médecin,SALON CAROLINE,17/04/2014,REPAS IMPROMPTU,€60,,
AMGEN SAS,Médecin,TUBIANA MATHIEU NICOLE,25/03/2014,REPAS IMPROMPTU,€44,,
AMGEN SAS,Médecin,TUBIANA MATHIEU NICOLE,25/03/2014,REPAS IMPROMPTU,€44,,
AMO FRANCE SAS,Etudiant,MALOT JOSSELIN,16/09/2013,REPAS DE TRAVAIL,€29,,
AMO FRANCE SAS,Infirmier,CECCONIE MICHELE,16/09/2013,REPAS DE TRAVAIL,€29,,
AMO FRANCE SAS,Médecin,BERNAL-DESCOUR FABIENNE,11/05/2014,REPAS DE TRAVAIL,€75,,
AMO FRANCE SAS,Médecin,BERNAL-DESCOUR FABIENNE,08/08/2013,REPAS DE TRAVAIL,€24,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,24/02/2014,REPAS DE TRAVAIL,€24,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,08/07/2013,HEBERGEMENT,€220,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,07/10/2013,REPAS,€62,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,05/07/2013,HEBERGEMENT,€220,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,06/07/2013,HEBERGEMENT,€220,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,09/07/2013,HEBERGEMENT,€220,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,07/07/2013,HEBERGEMENT,€220,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,20/09/2013,REPAS DE TRAVAIL,€22,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,31/03/2014,REPAS DE TRAVAIL,€21,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,05/10/2013,TRANSPORT,€159,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,05/10/2013,REPAS DE TRAVAIL,€49,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,10/09/2013,REPAS DE TRAVAIL,€15,,
AMO FRANCE SAS,Médecin,BERTRAND CHRISTOPHE,15/10/2013,REPAS DE TRAVAIL,€45,,
AMO FRANCE SAS,Médecin,FAURE JACQUES,10/05/2014,REPAS DE TRAVAIL,€42,,
AMO FRANCE SAS,Médecin,FAURE JACQUES,03/07/2013,REPAS DE TRAVAIL,€35,,
AMO FRANCE SAS,Médecin,FAURE JACQUES,20/09/2013,REPAS DE TRAVAIL,€22,,
AMO FRANCE SAS,Médecin,ROBIN NADER,08/04/2014,REPAS DE TRAVAIL,€19,,
AMO FRANCE SAS,Médecin,ROBIN NADER,18/09/2013,REPAS DE TRAVAIL,€17,,
AMO FRANCE SAS,Médecin,ROBIN NADER,18/09/2013,REPAS DE TRAVAIL,€17,,
AMO FRANCE SAS,Médecin,ROGE ARNAUD,29/11/2013,REPAS DE TRAVAIL,€22,,
AMO FRANCE SAS,Médecin,ROGE ARNAUD,08/11/2013,REPAS DE TRAVAIL,€23,,
AMO FRANCE SAS,Orthoptiste,BEAL STEPHANIE,31/03/2014,REPAS DE TRAVAIL,€21,,
AMO FRANCE SAS,Orthoptiste,BECHON STEPHANIE,24/02/2014,REPAS DE TRAVAIL,€24,,
AMO FRANCE SAS,Pharmacien,SONJON VIRGINIE,16/09/2013,REPAS DE TRAVAIL,€29,,
AMO FRANCE SAS,Pharmacien,SONJON VIRGINIE,07/02/2014,REPAS DE TRAVAIL,€34,,
AMO FRANCE SAS,Pharmacien,SONJON VIRGINIE,29/11/2013,REPAS DE TRAVAIL,€22,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,17/10/2013,HEBERGEMENT,€548,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,17/10/2013,INVITATIONS,€350,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,11/11/2013,INVITATIONS,€550,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,15/10/2013,TRANSPORT,€1,895,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,24/01/2014,REPAS,€30,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,11/11/2013,HEBERGEMENT,€660,,
AMPLITUDE,Médecin,CHATAIN FREDERIC,17/10/2013,TRANSPORT,€228,,
