ALAIN AFFLELOU FRANCHISEUR,Médecin,LE BRIS PASCAL,01/12/2013,CADEAUX,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERRANGER ALEXIS,27/01/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERRANGER ALEXIS,12/04/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERRANGER ALEXIS,21/09/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERRANGER ALEXIS,11/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERRANGER ALEXIS,24/01/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,06/04/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,21/09/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,24/01/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,19/09/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,08/02/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,12/04/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,22/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,12/09/2013,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,27/01/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHOUKROUN MARIE HELENE,11/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CRAVIC J YVES,10/09/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIANA FULVIO,10/09/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIANA FULVIO,04/12/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,08/02/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,11/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,06/04/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,27/01/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,21/09/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,12/04/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,19/09/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,12/09/2013,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,24/01/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER CATHERINE,22/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SPOUTIL FRANCOIS,19/01/2013,Inscription,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANZO MYRIAM,22/03/2013,Hospitalite,€20,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAZEBROUCK ISABELLE,13/03/2014,REPAS,€68,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,AHMED YAHIA ABDELHAFID,28/01/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,AHMED YAHIA ABDELHAFID,04/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CHOUKROUN MARIE HELENE,17/09/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FOURNIER CATHERINE,10/06/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FOURNIER CATHERINE,17/09/2013,Repas,€60,,
LABORATOIRES COLOPLAST,Infirmier,BOSSELER NATHALIE,04/07/2013,Repas,€21,,
LABORATOIRES COLOPLAST,Infirmier,BOSSELER STEPHAN,04/07/2013,Repas,€21,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,BRIARD ANNE,03/06/2014,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,AHMED-YAHIA ABDELHAFID,01/10/2013,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,CHOUKROUN MARIE HELENE,24/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,FOURNIER CATHERINE,22/03/2014,Hébergement,€223,,
LES LABORATOIRES SERVIER,Médecin,FOURNIER CATHERINE,24/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,FOURNIER CATHERINE,20/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,SPOUTIL FRANÇOIS,16/10/2013,Repas,€51,,
Lilly France SAS,Médecin,AHMED YAHIA ABDELHAFID,11/03/2014,REPAS,€60,,
Lilly France SAS,Médecin,CHOUKROUN MARIE HELENE,15/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,CHOUKROUN MARIE HELENE,15/05/2014,REPAS,€60,,
Lilly France SAS,Médecin,CHOUKROUN MARIE HELENE,24/09/2013,REPAS,€60,,
Lilly France SAS,Médecin,CHOUKROUN MARIE HELENE,06/02/2014,REPAS,€60,,
Lilly France SAS,Médecin,FOURNIER CATHERINE,06/02/2014,REPAS,€60,,
Lilly France SAS,Médecin,FOURNIER CATHERINE,15/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,FOURNIER CATHERINE,15/05/2014,REPAS,€60,,
Lilly France SAS,Médecin,FOURNIER CATHERINE,24/09/2013,REPAS,€60,,
MENARINI FRANCE,Médecin,AHMED YAHIA ABDELHAFID,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,AHMED YAHIA ABDELHAFID,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,CHOUKROUN MARIE HELENE,22/03/2014,Autre : [Forfait],€300,,
MENARINI FRANCE,Médecin,CHOUKROUN MARIE HELENE,01/10/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,DIANA FULVIO,04/03/2014,Autre : [Restauration],€50,,
MENARINI FRANCE,Médecin,FOURNIER CATHERINE,01/10/2013,REPAS,€50,,
MSD France,Médecin,AHMED YAHIA ABDELHAFID,28/11/2013,REPAS,€60,,
MSD France,Médecin,AHMED YAHIA ABDELHAFID,18/06/2014,REPAS,€60,,
MSD France,Médecin,BERRANGER ALEXIS,07/03/2014,REPAS,€30,,
MSD France,Médecin,BERRANGER ALEXIS,04/04/2014,REPAS,€36,,
MSD France,Médecin,BERRANGER ALEXIS,28/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,BERRANGER ALEXIS,24/05/2013,REPAS,€28,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,27/03/2014,REPAS,€55,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,28/11/2013,REPAS,€60,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,03/06/2014,REPAS,€57,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,07/03/2014,REPAS,€30,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,11/02/2014,REPAS,€59,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,24/05/2013,REPAS,€28,,
MSD France,Médecin,CHOUKROUN MARIE HELENE,04/04/2014,REPAS,€36,,
MSD France,Médecin,FOURNIER CATHERINE,27/03/2014,REPAS,€55,,
MSD France,Médecin,FOURNIER CATHERINE,24/05/2013,REPAS,€28,,
MSD France,Médecin,FOURNIER CATHERINE,03/06/2014,REPAS,€57,,
MSD France,Médecin,FOURNIER CATHERINE,07/03/2014,REPAS,€30,,
MSD France,Médecin,FOURNIER CATHERINE,28/11/2013,REPAS,€60,,
MSD France,Médecin,FOURNIER CATHERINE,04/04/2014,REPAS,€36,,
MSD France,Médecin,FOURNIER CATHERINE,11/02/2014,REPAS,€59,,
MUNDIPHARMA,Médecin,CHOUKROUN MARIE HELENE,28/01/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,FOURNIER CATHERINE,28/01/2014,REPAS,€55,,
MYLAN SAS,Pharmacien,CEJAERT BEATRICE,09/07/2013,REPAS,€11,,
MYLAN SAS,Pharmacien,MULOT MANON,09/07/2013,REPAS,€11,,
MYLAN SAS,Pharmacien,RAMEL PATRICK,24/01/2014,REPAS,€20,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRUNET YASMINA,24/01/2014,REPAS,€20,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARLIQUART LAURA,09/07/2013,REPAS,€11,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MANFRINATO BARBARA,09/07/2013,REPAS,€11,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TOPRAKKALA GULUSHA,24/01/2014,REPAS,€20,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VALO LISE,09/07/2013,REPAS,€11,,
NOVARTIS PHARMA SAS,Médecin,CHOUKROUN MARIE HELENE,06/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FOURNIER CATHERINE,06/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,AHMED YAHIA ABDELHAFID,07/11/2013,REPAS,€55,,
NOVO NORDISK,Médecin,BERRANGER ALEXIS,04/10/2013,REPAS,€25,,
NOVO NORDISK,Médecin,CHOUKROUN MARIE HELENE,04/10/2013,REPAS,€25,,
NOVO NORDISK,Médecin,FOURNIER CATHERINE,07/11/2013,REPAS,€55,,
NOVO NORDISK,Médecin,FOURNIER CATHERINE,04/10/2013,REPAS,€25,,
NOVO NORDISK,Médecin,FOURNIER CATHERINE,13/12/2013,REPAS,€60,,
PFIZER SAS,Médecin,BERRANGER ALEXIS,23/05/2014,REPAS,€27,,
PFIZER SAS,Médecin,BERRANGER ALEXIS,23/05/2014,REPAS,€27,,
PFIZER SAS,Médecin,BERRANGER ALEXIS,18/10/2013,Repas,€32,,
PFIZER SAS,Médecin,CHOUKROUN MARIE HELENE,23/05/2014,REPAS,€27,,
PFIZER SAS,Médecin,CHOUKROUN MARIE HELENE,23/05/2014,REPAS,€27,,
PFIZER SAS,Médecin,CHOUKROUN MARIE HELENE,18/10/2013,Repas,€32,,
PFIZER SAS,Médecin,CHOUKROUN MARIE HELENE,07/02/2014,REPAS,€18,,
PFIZER SAS,Médecin,FOURNIER CATHERINE,23/05/2014,REPAS,€27,,
PFIZER SAS,Médecin,FOURNIER CATHERINE,07/02/2014,REPAS,€18,,
PFIZER SAS,Médecin,FOURNIER CATHERINE,23/05/2014,REPAS,€27,,
PIERRE FABRE MEDICAMENT,Médecin,AHMED YAHIA ABDELHAFID,06/05/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,CHOUKROUN MARIE HELENE,03/04/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,CHOUKROUN MARIE HELENE,12/02/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,CHOUKROUN MARIE HELENE,11/12/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,FOURNIER CATHERINE,03/04/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,FOURNIER CATHERINE,12/02/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,FOURNIER CATHERINE,11/12/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,SPOUTIL FRANCOIS,24/05/2012,Restauration,€87,,
SANOFI AVENTIS FRANCE,Etudiant,LEPORHIEL YASMINA,26/06/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Médecin,BRIZE MARINE,19/09/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,CHOUKROUN MARIE HELENE,27/06/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,CHOUKROUN MARIE HELENE,11/03/2014,Repas,€45,,
SANOFI AVENTIS FRANCE,Médecin,ESTEVES ISABELLE,19/09/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,FOURNIER CATHERINE,27/06/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,FOURNIER CATHERINE,11/03/2014,Repas,€45,,
SANOFI AVENTIS FRANCE,Médecin,HAZEBROUCK ISABELLE,19/09/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,POTHRON AMANDINE,19/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,BRIARD ANNE,19/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,BRIARD ANNE,26/06/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Pharmacien,MUGAT CATHERINE,19/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,MUGAT CATHERINE,26/06/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTEVES ISABELLE,26/06/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAZEBROUCK ISABELLE,26/06/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POTHRON AMANDINE,26/06/2014,Repas,€44,,
Zambon France,Médecin,CHOUKROUN MARIE HELENE,21/03/2014,Repas,€27,,
Zambon France,Médecin,FOURNIER CATHERINE,21/03/2014,Repas,€27,,
ZYDUS FRANCE,Pharmacien,RAMEL PATRICK,08/07/2013,REPAS,€73,,
