ABBOTT FRANCE,Pharmacien,WATTELET DELOFFRE ISABELLE,19/03/2014,REPAS,€25,,
Bayer HealthCare SAS,Médecin,MORTELECQUE VERONIQUE,18/07/2013,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,MORTELECQUE GOUBE VERONIQUE,27/03/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,NOCON PIERRE,28/03/2014,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,NOCON PIERRE,11/04/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,REMY DANIEL,27/03/2014,Hospitalité,€47,,
BIOGEN IDEC FRANCE,Masseur-kinésithérapeute,BALDUYCK SOPHIE,13/03/2014,REPAS,€41,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JERECZEK JEAN PIERRE,09/10/2013,HOSPITALITE,€19,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,26/03/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,21/11/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,REMY DANIEL,21/11/2013,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CASTIER BRUNO,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CASTIER BRUNO,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,CASTIER BRUNO,17/01/2014,Repas,€27,,
BRISTOL-MYERS SQUIBB,Médecin,CASTIER DUBOIS CORINNE,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,CASTIER DUBOIS CORINNE,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CASTIER DUBOIS CORINNE,17/01/2014,Repas,€27,,
BRISTOL-MYERS SQUIBB,Médecin,EGARD THIERRY,18/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,EGARD THIERRY,18/10/2013,Transport,€72,,
BRISTOL-MYERS SQUIBB,Médecin,LHOTE JEAN FRANCOIS,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LHOTE JEAN FRANCOIS,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,LHOTE JEAN FRANCOIS,17/01/2014,Repas,€27,,
BRISTOL-MYERS SQUIBB,Médecin,MORTELECQUE GOUBE VERONIQUE,27/03/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,NOCON PIERRE,17/01/2014,Repas,€27,,
BRISTOL-MYERS SQUIBB,Médecin,NOCON PIERRE,11/04/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,REMY DANIEL,27/03/2014,Repas,€54,,
CHIESI SA,Médecin,MAETZ BRUNO,27/03/2014,Repas,€29,,
CHIESI SA,Médecin,MAETZ BRUNO,19/09/2013,Repas,€22,,
CONGRES COLLOQUES CONVENTIONS,Médecin,MORTELECQUE VERONIQUE,25/01/2014,REPAS,€30,,
CROMA,Médecin,Egard Thierry,28/01/2014,Inscription et Déplacement,€326,,
DAIICHI SANKYO FRANCE SAS,Médecin,CASTIER BRUNO,20/06/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,CASTIER DUBOIS CORINNE,20/06/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,LHOTE JEAN FRANCOIS,20/06/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,NOCON PIERRE,20/06/2014,Repas,€25,,
ICOMED,Médecin,CAZE ALEXANDRE,03/06/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,EGARD THIERRY,25/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LHOTE JEAN FRANCOIS,11/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAETZ BRUNO,05/06/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,MORTELECQUE GOUBE VERONIQUE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MORTELECQUE GOUBE VERONIQUE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NOCON PIERRE,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,OLIVESI THIERRY,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,OLIVESI THIERRY,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,PASCOLO MURIEL,22/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PASCOLO MURIEL,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VELLEMANS MICHEL,11/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,VELLEMANS MICHEL,17/01/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,REMY DANIEL,30/05/2013,REPAS,€53,,
KRKA FRANCE EURL,Pharmacien,SOKOLOWSKI JEROME,06/11/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAZE ALEXANDRE,18/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAZE ALEXANDRE,03/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAZE ALEXANDRE,02/11/2012,Inscription,€750,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAZE ALEXANDRE,02/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAZE ALEXANDRE,29/05/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAZE ALEXANDRE,11/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOISY JEAN MICHEL,27/05/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOISY JEAN MICHEL,05/10/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOISY JEAN MICHEL,12/06/2012,Hospitalité,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAETZ BRUNO,17/04/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAETZ BRUNO,11/04/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAETZ BRUNO,02/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAETZ BRUNO,29/05/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAETZ BRUNO,03/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,05/10/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,29/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,27/05/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,20/03/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,25/04/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,31/05/2013,Hospitalite,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,12/06/2012,Hospitalité,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,21/02/2014,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTELECQUE GOUBE VERONIQUE,07/06/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REMY DANIEL,27/05/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REMY DANIEL,25/04/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REMY DANIEL,20/03/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REMY DANIEL,12/06/2012,Hospitalité,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REMY DANIEL,05/10/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANMEIRHAEGHE BENOIT,02/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANMEIRHAEGHE BENOIT,18/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANMEIRHAEGHE BENOIT,29/05/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANMEIRHAEGHE BENOIT,03/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VELLEMANS MICHEL,12/06/2012,Hospitalité,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VELLEMANS MICHEL,27/05/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VELLEMANS MICHEL,05/10/2012,Hospitalité,€58,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CASTIER BRUNO,13/06/2014,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LHOTE JEAN FRANCOIS,13/06/2014,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,NOCON PIERRE,13/06/2014,Repas,€28,,
LABORATOIRES COLOPLAST,Pharmacien,PROUVEUR PASCAL,17/04/2014,Repas,€38,,
LABORATOIRES COLOPLAST,Pharmacien,SOKOLOWSKI JEROME,21/01/2014,Repas,€43,,
LABORATOIRES COLOPLAST,Pharmacien,SOKOLOWSKI JEROME,21/01/2014,Repas,€43,,
LABORATOIRES COLOPLAST,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERNARD JESSYCA,21/01/2014,Repas,€43,,
LABORATOIRES CONVATEC,Infirmier,BARART GRANLA,07/11/2013,DINER,€38,,
LABORATOIRES CONVATEC,Infirmier,CHAGAR OUM KEFOUSE,13/02/2014,REPAS,€30,,
LABORATOIRES CONVATEC,Infirmier,CHAGAR OUM KELTOUME,19/11/2013,DINER,€39,,
LABORATOIRES CONVATEC,Infirmier,CHARGAR OUM KELTOUM,04/07/2013,DEJEUNER,€33,,
LABORATOIRES CONVATEC,Infirmier,JANGUIN NATHALIE,13/02/2014,REPAS,€30,,
LABORATOIRES CONVATEC,Infirmier,OUM CHAGAR KELTOM,13/02/2014,REPAS,€30,,
LABORATOIRES CONVATEC,Infirmier,SERRURIER CECILE,04/07/2013,DEJEUNER,€33,,
LABORATOIRES CONVATEC,Infirmier,SERRURIER CECILE,13/02/2014,REPAS,€30,,
LABORATOIRES GENEVRIER,Médecin,MANGHOLZ WILLY,01/12/2013,HEBERGEMENT,€219,,
LABORATOIRES GENEVRIER,Médecin,MANGHOLZ WILLY,01/12/2013,TRANSPORT,€123,,
LABORATOIRES GENEVRIER,Médecin,MANGHOLZ WILLY,01/12/2013,AUTRE [INSCRIPTION],€450,,
Laboratoires Grünenthal SAS,Médecin,MORTELECQUE GOUBE VERONIQUE,26/06/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,REMY DANIEL,26/06/2014,REPAS,€55,,
Laboratoires Leurquin Mediolanum,Médecin,VELLEMANS MICHEL,03/10/2013,AUTRE,€32,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MORTELECQUE VERONIQUE,15/03/2014,HOSPITALITE,€55,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,DRUBAY EDITH,01/12/2013,CADEAUX,€15,,
LES LABORATOIRES SERVIER,Médecin,CASTIER BRUNO,09/09/2013,Repas,€23,,
LES LABORATOIRES SERVIER,Médecin,CASTIER BRUNO,06/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CASTIER BRUNO,13/12/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,CASTIER BRUNO,28/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LHOTE JEAN FRANCOIS,06/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LHOTE JEAN FRANCOIS,22/03/2014,Hébergement,€284,,
LES LABORATOIRES SERVIER,Médecin,LHOTE JEAN FRANCOIS,28/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LHOTE JEAN FRANCOIS,13/12/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,LHOTE JEAN FRANCOIS,09/09/2013,Repas,€23,,
LES LABORATOIRES SERVIER,Médecin,MORTELECQUE VERONIQUE,22/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,MORTELECQUE VERONIQUE,30/01/2014,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,MORTELECQUE VERONIQUE,16/01/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,NOCON PIERRE,06/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,NOCON PIERRE,28/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,NOCON PIERRE,07/12/2013,Repas,€272,,
LES LABORATOIRES SERVIER,Médecin,NOCON PIERRE,22/03/2014,Hébergement,€284,,
LES LABORATOIRES SERVIER,Médecin,NOCON PIERRE,13/12/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,NOCON PIERRE,09/09/2013,Repas,€23,,
LES LABORATOIRES SERVIER,Médecin,REMY DANIEL,22/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,REMY DANIEL,16/01/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,REMY DANIEL,30/01/2014,Repas,€53,,
MENARINI FRANCE,Médecin,CASTIER BRUNO,21/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,CASTIER BRUNO,22/11/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,24/05/2014,Hébergement,€72,,
MENARINI FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,24/05/2014,Transport,€78,,
MENARINI FRANCE,Médecin,NOCON PIERRE,21/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,NOCON PIERRE,22/11/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,REMY DANIEL,03/04/2014,Autre : [Forfait],€60,,
Molnlycke Health Care,Infirmier,FACQ VENDEROTTE MARIE JOSE,15/01/2014,CADEAUX,€40,,
MSD France,Médecin,REMY DANIEL,19/03/2013,HOSPITALITÉ,€56,,
MSD France,Médecin,REMY DANIEL,04/06/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,REMY DANIEL,23/11/2013,TRANSPORT,€456,,
MSD France,Médecin,REMY DANIEL,15/04/2014,REPAS,€60,,
MSD France,Médecin,REMY DANIEL,25/03/2014,REPAS,€56,,
MSD France,Médecin,REMY DANIEL,23/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,REMY DANIEL,23/11/2013,REPAS,€135,,
MSD France,Médecin,REMY DANIEL,23/10/2012,HOSPITALITE,€55,,
MSD France,Médecin,REMY DANIEL,21/02/2012,REPAS,€50,,
MSD France,Médecin,REMY DANIEL,12/07/2012,HOSPITALITE,€60,,
MSD France,Médecin,REMY DANIEL,06/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,REMY DANIEL,17/04/2012,REPAS,€48,,
MSD France,Médecin,REMY DANIEL,01/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,REMY DANIEL,15/05/2014,REPAS,€55,,
MSD France,Médecin,REMY DANIEL,10/05/2012,HOSPITALITE,€72,,
NOVARTIS PHARMA SAS,Médecin,CASTIER BRUNO,16/05/2014,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,JERECZEK JEAN PIERRE,27/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,JERECZEK JEAN PIERRE,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,LHOTE JEAN FRANCOIS,16/05/2014,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,MORTELECQUE GOUBE VERONIQUE,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,MORTELECQUE GOUBE VERONIQUE,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,NOCON PIERRE,16/05/2014,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,REMY DANIEL,08/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,REMY DANIEL,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,REMY DANIEL,03/06/2014,Autre : [Participation Evenement Scientifique],€55,,
PFIZER SAS,Médecin,CLAEREN ANNIE,10/03/2014,REPAS,€51,,
PFIZER SAS,Médecin,CLAEREN ANNIE,10/09/2013,Repas,€49,,
PFIZER SAS,Médecin,CLAEREN ANNIE,02/07/2013,Repas,€33,,
PFIZER SAS,Médecin,EGARD THIERRY,03/12/2013,HEBERGEMENT,€400,,
PFIZER SAS,Médecin,EGARD THIERRY,02/07/2013,Repas,€33,,
PFIZER SAS,Médecin,EGARD THIERRY,10/03/2014,REPAS,€51,,
PFIZER SAS,Médecin,EGARD THIERRY,10/12/2013,Repas,€48,,
PFIZER SAS,Médecin,EGARD THIERRY,03/12/2013,AUTRE: INSCRIPTION,€450,,
PFIZER SAS,Médecin,EGARD THIERRY,10/09/2013,Repas,€49,,
PFIZER SAS,Médecin,EGARD THIERRY,03/12/2013,REPAS,€60,,
PFIZER SAS,Médecin,EGARD THIERRY,03/12/2013,TRANSPORT,€102,,
PFIZER SAS,Médecin,MANGHOLZ WILLY,10/09/2013,Repas,€49,,
PFIZER SAS,Médecin,MANGHOLZ WILLY,02/07/2013,Repas,€33,,
PFIZER SAS,Médecin,MANGHOLZ WILLY,10/12/2013,Repas,€48,,
PFIZER SAS,Médecin,MANGHOLZ WILLY,10/03/2014,REPAS,€51,,
PFIZER SAS,Médecin,PASCOLO MURIEL,10/12/2013,Repas,€48,,
PFIZER SAS,Médecin,PASCOLO MURIEL,02/07/2013,Repas,€33,,
PFIZER SAS,Médecin,PASCOLO MURIEL,10/09/2013,Repas,€49,,
PHADIA SAS,Médecin,MAETZ BRUNO,20/02/2014,REPAS,€38,,
PHARMATHERA,Médecin,DOISY JEAN MICHEL,06/12/2013,OBJET D HOSPITALITE,€15,,
PHARMATHERA,Médecin,MORTELECQUE VERONIQUE,10/09/2013,OBJET D HOSPITALITE,€12,,
PHARMATHERA,Médecin,MORTELECQUE VERONIQUE,10/04/2014,Hospitalité,€15,,
PHARMATHERA,Médecin,REMY DANIEL,06/12/2013,OBJET D HOSPITALITE,€12,,
PHARMATHERA,Médecin,REMY DANIEL,10/04/2014,Hospitalité,€22,,
PHARMATHERA,Médecin,VELLEMANS MICHEL,10/09/2013,OBJET D HOSPITALITE,€12,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,PROUVEUR PASCAL,13/01/2014,RESTAURATION,€12,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERNARD JESSICA,13/01/2014,RESTAURATION,€12,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAMBERT JULIE,13/01/2014,RESTAURATION,€12,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JESSICA,06/05/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,LETOMBE MARIE CHRISTINE,06/05/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,REMY DANIEL,02/10/2013,HOSPITALITE SITES PIERRE FABRE,€39,,
PIERRE FABRE MEDICAMENT,Médecin,REMY DANIEL,02/10/2013,HOSPITALITE SITES PIERRE FABRE,€102,,
PIERRE FABRE MEDICAMENT,Médecin,REMY DANIEL,02/10/2013,FRAIS DE DEPLACEMENT,€78,,
PIERRE FABRE MEDICAMENT,Médecin,REMY DANIEL,02/10/2013,HOSPITALITE SITES PIERRE FABRE,€31,,
PIERRE FABRE MEDICAMENT,Médecin,REMY DANIEL,02/10/2013,HOSPITALITE SITES PIERRE FABRE,€35,,
PIERRE FABRE MEDICAMENT,Pharmacien,PROUVEUR PASCAL,10/09/2013,RESTAURATION,€10,,
PIERRE FABRE MEDICAMENT,Pharmacien,PROUVEUR PASCAL,06/05/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Pharmacien,SOKOLOWSKI JEROME,06/05/2013,Restauration,€10,,
ROCHE SAS,Médecin,EGARD THIERRY,25/03/2014,Repas,€60,,
ROCHE SAS,Médecin,MANGHOLZ WILLY,25/03/2014,Repas,€60,,
ROTTAPHARM SAS,Médecin,EGARD THIERRY,28/06/2013,CONGRES/HEBERGEMENT,€319,,
ROTTAPHARM SAS,Médecin,EGARD THIERRY,28/06/2013,CONGRES/INSCRIPTION,€440,,
ROTTAPHARM SAS,Médecin,EGARD THIERRY,28/06/2013,CONGRES/ACHEMINEMENT,€51,,
ROTTAPHARM SAS,Médecin,MANGHOLZ WILLY,28/06/2013,CONGRES/ACHEMINEMENT,€51,,
ROTTAPHARM SAS,Médecin,MANGHOLZ WILLY,28/06/2013,CONGRES/HEBERGEMENT,€319,,
ROTTAPHARM SAS,Médecin,MANGHOLZ WILLY,28/06/2013,CONGRES/INSCRIPTION,€440,,
SANOFI AVENTIS FRANCE,Médecin,CASTIER BRUNO,24/01/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,CASTIER DUBOIS CORINNE,24/01/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,LHOTE JEAN FRANCOIS,24/01/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,10/04/2014,Repas,€48,,
SANOFI AVENTIS FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,10/10/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,12/12/2013,Restauration,€45,,
SANOFI AVENTIS FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,12/12/2013,Restauration,€45,,
SANOFI AVENTIS FRANCE,Médecin,MORTELECQUE GOUBE VERONIQUE,11/04/2014,Repas,€48,,
SANOFI AVENTIS FRANCE,Médecin,NOCON PIERRE,24/01/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,REMY DANIEL,10/10/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,REMY DANIEL,12/12/2013,Restauration,€45,,
SANOFI AVENTIS FRANCE,Médecin,REMY DANIEL,10/04/2014,Repas,€48,,
SANOFI AVENTIS FRANCE,Médecin,REMY DANIEL,12/12/2013,Restauration,€45,,
Smith & Nephew S.A.S.,Infirmier,CHAGAR OUM' KELTUM,08/04/2014,REPAS,€26,,
TEVA SANTE SAS,Médecin,MORTELECQUE GOUBE VERONIQUE,24/10/2013,REPAS,€48,,
