ABBOTT PRODUCTS SAS,Médecin,PINTARD LACOUR Sylvie,03/07/2013,REPAS,€18,,
ICOMED,Médecin,PINTARD LACOUR SYLVIE,18/12/2013,Autre: [Enquête],€30,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PINTARD LACOUR SYLVIE,25/06/2014,Repas,€19,,
LEO Pharma,Pharmacien,DESCALIS DOMINIQUE,20/12/2013,REPAS,€43,,
LEO Pharma,Pharmacien,DESCALIS DOMINIQUE,28/06/2013,REPAS,€34,,
LEO Pharma,Pharmacien,MAK CHENG CHHAY,28/06/2013,REPAS,€34,,
LEO Pharma,Pharmacien,MAK CHENG CHHAY,20/12/2013,REPAS,€43,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARCIA ISABELLE,28/06/2013,REPAS,€34,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARCIA ISABELLE,20/12/2013,REPAS,€43,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAUREL ODILE,28/06/2013,REPAS,€34,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAUREL ODILE,20/12/2013,REPAS,€43,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MITRANI MONIQUE,20/12/2013,REPAS,€43,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MITRANI MONIQUE,28/06/2013,REPAS,€34,,
Lilly France SAS,Médecin,PINTARD LACOUR SYLVIE,24/09/2013,REPAS,€60,,
MSD France,Infirmier,BORY MARTINE,11/10/2013,REPAS,€56,,
PIERRE FABRE MEDICAMENT,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,04/04/2013,HospitalitÃƒÂ©,€168,,
PIERRE FABRE MEDICAMENT,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,04/04/2013,HÃƒÂ©bergement,€112,,
PIERRE FABRE MEDICAMENT,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,04/04/2013,Frais de dÃƒÂ©placement,€112,,
PIERRE FABRE MEDICAMENT,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,05/04/2013,Frais de dÃƒÂ©placement,€97,,
PIERRE FABRE MEDICAMENT,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,04/04/2013,Frais de dÃƒÂ©placement,€98,,
PIERRE FABRE MEDICAMENT,Médecin,ESPINASSE PIERRE,13/12/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ESPINASSE PIERRE,30/05/2013,Frais de dÃƒÂ©placement,€65,,
PIERRE FABRE MEDICAMENT,Médecin,ESPINASSE PIERRE,30/05/2013,HospitalitÃƒÂ©,€202,,
PIERRE FABRE MEDICAMENT,Médecin,ESPINASSE PIERRE,30/05/2013,HÃƒÂ©bergement,€141,,
PIERRE FABRE MEDICAMENT,Pharmacien,MAK CHENG CHHAY,09/09/2013,HOSPITALITE SITES PIERRE FABRE,€57,,
PIERRE FABRE MEDICAMENT,Pharmacien,MAK CHENG CHHAY,09/09/2013,HOSPITALITE SITES PIERRE FABRE,€69,,
PIERRE FABRE MEDICAMENT,Pharmacien,MAK CHENG CHHAY,09/09/2013,FRAIS DE DEPLACEMENT,€115,,
PIERRE FABRE MEDICAMENT,Pharmacien,MAK CHENG CHHAY,09/09/2013,HOSPITALITE SITES PIERRE FABRE,€130,,
PIERRE FABRE MEDICAMENT,Pharmacien,MAK CHENG CHHAY,09/09/2013,HOSPITALITE SITES PIERRE FABRE,€41,,
R'SUD MEDICAL,Médecin,ANDRIANTSIMAHAVANDY SOARIFARA,18/01/2014,REPAS,€42,,
R'SUD MEDICAL,Médecin,ANDRIANTSIMAHAVANDY SOARIFARA,01/02/2014,REPAS,€34,,
R'SUD MEDICAL,Médecin,ANDRIANTSIMAHAVANDY SOARIFARA,16/05/2014,HOSPITALITE,"€3,239",,
SANOFI AVENTIS FRANCE,Pharmacien,MAK CHENG CHHAY,29/01/2014,Repas,€33,,
TEVA SANTE SAS,Médecin,PINTARD LACOUR SYLVIE,27/03/2014,REPAS,€20,,
TEVA SANTE SAS,Pharmacien,MAK CHENGG,23/07/2013,REPAS,€60,,
