APTALIS PHARMA SAS,Médecin,BAZILLON ALAIN,11/04/2014,FRAIS D'HOSPITALIT,€19,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CARSTEA MIHAIL,11/10/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CARSTEA MIHAIL,05/12/2013,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,STIRN PHILIPPE,24/04/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,STIRN PHILIPPE,21/11/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE GUEN ANNICK,08/04/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE GUEN MAURICE,08/04/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BELLANGER VALERIE,08/04/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LECORNUE ANNIE,08/04/2014,Repas,€25,,
Lilly France SAS,Médecin,CARSTEA MIHAIL,02/04/2014,REPAS,€55,,
MENARINI FRANCE,Médecin,BAZILLON ALAIN,10/01/2014,Autre : [Restauration],€15,,
MENARINI FRANCE,Médecin,BAZILLON ALAIN,04/09/2013,REPAS,€20,,
MENARINI FRANCE,Médecin,CARSTEA MIHAIL,10/01/2014,Autre : [Restauration],€15,,
MENARINI FRANCE,Médecin,CARSTEA MIHAIL,07/11/2013,AUTRE : RNT,€48,,
MENARINI FRANCE,Médecin,STIRN PHILIPPE,04/09/2013,REPAS,€20,,
MSD France,Médecin,BAZILLON ALAIN,17/04/2014,REPAS,€60,,
MSD France,Médecin,BAZILLON ALAIN,28/11/2013,REPAS,€55,,
MSD France,Médecin,BAZILLON ALAIN,16/05/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,BAZILLON ALAIN,20/03/2014,REPAS,€60,,
MSD France,Médecin,CARSTEA MIHAIL,17/04/2014,REPAS,€60,,
NOVARTIS PHARMA SAS,Médecin,STIRN PHILIPPE,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,BAZILLON ALAIN,06/02/2014,RESTAURATION,€19,,
PIERRE FABRE MEDICAMENT,Médecin,CARSTEA MIHAIL,31/01/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,CARSTEA MIHAIL,28/03/2013,Restauration,€38,,
SANOFI AVENTIS FRANCE,Médecin,BAZILLON ALAIN,17/10/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,BAZILLON ALAIN,19/11/2013,Restauration,€14,,
SANOFI AVENTIS FRANCE,Médecin,CARSTEA MIHAIL,17/10/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,CARSTEA MIHAIL,20/03/2014,Repas,€43,,
SIGVARIS,Pharmacien,BIGNON SYLVIE,10/12/2013,HOSPITALITE,€25,,
SIGVARIS,Pharmacien,BIGNON SYLVIE,10/12/2013,REPAS,€20,,
SIGVARIS,Pharmacien,KASSIAN JEAN PHILIPPE,10/12/2013,REPAS,€20,,
SIGVARIS,Pharmacien,KASSIAN PATRICIA,10/12/2013,REPAS,€20,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORFDIR LAETITIA,10/12/2013,REPAS,€20,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORSDIR LAETITIA,10/12/2013,HOSPITALITE,€25,,
TEVA SANTE SAS,Médecin,CARSTEA MIHAIL,25/03/2014,REPAS,€55,,
TEVA SANTE SAS,Médecin,STIRN PHILIPPE,25/03/2014,REPAS,€55,,
Zimmer Dental SAS,Chirurgien-dentiste,GELLY ALAIN,19/06/2014,REPAS,€25,,
