ANTHOGYR,Médecin,DEVILLE Rachel,28/11/2013,Repas ou Hébèrgement,€46,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCES PAN MEI CHIH,28/08/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,MASLARSKI ROMAN,29/06/2012,Restauration,€19,,
PIERRE FABRE MEDICAMENT,Médecin,MASLARSKI ROMAN,25/04/2013,Restauration,€37,,
SANOFI AVENTIS FRANCE,Médecin,DELVALLE NATHALIE,02/07/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,FRANCES PIERRE,27/03/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Médecin,MONTE VERONIQUE,02/07/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,PY CATHERINE,02/07/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Pharmacien,GENTET STEPHANIE,02/07/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Pharmacien,GENTET STEPHANIE,15/05/2014,Repas,€34,,
SANOFI AVENTIS FRANCE,Pharmacien,REMBLIERE OLIVIER,15/05/2014,Repas,€34,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONTE VERONIQUE,15/05/2014,Repas,€34,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PY CATHERINE,15/05/2014,Repas,€34,,
SHIRE France S.A.,Médecin,FRANCES PIERRE,20/03/2014,Repas,€40,,
SHIRE France S.A.,Médecin,FRANCES PAN MEICHIH,20/03/2014,Repas,€40,,
Smith & Nephew S.A.S.,Infirmier,GRAVE CHRISTELLE,14/02/2014,REPAS,€33,,
Smith & Nephew S.A.S.,Infirmier,HERRE ANNE,11/10/2013,REPAS,€15,,
SORIN GROUP FRANCE,Médecin,MAURIN THIERRY,23/05/2013,Repas,€32,,
SORIN GROUP FRANCE,Médecin,MAURIN THIERRY,25/06/2013,Repas,€65,,
TEVA SANTE SAS,Médecin,MASLARSKI ROMAN,19/02/2014,REPAS,€38,,
TEVA SANTE SAS,Médecin,MASLARSKI ROMAN,23/10/2013,REPAS,€42,,
TEVA SANTE SAS,Médecin,MASLARSKI ROMAN,04/06/2014,REPAS,€42,,
