ALFA WASSERMANN PHARMA,Médecin,CARUANA GROSHENS BRIGITTE,30/01/2014,REPAS,€50,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAROIT VALÉRIE,26/11/2013,HOSPITALITE,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,BRAGUIER CECILE,17/01/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,COUGNAUD FRANCOISE,20/06/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,GRILLON HERVE,17/01/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,KRUST PHILIPPE,29/11/2013,Repas,€19,,
DAIICHI SANKYO FRANCE SAS,Médecin,KRUST PHILIPPE,05/07/2013,Repas,€26,,
DAIICHI SANKYO FRANCE SAS,Médecin,KRUST PHILIPPE,06/11/2013,Repas,€46,,
DAIICHI SANKYO FRANCE SAS,Médecin,KRUST PHILIPPE,20/06/2014,Repas,€25,,
DENTSPLY FRANCE,Chirurgien-dentiste,LEQUART CHRISTOPHE,29/11/2013,REPAS,€112,,
ETHICON,Médecin,FILIOZAT POPU SYLVAINE,20/09/2013,REPAS,€232,,
ETHICON,Médecin,FILIOZAT POPU SYLVAINE,20/09/2013,HEBERGEMENT,€841,,
ETHICON,Médecin,FILIOZAT POPU SYLVAINE,20/09/2013,TRANSPORT,€342,,
EUROPHTA,Médecin,FILIOZAT POPU SYLVAINE,04/12/2013,REPAS,€53,,
FUJIFILM Medical Systems France,Médecin,POPU PATRICK,04/09/2013,REPAS,€33,,
galderma international,Médecin,PETAVY CATALA CARINE,22/05/2014,Repas,€30,,
galderma international,Médecin,TAUVERON FABRICE,08/10/2013,Repas,€38,,
ICOMED,Chirurgien-dentiste,SOREL YOU MYLAINE,04/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BRAGUIER CECILE,18/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,COUGNAUD FRANCOISE,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KRUST PHILIPPE,17/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,RIGAULT JEAN MICHEL,20/01/2014,Autre: [Enquête],€22,,
IPSEN PHARMA,Médecin,RIGAULT JEAN MICHEL,05/12/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,KRUST PHILIPPE,14/11/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRAGUIER CECILE,23/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARUANA BRIGITTE,22/04/2014,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUGNAUD FRANCOISE,07/02/2014,REPAS,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUGNAUD FRANCOISE,12/07/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUGNAUD FRANCOISE,05/09/2012,Hospitalité,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUGNAUD FRANCOISE,14/12/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOURNIER BENOIT,07/02/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KRUST PHILIPPE,13/06/2013,Hospitalite,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KRUST PHILIPPE,18/09/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REGNAULT PHILIPPE,07/02/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REGNAULT PHILIPPE,07/02/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REGNAULT PHILIPPE,12/07/2013,REPAS,€25,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUESDON MARIE,12/06/2014,REPAS,€45,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JANOVIN AURÉLIE,12/06/2014,REPAS,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,COUGNAUD FRANCOISE,26/09/2013,Repas,€58,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GRILLON HERVE,13/12/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GRILLON HERVE,14/02/2014,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,KRUST PHILIPPE,16/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,KRUST PHILIPPE,18/09/2013,Repas,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,KRUST PHILIPPE,21/02/2014,Repas,€31,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,REGNAULT PHILIPPE,19/12/2013,Repas,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,REGNAULT PHILIPPE,26/09/2013,Repas,€58,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,REGNAULT PHILIPPE,16/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,RIGAULT JEAN MICHEL,14/02/2014,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,RIGAULT JEAN MICHEL,13/12/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,TAUVERON FABRICE,21/02/2014,Repas,€31,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,PARESSANT PHILIPPE,10/04/2014,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUESDON MARIE,10/04/2014,Repas,€37,,
Laboratoires Leurquin Mediolanum,Médecin,BRAGUIER CECILE,04/11/2013,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,GRILLON HERVE,12/02/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,GRILLON HERVE,12/02/2014,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,HAROT AURELIE,01/12/2013,CADEAUX,€15,,
Laboratoires SVR France,Médecin,CATALA CARINE,12/02/2014,REPAS,€24,,
Laboratoires THEA,Médecin,FILIOZAT POPU SYLVAINE,05/09/2013,REPAS,€19,,
Laboratoires THEA,Médecin,FILIOZAT POPU SYLVAINE,22/11/2013,AUTRE,€130,,
Laboratoires THEA,Médecin,FILIOZAT POPU SYLVAINE,15/04/2014,REPAS,€55,,
LABORATOIRES URGO,Infirmier,ARCHAMBAULT Catherine,10/04/2014,Repas,€20,,
LABORATOIRES URGO,Infirmier,AUDET NICOULT Marie Christine,09/04/2014,Repas,€18,,
LABORATOIRES URGO,Infirmier,DEVINEAU Fabienne,09/04/2014,Repas,€18,,
LABORATOIRES URGO,Infirmier,QUINCHAMP Déborah,09/04/2014,Repas,€18,,
LABORATOIRES URGO,Infirmier,RENIER Doriane,10/04/2014,Repas,€20,,
LABORATOIRES URGO,Infirmier,THIBAULT Mélanie,09/04/2014,Repas,€18,,
LEO Pharma,Médecin,PETAVY CATALA CARINE,12/09/2013,REPAS,€35,,
LES LABORATOIRES SERVIER,Médecin,COUGNAULT FRANCOISE,26/06/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,KRUST PHILIPPE,21/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,KRUST PHILIPPE,19/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,KRUST PHILIPPE,06/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,REGNAULT PHILIPPE,04/02/2014,Repas,€51,,
LES LABORATOIRES SERVIER,Médecin,REGNAULT PHILIPPE,18/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,RIGAULT JEAN MICHEL,06/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,RIGAULT JEAN MICHEL,10/04/2014,Repas,€60,,
Lilly France SAS,Médecin,REGNAULT PHILIPPE,09/10/2013,REPAS,€50,,
Lilly France SAS,Médecin,RIGAULT JEAN MICHEL,16/04/2014,REPAS,€57,,
Lilly France SAS,Médecin,RIGAULT JEAN MICHEL,05/02/2014,REPAS,€60,,
MENARINI FRANCE,Médecin,COUGNAUD FRANCOISE,11/12/2013,REPAS,€53,,
MENARINI FRANCE,Médecin,REGNAULT PHILIPPE,11/12/2013,REPAS,€53,,
MENARINI FRANCE,Médecin,REGNAULT PHILIPPE,12/02/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,Regnault PHILIPPE,16/10/2013,REPAS,€53,,
MENARINI FRANCE,Médecin,RIGAULT JEAN MICHEL,05/04/2014,Autre : [Forfait],€276,,
MENARINI FRANCE,Médecin,TAUVERON FABRICE,13/12/2013,AUTRE : RNT,€26,,
MSD France,Médecin,RIGAULT JEAN MICHEL,15/10/2013,REPAS,€56,,
NOVARTIS PHARMA SAS,Médecin,CARUANA BRIGITTE,17/01/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,COUGNAUD FRANCOISE,04/10/2013,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,COUGNAUD FRANCOISE,22/11/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,FOURNIER BENOIT,04/10/2013,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,FOURNIER BENOIT,22/11/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,GRILLON HERVE,11/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KRUST PHILIPPE,12/07/2013,Repas,€33,,
NOVARTIS PHARMA SAS,Médecin,KRUST PHILIPPE,22/11/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,KRUST PHILIPPE,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KRUST PHILIPPE,11/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,REGNAULT PHILIPPE,22/11/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,REGNAULT PHILIPPE,04/10/2013,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,RIGAULT JEAN MICHEL,11/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,TAUVERON FABRICE,11/03/2014,Autre : [Participation Evenement Scientifique],€55,,
OCP REPARTITION,Pharmacien,SCHNEIDER PIERRE ETIENNE ,27/03/2014,REPAS,€22,,
PECH CERCIAT,Médecin,Catala Carine,19/12/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Catala Carine,17/09/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,REGNAULT PHILIPPE,06/09/2013,Repas,€55,,
PHILIPS FRANCE,Masseur-kinésithérapeute,LAMBERT ADELINE,26/09/2013,REPAS,€40,,
PHILIPS FRANCE,Masseur-kinésithérapeute,SAINTIER Nathalie,17/09/2013,REPAS,€35,,
PIERRE FABRE MEDICAMENT,Médecin,BRAGUIER CECILE,12/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,CARUANA BRIGITTE,12/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,CARUANA BRIGITTE,05/06/2012,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,CHERIAUX VERONIQUE,11/09/2013,RESTAURATION,€28,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,28/11/2013,HOSPITALITE SITES PIERRE FABRE,€48,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,28/11/2013,FRAIS DE DEPLACEMENT,€135,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,11/04/2013,Restauration,€65,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,28/11/2013,HOSPITALITE SITES PIERRE FABRE,€118,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,12/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,12/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,28/06/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,COUGNAUD FRANCOISE,27/01/2012,Restauration,€15,,
PIERRE FABRE MEDICAMENT,Médecin,GERY MATHILDE,28/06/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,GRILLON HERVE,28/06/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,REGNAULT PHILIPPE,28/06/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,REGNAULT PHILIPPE,14/11/2013,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,REGNAULT PHILIPPE,24/01/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,REGNAULT PHILIPPE,27/01/2012,Restauration,€15,,
PRECIPHAR,Médecin,KRUST PHILIPPE,18/04/2014,Repas,€25,,
PRECIPHAR,Médecin,TAUVERON FABRICE,18/04/2014,Repas,€25,,
RESEARCH NOW SAS,Médecin,KRUST Philippe,29/01/2013,enquête,€17,,
ROCHE SAS,Infirmier,ARCHAMBAULT CATHERINE,04/07/2013,Repas,€14,,
ROCHE SAS,Pharmacien,PARESSANT PHILIPPE,04/02/2014,Repas,€23,,
ROCHE SAS,Pharmacien,PARESSANT PHILIPPE,17/06/2014,Repas,€38,,
SANDOZ,Pharmacien,BRION JOEL,17/04/2014,REPAS,€50,,
SANDOZ,Pharmacien,LOUSTANAU-AVICE ELEONORE,26/03/2014,REPAS,€23,,
SANOFI AVENTIS FRANCE,Médecin,COUGNAUD FRANCOISE,05/06/2014,Repas,€51,,
SANOFI AVENTIS FRANCE,Médecin,FOURNIER BENOIT,06/02/2014,Repas,€43,,
SANOFI AVENTIS FRANCE,Pharmacien,BRION JOEL,03/06/2014,Repas,€28,,
SANOFI AVENTIS FRANCE,Pharmacien,PARESSANT PHILIPPE,24/01/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Pharmacien,PARESSANT PHILIPPE,06/06/2014,Repas,€27,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAROIT VALERIE,06/06/2014,Repas,€27,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEGUE JULIEN,06/06/2014,Repas,€27,,
SIGVARIS,Médecin,FANOUS JAMIL,03/09/2013,HOSPITALITE,€11,,
SIGVARIS,Pharmacien,DELRUE CECILE,06/09/2013,REPAS,€23,,
SIGVARIS,Pharmacien,PARESSANT PHILIPPE,06/09/2013,HOSPITALITE,€23,,
SIGVARIS,Pharmacien,PARESSANT PHILIPPE,06/09/2013,REPAS,€23,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAROIT VALERIE,06/09/2013,HOSPITALITE,€23,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAROIT VALERIE,06/09/2013,REPAS,€23,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEGUE JULIEN,06/09/2013,REPAS,€23,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEGUE JULIEN,06/09/2013,HOSPITALITE,€23,,
TEVA SANTE SAS,Médecin,CARUANA BRIGITTE,28/03/2014,REPAS,€26,,
TEVA SANTE SAS,Médecin,COUGNAUD FRANCOISE,28/03/2014,REPAS,€26,,
TEVA SANTE SAS,Médecin,COUGNAUD FRANCOISE,29/10/2013,REPAS,€23,,
TEVA SANTE SAS,Médecin,FOURNIER BENOIT,29/10/2013,REPAS,€23,,
TEVA SANTE SAS,Médecin,KRUST PHILIPPE,28/03/2014,REPAS,€26,,
TEVA SANTE SAS,Médecin,REGNAULT PHILIPPE,28/03/2014,REPAS,€26,,
TEVA SANTE SAS,Médecin,REGNAULT PHILIPPE,29/10/2013,REPAS,€23,,
Zambon France,Médecin,COUGNAUD FRANCOISE,20/05/2014,Repas,€18,,
